player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Danny Faaborg,Forward,77.0,196,,Montana State,2003,4,115.0,3.9,1.7,0.9,38.6,35.3,72.0,49.7,,2.4
Al Faber,Center,73.0,208,,East Carolina,1973,3,79.0,12.1,10.3,,45.9,,65.0,,,
Dennis Faber,,,,,Kent State,1969,1,3.0,,,,,,,,,
Krys Faber,Center,73.0,258,,DePaul,2012,4,119.0,3.9,3.7,0.3,49.1,100.0,64.2,49.3,,3.0
Patrick Faber,Forward,78.0,198,,North Carolina-Greensboro,1992,1,28.0,5.2,2.3,1.3,51.1,0.0,78.1,51.1,,
Paul Faber,Center,81.0,206,,Marist,1990,1,9.0,1.3,1.3,,50.0,,85.7,50.0,,
Tom Faber,Center,73.0,208,,Utica,1987,2,53.0,10.9,5.4,1.3,52.5,,63.6,,,
_ Faber,Center,81.0,206,,Drake,1983,1,21.0,5.5,2.5,,45.0,,67.6,,,
Al Fabian,Center,,,,Georgia,1949,2,,,,,,,,,,
Bud Fabian,,,,,Santa Clara,1971,1,9.0,1.4,0.7,,45.5,,60.0,,,
Chris Fabian,,,,,Notre Dame,1977,1,13.0,1.0,0.4,,33.3,,55.6,,,
Joe Fabian,Forward,79.0,201,,Pacific,1984,1,27.0,3.1,2.4,0.4,42.1,,52.9,,,
_ Fabian,,,,,Pacific,1986,1,,,,,,,,,,
Michael Fabiyi,Guard,75.0,190,Gary West Side,Florida A&M,2013,1,17.0,1.3,0.7,0.2,53.3,0.0,66.7,53.3,17.1,0.2
_ Fabozzi,,,,,Siena,1948,1,,,,,,,,,,
Brian Fabrizius,Forward,73.0,203,Kimball Union (NH),Princeton,2013,2,9.0,0.3,0.0,0.0,50.0,50.0,,75.0,9.2,0.0
Luke Fabrizius,Forward,81.0,228,,Dayton,2012,4,116.0,4.7,1.5,0.4,38.4,37.9,61.3,53.3,,4.2
Kentan Facey,Forward,81.0,206,Long Island Lutheran HS,UConn,2017,4,123.0,4.6,4.6,0.4,51.5,50.0,69.8,51.9,15.2,7.1
Jordan Faciane,Guard,74.0,235,Morrow,Campbell,2015,3,13.0,1.8,1.2,0.9,36.4,23.1,80.0,43.2,18.6,0.1
Fred Facka,Forward,,,,Old Dominion,1985,4,,,,,,,,,,
Ray Faczan,Center,,,,Gettysburg,1967,3,66.0,7.6,6.5,,44.3,,57.0,,,
Mike Fadden,,,,,Bucknell,1962,3,55.0,6.3,5.8,,35.4,,64.0,,,
Reid Fader,Guard,72.0,183,,American,1970,2,42.0,1.7,1.4,,32.1,,41.1,,,
Lewis Fadipe,Forward,73.0,208,,La Salle,2006,4,93.0,2.5,2.8,0.2,48.6,0.0,50.0,48.6,,3.3
Mike Faer,Guard,72.0,183,,Clemson,1969,2,33.0,1.5,0.7,,32.3,,60.0,,,
George Faerber,Forward,77.0,196,,Purdue,1971,3,77.0,11.6,8.4,,58.4,,68.6,,,
