player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Roland H'Orvath,Forward,76.0,193,,Santa Clara,1988,2,62.0,6.8,3.3,2.2,50.3,18.2,64.9,50.6,,
Hal Haabestad,,,,,Princeton,1955,1,25.0,20.0,,,32.4,,69.9,,,
Kevin Haadtvedt,,,,,Idaho,1982,1,10.0,0.5,1.0,0.2,20.0,,100.0,,,
Dick Haag,Forward,76.0,193,,Wyoming,1952,2,66.0,12.2,9.7,2.1,45.5,,58.3,,,
Ed Haag,,,,,Penn State,1954,3,69.0,6.6,,,,,73.1,,,
_ Haag,,,,,St. Francis (NY),1965,1,7.0,3.9,0.3,,61.5,,50.0,,,
Brian Haak,Guard,72.0,183,,Northern Iowa,2010,4,65.0,1.0,0.6,0.6,35.2,28.9,73.7,45.4,,0.6
Bill Haaker,,,,,Colorado State,1953,3,39.0,1.2,1.1,,19.8,,,,,
Dale Haaland,Center,80.0,203,,Gonzaga,1987,2,56.0,10.0,6.7,1.0,57.2,,59.6,,,
Samuel Haanpaa,Guard,80.0,203,,Valparaiso,2008,2,54.0,11.1,3.4,1.0,43.7,44.5,76.0,60.1,,5.3
Jeff Haar,Forward,76.0,193,,Toledo,1988,4,97.0,9.0,4.0,1.2,47.4,,67.2,,,
Bill Haarlow,,,,,Princeton,1961,1,8.0,0.8,0.1,,33.3,,100.0,,,
Bob Haarlow,Forward,74.0,188,,Princeton,1966,4,103.0,9.1,4.6,,46.1,,63.3,,,
Bob Haarlow,Guard,77.0,196,,Wisconsin,1949,2,30.0,3.8,,,24.4,,67.3,,,
John Haarlow,Forward,79.0,201,,Princeton,1968,3,76.0,12.6,7.3,,48.9,,74.2,,,
William Haarlow,,,,,Princeton,1962,1,23.0,9.5,8.0,,43.9,,76.5,,,
Dale Haarman,Forward,78.0,198,,Mississippi State and Xavier,1977,3,54.0,,,,,,,,,
Joe Haarman,Forward,79.0,201,,Indiana,2003,1,1.0,0.0,2.0,0.0,,,,,,0.0
James Haarsma,Forward,79.0,230,St. Catherine's,Evansville and Milwaukee,2013,4,118.0,8.6,5.3,0.7,48.7,35.3,70.6,51.5,,8.9
Anders Haas,Guard,73.0,175,Bishop O'Dowd/State College of Florida,Albany (NY),2014,1,21.0,3.0,0.6,0.2,34.0,34.1,84.6,48.1,12.9,0.3
August Haas,Guard,73.0,187,Gammel Hellerup Gymnasium ,Milwaukee,2017,1,35.0,5.0,2.8,3.8,37.9,29.9,52.2,43.7,6.5,0.2
Bob Haas,,,,,St. Joseph's,1971,1,18.0,1.1,0.5,0.4,34.8,,57.1,,,
