player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Ibrahim Jaaber,Guard,74.0,188,,Penn,2005,2,114.0,13.3,3.8,2.8,49.7,32.3,70.0,55.5,,18.2
Jacob Jaacks,Center,80.0,203,,Iowa,2000,2,60.0,9.5,5.8,0.9,48.6,37.4,61.7,53.0,,4.6
S Jabali,,,,,Fresno State,1996,1,5.0,1.6,0.2,0.2,33.3,50.0,62.5,50.0,,0.0
Ishaq Jabbar,Guard,72.0,183,,Maryland-Eastern Shore,1995,1,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,,
Mahamoud Jabbi,Forward,79.0,180,,Binghamton,2011,2,62.0,8.1,7.3,0.9,48.0,37.1,73.8,51.9,18.3,5.4
Ishmail Jabbie,Guard,75.0,170,Eleanor Roosevelt HS,UMBC,2017,2,26.0,2.0,0.8,0.3,43.2,37.5,68.0,47.3,13.0,0.2
John Jablonski,Center,80.0,203,,Penn,1974,3,74.0,4.1,3.4,,49.4,,58.1,,,
Mark Jablonski,Forward,,,,Penn,1977,2,12.0,0.7,1.0,,37.5,,,,,
Mike Jaccar,Guard,73.0,185,,SMU,1976,2,43.0,10.6,3.0,5.6,43.3,,73.2,,,
Jim Jachym,,,,,UConn,1970,1,12.0,1.0,0.5,0.2,30.8,,100.0,,,
Vlad Jacimovic,,,,,San Francisco,1982,1,4.0,0.2,1.0,0.2,,,20.0,,,
Aaron Jack,Forward,80.0,203,,Penn State and Texas A&M,2000,4,90.0,6.7,5.4,0.8,54.8,42.9,63.5,55.2,,5.3
Bobby Jack,Forward,77.0,196,,Oklahoma,1972,3,81.0,15.0,5.8,,48.7,,74.7,,,
Dick Jack,Forward,76.0,193,,Lafayette,1968,1,23.0,5.0,5.0,,41.3,,67.4,,,
Donovon Jack,Forward,81.0,210,Berks Catholic HS,Penn State,2016,4,117.0,4.5,2.8,0.4,46.5,28.8,63.4,50.6,15.1,4.7
Fabian Jack,Guard,61.0,180,,LIU-Brooklyn,1992,2,50.0,8.3,2.5,3.5,36.8,28.8,64.6,41.2,,
Greg Jack,Forward,78.0,198,,Washington,1976,3,42.0,1.7,1.5,,43.9,,,,,
Jarrett Jack,Guard,75.0,202,,Georgia Tech,2005,3,101.0,12.5,4.5,5.4,47.8,35.9,79.6,53.2,,14.2
Jimmy Jack,Guard,72.0,183,,Wagner,1989,2,50.0,5.8,1.9,4.5,36.6,30.8,65.5,39.2,,
Joseph Jack,Forward,81.0,206,,Southern,2008,4,97.0,4.4,3.7,0.3,40.9,23.5,66.5,42.7,,4.6
Kadeem Jack,Forward,81.0,235,Rice HS,Rutgers,2015,4,111.0,9.4,5.3,0.6,45.5,33.3,63.3,46.5,16.7,4.9
Mateo Jack,Guard,74.0,188,,Florida International,2002,1,3.0,0.0,0.3,0.0,0.0,0.0,,0.0,,0.0
Dick Jackette,Forward,74.0,188,,Manhattan,1968,1,21.0,3.1,1.9,,52.8,,76.9,,,
Justin Jackette,Guard,75.0,190,,William & Mary and Manhattan,2003,4,87.0,9.0,3.0,1.3,41.0,31.2,76.4,47.2,,5.1
Richard Jackette,Guard,74.0,188,,Manhattan,1969,1,20.0,3.3,1.9,2.4,35.7,,33.3,,,
Bill Jackey,,,,,Virginia,1961,2,29.0,2.4,,,,,52.0,,,
Don Jacklich,,,,,Northern Illinois,1985,1,3.0,,0.3,0.7,,,,,,
Bill Jackman,Forward,80.0,203,,Nebraska,1987,3,82.0,6.1,3.9,1.2,44.7,,,,,
Bill Jackman,Forward,81.0,206,,Duke,1983,1,27.0,3.0,1.6,0.3,39.6,,100.0,,,
Jason Jackman,Center,81.0,206,,Utah and Idaho,1997,3,85.0,11.6,4.9,0.8,54.4,0.0,80.4,54.4,,
Phil Jackman,Forward,77.0,196,,Princeton,2000,2,,,,,,,,,,
Pete Jackmowski,,,,,North Carolina State,1951,2,21.0,0.8,,,36.8,,22.2,,,
Adom Jacko,Forward,80.0,225,,Loyola Marymount,2016,1,25.0,16.6,6.4,0.6,55.7,50.0,73.0,55.9,25.0,2.4
JIm Jackoniski,Forward,78.0,198,,Loyola (LA),1968,1,23.0,6.0,4.7,,40.7,,55.8,,,
Jim Jackoniski,,,,,Loyola (LA),1966,1,25.0,8.8,4.0,,41.0,,59.0,,,
Peyton Jacks,Guard,72.0,183,,Saint Louis,2008,3,9.0,0.1,0.6,0.1,0.0,0.0,50.0,0.0,,0.0
Ricky Jacks,Guard,76.0,193,,Lamar,1987,1,2.0,2.0,2.5,,66.7,,,,,
A.J. Jackson,Forward,78.0,198,,ETSU and Robert Morris,2008,4,97.0,15.0,7.1,1.0,44.7,37.8,77.8,50.0,,10.8
Aaron Jackson,Guard,76.0,193,,Duquesne,2009,4,120.0,11.9,4.5,4.2,52.1,34.2,77.2,57.3,,11.4
Aaron Jackson,Guard,80.0,215,Gahanna Lincoln HS,Akron,2017,3,90.0,3.3,1.5,0.4,39.1,34.6,60.8,50.0,11.1,2.3
Abe Jackson,Forward,79.0,201,,Boise State,2002,4,106.0,15.7,5.0,1.1,41.3,35.8,80.4,50.9,,11.6
Ahmad Jackson,Forward,81.0,206,,Hofstra,1997,2,49.0,6.3,4.0,0.1,50.4,100.0,58.0,50.6,,2.1
Akeli Jackson,Forward,80.0,203,,Long Beach State,1997,3,68.0,7.5,5.0,0.6,50.6,0.0,63.0,50.6,,
Albert Jackson,Forward,73.0,211,,Georgia,2010,4,114.0,3.5,3.4,0.4,49.8,,52.9,49.8,,4.1
Alex Jackson,Forward,77.0,215,Randallstown,Quinnipiac,2012,1,24.0,1.5,2.0,0.3,26.2,0.0,48.3,26.2,4.8,0.0
Alfrado Jackson,Forward,76.0,193,,Southeastern Louisiana,2001,2,55.0,9.7,4.9,2.3,50.4,11.1,65.7,50.9,,4.3
Allen Jackson,Guard,73.0,185,,Cincinnati,1993,3,93.0,7.5,2.4,2.3,39.5,33.5,67.9,44.8,,
Allen Jackson,Forward,78.0,198,,Wagner,1986,3,32.0,0.9,1.3,,39.3,,,,,
Almaad Jackson,Forward,81.0,206,,Alcorn State,2006,3,73.0,6.7,4.5,0.9,40.5,29.5,71.4,44.4,,2.9
Altron Jackson,Forward,78.0,198,,South Florida,2002,4,122.0,16.5,4.7,1.9,47.2,34.2,66.7,51.2,,13.3
Alvin Jackson,Guard,72.0,183,,Southern,1982,4,100.0,14.2,2.5,,49.6,,70.0,,,
Ameer Jackson,Guard,76.0,185,,Sam Houston State,2016,1,4.0,11.0,2.0,1.5,32.4,35.3,56.0,40.5,8.9,0.1
Andre Jackson,Center,73.0,285,,Cal State Bakersfield,2012,1,14.0,4.1,1.7,0.0,49.1,,45.5,49.1,15.0,0.1
Andre Jackson,Guard,73.0,185,,Louisiana Tech,1993,1,26.0,10.2,2.8,1.1,43.7,36.4,83.3,50.2,,
