player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Amath M'Baye,Forward,81.0,208,Stoneridge Prep (CA),Wyoming and Oklahoma,2013,3,84.0,9.7,4.9,0.7,46.8,20.0,66.0,48.4,14.7,4.1
Charlese Maag,Forward,76.0,193,,Rice,1992,2,42.0,13.8,3.7,1.3,44.0,39.9,78.0,52.4,,
Ryan Maag,Guard,72.0,183,,SMU,2009,1,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
Charles Maas,Guard,73.0,185,,Butler,1949,1,22.0,6.5,,,34.8,,62.0,,,
Ryan Maas,Guard,73.0,170,Pekin,Western Illinois,2017,2,7.0,0.6,0.4,0.0,22.2,0.0,,22.2,-5.3,-0.1
_ Maas,,,,,Butler,1948,1,,,,,,,,,,
Craig Maass,Forward,77.0,196,,Valparaiso,1981,4,86.0,4.8,1.8,,47.9,,51.9,,,
Tom Maayan,Guard,74.0,175,Canaris Basketball Academy (Spain),Seton Hall,2014,2,43.0,1.9,1.6,3.0,36.1,28.6,41.4,42.2,3.7,-0.4
Nick Mabbutt,Forward,73.0,225,,South Dakota,2012,1,8.0,1.8,2.1,0.9,29.4,28.6,0.0,41.2,4.7,-0.1
Mike Maben,,,,,Idaho,1982,2,22.0,1.0,0.6,0.2,34.8,,83.3,,,
Ron Maben,Center,78.0,198,,Idaho,1981,2,56.0,8.1,5.5,1.5,60.3,,70.2,,,
Scott Mabey,Center,,,,Colorado State,1988,2,,,,,,,,,,
Leroy Mabins,Forward,81.0,206,,Duquesne,1993,3,39.0,0.5,0.7,0.2,,,,,,
LeRoy Mabins,Forward,81.0,206,,Duquesne,1990,1,1.0,0.0,2.0,1.0,,,,,,
Tony Mabrey,Guard,75.0,190,,Alabama-Birmingham,1980,1,11.0,2.2,0.5,0.6,40.7,,66.7,,,
Guy Mabry,Forward,72.0,183,,Kansas,1950,3,,,,,,,,,,
