Player,Pos,Shooting_hand,Height_inches,Weight_lbs,College,Draft_year,Draft_position,Season_count,Age,G,GS,MP,FG,FGA,FG_PERC,THREE_P,THREE_PA,THREE_PERC,TWO_P,TWO_PA,TWO_PERC,EFG_PERC,FT,FTA,FT_PERC,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ALL_STAR,PER,WS,SALARY
A.J. Hammons,C,Right,84,260,Purdue University,2016,46,1,24,22,0,163,17,42,0.405,5,10,0.5,12,32,0.375,0.464,9,20,0.45,8,28,36,4,1,13,10,21,48,0,8.4,0,650000
Aaron Brooks,PG,Right,72,161,University of Oregon,2007,26,15,32,65,0,894,121,300,0.403,48,128,0.375,73,172,0.424,0.483,32,40,0.8,18,51,69,125,25,9,66,93,322,0,9.5,0.3,2700000
Aaron Gordon,SF,Right,81,220,University of Arizona,2014,4,3,21,80,72,2298,393,865,0.454,77,267,0.288,316,598,0.528,0.499,156,217,0.719,116,289,405,150,65,40,89,172,1019,0,14.5,3.7,4351320
Aaron Harrison,SG,Right,78,210,University of Kentucky,0,0,2,22,5,0,17,0,4,0,0,2,0,0,2,0,0,1,2,0.5,0,3,3,3,0,0,0,2,1,0,2.2,0.1,9375579
Adreian Payne,PF,Right,82,237,Michigan State University,2014,15,5,25,18,0,135,23,54,0.426,3,15,0.2,20,39,0.513,0.454,14,19,0.737,9,24,33,7,8,7,8,32,63,0,14.4,0.2,2022240
Al Horford,C,Right,82,245,no_college,2007,3,10,30,68,68,2193,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,370,465,337,52,86,115,138,952,1,17.7,6.3,26540100
Al Jefferson,C,Right,82,289,no_college,2004,15,13,32,66,1,931,235,471,0.499,0,1,0,235,470,0.5,0.499,65,85,0.765,75,203,278,57,19,16,33,125,535,0,18.9,2.3,10230179
Al-Farouq Aminu,SF,Right,81,220,Wake Forest University,2010,8,7,26,61,25,1773,183,466,0.393,70,212,0.33,113,254,0.445,0.468,96,136,0.706,77,374,451,99,60,44,94,102,532,0,11.3,1.9,7680965
Alan Anderson,SF,Right,78,220,Michigan State University,0,0,8,34,30,0,308,30,80,0.375,14,44,0.318,16,36,0.444,0.463,12,16,0.75,3,21,24,11,3,0,7,35,86,0,5,0.1,1315448
Alan Williams,C,Right,80,260,"University of California, Santa Barbara",0,0,2,24,47,0,708,138,267,0.517,0,1,0,138,266,0.519,0.517,70,112,0.625,94,198,292,23,27,32,37,125,346,0,19.5,2.1,6874636
Alec Burks,SG,Right,78,214,University of Colorado,2011,12,6,25,42,0,653,99,248,0.399,25,76,0.329,74,172,0.43,0.45,60,78,0.769,17,103,120,30,18,5,35,50,283,0,11.6,0.8,10154495
Alex Abrines,SG,Right,78,190,no_college,2013,32,1,23,68,6,1055,134,341,0.393,94,247,0.381,40,94,0.426,0.531,44,49,0.898,18,68,86,40,37,8,33,114,406,0,10.1,2.1,5994764
Alex Len,C,Right,85,260,University of Maryland,2013,5,4,23,77,34,1560,230,463,0.497,3,12,0.25,227,451,0.503,0.5,150,208,0.721,156,354,510,44,38,98,102,242,613,0,15,3,4823621
Alex Poythress,PF,Right,79,238,University of Kentucky,0,0,1,23,6,1,157,25,54,0.463,6,19,0.316,19,35,0.543,0.519,8,10,0.8,11,18,29,5,3,2,3,14,64,0,13.2,0.3,8135381
Alexis Ajinca,C,Right,86,248,no_college,2008,20,9,28,39,15,584,89,178,0.5,0,4,0,89,174,0.511,0.5,29,40,0.725,46,131,177,12,20,22,31,77,207,0,12.9,1,4600000
Allen Crabbe,SG,Right,78,210,University of California,2013,31,4,24,79,7,2254,303,647,0.468,134,302,0.444,169,345,0.49,0.572,105,124,0.847,19,207,226,94,54,20,62,171,845,0,11.6,4.2,18500000
Alonzo Gee,SF,Right,78,225,University of Alabama,0,0,13,29,13,0,89,3,14,0.214,0,3,0,3,11,0.273,0.214,5,9,0.556,4,11,15,6,5,1,4,14,11,0,3.1,0.1,7495227
Amir Johnson,PF,Right,81,240,no_college,2005,56,12,29,80,77,1608,213,370,0.576,27,66,0.409,186,304,0.612,0.612,67,100,0.67,118,248,366,140,51,62,77,211,520,0,15,5,12000000
