player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Arnie Gaarde,Guard,61.0,178,,Iowa State,1956,3,39.0,3.6,1.3,,40.5,,59.3,,,
John Gaball,Guard,61.0,180,,Long Beach State,1969,1,16.0,2.1,0.7,,41.7,,75.0,,,
Chris Gabbard,Guard,75.0,190,,South Florida,1988,3,24.0,0.8,0.4,0.8,21.4,,,,,
Mike Gabbard,Guard,72.0,180,,Western Kentucky,2011,1,12.0,0.2,0.0,0.4,50.0,0.0,50.0,50.0,5.2,0.0
Stephen Gabbard,Guard,76.0,193,,Eastern Kentucky,2005,1,7.0,1.6,1.0,0.6,25.0,9.1,100.0,28.1,,-0.1
Scott Gabbert,Guard,75.0,190,,Southern Illinois,1992,2,19.0,1.1,,,28.6,30.8,100.0,38.1,,
John Gabbey,,,,,Canisius,1960,1,17.0,1.3,2.3,,25.0,,40.0,,,
Travis Gabbidon,Forward,79.0,201,,UTSA,2009,2,46.0,13.0,6.2,1.6,40.8,30.2,71.6,45.9,,4.1
Jim Gabel,,,,,Wyoming,1970,1,2.0,,2.0,,,,,,,
Randy Gabler,Center,81.0,206,,Cornell,2002,3,56.0,2.4,1.9,0.8,40.8,22.2,55.8,42.3,,0.9
Bill Gabor,,,,,Syracuse,1948,1,23.0,15.0,,,,,65.2,,,
Desire Gabou,Guard,74.0,188,,Western Kentucky,2008,2,26.0,0.2,0.2,0.1,25.0,0.0,0.0,25.0,,-0.1
Andrew Gabriel,Forward,78.0,230,,Manhattan,2011,4,122.0,4.7,3.8,0.8,40.7,0.0,47.2,40.7,,2.1
Byron Gabriel,Guard,74.0,188,,Southern,1986,2,57.0,13.9,2.4,3.5,52.5,,71.2,,,
Chris Gabriel,Center,73.0,275,,New Mexico State and San Diego,2011,2,57.0,4.6,2.9,0.2,48.4,,65.0,48.4,,0.9
