player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Ali Kaba,Forward,80.0,203,,UNLV and Jacksonville,2002,3,56.0,3.2,5.4,0.2,49.3,,46.2,49.3,,2.4
Chris Kaba,Forward,80.0,185,,Northern Colorado,2011,3,93.0,7.4,3.8,1.0,42.4,42.7,75.7,51.9,,6.6
Daye Kaba,Guard,76.0,193,,Boston College and Marist,2010,3,44.0,5.9,3.3,1.1,39.2,34.0,65.6,45.8,,0.8
Jacky Kaba,Center,,,,Seton Hall,1998,4,98.0,5.1,5.2,0.3,43.5,,52.3,43.5,,
Lounceny Kaba,Forward,80.0,203,,St. Bonaventure,2007,1,17.0,0.8,1.8,0.2,60.0,,16.7,60.0,,0.1
Mahamadou Kaba-Camara,Center,84.0,273,Balboa City School,Cal State Northridge,2017,1,25.0,1.0,1.5,0.0,57.9,,22.2,57.9,6.4,0.2
Link Kabadyundi,Center,85.0,240,Alma Academy,Texas Christian and Texas-Arlington,2017,2,46.0,1.2,1.3,0.1,54.1,,41.5,54.1,11.0,0.4
Mike Kabat,Center,81.0,206,,Western Michigan,1981,3,,,,,,,,,,
Mike Kabat,Forward,,,,Purdue,1978,2,13.0,0.6,,,44.4,,,,,
Abby Kabba,Forward,78.0,198,,New Hampshire,2009,1,9.0,2.4,2.0,0.1,41.2,0.0,42.1,41.2,,0.1
Sheiku Kabba,Guard,75.0,190,,Providence,2004,4,122.0,7.6,2.3,1.9,41.0,35.0,76.2,51.0,,7.6
John Kabbes,Forward,,,,Rice,1974,3,77.0,7.6,4.9,,41.8,,66.1,,,
Khy Kabellis,Guard,75.0,170,Escondido HS,North Dakota State,2017,2,62.0,9.9,2.9,2.5,40.4,35.3,68.9,49.0,11.9,4.0
Eugene Kaberline,Forward,77.0,196,,Texas Tech,1973,2,44.0,2.3,2.8,,43.4,,48.4,,,
Christian Kabongo,Guard,76.0,200,Central Commerce,New Mexico State,2012,2,44.0,10.3,3.0,2.7,37.8,21.6,72.7,41.0,12.4,2.0
Kabeya Kabongo,Forward,76.0,193,,St. Peter's,2010,2,20.0,0.3,0.5,0.2,20.0,0.0,0.0,20.0,,-0.3
Myck Kabongo,Guard,73.0,180,St. Benedict's Prep (NJ),Texas,2013,2,45.0,10.8,3.5,5.3,40.0,31.1,71.5,44.8,16.5,4.1
Francis Kabore,Forward,79.0,201,,Tennessee Tech,2007,2,63.0,3.9,2.8,0.5,46.8,,47.9,46.8,,1.9
Yves Kabore,Guard,72.0,183,,Wagner,2002,4,112.0,5.9,1.6,2.4,35.4,37.3,78.9,48.2,,4.4
Michael Kach,Guard,76.0,193,,Penn,2008,3,53.0,4.2,2.0,0.9,40.5,32.7,75.8,45.5,,1.3
Edwin Kachan,Forward,,,,DePaul,1948,1,30.0,11.7,,,,,69.9,,,
Kevin Kachan,Guard,73.0,185,,Northwestern,1974,3,67.0,4.9,1.4,2.3,38.6,,67.8,,,
Greg Kachinski,Forward,77.0,196,,Penn,2006,1,9.0,0.4,1.2,0.0,28.6,0.0,,28.6,,0.0
Phil Kachinsky,Guard,65.0,165,,Boston University,1963,1,3.0,0.7,0.7,,,,100.0,,,
Dennis Kachovec,,,,,Niagara,1970,1,2.0,2.0,1.0,,100.0,,,,,
George Kachulis,,,,,Bucknell,1979,1,3.0,,0.7,0.3,,,,,,
Mark Kachur,,,,,Purdue,1963,1,,,,,,,,,,
Mindaugas Kacinas,Forward,79.0,228,Word of Life Fire Traditional School,South Carolina,2016,4,132.0,6.7,4.8,0.6,53.2,29.9,67.1,56.0,14.3,9.0
Jim Kaczmarek,Center,81.0,206,,Idaho,1978,1,18.0,2.8,2.2,,43.8,,57.1,,,
Kevin Kaczmarek,,,,,Army,1981,1,7.0,0.3,0.3,,100.0,,,,,
Walter Kaczmarek,Center,81.0,206,,Stetson,1981,3,70.0,3.7,3.4,,50.5,,62.2,,,
Tom Kaczor,Forward,75.0,190,,Temple,1964,1,1.0,4.0,3.0,,40.0,,,,,
_ Kadday,,,,,St. Francis (NY),1965,1,16.0,13.3,5.9,,45.6,,66.3,,,
Tom Kadden,,,,,DePaul,1993,1,4.0,0.0,0.2,0.0,0.0,,,0.0,,
