player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Mike La Tulip,Guard,73.0,170,Prospect HS,Illinois and Wright State,2017,4,76.0,3.7,1.4,0.7,39.0,38.1,85.3,53.8,12.7,3.1
Terry Laaker,Guard,,,,Bradley,1979,4,77.0,2.7,1.5,2.2,47.9,,73.9,,,
Dan Laakso,Forward,,,,UMass,1962,1,11.0,3.7,3.1,,32.1,,71.4,,,
Choul Laam,,,,,Nebraska,2007,1,5.0,0.4,0.2,0.0,,,100.0,,,0.0
Ed Laase,,,,,Rutgers,1968,1,3.0,0.3,,,,,50.0,,,
Dan Laaskoo,Forward,76.0,193,,UMass,1963,1,19.0,3.6,3.0,,34.1,,65.0,,,
Justin Labagh,Forward,,,,University of California,1998,3,17.0,0.2,0.2,0.1,,,,,,0.0
Ken Labanowski,Forward,80.0,203,,Marshall,1981,4,107.0,10.9,7.0,,55.5,,69.0,,,
_ Labanowski,,,,,St. Francis (NY),1948,1,,,,,,,,,,
Darryl Labarrie,Guard,75.0,190,,Florida A&M and Georgia Tech,2001,4,99.0,6.2,1.9,1.3,43.1,30.2,67.6,47.6,,2.5
Mike Labat,Forward,,,,UC-Irvine,1990,3,63.0,6.1,2.6,1.8,44.9,,70.6,45.1,,
Mike Labat,Forward,77.0,196,,Idaho,1986,1,22.0,3.5,1.7,1.6,42.6,,59.4,,,
Jack Labate,,,,,Siena,1951,1,19.0,5.0,4.4,0.4,28.8,,62.8,,,
Rob Labetich,Guard,,,,San Jose State,1964,1,22.0,5.4,1.7,,40.6,,67.9,,,
Ron LaBetich,,,,,San Jose State,1965,2,,,,,,,,,,
Artur Labinowicz,Guard,76.0,190,David W. Butler High School,Coastal Carolina,2017,1,39.0,6.5,3.9,1.0,39.8,39.6,68.7,50.0,11.6,1.6
Skal Labissiere,Forward,73.0,225,Evangelical Christian (TN) / Lausanne Collegiate (TN),Kentucky,2016,1,36.0,6.6,3.1,0.3,51.6,0.0,66.1,51.6,18.5,2.0
Gene Labonia,,,,,Maryland,1968,1,7.0,0.6,0.4,,,,80.0,,,
Jael Laborn,Forward,77.0,196,,Coastal Carolina,2006,1,8.0,0.0,0.2,0.5,0.0,0.0,,0.0,,-0.1
