player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Alaa Abdelnaby,Power Forward,Right,82,240,Duke University,1990,25,9,49.0,no_current_team,256.0,53.0,12.5,5.7,2.4,4.8,0.502,0.0,0.0,0.0,2.4,4.8,0.503,0.502,0.9,1.3,0.701,1.1,2.2,3.3,0.3,0.3,0.3,1.0,1.9,0,13.0,4.8,650000.0,1994,PHI
Zaid Abdul-Aziz,Center and Power Forward,Right,81,235,Iowa State University,1968,5,14,71.0,no_current_team,505.0,,21.8,9.0,3.5,8.2,0.428,,,,3.5,8.2,0.428,0.428,2.0,2.8,0.728,2.4,5.4,8.0,1.2,0.6,1.0,0.9,2.2,0,15.1,17.5,not_listed,not_listed,HOU
Kareem Abdul-Jabbar,Center,Right,86,225,"University of California, Los Angeles",1969,,20,70.0,no_current_team,1560.0,625.0,36.8,24.6,10.2,18.1,0.559,0.0,0.0,0.056,10.2,18.1,0.56,0.559,4.3,6.0,0.721,2.4,7.6,11.2,3.6,0.9,2.6,2.7,3.0,1,24.6,273.4,3000000.0,1988,LAL
Mahmoud Abdul-Rauf,Point Guard,Right,73,162,Louisiana State University,1990,3,9,48.0,no_current_team,586.0,336.0,26.7,14.6,6.0,13.6,0.442,0.8,2.3,0.354,5.2,11.3,0.46,0.472,1.8,2.0,0.905,0.4,1.5,1.9,3.5,0.8,0.1,1.6,1.9,0,15.4,25.2,798500.0,2000,VAN
Tariq Abdul-Wahad,Shooting Guard,Right,78,223,San Jose State University,1997,11,10,43.0,no_current_team,236.0,145.0,20.4,7.8,3.1,7.3,0.417,0.1,0.3,0.237,3.0,7.0,0.425,0.422,1.6,2.2,0.703,1.2,2.1,3.3,1.1,0.8,0.4,1.3,2.1,0,11.4,3.5,1968750.0,2006,DAL
Shareef Abdur-Rahim,Center and Power Forward and Small Forward,Right,81,225,University of California,1996,3,14,41.0,no_current_team,830.0,704.0,34.8,18.1,6.5,13.9,0.472,0.2,0.6,0.297,6.4,13.2,0.48,0.479,4.8,6.0,0.81,2.3,5.3,7.5,2.5,1.0,0.8,2.6,2.8,1,19.0,71.2,6600000.0,2009,SAC
Tom Abernethy,Power Forward and Small Forward,Right,79,220,Indiana University,1976,43,7,63.0,no_current_team,319.0,,17.0,5.6,2.3,4.6,0.492,0.0,0.0,0.0,2.3,4.6,0.493,0.492,1.0,1.4,0.747,1.2,2.0,3.2,1.2,0.6,0.2,0.5,1.6,0,12.9,13.4,not_listed,not_listed,IND
John Abramovic,Forward,Right,75,195,Salem International University,not_drafted,not_drafted,8,98.0,no_current_team,56.0,,,9.5,3.6,15.3,0.237,,,,3.6,15.3,0.237,0.237,2.3,3.3,0.686,,,,0.7,,,,3.1,0,,-1.9,not_listed,not_listed,BAA
Alex Abrines,Shooting Guard,Right,78,190,no_college,2013,32,1,24.0,Oklahoma City Thunder,68.0,6.0,15.5,6.0,2.0,5.0,0.393,1.4,3.6,0.381,0.6,1.4,0.426,0.531,0.6,0.7,0.898,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,0,10.1,2.1,5994764.0,2016,OKC
Alex Acker,Shooting Guard,Right,77,185,Pepperdine University,2005,60,4,34.0,no_current_team,30.0,0.0,7.8,2.7,1.1,3.1,0.37,0.3,0.8,0.32,0.9,2.2,0.388,0.413,0.2,0.3,0.5,0.3,0.7,1.0,0.5,0.2,0.1,0.4,0.4,0,8.5,-0.2,7711517.0,2008,LAC
Don Ackerman,Point Guard,Right,72,183,Long Island University,1953,1953,1,87.0,no_current_team,28.0,,7.9,1.5,0.5,2.3,0.222,,,,0.5,2.3,0.222,0.222,0.5,1.0,0.536,,,0.5,0.8,,,,1.5,0,1.0,-0.6,not_listed,not_listed,NYK
Mark Acres,Center,Right,83,220,Oral Roberts University,1985,40,8,55.0,no_current_team,375.0,68.0,16.0,3.6,1.4,2.7,0.506,0.0,0.0,0.538,1.4,2.7,0.505,0.509,0.8,1.2,0.665,1.5,2.5,4.1,0.5,0.4,0.3,0.6,2.5,0,9.0,9.3,250000.0,1992,WSB
Bud Acton,Small Forward,Right,78,210,Hillsdale College,not_drafted,not_drafted,1,75.0,no_current_team,23.0,,8.5,3.3,1.3,3.2,0.392,,,,1.3,3.2,0.392,0.392,0.8,1.3,0.655,,,2.0,0.5,,,,1.5,0,9.5,0.1,not_listed,not_listed,SDR
Quincy Acy,Small Forward and Power Forward,Right,79,240,Baylor University,2012,37,9,27.0,Brooklyn Nets,257.0,52.0,15.2,4.7,1.7,3.6,0.482,0.3,0.8,0.366,1.4,2.8,0.517,0.525,0.9,1.2,0.75,1.0,2.5,3.5,0.6,0.4,0.4,0.6,1.9,0,12.5,7.8,1050961.0,2016,BRK
Alvan Adams,Power Forward and Center,Right,81,210,University of Oklahoma,1975,4,13,63.0,no_current_team,988.0,342.0,27.5,14.1,5.8,11.6,0.498,0.0,0.0,0.133,5.8,11.6,0.498,0.498,2.5,3.2,0.788,2.0,5.0,7.0,4.1,1.3,0.8,2.6,3.3,1,18.3,73.5,675000.0,1987,PHO
Don Adams,Small Forward,Right,78,210,Northwestern University,1970,120,19,70.0,no_current_team,36.0,,29.6,10.1,3.9,9.7,0.404,0.0,0.1,0.0,3.9,9.6,0.408,0.404,2.2,2.9,0.762,1.8,3.3,5.1,3.9,1.4,0.3,2.2,3.3,0,10.7,11.7,not_listed,not_listed,BUF
George Adams,Small Forward,Right,77,210,Gardner-Webb University,1972,46,6,68.0,no_current_team,215.0,,18.2,7.7,3.3,6.7,0.497,0.0,0.1,0.235,3.3,6.6,0.5,0.499,1.0,1.3,0.794,1.5,2.6,4.1,1.5,0.6,0.4,1.4,1.7,0,14.0,6.6,not_listed,not_listed,ABA
Hassan Adams,Shooting Guard,Right,76,220,University of Arizona,2006,54,2,33.0,no_current_team,73.0,8.0,7.5,2.5,1.1,2.0,0.534,0.0,0.0,0.0,1.1,2.0,0.537,0.534,0.4,0.6,0.643,0.5,0.7,1.2,0.2,0.2,0.1,0.4,0.7,0,11.8,0.8,3297163.0,2008,TOR
Jordan Adams,Shooting Guard,Right,77,209,"University of California, Los Angeles",2014,22,2,23.0,no_current_team,32.0,0.0,8.2,3.2,1.2,2.9,0.402,0.3,0.8,0.385,0.8,2.1,0.409,0.457,0.5,0.9,0.607,0.3,0.7,0.9,0.6,0.6,0.2,0.5,0.8,0,13.1,0.4,1465080.0,2016,MEM
Michael Adams,Point Guard,Right,70,162,Boston College,1985,66,11,54.0,no_current_team,653.0,510.0,31.3,14.7,5.0,12.0,0.415,1.5,4.4,0.332,3.5,7.6,0.462,0.475,3.3,3.9,0.849,0.6,2.3,2.9,6.4,1.7,0.1,2.1,1.8,1,16.6,46.9,1240000.0,1994,CHH
Steven Adams,Center,Right,84,255,no_college,2013,12,4,24.0,Oklahoma City Thunder,311.0,247.0,23.7,7.5,3.0,5.4,0.568,0.0,0.0,0.0,3.0,5.3,0.569,0.568,1.5,2.6,0.571,2.7,3.7,6.4,0.8,0.7,1.0,1.3,2.7,0,14.8,19.9,3140517.0,2016,OKC
Rafael Addison,Small Forward,Right,79,215,Syracuse University,1986,39,6,53.0,no_current_team,379.0,54.0,15.0,5.8,2.4,5.4,0.449,0.2,0.6,0.282,2.2,4.8,0.472,0.466,0.7,0.9,0.772,0.7,1.4,2.1,0.9,0.4,0.2,0.7,1.8,0,10.5,4.9,290000.0,1996,CHH
Rick Adelman,Point Guard,Right,73,175,Loyola Marymount University,1968,79,10,71.0,no_current_team,462.0,,22.6,7.7,3.0,7.2,0.415,,,,3.0,7.2,0.415,0.415,1.8,2.5,0.713,0.4,1.1,2.4,3.5,0.9,0.1,,2.1,0,11.3,10.0,not_listed,not_listed,KCO
Jeff Adrien,Power Forward,Right,79,245,University of Connecticut,not_drafted,not_drafted,7,31.0,no_current_team,153.0,17.0,14.0,4.6,1.7,3.6,0.474,0.0,0.0,0.0,1.7,3.6,0.476,0.474,1.2,1.9,0.628,1.4,2.9,4.3,0.7,0.3,0.5,0.6,1.7,0,15.0,4.4,4981084.0,2014,MIN
Arron Afflalo,Small Forward and Shooting Guard,Right,77,210,"University of California, Los Angeles",2007,27,12,32.0,Orlando Magic,709.0,534.0,28.4,11.3,4.1,9.1,0.451,1.2,3.0,0.386,3.0,6.1,0.483,0.515,1.9,2.3,0.825,0.5,2.5,3.0,1.9,0.5,0.2,1.2,2.0,0,12.1,33.3,12500000.0,2016,SAC
Maurice Ager,Shooting Guard,Right,77,202,Michigan State University,2006,28,6,33.0,no_current_team,82.0,4.0,6.2,2.1,0.8,2.3,0.339,0.1,0.5,0.25,0.6,1.8,0.366,0.368,0.4,0.6,0.566,0.1,0.5,0.6,0.2,0.1,0.1,0.4,0.8,0,2.8,-0.9,583305.0,2010,MIN
Mark Aguirre,Small Forward,Right,78,232,DePaul University,1981,1,15,58.0,no_current_team,923.0,639.0,30.0,20.0,7.8,16.1,0.484,0.4,1.4,0.312,7.4,14.7,0.5,0.498,4.0,5.4,0.741,1.8,3.1,5.0,3.1,0.7,0.3,2.5,2.8,1,19.0,67.8,150000.0,1993,LAC
Blake Ahearn,Point Guard,Right,74,190,Missouri State University,not_drafted,not_drafted,3,33.0,no_current_team,19.0,0.0,11.9,4.6,1.1,4.1,0.273,0.7,2.5,0.298,0.4,1.6,0.233,0.364,1.7,1.7,0.97,0.1,1.1,1.2,1.2,0.4,0.0,1.2,1.4,0,7.2,-0.2,2125562.0,2008,UTA
Danny Ainge,Shooting Guard and Point Guard,Right,76,175,Brigham Young University,1981,31,16,58.0,no_current_team,1042.0,508.0,26.6,11.5,4.5,9.5,0.469,1.0,2.5,0.378,3.5,7.0,0.502,0.519,1.6,1.9,0.846,0.7,2.0,2.7,4.0,1.1,0.1,1.5,2.4,1,14.7,71.5,2080000.0,1994,PHO
Matthew Aitch,Power Forward,Right,79,230,Michigan State University,1967,135,2,73.0,no_current_team,45.0,,14.2,5.6,2.2,5.5,0.405,0.0,0.0,0.0,2.2,5.4,0.408,0.405,1.2,1.7,0.675,,,3.6,0.4,,,0.8,1.5,0,11.9,0.5,not_listed,not_listed,ABA
Alexis Ajinca,Power Forward and Center,Right,86,248,no_college,2008,20,9,29.0,New Orleans Pelicans,293.0,76.0,13.3,5.3,2.2,4.4,0.503,0.0,0.1,0.286,2.2,4.2,0.51,0.507,0.9,1.1,0.797,1.2,2.7,3.9,0.5,0.3,0.6,0.8,2.3,0,14.9,7.5,4600000.0,2016,NOP
Henry Akin,Power Forward and Center,Right,82,225,Morehead State University,1966,11,4,73.0,no_current_team,2.0,,12.5,2.0,0.5,2.0,0.25,0.0,1.0,0.0,0.5,1.0,0.5,0.25,1.0,1.5,0.667,0.0,2.0,2.0,0.5,,,2.0,0.0,0,7.4,-1.2,not_listed,not_listed,ABA
Josh Akognon,Point Guard,Right,71,185,"California State University, Fullerton",not_drafted,not_drafted,1,31.0,no_current_team,3.0,0.0,3.0,1.7,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,0,15.3,0.0,2788872.0,2013,DAL
Solomon Alabi,Center,Right,85,251,Florida State University,2010,50,2,29.0,no_current_team,26.0,0.0,7.0,1.5,0.6,2.0,0.314,0.0,0.0,,0.6,2.0,0.314,0.314,0.3,0.4,0.7,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,0,10.3,0.0,830000.0,2011,TOR
Mark Alarie,Power Forward,Right,80,217,Duke University,1986,18,5,54.0,no_current_team,325.0,41.0,16.9,7.5,3.2,6.7,0.475,0.1,0.4,0.252,3.1,6.3,0.49,0.483,1.0,1.3,0.775,1.3,2.1,3.4,1.1,0.4,0.3,1.0,2.2,0,13.0,8.4,550000.0,1991,WSB
Gary Alcorn,Center,Right,81,225,"California State University, Fresno",1959,16,2,81.0,no_current_team,78.0,,10.8,3.3,1.3,4.5,0.293,,,,1.3,4.5,0.293,0.293,0.7,1.2,0.598,,,4.2,0.3,,,,2.2,0,6.5,-1.3,not_listed,not_listed,LAL
Furkan Aldemir,Power Forward,Right,82,240,no_college,2012,53,1,26.0,no_current_team,41.0,9.0,13.2,2.3,1.0,1.9,0.513,0.0,0.1,0.0,1.0,1.8,0.548,0.513,0.3,0.7,0.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,0,12.0,1.4,3000000.0,2015,PHI
Cole Aldrich,Center,Right,83,250,University of Kansas,2010,11,9,29.0,Minnesota Timberwolves,318.0,23.0,10.5,3.3,1.4,2.5,0.531,0.0,0.0,,1.4,2.5,0.531,0.531,0.6,0.7,0.748,1.0,2.5,3.5,0.6,0.4,0.7,0.6,1.6,0,16.8,9.6,7643979.0,2016,MIN
LaMarcus Aldridge,Center and Power Forward,Right,83,260,University of Texas at Austin,2006,2,11,32.0,San Antonio Spurs,794.0,753.0,34.7,19.1,7.8,15.9,0.486,0.1,0.4,0.287,7.6,15.6,0.491,0.49,3.4,4.3,0.802,2.6,5.7,8.3,1.9,0.8,1.0,1.6,2.5,1,20.3,86.7,20575005.0,2016,SAS
Chuck Aleksinas,Center,Right,83,260,University of Connecticut,1982,76,1,58.0,no_current_team,74.0,4.0,15.1,5.1,2.2,4.6,0.478,0.0,0.0,0.0,2.2,4.5,0.479,0.478,0.7,1.0,0.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,0,9.1,0.4,not_listed,not_listed,GSW
