player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Chris Babb,Shooting Guard,Right,77,225,Iowa State University,not_drafted,not_drafted,1,27.0,no_current_team,14.0,0.0,9.4,1.6,0.6,2.1,0.267,0.4,1.9,0.222,0.1,0.2,0.667,0.367,0.0,0.0,,0.3,0.9,1.2,0.2,0.4,0.0,0.2,0.9,0,3.7,0.0,2848028.0,2014,BOS
Luke Babbitt,Power Forward and Small Forward,Left,81,225,"University of Nevada, Reno",2010,16,7,28.0,Atlanta Hawks,331.0,93.0,13.9,4.7,1.7,4.2,0.406,1.0,2.5,0.406,0.7,1.7,0.405,0.527,0.3,0.4,0.743,0.3,2.0,2.3,0.6,0.2,0.2,0.4,1.4,0,10.1,6.3,1227000.0,2016,MIA
Milos Babic,Center and Power Forward,Right,84,240,Tennessee Technological University,1990,50,2,49.0,no_current_team,21.0,0.0,4.1,1.8,0.6,1.5,0.375,0.0,0.0,,0.6,1.5,0.375,0.375,0.6,1.0,0.65,0.4,0.6,1.0,0.5,0.1,0.0,0.5,0.3,0,10.9,-0.1,200000.0,1990,MIA
Henry Bacon,Shooting Guard,Right,75,205,University of Louisville,1972,93,2,69.0,no_current_team,47.0,,9.0,3.5,1.3,3.5,0.366,0.0,0.2,0.2,1.2,3.3,0.377,0.372,0.9,1.6,0.603,0.9,0.9,1.7,0.8,,,1.4,1.5,0,4.3,-0.1,not_listed,not_listed,ABA
Jim Baechtold,Small Forward,Right,76,205,Eastern Kentucky University,1952,2,5,90.0,no_current_team,321.0,,25.7,9.7,3.5,9.0,0.388,,,,3.5,9.0,0.388,0.388,2.8,3.5,0.783,,,3.1,2.1,,,,2.5,0,13.1,14.8,not_listed,not_listed,NYK
Dalibor Bagaric,Center,Right,85,255,no_college,2000,24,3,37.0,no_current_team,95.0,0.0,10.2,2.6,1.0,2.8,0.361,0.0,0.0,0.0,1.0,2.8,0.363,0.361,0.6,1.1,0.559,0.9,1.6,2.5,0.4,0.3,0.5,0.8,1.7,0,7.0,-0.9,1599076.0,2003,CHI
John Bagley,Point Guard,Right,72,185,Boston College,1982,12,11,57.0,no_current_team,665.0,401.0,25.7,8.7,3.5,8.1,0.437,0.2,0.7,0.241,3.4,7.4,0.456,0.448,1.5,1.9,0.779,0.6,2.0,2.6,6.0,1.1,0.1,2.3,1.6,0,13.0,16.6,600000.0,1993,ATL
Carl Bailey,Center,Right,84,210,Tuskegee University,1980,66,1,59.0,no_current_team,1.0,0.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,-6.8,0.0,not_listed,not_listed,POR
Gus Bailey,Shooting Guard,Right,77,185,University of Texas at El Paso,1974,23,5,66.0,no_current_team,147.0,,9.2,2.6,1.1,2.6,0.406,0.1,0.1,1.0,1.1,2.6,0.405,0.408,0.5,1.0,0.51,0.6,1.0,1.7,1.1,0.4,0.3,0.6,1.0,0,11.3,0.8,not_listed,not_listed,WSB
James Bailey,Power Forward,Right,81,220,Rutgers University,1979,6,13,60.0,no_current_team,595.0,105.0,19.5,8.8,3.4,7.1,0.484,0.0,0.0,0.077,3.4,7.1,0.485,0.484,1.9,2.8,0.703,1.7,3.3,5.0,0.8,0.5,0.9,1.8,3.3,0,13.0,16.3,300000.0,1987,PHO
