player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Mike D'Antoni,Shooting Guard,Right,75,185,Marshall University,1973,20,8,66.0,no_current_team,50.0,,16.0,3.5,1.5,3.2,0.475,0.0,0.1,0.0,1.5,3.2,0.487,0.475,0.4,0.5,0.731,0.3,1.2,1.5,2.3,1.3,0.3,0.9,2.7,0,10.2,2.0,not_listed,not_listed,SAS
Mike Dabich,Center,Right,84,242,New Mexico State University,1966,60,6,75.0,no_current_team,10.0,,4.9,2.0,0.8,1.2,0.667,0.0,0.0,,0.8,1.2,0.667,0.667,0.4,0.9,0.444,,,1.3,0.2,,,0.5,1.2,0,12.0,0.2,not_listed,not_listed,ABA
Ed Dahler,Forward,Left,77,190,Duquesne University,1950,1950,1,91.0,no_current_team,14.0,,8.0,2.5,1.0,2.7,0.368,,,,1.0,2.7,0.368,0.368,0.5,0.5,1.0,,,1.6,0.4,,,,1.1,0,10.3,0.1,not_listed,not_listed,PHW
Quintin Dailey,Shooting Guard,Right,75,180,University of San Francisco,1982,7,10,56.0,no_current_team,528.0,140.0,23.0,14.1,5.6,12.2,0.454,0.0,0.3,0.158,5.5,12.0,0.461,0.456,3.0,3.8,0.779,0.8,1.7,2.5,2.3,0.9,0.1,1.9,2.3,0,15.1,12.7,425000.0,1991,SEA
Samuel Dalembert,Center,Right,83,255,Seton Hall University,2001,26,13,36.0,no_current_team,886.0,694.0,24.4,7.7,3.2,6.1,0.521,0.0,0.0,0.083,3.2,6.1,0.522,0.521,1.3,1.9,0.706,2.6,5.3,7.8,0.5,0.5,1.7,1.4,2.9,0,15.4,51.3,1499187.0,2015,NYK
Howie Dallmar,Forward,Right,76,200,Stanford University,not_drafted,not_drafted,6,95.0,no_current_team,146.0,,,9.6,3.6,12.6,0.283,,,,3.6,12.6,0.283,0.283,2.5,3.6,0.698,,,,2.3,,,,2.6,0,,15.1,not_listed,not_listed,BAA
Erick Dampier,Center,Right,83,265,Mississippi State University,1996,10,16,42.0,no_current_team,987.0,771.0,24.3,7.4,2.8,5.7,0.498,0.0,0.0,0.125,2.8,5.7,0.499,0.498,1.8,2.8,0.626,2.8,4.3,7.1,0.8,0.3,1.4,1.5,2.9,0,14.3,52.7,2850522.0,2011,ATL
Louie Dampier,Point Guard,Right,72,170,University of Kentucky,1967,,21,73.0,no_current_team,232.0,,19.1,6.7,3.0,6.1,0.488,,,,3.0,6.1,0.488,0.488,0.7,1.0,0.748,0.3,0.9,1.1,2.8,0.7,0.2,0.9,0.9,1,15.2,74.1,not_listed,not_listed,SAS
Bob Dandridge,Small Forward,Right,78,195,Norfolk State University,1969,45,13,70.0,no_current_team,839.0,0.0,35.2,18.5,7.7,15.9,0.484,0.0,0.2,0.167,7.7,15.9,0.484,0.484,3.1,4.0,0.78,1.7,4.4,6.8,3.4,1.3,0.6,2.7,3.5,1,16.7,80.3,not_listed,not_listed,MIL
Antonio Daniels,Shooting Guard and Point Guard,Right,76,195,Bowling Green State University,1997,4,15,42.0,no_current_team,872.0,220.0,22.6,7.6,2.6,5.9,0.444,0.4,1.3,0.311,2.2,4.5,0.483,0.479,2.0,2.5,0.793,0.3,1.6,1.8,3.4,0.6,0.1,1.1,1.1,0,14.6,47.0,5863580.0,2009,PHI
Erik Daniels,Small Forward,Left,80,214,University of Kentucky,not_drafted,not_drafted,1,35.0,no_current_team,21.0,0.0,3.4,0.6,0.3,0.9,0.333,0.0,0.1,0.5,0.2,0.8,0.313,0.361,0.0,0.0,,0.3,0.5,0.9,0.2,0.1,0.0,0.3,0.3,0,4.6,-0.1,7385277.0,2004,SAC
Lloyd Daniels,Shooting Guard,Right,79,205,Mount San Antonio College,not_drafted,not_drafted,9,50.0,no_current_team,200.0,29.0,17.7,7.1,2.8,6.9,0.403,0.8,2.4,0.316,2.0,4.5,0.45,0.458,0.8,1.0,0.743,0.9,1.3,2.2,1.6,0.5,0.3,1.1,1.5,0,11.5,3.3,184100.0,1996,TOR
Marquis Daniels,Small Forward and Shooting Guard,Right,78,200,Auburn University,not_drafted,not_drafted,10,36.0,no_current_team,548.0,146.0,21.4,7.9,3.2,7.2,0.451,0.2,0.8,0.235,3.0,6.4,0.478,0.464,1.2,1.7,0.721,1.0,1.9,2.8,1.8,0.9,0.3,1.2,1.6,0,12.9,16.5,1229255.0,2012,MIL
Mel Daniels,Center,Right,81,220,University of New Mexico,1967,,17,73.0,no_current_team,11.0,,11.5,3.5,1.2,3.2,0.371,,,,1.2,3.2,0.371,0.371,1.2,2.1,0.565,0.9,2.2,3.1,0.5,0.3,1.0,,2.6,1,20.1,64.8,not_listed,not_listed,NYN
Troy Daniels,Shooting Guard,Right,76,205,Virginia Commonwealth University,not_drafted,not_drafted,7,26.0,Memphis Grizzlies,162.0,4.0,13.2,6.2,2.2,5.4,0.399,1.6,3.8,0.406,0.6,1.6,0.38,0.542,0.4,0.5,0.776,0.2,1.0,1.2,0.6,0.2,0.0,0.6,1.1,0,11.5,2.8,3332940.0,2016,MEM
Sasha Danilovic,Shooting Guard,Right,77,200,no_college,1992,43,4,47.0,no_current_team,75.0,60.0,31.1,12.8,4.4,10.1,0.439,1.6,4.2,0.379,2.8,5.9,0.482,0.518,2.3,3.0,0.789,0.5,1.9,2.4,2.0,0.9,0.2,2.0,2.8,0,11.7,4.2,1892000.0,1996,DAL
