player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Ledell Eackles,Shooting Guard,Right,77,220,University of New Orleans,1988,36,7,51,no_current_team,441.0,88.0,20.2,10.8,4.1,9.2,0.445,0.3,0.9,0.336,3.8,8.3,0.457,0.461,2.3,3.0,0.767,0.8,1.4,2.2,1.7,0.6,0.1,1.4,1.8,0,13.8,10.8,150000.0,1994,WAS
Jim Eakins,Center and Power Forward,Right,83,215,Brigham Young University,1968,57,26,71,no_current_team,115.0,,15.2,5.5,1.7,3.7,0.462,,,,1.7,3.7,0.462,0.462,2.1,2.5,0.844,1.2,2.6,3.8,1.3,0.3,0.6,1.0,2.3,1,16.5,57.5,not_listed,not_listed,MIL
Acie Earl,Center,Right,82,240,University of Iowa,1993,19,6,47,no_current_team,193.0,18.0,13.0,5.1,1.9,4.6,0.403,0.0,0.0,0.0,1.9,4.6,0.407,0.403,1.3,2.0,0.667,1.0,1.7,2.7,0.3,0.3,0.7,0.9,1.8,0,10.6,0.3,1430000.0,1997,MIL
Ed Earle,Power Forward,Right,75,190,Loyola University of Chicago,not_drafted,not_drafted,1,90,no_current_team,2.0,,6.0,2.0,0.5,1.0,0.5,,,,0.5,1.0,0.5,0.5,1.0,2.0,0.5,,,1.0,0.0,,,,0.0,0,15.0,0.0,not_listed,not_listed,SYR
Cleanthony Early,Small Forward,Right,80,210,Wichita State University,2014,34,2,26,no_current_team,56.0,9.0,14.3,4.3,1.6,4.5,0.346,0.5,1.8,0.263,1.1,2.8,0.4,0.398,0.7,0.9,0.75,0.5,1.7,2.2,0.8,0.5,0.3,0.9,1.3,0,7.2,-0.6,9845059.0,2015,NYK
Mark Eaton,Center,Left,88,275,"University of California, Los Angeles",1982,72,11,60,no_current_team,875.0,815.0,28.8,6.0,2.4,5.2,0.458,0.0,0.0,0.0,2.4,5.2,0.458,0.458,1.2,1.9,0.649,2.1,5.8,7.9,1.0,0.4,3.5,1.5,3.4,1,10.9,44.8,1333000.0,1993,UTA
Jerry Eaves,Point Guard,Right,76,180,University of Louisville,1982,55,4,58,no_current_team,168.0,8.0,16.0,6.7,2.5,5.3,0.472,0.0,0.1,0.071,2.5,5.2,0.478,0.472,1.8,2.3,0.773,0.4,0.9,1.2,2.5,0.5,0.0,1.5,1.3,0,11.8,2.6,not_listed,not_listed,SAC
Devin Ebanks,Small Forward and Shooting Guard,Right,81,215,West Virginia University,2010,43,3,28,no_current_team,63.0,15.0,11.3,3.6,1.3,3.4,0.385,0.1,0.6,0.222,1.2,2.8,0.418,0.404,0.8,1.1,0.722,0.8,1.1,1.9,0.4,0.3,0.2,0.6,0.9,0,9.6,0.5,1054389.0,2012,LAL
Bill Ebben,Guard,Right,76,190,University of Detroit Mercy,1957,18,1,82,no_current_team,8.0,,6.3,1.9,0.8,3.5,0.214,,,,0.8,3.5,0.214,0.214,0.4,0.5,0.75,,,1.0,0.5,,,,0.6,0,1.1,-0.2,not_listed,not_listed,DET
Al Eberhard,Small Forward,Right,78,225,University of Missouri,1974,15,4,65,no_current_team,220.0,,18.8,6.8,2.6,5.9,0.433,,,,2.6,5.9,0.433,0.433,1.6,2.0,0.797,1.2,2.2,3.5,0.8,0.7,0.2,0.6,2.5,0,11.2,5.3,not_listed,not_listed,DET
