player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Joe Fabel,Forward/Guard,Right,73,190,University of Pittsburgh,not_drafted,not_drafted,2,104,no_current_team,30.0,,,2.1,0.8,3.2,0.26,,,,0.8,3.2,0.26,0.26,0.4,0.9,0.5,,,,0.1,,,,2.1,0,,-0.2,not_listed,not_listed,BAA
John Fairchild,Small Forward,Right,80,205,Brigham Young University,1965,16,15,74,no_current_team,30.0,,5.7,2.0,0.8,3.0,0.258,,,,0.8,3.0,0.258,0.258,0.5,0.7,0.7,,,1.5,0.4,,,,1.1,0,11.9,1.8,not_listed,not_listed,ABA
Phil Farbman,Forward,Right,73,185,City College of New York,not_drafted,not_drafted,6,93,no_current_team,48.0,,,3.2,1.0,3.4,0.307,,,,1.0,3.4,0.307,0.307,1.1,1.7,0.679,,,,0.8,,,,1.8,0,,1.4,not_listed,not_listed,BAA
Kenneth Faried,Power Forward,Right,80,228,Morehead State University,2011,22,6,28,Denver Nuggets,409.0,365.0,25.8,11.9,4.8,8.8,0.544,0.0,0.0,0.105,4.8,8.7,0.547,0.545,2.3,3.5,0.653,3.2,5.3,8.5,1.1,0.8,0.9,1.4,2.6,0,19.7,34.6,12078652.0,2016,DEN
Dick Farley,Shooting Guard,Right,76,190,Indiana University,1954,15,3,85,no_current_team,211.0,,18.1,6.5,2.3,5.9,0.384,,,,2.3,5.9,0.384,0.384,2.0,2.8,0.7,,,2.5,1.8,,,,2.0,0,12.0,8.2,not_listed,not_listed,DET
Jordan Farmar,Point Guard,Right,74,180,"University of California, Los Angeles",2006,26,10,31,no_current_team,504.0,40.0,19.5,7.7,2.9,6.8,0.423,1.2,3.1,0.374,1.7,3.8,0.463,0.507,0.8,1.0,0.739,0.3,1.6,1.9,2.9,0.8,0.1,1.4,1.4,0,13.3,13.9,7982979.0,2016,SAC
Desmon Farmer,Shooting Guard,Left,77,220,University of Southern California,not_drafted,not_drafted,2,36,no_current_team,11.0,0.0,7.8,2.4,0.8,2.6,0.31,0.5,1.8,0.25,0.4,0.8,0.444,0.397,0.3,0.3,1.0,0.0,0.6,0.6,1.0,0.1,0.0,0.5,0.7,0,6.0,0.0,883708.0,2008,SAS
Jim Farmer,Shooting Guard,Right,76,190,University of Alabama,1987,20,7,53,no_current_team,136.0,1.0,10.7,5.3,2.0,4.7,0.428,0.2,0.6,0.282,1.9,4.2,0.448,0.445,1.1,1.4,0.73,0.6,0.8,1.4,0.8,0.3,0.0,0.9,1.2,0,10.9,0.7,175000.0,1987,DEN
Mike Farmer,Small Forward,Right,79,210,University of San Francisco,1958,3,9,81,no_current_team,423.0,,20.8,6.7,2.8,7.0,0.393,,,,2.8,7.0,0.393,0.393,1.1,1.4,0.814,,,4.6,1.3,,,,2.0,0,9.9,6.3,not_listed,not_listed,STL
Tony Farmer,Power Forward and Center,Right,81,244,University of Nebraska,not_drafted,not_drafted,2,47,no_current_team,101.0,11.0,13.5,5.3,1.4,3.6,0.395,0.1,0.5,0.189,1.3,3.1,0.429,0.408,2.3,3.0,0.77,1.3,1.9,3.2,0.8,0.8,0.2,0.9,1.9,0,15.5,3.2,510000.0,1999,GSW
Bob Faught,Forward,Right,77,185,University of Notre Dame,not_drafted,not_drafted,2,96,no_current_team,51.0,,,6.7,2.8,9.4,0.295,,,,2.8,9.4,0.295,0.295,1.2,2.1,0.575,,,,0.6,,,,1.9,0,,1.7,not_listed,not_listed,BAA
Derrick Favors,Power Forward,Right,82,265,Georgia Institute of Technology,2010,3,9,26,Utah Jazz,479.0,289.0,25.8,11.4,4.6,9.0,0.51,0.0,0.1,0.154,4.6,9.0,0.512,0.51,2.2,3.4,0.664,2.4,4.7,7.2,1.1,0.8,1.3,1.5,2.8,0,18.6,33.5,11050000.0,2016,UTA
Nick Fazekas,Power Forward,Right,83,235,"University of Nevada, Reno",2007,34,3,32,no_current_team,26.0,0.0,10.3,4.1,1.8,3.2,0.561,0.0,0.1,0.0,1.8,3.1,0.575,0.561,0.6,0.8,0.682,1.3,2.1,3.4,0.4,0.3,0.4,0.5,1.0,0,19.6,0.8,3427163.0,2007,LAC
Dave Fedor,Forward,Right,78,190,Florida State University,1962,23,1,77,no_current_team,7.0,,3.9,0.9,0.4,1.4,0.3,,,,0.4,1.4,0.3,0.3,0.0,0.1,0.0,,,0.9,0.1,,,,0.6,0,2.2,-0.1,not_listed,not_listed,SFW
Bob Feerick,Forward/Guard,Right,75,190,Santa Clara University,not_drafted,not_drafted,7,97,no_current_team,60.0,,,8.1,2.9,8.3,0.344,,,,2.9,8.3,0.344,0.344,2.3,2.9,0.799,,,,2.1,,,,2.3,0,,41.7,not_listed,not_listed,WSC
Butch Feher,Shooting Guard,Right,76,185,Vanderbilt University,1976,33,1,63,no_current_team,48.0,,10.1,5.2,1.8,3.4,0.531,,,,1.8,3.4,0.531,0.531,1.6,2.1,0.768,0.4,1.2,1.5,0.8,0.2,0.1,,1.0,0,15.9,1.5,not_listed,not_listed,PHO
Jamie Feick,Center and Power Forward,Right,81,255,Michigan State University,1996,48,9,43,no_current_team,201.0,35.0,21.5,4.5,1.7,4.1,0.424,0.1,0.1,0.4,1.7,4.0,0.425,0.432,1.0,1.6,0.629,2.6,4.6,7.1,0.7,0.6,0.4,0.8,2.2,0,12.4,8.2,2600000.0,2002,NJN
George Feigenbaum,Point Guard,Right,73,185,University of Kentucky,not_drafted,not_drafted,2,88,no_current_team,17.0,,15.8,3.1,1.1,4.6,0.228,,,,1.1,4.6,0.228,0.228,0.9,1.9,0.485,,,1.4,1.1,,,,1.7,0,2.2,-0.6,not_listed,not_listed,MLH
Dave Feitl,Center,Right,83,235,University of Texas at El Paso,1986,43,5,55,no_current_team,275.0,58.0,10.9,4.3,1.7,4.0,0.433,0.0,0.0,0.0,1.7,3.9,0.436,0.433,0.9,1.2,0.751,0.9,2.1,3.0,0.5,0.2,0.2,0.9,1.6,0,9.8,1.4,135000.0,1991,NJN
Kay Felder,Point Guard,Left,69,176,Oakland University,2016,54,1,22,Cleveland Cavaliers,42.0,0.0,9.2,4.0,1.5,3.8,0.392,0.2,0.5,0.318,1.3,3.2,0.404,0.415,0.8,1.2,0.714,0.1,0.9,1.0,1.4,0.4,0.2,0.7,0.9,0,11.4,0.1,1543471.0,2016,CLE
Cristiano Felicio,Center,Right,82,275,no_college,not_drafted,not_drafted,2,25,Chicago Bulls,97.0,4.0,14.0,4.3,1.7,3.0,0.573,0.0,0.0,0.0,1.7,3.0,0.581,0.573,0.9,1.3,0.664,1.6,2.7,4.3,0.7,0.3,0.3,0.5,1.5,0,15.8,4.6,6874636.0,2016,CHI
Carrick Felix,Shooting Guard,Right,78,201,Arizona State University,2013,33,1,27,no_current_team,7.0,0.0,5.4,2.7,1.0,2.0,0.5,0.3,0.7,0.4,0.7,1.3,0.556,0.571,0.4,0.6,0.75,0.1,0.7,0.9,0.6,0.0,0.0,0.6,0.6,0,13.3,0.0,2816482.0,2014,CLE
Noel Felix,Small Forward,Right,81,225,"California State University, Fresno",not_drafted,not_drafted,1,36,no_current_team,12.0,0.0,6.8,1.5,0.5,2.1,0.24,0.1,0.3,0.333,0.4,1.8,0.227,0.26,0.4,0.7,0.625,0.3,0.8,1.1,0.2,0.2,0.3,0.7,1.1,0,-1.1,-0.3,not_listed,not_listed,SEA
Ray Felix,Center,Right,83,220,Long Island University,1953,1,11,87,no_current_team,637.0,,23.8,10.9,3.8,9.2,0.412,,,,3.8,9.2,0.412,0.412,3.4,5.0,0.678,,,8.9,0.7,,,,3.8,1,16.9,39.6,not_listed,not_listed,LAL
Raymond Felton,Shooting Guard and Point Guard,Right,73,205,University of North Carolina,2005,5,14,33,Oklahoma City Thunder,856.0,657.0,31.6,11.9,4.5,10.8,0.413,1.0,2.9,0.327,3.5,7.9,0.445,0.457,2.0,2.5,0.788,0.6,2.5,3.1,5.7,1.3,0.2,2.2,2.0,0,13.9,37.3,1551659.0,2016,LAC
Jake Fendley,Shooting Guard and Point Guard,Right,72,180,Northwestern University,1951,23,2,88,no_current_team,103.0,,10.0,2.8,0.8,2.4,0.344,,,,0.8,2.4,0.344,0.344,1.1,1.5,0.742,,,1.2,0.9,,,,1.9,0,10.2,2.1,not_listed,not_listed,FTW
Warren Fenley,Forward,Right,75,190,Manhattan College,not_drafted,not_drafted,2,95,no_current_team,33.0,,,2.6,0.9,4.2,0.225,,,,0.9,4.2,0.225,0.225,0.7,1.4,0.511,,,,0.5,,,,1.8,0,,-0.1,not_listed,not_listed,BAA
Desmond Ferguson,Small Forward,Right,79,203,University of Detroit Mercy,not_drafted,not_drafted,1,40,no_current_team,7.0,0.0,4.6,1.9,0.7,1.7,0.417,0.4,1.1,0.375,0.3,0.6,0.5,0.542,0.0,0.3,0.0,0.0,0.6,0.6,0.1,0.0,0.0,0.1,0.0,0,11.3,0.0,not_listed,not_listed,POR
Rudy Fernandez,Shooting Guard,Right,78,185,no_college,2007,24,4,32,no_current_team,249.0,10.0,24.0,9.1,3.0,7.4,0.399,1.7,4.6,0.36,1.3,2.8,0.463,0.511,1.4,1.7,0.84,0.5,1.9,2.4,2.2,1.0,0.2,1.1,1.5,0,14.0,14.2,2180443.0,2011,DEN
Eric Fernsten,Center and Power Forward,Right,82,205,University of San Francisco,1975,62,8,64,no_current_team,218.0,0.0,7.5,2.4,0.9,2.0,0.445,0.0,0.0,,0.9,2.0,0.445,0.445,0.6,0.9,0.675,0.7,1.0,1.7,0.4,0.2,0.2,0.4,0.8,0,11.7,3.3,not_listed,not_listed,NYK
Al Ferrari,Shooting Guard and Small Forward,Right,76,190,Michigan State University,1955,15,6,84,no_current_team,371.0,,20.4,6.8,2.4,6.4,0.368,,,,2.4,6.4,0.368,0.368,2.1,2.7,0.76,,,2.2,2.5,,,,2.7,0,9.4,8.9,not_listed,not_listed,CHZ
Rolando Ferreira,Center,Right,85,240,University of Houston,1988,26,1,53,no_current_team,12.0,0.0,2.8,0.8,0.1,1.5,0.056,0.0,0.0,,0.1,1.5,0.056,0.056,0.6,0.7,0.875,0.3,0.8,1.1,0.1,0.0,0.1,0.5,0.6,0,-7.6,-0.2,100000.0,1988,POR
Duane Ferrell,Small Forward,Right,79,209,Georgia Institute of Technology,not_drafted,not_drafted,11,52,no_current_team,583.0,72.0,15.0,6.4,2.4,5.1,0.48,0.1,0.3,0.288,2.4,4.8,0.49,0.487,1.4,1.9,0.75,0.9,1.0,1.9,0.9,0.5,0.2,0.9,1.5,0,12.9,15.7,1625000.0,1999,GSW
Yogi Ferrell,Point Guard,Right,72,180,Indiana University,not_drafted,not_drafted,3,24,Dallas Mavericks,46.0,29.0,26.0,10.0,3.5,8.6,0.406,1.5,3.8,0.386,2.0,4.7,0.422,0.492,1.6,1.9,0.831,0.4,2.0,2.4,3.7,0.9,0.2,1.5,2.0,0,13.1,1.8,202300.0,2016,DAL
Danny Ferry,Power Forward and Small Forward,Right,82,230,Duke University,1989,2,13,51,no_current_team,917.0,186.0,19.8,7.0,2.7,6.1,0.446,0.7,1.9,0.393,2.0,4.2,0.47,0.506,0.8,1.0,0.84,0.7,2.1,2.8,1.3,0.4,0.3,0.9,2.1,0,11.8,34.8,4546000.0,2002,SAS
Kyrylo Fesenko,Center,Right,85,288,no_college,2007,38,5,31,no_current_team,135.0,7.0,8.2,2.3,0.9,1.9,0.496,0.0,0.0,0.0,0.9,1.9,0.5,0.496,0.4,1.0,0.41,0.7,1.3,2.0,0.3,0.1,0.4,0.5,1.7,0,8.5,0.9,1087500.0,2010,IND
Bobby Fields,Guard,Right,75,175,La Salle University,1971,54,2,68,no_current_team,22.0,,5.6,2.5,1.0,2.2,0.458,0.1,0.3,0.286,0.9,1.9,0.488,0.479,0.4,0.6,0.615,0.7,0.6,1.4,0.9,,,1.0,1.5,0,9.2,0.2,not_listed,not_listed,ABA
Kenny Fields,Small Forward,Right,77,220,"University of California, Los Angeles",1984,21,6,55,no_current_team,184.0,21.0,14.6,6.2,2.5,5.3,0.474,0.0,0.1,0.188,2.5,5.2,0.479,0.475,1.1,1.6,0.733,1.0,1.6,2.5,1.0,0.5,0.2,1.0,2.1,0,11.7,4.2,145000.0,1985,LAC
Landry Fields,Small Forward and Shooting Guard,Right,79,210,Stanford University,2010,39,5,29,no_current_team,255.0,176.0,23.6,6.8,2.7,5.7,0.473,0.5,1.4,0.332,2.2,4.3,0.52,0.515,1.0,1.4,0.666,1.0,3.3,4.3,1.6,0.8,0.2,1.1,1.2,0,12.1,10.5,6250000.0,2014,TOR
Ron Filipek,Forward,Right,77,205,Tennessee Technological University,1967,100,1,73,no_current_team,19.0,,3.8,2.3,0.9,2.5,0.383,,,,0.9,2.5,0.383,0.383,0.4,0.7,0.5,,,1.3,0.4,,,,0.6,0,13.5,0.0,not_listed,not_listed,PHI
Greg Fillmore,Center,Right,85,240,Cheyney University of Pennsylvania,1970,136,2,70,no_current_team,49.0,,6.9,2.4,1.1,2.6,0.403,,,,1.1,2.6,0.403,0.403,0.3,0.6,0.467,,,2.2,0.4,,,,2.0,0,8.1,0.3,not_listed,not_listed,NYK
Larry Finch,Shooting Guard,Right,74,185,University of Memphis,1973,68,4,66,no_current_team,128.0,,23.8,8.6,3.3,7.8,0.431,0.2,0.6,0.342,3.1,7.1,0.439,0.445,1.7,2.1,0.829,0.5,1.2,1.7,2.4,0.6,0.1,1.4,2.5,0,9.7,1.7,not_listed,not_listed,ABA
Hank Finkel,Center,Left,84,240,University of Dayton,1966,17,9,75,no_current_team,551.0,,12.5,5.1,2.0,4.6,0.449,,,,2.0,4.6,0.449,0.449,1.0,1.5,0.662,0.6,1.4,3.9,0.8,0.1,0.1,,2.0,0,12.6,13.5,not_listed,not_listed,BOS
Michael Finley,Small Forward and Shooting Guard,Right,79,215,University of Wisconsin,1995,21,19,44,no_current_team,1103.0,875.0,34.4,15.7,6.1,13.7,0.444,1.3,3.5,0.375,4.8,10.2,0.467,0.492,2.2,2.7,0.811,1.0,3.3,4.4,2.9,0.9,0.3,1.5,1.6,1,16.0,85.2,2500000.0,2009,BOS
Danny Finn,Point Guard and Shooting Guard,Right,73,185,St. John's University,not_drafted,not_drafted,3,89,no_current_team,142.0,,23.9,7.3,2.7,8.2,0.327,,,,2.7,8.2,0.327,0.327,2.0,3.3,0.599,,,3.9,4.0,,,,3.2,0,12.9,1.0,not_listed,not_listed,PHW
Dorian Finney-Smith,Power Forward,Right,80,220,University of Florida,not_drafted,not_drafted,1,24,Dallas Mavericks,81.0,35.0,20.3,4.3,1.5,4.1,0.372,0.7,2.4,0.293,0.8,1.8,0.479,0.456,0.6,0.8,0.754,0.7,2.1,2.7,0.8,0.6,0.3,0.6,1.5,0,7.7,1.4,1543471.0,2016,DAL
Matt Fish,Center,Left,83,235,University of North Carolina at Wilmington,1992,50,7,48,no_current_team,50.0,9.0,10.2,3.5,1.4,2.8,0.5,0.0,0.0,0.0,1.4,2.8,0.504,0.5,0.7,1.1,0.625,0.9,1.3,2.2,0.5,0.4,0.3,0.7,1.8,0,11.9,0.6,150000.0,1997,MIA
Derek Fisher,Shooting Guard and Point Guard,Left,73,200,University of Arkansas at Little Rock,1996,24,22,43,no_current_team,1287.0,731.0,25.4,8.3,2.9,7.2,0.399,1.0,2.6,0.374,1.9,4.7,0.413,0.466,1.6,1.9,0.817,0.3,1.7,2.1,3.0,1.1,0.1,1.1,2.1,0,11.7,62.3,1399507.0,2013,OKC
Richard Fisher,Power Forward,Right,77,215,Colorado State University,1971,27,6,69,no_current_team,12.0,,5.5,3.1,1.5,2.8,0.529,0.0,0.0,,1.5,2.8,0.529,0.529,0.1,0.1,1.0,1.2,1.5,2.7,0.4,,,0.3,0.8,0,25.1,0.2,not_listed,not_listed,ABA
