player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Dan Gadzuric,Power Forward and Center,Right,83,240,"University of California, Los Angeles",2002,34,12,39.0,no_current_team,527.0,164.0,14.8,4.7,2.0,4.0,0.5,0.0,0.0,0.0,2.0,4.0,0.501,0.5,0.7,1.4,0.498,1.7,2.7,4.4,0.4,0.5,0.9,0.7,2.4,0,14.4,15.8,7248325.0,2010,NYK
Deng Gai,Center,Right,81,250,Fairfield University,not_drafted,not_drafted,1,35.0,no_current_team,2.0,0.0,2.5,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9692396.0,2005,PHI
Bill Gaines,Guard,Right,76,185,East Texas State University,1968,182,2,71.0,no_current_team,1.0,,5.0,2.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,0.0,1.0,0.0,,,1.0,0.0,0,7.6,0.0,not_listed,not_listed,ABA
Corey Gaines,Shooting Guard,Right,75,195,Loyola Marymount University,1988,65,5,52.0,no_current_team,80.0,10.0,12.5,3.1,1.2,2.7,0.424,0.1,0.6,0.229,1.0,2.1,0.479,0.449,0.7,0.9,0.736,0.2,0.7,0.9,3.1,0.5,0.1,0.9,1.2,0,10.8,1.1,13000.0,1992,PHI
David Gaines,Shooting Guard,Right,73,170,LeMoyne-Owen College,not_drafted,not_drafted,2,75.0,no_current_team,3.0,,12.0,3.3,1.3,5.3,0.25,0.3,0.3,1.0,1.0,5.0,0.2,0.281,0.3,0.7,0.5,,,3.3,0.0,,,0.0,1.3,0,4.8,-0.1,not_listed,not_listed,ABA
Reece Gaines,Point Guard,Right,78,205,University of Louisville,2003,15,5,36.0,no_current_team,71.0,1.0,8.5,1.7,0.7,2.1,0.324,0.1,0.4,0.269,0.6,1.7,0.336,0.348,0.3,0.5,0.606,0.1,0.6,0.7,0.7,0.2,0.0,0.4,0.6,0,5.3,-0.6,1556160.0,2005,MIL
Sundiata Gaines,Shooting Guard and Point Guard,Right,73,185,University of Georgia,not_drafted,not_drafted,6,31.0,no_current_team,113.0,12.0,11.6,4.5,1.6,4.1,0.397,0.4,1.3,0.301,1.2,2.8,0.442,0.445,0.9,1.6,0.562,0.4,1.1,1.5,1.8,0.7,0.0,0.8,0.9,0,14.5,1.4,9854389.0,2011,NJN
Mike Gale,Shooting Guard and Point Guard,Right,76,185,Elizabeth City State University,1971,47,22,67.0,no_current_team,389.0,,24.3,7.3,3.1,6.8,0.453,0.0,0.2,0.197,3.0,6.6,0.46,0.456,1.1,1.5,0.734,1.1,2.3,3.4,3.0,1.6,0.7,1.7,2.4,0,12.4,34.6,not_listed,not_listed,GSW
Chad Gallagher,Center,Right,82,255,Creighton University,1991,32,1,48.0,no_current_team,2.0,0.0,1.5,3.0,1.5,1.5,1.0,0.0,0.0,,1.5,1.5,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,66.8,0.1,not_listed,not_listed,UTA
Danilo Gallinari,Power Forward and Small Forward and Shooting Guard,Right,82,225,no_college,2008,6,10,29.0,Los Angeles Clippers,460.0,390.0,31.1,15.3,4.6,11.0,0.42,1.8,4.9,0.37,2.8,6.1,0.461,0.503,4.3,5.0,0.863,0.8,3.9,4.7,2.0,0.8,0.4,1.3,1.9,0,16.5,41.0,15050000.0,2016,DEN
Langston Galloway,Point Guard,Right,74,200,Saint Joseph's University,not_drafted,not_drafted,5,26.0,Detroit Pistons,201.0,50.0,24.8,8.7,3.2,8.2,0.391,1.3,3.5,0.366,1.9,4.7,0.409,0.469,1.0,1.3,0.781,0.5,2.6,3.2,2.2,0.9,0.2,0.8,2.0,0,11.5,5.8,5200000.0,2016,SAC
Dave Gambee,Power Forward and Small Forward,Right,78,215,Oregon State University,1958,6,16,80.0,no_current_team,750.0,,19.6,10.6,3.8,8.9,0.42,,,,3.8,8.9,0.42,0.42,3.1,3.7,0.822,,,5.2,1.0,,,,2.9,0,15.2,35.1,not_listed,not_listed,SFW
Kevin Gamble,Small Forward,Right,77,210,University of Iowa,1987,63,12,52.0,no_current_team,649.0,270.0,22.4,9.5,3.9,7.9,0.502,0.4,1.0,0.36,3.6,6.9,0.522,0.524,1.2,1.5,0.81,0.6,1.7,2.2,2.0,0.7,0.3,0.9,1.9,0,14.2,33.3,1868750.0,1999,SAC
Bob Gantt,Forward/Center,Right,76,205,Duke University,not_drafted,not_drafted,2,95.0,no_current_team,23.0,,,3.1,1.3,3.9,0.326,,,,1.3,3.9,0.326,0.326,0.6,1.2,0.464,,,,0.2,,,,2.0,0,,1.3,not_listed,not_listed,BAA
Ruben Garces,Power Forward,Right,81,245,Providence College,not_drafted,not_drafted,3,44.0,no_current_team,13.0,0.0,5.6,1.2,0.5,1.7,0.318,0.0,0.0,,0.5,1.7,0.318,0.318,0.2,0.6,0.25,1.2,1.0,2.2,0.4,0.2,0.2,0.4,1.1,0,9.7,0.0,9316969.0,2000,GSW
Francisco Garcia,Shooting Guard and Small Forward,Right,79,195,University of Louisville,2005,23,12,36.0,no_current_team,549.0,137.0,21.6,7.9,2.8,6.7,0.427,1.1,3.0,0.357,1.8,3.7,0.484,0.507,1.1,1.4,0.799,0.5,2.0,2.6,1.4,0.8,0.7,1.0,2.2,0,12.3,18.2,1316809.0,2014,HOU
Chuck Gardner,Power Forward,Right,80,205,University of Colorado,1966,80,2,73.0,no_current_team,42.0,,11.6,4.7,1.7,4.2,0.406,0.0,0.1,0.0,1.7,4.1,0.415,0.406,1.3,1.9,0.696,,,3.2,0.3,,,1.2,1.8,0,10.4,1.0,not_listed,not_listed,ABA
Kenneth Gardner,Small Forward,Right,77,205,University of Utah,1971,82,2,68.0,no_current_team,9.0,,5.7,1.6,0.7,2.0,0.333,0.0,0.0,,0.7,2.0,0.333,0.333,0.2,0.2,1.0,0.9,0.6,1.4,0.3,0.2,0.1,0.1,1.0,0,10.1,0.1,not_listed,not_listed,ABA
Thomas Gardner,Shooting Guard,Right,77,225,University of Missouri,not_drafted,not_drafted,2,32.0,no_current_team,20.0,0.0,7.2,2.3,0.9,3.0,0.305,0.4,1.8,0.2,0.6,1.2,0.458,0.364,0.1,0.3,0.333,0.2,0.4,0.6,0.2,0.2,0.1,0.4,0.4,0,2.4,-0.4,7711517.0,2008,ATL
Vern Gardner,Shooting Guard,Right,77,200,University of Utah,1949,5,3,92.0,no_current_team,151.0,,18.8,8.9,3.4,9.9,0.344,,,,3.4,9.9,0.344,0.344,2.1,2.8,0.748,,,4.0,1.6,,,,2.9,0,11.1,7.4,not_listed,not_listed,PHW
Jack Garfinkel,Guard,Right,72,190,St. John's University,not_drafted,not_drafted,6,99.0,no_current_team,92.0,,,5.2,2.3,8.2,0.275,,,,2.3,8.2,0.275,0.275,0.7,1.0,0.705,,,,1.5,,,,1.7,0,,0.9,not_listed,not_listed,BAA
Patricio Garino,Shooting Guard,Right,78,210,George Washington University,not_drafted,not_drafted,1,24.0,no_current_team,5.0,0.0,8.6,0.0,0.0,1.4,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,,0.2,1.2,1.4,0.0,0.0,0.0,0.6,0.8,0,-9.2,-0.2,6931969.0,2016,ORL
Gary Garland,Point Guard,Right,76,180,DePaul University,1979,30,1,60.0,no_current_team,78.0,,14.2,4.3,2.0,4.6,0.435,0.1,0.2,0.316,1.9,4.3,0.442,0.444,0.2,0.3,0.692,0.6,1.1,1.8,1.9,0.7,0.1,0.9,1.0,0,10.2,0.5,not_listed,not_listed,DEN
Winston Garland,Point Guard,Right,74,170,Missouri State University,1987,40,9,53.0,no_current_team,511.0,315.0,26.2,9.4,3.7,8.7,0.43,0.1,0.5,0.281,3.6,8.2,0.44,0.438,1.8,2.1,0.83,0.8,2.0,2.8,4.7,1.3,0.2,1.9,2.4,0,12.5,14.2,143860.0,1994,MIN
Bill Garner,Center,Right,82,220,University of Portland,1962,68,2,77.0,no_current_team,53.0,,9.7,1.5,0.5,1.9,0.272,0.0,0.0,0.0,0.5,1.9,0.275,0.272,0.5,0.9,0.5,,,2.2,0.5,,,0.9,1.9,0,-1.2,-0.7,not_listed,not_listed,ABA
Chris Garner,Point Guard,Right,70,156,University of Memphis,not_drafted,not_drafted,2,42.0,no_current_team,46.0,0.0,9.6,1.6,0.7,2.3,0.28,0.1,0.5,0.19,0.6,1.9,0.302,0.299,0.2,0.3,0.615,0.2,0.6,0.8,1.4,0.6,0.1,0.7,1.5,0,4.1,-0.8,242000.0,1997,GSW
Bill Garnett,Center and Power Forward,Right,81,225,University of Wyoming,1982,4,4,57.0,no_current_team,300.0,62.0,17.5,5.5,1.9,3.9,0.49,0.0,0.0,0.0,1.9,3.9,0.494,0.49,1.6,2.3,0.72,1.6,2.8,4.3,1.3,0.5,0.6,1.1,2.8,0,12.3,10.8,294000.0,1985,IND
Kevin Garnett,Power Forward and Small Forward and Center,Right,83,240,no_college,1995,5,23,41.0,no_current_team,1462.0,1425.0,34.5,17.8,7.2,14.5,0.497,0.1,0.4,0.275,7.1,14.0,0.504,0.501,3.3,4.2,0.789,2.2,7.8,10.0,3.7,1.3,1.4,2.2,2.4,1,22.7,191.4,8000000.0,2016,MIN
Marlon Garnett,Point Guard,Right,74,186,Santa Clara University,not_drafted,not_drafted,1,42.0,no_current_team,24.0,0.0,8.5,2.1,0.6,2.1,0.294,0.3,1.0,0.261,0.4,1.2,0.321,0.353,0.6,0.8,0.75,0.1,0.8,0.9,0.8,0.2,0.0,0.5,0.8,0,6.5,0.0,287500.0,1998,BOS
Calvin Garrett,Small Forward,Right,79,190,Oral Roberts University,1979,47,4,61.0,no_current_team,166.0,22.0,18.1,5.2,2.3,4.9,0.457,0.0,0.1,0.3,2.2,4.8,0.461,0.461,0.6,0.8,0.767,0.8,1.8,2.6,1.5,0.6,0.1,1.0,2.0,0,8.9,2.6,not_listed,not_listed,LAL
Dean Garrett,Center,Right,82,225,Indiana University,1988,38,8,51.0,no_current_team,359.0,210.0,19.4,4.8,2.0,4.2,0.48,0.0,0.0,,2.0,4.2,0.48,0.48,0.8,1.2,0.677,1.7,3.4,5.0,0.6,0.5,1.0,0.6,1.9,0,13.3,14.1,3240000.0,2001,GSW
Diante Garrett,Point Guard,Right,76,190,Iowa State University,not_drafted,not_drafted,2,29.0,no_current_team,90.0,0.0,13.3,3.2,1.3,3.5,0.373,0.4,1.2,0.351,0.9,2.3,0.384,0.435,0.2,0.2,0.682,0.2,1.1,1.2,1.7,0.6,0.1,1.0,0.9,0,7.3,-1.0,3915243.0,2014,UTA
Dick Garrett,Point Guard and Shooting Guard,Right,75,185,Southern Illinois University,1969,27,7,70.0,no_current_team,339.0,,25.7,10.3,4.2,10.0,0.423,,,,4.2,10.0,0.423,0.423,1.8,2.1,0.863,0.4,0.6,3.0,2.5,0.3,0.0,,3.0,0,10.8,6.0,not_listed,not_listed,MIL
Rowland Garrett,Small Forward,Right,78,210,Florida State University,1972,78,9,67.0,no_current_team,263.0,,11.0,5.1,2.1,4.8,0.441,,,,2.1,4.8,0.441,0.441,0.8,1.0,0.772,0.8,1.5,2.3,0.4,0.3,0.2,,1.3,0,13.4,5.4,not_listed,not_listed,MIL
Tom Garrick,Shooting Guard,Right,74,185,University of Rhode Island,1988,45,7,51.0,no_current_team,251.0,47.0,18.8,5.4,2.2,4.6,0.469,0.0,0.2,0.083,2.1,4.4,0.49,0.471,1.1,1.4,0.775,0.5,1.5,2.0,3.4,1.1,0.1,1.4,1.8,0,11.6,5.9,200000.0,1991,DAL
John Garris,Power Forward,Right,80,205,Boston College,1983,27,1,58.0,no_current_team,33.0,1.0,8.1,4.0,1.6,3.1,0.51,0.0,0.0,,1.6,3.1,0.51,0.51,0.8,1.0,0.794,1.1,1.3,2.3,0.3,0.2,0.2,0.3,1.2,0,18.5,0.9,not_listed,not_listed,CLE
