player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Rudy Hackett,Power Forward,Right,81,210,Syracuse University,1975,37,5,64.0,no_current_team,6.0,,7.7,2.3,0.5,1.7,0.3,,,,0.5,1.7,0.3,0.3,1.3,2.3,0.571,0.7,1.5,2.2,0.5,0.0,0.2,,1.3,0,10.0,0.4,not_listed,not_listed,IND
Jim Hadnot,Center,Right,82,235,Providence College,1962,25,2,77.0,no_current_team,77.0,,39.0,17.5,6.3,13.6,0.467,0.0,0.0,0.0,6.3,13.5,0.468,0.467,4.8,7.2,0.668,3.9,8.2,12.2,1.8,,,2.2,3.6,0,18.2,6.2,not_listed,not_listed,ABA
Scott Haffner,Point Guard,Right,75,180,University of Evansville,1989,45,2,51.0,no_current_team,50.0,6.0,12.2,4.3,1.9,4.8,0.403,0.1,0.5,0.13,1.9,4.3,0.433,0.41,0.4,0.5,0.667,0.2,0.9,1.1,1.8,0.3,0.1,0.7,1.1,0,8.4,-0.1,75000.0,1990,CHH
Cliff Hagan,Small Forward,Right,76,210,University of Kentucky,1953,,16,86.0,no_current_team,94.0,,24.9,15.1,5.4,11.0,0.496,0.0,0.1,0.0,5.4,10.9,0.498,0.496,4.3,5.3,0.807,1.2,1.5,4.7,4.3,,,3.1,2.9,1,19.8,85.3,not_listed,not_listed,ABA
Glenn Hagan,Point Guard,Right,72,170,St. Bonaventure University,1978,43,1,62.0,no_current_team,4.0,0.0,6.3,1.8,0.8,1.8,0.429,0.0,0.0,,0.8,1.8,0.429,0.429,0.3,0.3,1.0,0.5,0.5,1.0,2.0,0.8,0.0,0.3,1.8,0,18.1,0.1,not_listed,not_listed,DET
Tom Hagan,Point Guard and Shooting Guard,Right,75,185,Vanderbilt University,1969,36,8,70.0,no_current_team,73.0,,12.5,4.9,1.9,4.5,0.419,0.3,0.8,0.328,1.6,3.7,0.439,0.448,0.9,1.3,0.707,0.6,1.0,1.5,1.8,,,0.9,1.6,0,10.8,1.1,not_listed,not_listed,ABA
Robert Hahn,Center,Right,82,240,North Carolina State University,not_drafted,not_drafted,1,92.0,no_current_team,10.0,,,1.0,0.4,1.3,0.308,,,,0.4,1.3,0.308,0.308,0.2,0.7,0.286,,,,0.1,,,,1.7,0,,0.1,not_listed,not_listed,CHS
Al Hairston,Shooting Guard,Right,73,170,Bowling Green State University,1968,52,2,72.0,no_current_team,42.0,,7.0,2.2,1.0,2.9,0.336,,,,1.0,2.9,0.336,0.336,0.2,0.4,0.6,,,1.0,1.0,,,,0.9,0,7.2,-0.5,not_listed,not_listed,SEA
Happy Hairston,Power Forward and Small Forward,Right,79,225,New York University,1964,33,15,75.0,no_current_team,776.0,,31.4,14.8,5.5,11.4,0.478,,,,5.5,11.4,0.478,0.478,3.9,5.3,0.741,4.2,8.9,10.3,1.6,0.8,0.2,,3.0,0,16.5,70.0,not_listed,not_listed,LAL
Lindsay Hairston,Small Forward,Right,79,180,Michigan State University,1975,64,1,66.0,no_current_team,47.0,,13.9,5.8,2.2,4.9,0.456,,,,2.2,4.9,0.456,0.456,1.4,2.4,0.58,1.4,2.4,3.8,0.4,0.4,0.7,,1.8,0,14.8,1.0,not_listed,not_listed,DET
Malik Hairston,Shooting Guard,Right,78,220,University of Oregon,2008,48,2,30.0,no_current_team,62.0,0.0,7.6,2.4,1.0,2.0,0.512,0.0,0.2,0.167,1.0,1.8,0.549,0.52,0.3,0.6,0.514,0.4,0.9,1.2,0.5,0.2,0.3,0.4,0.8,0,11.7,0.8,736420.0,2009,SAS
P.J. Hairston,Small Forward and Shooting Guard,Right,78,230,University of North Carolina,2014,26,4,25.0,no_current_team,111.0,54.0,18.0,6.0,2.1,6.1,0.343,1.1,3.6,0.295,1.0,2.5,0.414,0.431,0.7,0.9,0.81,0.4,2.0,2.4,0.5,0.5,0.2,0.6,1.8,0,7.6,0.9,3411534.0,2016,MEM
Marcus Haislip,Power Forward and Small Forward,Right,82,230,University of Tennessee,2002,13,4,37.0,no_current_team,89.0,8.0,9.6,3.5,1.4,3.2,0.437,0.1,0.2,0.35,1.3,3.0,0.444,0.449,0.6,0.9,0.659,0.6,0.9,1.5,0.2,0.2,0.4,0.4,1.1,0,10.8,0.5,7825497.0,2009,SAS
Chick Halbert,Center,Right,81,225,West Texas A&M University,not_drafted,not_drafted,18,98.0,no_current_team,136.0,,,6.1,2.0,5.4,0.371,,,,2.0,5.4,0.371,0.371,2.1,3.1,0.671,,,7.9,1.8,,,,2.6,0,,17.3,not_listed,not_listed,BLB
Bruce Hale,Guard/Forward,Right,73,170,Santa Clara University,not_drafted,not_drafted,8,99.0,no_current_team,52.0,,,10.5,3.6,11.3,0.32,,,,3.6,11.3,0.32,0.32,3.3,4.4,0.754,,,,3.0,,,,2.2,0,,9.2,not_listed,not_listed,INO
Hal Hale,Point Guard,Right,73,180,Utah State University,not_drafted,not_drafted,2,72.0,no_current_team,72.0,,23.7,5.0,1.8,5.7,0.326,0.5,1.6,0.313,1.4,4.1,0.331,0.369,0.8,1.2,0.674,,,2.9,2.0,,,1.3,2.0,0,5.6,1.0,not_listed,not_listed,ABA
Jack Haley,Center and Power Forward,Right,82,240,"University of California, Los Angeles",1987,79,11,53.0,no_current_team,341.0,54.0,9.6,3.5,1.3,3.0,0.425,0.0,0.0,0.0,1.3,3.0,0.426,0.425,0.9,1.4,0.655,1.0,1.7,2.7,0.2,0.2,0.1,0.6,1.7,0,9.7,2.9,510000.0,1999,NJN
Shaler Halimon,Shooting Guard and Small Forward,Left,77,199,Utah State University,1968,14,12,72.0,no_current_team,84.0,,13.4,5.4,2.2,5.3,0.411,0.0,0.1,0.111,2.2,5.2,0.417,0.412,1.0,1.5,0.691,0.9,1.6,2.5,1.4,,,1.1,1.7,0,11.8,0.5,not_listed,not_listed,ABA
Mike Hall,Small Forward,Right,80,230,George Washington University,not_drafted,not_drafted,1,33.0,no_current_team,2.0,0.0,6.5,1.0,0.5,2.0,0.25,0.0,0.0,,0.5,2.0,0.25,0.25,0.0,0.0,,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0,3.1,0.0,5135895.0,2006,WAS
Jeff Halliburton,Shooting Guard,Right,77,193,Drake University,1971,39,4,68.0,no_current_team,92.0,,11.7,6.1,2.5,5.8,0.44,,,,2.5,5.8,0.44,0.44,1.0,1.3,0.814,,,1.6,1.3,,,,1.7,0,13.9,1.4,not_listed,not_listed,PHI
Darvin Ham,Shooting Guard and Small Forward,Right,79,220,Texas Tech University,not_drafted,not_drafted,10,44.0,no_current_team,417.0,45.0,12.4,2.7,1.1,2.1,0.518,0.0,0.0,0.25,1.1,2.0,0.523,0.52,0.6,1.2,0.494,1.1,1.2,2.3,0.5,0.3,0.4,0.7,1.8,0,9.0,5.6,6932546.0,2004,DET
Steve Hamer,Center,Right,84,245,University of Tennessee,1996,38,1,44.0,no_current_team,35.0,3.0,7.7,2.2,0.9,1.6,0.526,0.0,0.1,0.0,0.9,1.6,0.545,0.526,0.5,0.8,0.552,0.5,1.2,1.7,0.2,0.1,0.1,0.4,1.1,0,8.9,0.2,220000.0,1996,BOS
Dale Hamilton,Guard/Forward,Right,72,180,Franklin College,not_drafted,not_drafted,1,98.0,no_current_team,14.0,,,1.8,0.6,2.4,0.242,,,,0.6,2.4,0.242,0.242,0.6,1.4,0.474,,,,1.2,,,,2.1,0,,-0.3,not_listed,not_listed,WAT
Dennis Hamilton,Power Forward,Right,80,210,Arizona State University,not_drafted,not_drafted,6,73.0,no_current_team,69.0,,7.5,2.9,1.3,2.5,0.52,,,,1.3,2.5,0.52,0.52,0.2,0.3,0.833,,,1.5,0.6,,,,0.9,0,12.2,4.0,not_listed,not_listed,ABA
Joe Hamilton,Point Guard,Right,70,160,University of North Texas,1970,152,16,69.0,no_current_team,344.0,,26.4,12.0,4.5,11.1,0.408,0.7,2.3,0.312,3.8,8.9,0.433,0.44,2.3,2.8,0.807,0.7,1.9,2.6,3.5,0.9,0.1,1.5,2.6,0,13.3,12.4,not_listed,not_listed,ABA
Jordan Hamilton,Small Forward,Right,79,220,University of Texas at Austin,2011,26,7,27.0,no_current_team,151.0,21.0,13.9,5.9,2.3,5.6,0.408,0.9,2.5,0.357,1.4,3.0,0.451,0.489,0.5,0.7,0.67,0.6,2.3,2.8,0.8,0.5,0.2,0.7,1.0,0,13.4,3.0,2119462.0,2015,NOP
Justin Hamilton,Center,Right,84,260,Louisiana State University,2012,45,7,27.0,no_current_team,113.0,21.0,17.4,6.1,2.4,5.1,0.464,0.6,1.9,0.309,1.8,3.2,0.56,0.523,0.7,0.9,0.798,1.2,2.4,3.6,0.8,0.5,0.6,0.6,1.5,0,13.9,3.7,3000000.0,2016,BRK
Ralph Hamilton,Guard/Forward,Right,73,188,Indiana University,not_drafted,not_drafted,6,96.0,no_current_team,48.0,,,6.0,2.4,9.3,0.255,,,,2.4,9.3,0.255,0.255,1.3,1.9,0.67,,,,1.7,,,,1.4,0,,-1.4,not_listed,not_listed,BAA
Richard Hamilton,Small Forward and Shooting Guard,Right,78,185,University of Connecticut,1999,7,14,39.0,no_current_team,921.0,783.0,32.1,17.1,6.5,14.4,0.449,0.6,1.7,0.346,5.9,12.8,0.463,0.469,3.5,4.1,0.852,0.9,2.2,3.1,3.4,0.8,0.1,2.1,2.5,1,16.5,62.8,3333333.0,2014,CHI
Roy Hamilton,Point Guard,Right,74,180,"University of California, Los Angeles",1979,10,2,60.0,no_current_team,73.0,,15.4,4.6,1.6,4.0,0.4,0.0,0.0,0.0,1.6,3.9,0.403,0.4,1.4,2.1,0.684,0.6,0.9,1.5,2.6,0.7,0.1,1.6,1.1,0,9.1,-0.4,not_listed,not_listed,POR
Steve Hamilton,Small Forward,Left,78,190,Morehead State University,1958,8,2,82.0,no_current_team,82.0,,13.3,4.5,1.7,4.5,0.372,,,,1.7,4.5,0.372,0.372,1.1,1.6,0.697,,,3.4,0.5,,,,2.2,0,9.3,0.9,not_listed,not_listed,MNL
