player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Marc Iavaroni,Power Forward,Right,80,210,University of Virginia,1978,55,11,61,no_current_team,531.0,321.0,15.8,4.4,1.7,3.7,0.459,0.0,0.0,0.0,1.7,3.7,0.463,0.459,1.0,1.4,0.71,1.1,2.2,3.2,1.0,0.3,0.4,1.2,2.4,0,7.9,8.0,325000.0,1988,UTA
Serge Ibaka,Power Forward,Right,82,235,no_college,2008,24,10,28,Toronto Raptors,603.0,492.0,29.1,12.0,5.0,9.7,0.516,0.5,1.4,0.369,4.5,8.4,0.54,0.542,1.4,1.9,0.757,2.3,5.0,7.3,0.6,0.4,2.4,1.3,2.8,0,17.3,52.7,12250000.0,2016,TOR
Andre Iguodala,Small Forward and Shooting Guard,Right,78,215,University of Arizona,2004,9,13,33,Golden State Warriors,976.0,759.0,34.7,13.0,4.7,10.0,0.465,0.9,2.8,0.336,3.7,7.2,0.514,0.511,2.8,3.9,0.714,1.0,4.3,5.3,4.5,1.6,0.5,2.0,1.9,1,16.0,89.0,11131368.0,2016,GSW
Zydrunas Ilgauskas,Center,Right,87,238,no_college,1996,20,13,42,no_current_team,843.0,724.0,27.2,13.0,5.0,10.5,0.476,0.0,0.1,0.31,5.0,10.4,0.478,0.478,3.0,3.8,0.78,2.9,4.4,7.3,1.1,0.5,1.6,1.8,3.3,1,18.5,66.3,1352181.0,2010,MIA
Mile Ilic,Center,Right,85,230,no_college,2005,43,1,33,no_current_team,5.0,0.0,1.2,0.0,0.0,0.6,0.0,0.0,0.0,,0.0,0.6,0.0,0.0,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.6,0.2,0,-48.6,-0.2,864000.0,2007,NJN
Ersan Ilyasova,Power Forward,Right,82,235,no_college,2005,36,14,30,Atlanta Hawks,609.0,365.0,24.4,11.0,4.1,9.3,0.442,1.1,3.0,0.366,3.0,6.4,0.477,0.5,1.6,2.1,0.77,1.8,4.1,5.9,1.2,0.7,0.4,1.0,2.5,0,15.8,37.8,8400000.0,2016,ATL
Darrall Imhoff,Center,Left,82,220,University of California,1960,3,14,79,no_current_team,801.0,,22.3,7.2,2.9,6.3,0.458,,,,2.9,6.3,0.458,0.458,1.4,2.4,0.594,,,7.6,1.8,,,,3.1,1,12.3,30.1,not_listed,not_listed,POR
Tom Ingelsby,Point Guard,Right,75,180,Villanova University,1973,27,5,66,no_current_team,27.0,,13.3,4.2,1.7,3.4,0.484,0.0,0.2,0.2,1.6,3.3,0.5,0.489,0.8,1.1,0.759,0.9,1.1,2.0,1.4,0.5,0.0,0.6,0.7,0,11.0,0.8,not_listed,not_listed,ABA
Joe Ingles,Small Forward,Left,80,226,no_college,not_drafted,not_drafted,3,30,Utah Jazz,242.0,60.0,20.2,5.5,2.0,4.5,0.433,1.1,2.9,0.399,0.8,1.7,0.491,0.559,0.4,0.5,0.738,0.3,2.2,2.4,2.1,0.9,0.1,1.1,1.6,0,10.9,9.5,2250000.0,2016,UTA
Damien Inglis,Small Forward,Right,80,246,no_college,2014,31,1,22,no_current_team,20.0,1.0,7.8,1.8,0.7,1.9,0.351,0.2,0.7,0.231,0.5,1.2,0.417,0.392,0.4,0.4,0.875,0.1,1.5,1.6,0.5,0.3,0.2,0.6,0.6,0,6.7,-0.1,855000.0,2015,MIL
Brandon Ingram,Small Forward,Right,81,190,Duke University,2016,2,1,20,Los Angeles Lakers,79.0,40.0,28.8,9.4,3.5,8.7,0.402,0.7,2.4,0.294,2.8,6.3,0.443,0.442,1.7,2.7,0.621,0.8,3.2,4.0,2.1,0.6,0.5,1.5,2.0,0,8.5,-0.3,5281680.0,2016,LAL
McCoy Ingram,Power Forward,Right,80,210,Jackson State University,not_drafted,not_drafted,1,86,no_current_team,24.0,,11.1,2.8,1.1,4.3,0.262,,,,1.1,4.3,0.262,0.262,0.5,1.2,0.464,,,4.8,0.8,,,,1.8,0,7.6,-0.7,not_listed,not_listed,MNL
Ervin Inniger,Shooting Guard,Right,76,190,Indiana University,not_drafted,not_drafted,4,72,no_current_team,109.0,,22.7,8.8,3.8,8.9,0.43,0.1,0.4,0.167,3.8,8.5,0.444,0.434,1.1,1.5,0.741,0.6,1.2,3.5,1.4,,,1.1,2.4,0,12.2,5.5,not_listed,not_listed,ABA
Byron Irvin,Shooting Guard,Right,77,190,University of Missouri,1989,22,3,51,no_current_team,87.0,8.0,9.8,5.2,1.9,4.0,0.471,0.1,0.2,0.35,1.8,3.8,0.479,0.481,1.3,1.8,0.722,0.6,0.8,1.4,0.8,0.5,0.0,0.7,0.9,0,16.0,2.1,375000.0,1990,WSB
George Irvine,Small Forward,Right,78,200,University of Washington,1970,125,12,69,no_current_team,325.0,,19.8,9.5,3.9,7.6,0.517,0.1,0.4,0.274,3.8,7.2,0.532,0.525,1.6,1.9,0.826,1.0,1.9,3.0,1.3,0.4,0.2,1.2,2.6,0,14.0,16.0,not_listed,not_listed,ABA
Kyrie Irving,Point Guard,Right,75,193,no_college,2011,1,6,25,Boston Celtics,381.0,381.0,34.2,21.6,7.9,17.3,0.457,1.9,5.0,0.383,6.0,12.3,0.486,0.512,3.9,4.5,0.873,0.7,2.6,3.4,5.5,1.3,0.3,2.7,2.2,1,21.3,40.4,17638063.0,2016,CLE
Dan Issel,Center and Power Forward,Right,81,235,University of Kentucky,1970,,21,69,no_current_team,500.0,,38.9,25.6,10.0,20.4,0.491,0.0,0.1,0.149,10.0,20.3,0.493,0.492,5.6,7.1,0.786,4.0,6.8,10.9,2.2,1.0,0.5,2.4,3.0,1,21.4,157.8,614000.0,1984,DEN
Mike Iuzzolino,Point Guard,Right,70,175,Saint Francis University,1991,35,2,49,no_current_team,122.0,44.0,25.0,9.0,3.1,6.8,0.457,0.9,2.3,0.404,2.2,4.5,0.485,0.525,1.8,2.3,0.798,0.5,1.5,2.0,4.3,0.7,0.1,1.8,1.5,0,12.9,3.7,97500.0,1994,DAL
Allen Iverson,Point Guard and Shooting Guard,Right,72,165,Georgetown University,1996,,20,42,no_current_team,914.0,901.0,41.1,26.7,9.3,21.8,0.425,1.2,3.7,0.313,8.1,18.1,0.448,0.452,7.0,8.9,0.78,0.8,2.9,3.7,6.2,2.2,0.2,3.6,1.9,1,20.9,99.0,6161386.0,2009,PHI
Willie Iverson,Point Guard,Right,72,180,Central Michigan University,not_drafted,not_drafted,2,72,no_current_team,28.0,,19.0,4.9,1.8,5.2,0.342,0.0,0.1,0.0,1.8,5.1,0.347,0.342,1.3,2.1,0.6,0.4,1.2,1.6,2.9,,,2.0,1.7,0,4.7,-0.1,not_listed,not_listed,ABA
Royal Ivey,Shooting Guard and Point Guard,Right,75,200,University of Texas at Austin,2004,37,12,36,no_current_team,492.0,114.0,12.5,3.3,1.3,3.1,0.406,0.3,0.9,0.361,0.9,2.2,0.425,0.459,0.5,0.7,0.706,0.3,0.8,1.1,1.0,0.5,0.1,0.5,1.5,0,8.4,4.5,1223166.0,2012,OKC
Elvin Ivory,Forward,Right,80,210,University of Louisiana at Lafayette,not_drafted,not_drafted,2,69,no_current_team,20.0,,9.4,4.4,1.9,4.4,0.437,0.1,0.2,0.25,1.9,4.2,0.446,0.443,0.6,0.9,0.647,1.7,1.6,3.3,0.5,,,0.7,1.9,0,14.9,0.1,not_listed,not_listed,ABA
