player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Warren Jabali,Point Guard and Shooting Guard,Right,74,200,Wichita State University,1968,44,14,71,no_current_team,447.0,,34.1,17.1,6.0,13.8,0.431,0.7,2.3,0.319,5.2,11.6,0.453,0.457,4.5,6.0,0.756,2.0,4.7,6.7,5.3,2.0,0.3,3.8,3.5,1,16.3,35.1,not_listed,not_listed,ABA
Jarrett Jack,Point Guard and Shooting Guard,Right,75,200,Georgia Institute of Technology,2005,22,14,34,no_current_team,805.0,343.0,28.1,11.0,4.0,9.0,0.441,0.7,2.1,0.345,3.2,6.8,0.47,0.482,2.4,2.8,0.856,0.3,2.5,2.9,4.5,0.8,0.1,2.0,1.8,0,14.3,35.7,7491274.0,2016,NOP
Al Jackson,Guard,Right,73,185,Wilberforce University,not_drafted,not_drafted,1,74,no_current_team,2.0,,8.5,0.0,0.0,1.5,0.0,,,,0.0,1.5,0.0,0.0,0.0,0.0,,,,0.0,0.5,,,,3.0,0,-9.2,-0.1,not_listed,not_listed,CIN
Bobby Jackson,Point Guard and Shooting Guard,Right,73,185,University of Minnesota,1997,23,14,44,no_current_team,755.0,143.0,22.2,9.7,3.6,8.7,0.417,0.9,2.6,0.354,2.7,6.2,0.444,0.47,1.5,1.9,0.793,0.8,2.3,3.1,2.6,0.9,0.1,1.3,1.8,0,15.2,31.4,6487888.0,2008,SAC
Cedric Jackson,Point Guard,Right,75,191,Cleveland State University,not_drafted,not_drafted,4,31,no_current_team,12.0,0.0,6.2,1.7,0.5,1.7,0.3,0.1,0.5,0.167,0.4,1.2,0.357,0.325,0.6,1.0,0.583,0.2,0.5,0.7,1.2,0.3,0.2,0.9,0.6,0,5.5,-0.2,3453834.0,2009,WAS
Darnell Jackson,Power Forward,Right,81,253,University of Kansas,2008,52,5,32,no_current_team,138.0,4.0,7.5,2.2,0.9,2.0,0.449,0.0,0.1,0.235,0.9,1.9,0.463,0.456,0.4,0.7,0.644,0.7,0.8,1.5,0.2,0.2,0.1,0.4,1.2,0,8.7,1.3,9854389.0,2010,SAC
Demetrius Jackson,Point Guard,Right,73,201,University of Notre Dame,2016,45,1,23,no_current_team,5.0,0.0,3.4,2.0,0.6,0.8,0.75,0.2,0.2,1.0,0.4,0.6,0.667,0.875,0.6,1.2,0.5,0.4,0.4,0.8,0.6,0.0,0.0,0.0,0.0,0,30.8,0.1,1450000.0,2016,BOS
Greg Jackson,Shooting Guard,Right,72,180,Guilford College,1974,86,3,65,no_current_team,49.0,,16.4,3.7,1.5,3.6,0.415,,,,1.5,3.6,0.415,0.415,0.7,1.3,0.581,0.4,1.0,1.4,2.0,0.5,0.2,,2.7,0,7.6,-0.1,not_listed,not_listed,PHO
Jaren Jackson,Shooting Guard,Right,76,190,Georgetown University,not_drafted,not_drafted,12,50,no_current_team,431.0,71.0,16.7,5.5,2.0,5.1,0.391,0.8,2.3,0.353,1.2,2.9,0.42,0.469,0.7,0.9,0.764,0.5,1.3,1.8,1.2,0.6,0.1,0.8,1.7,0,10.1,11.5,3020834.0,2001,ORL
Jermaine Jackson,Point Guard and Shooting Guard,Right,76,204,University of Detroit Mercy,not_drafted,not_drafted,7,41,no_current_team,135.0,3.0,10.0,1.9,0.7,1.6,0.401,0.0,0.1,0.158,0.6,1.5,0.424,0.408,0.6,0.8,0.711,0.3,0.8,1.1,1.4,0.3,0.1,0.6,0.9,0,8.8,1.0,4583944.0,2005,MIL
Jim Jackson,Shooting Guard and Small Forward,Right,78,220,Ohio State University,1992,4,24,47,no_current_team,885.0,650.0,32.8,14.3,5.4,12.7,0.428,1.0,2.7,0.365,4.4,10.0,0.445,0.467,2.5,3.0,0.825,1.3,3.3,4.7,3.2,0.8,0.2,2.5,2.2,0,13.5,35.8,2640000.0,2005,LAL
