player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
George Kaftan,Small Forward,Right,75.0,190.0,College of the Holy Cross,1949,1949,6,89.0,no_current_team,21.0,,,14.5,5.5,15.0,0.368,,,,5.5,15.0,0.368,0.368,3.4,5.5,0.626,,,,2.9,,,,1.3,0,13.7,8.9,not_listed,not_listed,BLB
Ed Kalafat,Small Forward and Power Forward,Right,78.0,245.0,University of Minnesota,1954,9,3,85.0,no_current_team,209.0,,20.9,7.1,2.3,6.8,0.345,,,,2.3,6.8,0.345,0.345,2.4,3.4,0.688,,,5.7,1.5,,,,3.3,0,11.5,5.3,not_listed,not_listed,MNL
Chris Kaman,Center,Right,84.0,265.0,Central Michigan University,2003,6,13,35.0,no_current_team,735.0,538.0,26.7,11.2,4.7,9.6,0.489,0.0,0.0,0.042,4.7,9.5,0.49,0.489,1.8,2.5,0.743,2.0,5.6,7.6,1.3,0.4,1.3,2.1,2.7,1,14.9,24.6,5000000.0,2015,POR
Frank Kaminsky,Center,Right,84.0,242.0,University of Wisconsin,2015,9,2,24.0,Charlotte Hornets,156.0,19.0,23.5,9.5,3.4,8.5,0.403,1.2,3.6,0.331,2.3,4.9,0.455,0.472,1.4,1.9,0.743,0.8,3.5,4.3,1.7,0.5,0.5,0.9,1.7,0,12.8,5.6,2730000.0,2016,CHO
Enes Kanter,Center,Right,83.0,245.0,no_college,2011,3,8,25.0,Oklahoma City Thunder,445.0,114.0,21.3,11.3,4.6,8.7,0.53,0.1,0.2,0.299,4.5,8.4,0.536,0.534,2.1,2.7,0.768,2.7,4.1,6.7,0.6,0.4,0.4,1.5,2.1,0,19.6,26.6,17145838.0,2016,OKC
Ralph Kaplowitz,Guard/Forward,Right,74.0,170.0,New York University,not_drafted,not_drafted,8,98.0,no_current_team,105.0,,,5.6,2.1,7.8,0.263,,,,2.1,7.8,0.263,0.263,1.5,2.0,0.749,,,,0.5,,,,2.1,0,,5.2,not_listed,not_listed,BAA
Jason Kapono,Small Forward and Shooting Guard,Right,80.0,213.0,"University of California, Los Angeles",2003,31,9,36.0,no_current_team,509.0,87.0,17.8,6.7,2.6,5.9,0.442,0.9,2.1,0.434,1.7,3.9,0.446,0.517,0.5,0.6,0.835,0.3,1.3,1.7,0.8,0.4,0.0,0.6,1.5,0,10.5,10.3,1223166.0,2011,LAL
Sergey Karasev,Shooting Guard and Small Forward,Left,79.0,208.0,no_college,2013,19,3,24.0,no_current_team,95.0,22.0,11.7,3.0,1.0,2.6,0.395,0.3,1.2,0.282,0.7,1.4,0.489,0.459,0.7,0.8,0.842,0.3,1.2,1.5,0.9,0.3,0.0,0.6,1.0,0,8.7,0.8,1599840.0,2015,BRK
Coby Karl,Small Forward and Shooting Guard,Right,77.0,215.0,Boise State University,not_drafted,not_drafted,4,34.0,no_current_team,24.0,1.0,7.7,2.4,0.8,2.4,0.345,0.3,1.0,0.25,0.6,1.4,0.412,0.397,0.5,0.7,0.75,0.3,1.0,1.3,1.0,0.3,0.1,0.6,0.8,0,9.2,0.0,1943319.0,2009,GSW
George Karl,Point Guard,College:,,,no_college,1973,66,8,65.0,no_current_team,33.0,,8.5,2.6,0.8,2.4,0.342,,,,0.8,2.4,0.342,0.342,0.9,1.3,0.705,0.1,0.5,0.7,1.5,0.3,0.0,1.0,1.3,0,13.2,7.7,not_listed,not_listed,SAS
Mario Kasun,Center,Right,85.0,260.0,no_college,2002,41,2,37.0,no_current_team,73.0,0.0,7.8,2.7,1.1,2.3,0.467,0.0,0.0,0.0,1.1,2.3,0.47,0.467,0.6,0.9,0.636,1.0,1.5,2.6,0.2,0.1,0.2,0.6,2.1,0,10.8,0.8,1919551.0,2006,ORL
Bob Kauffman,Power Forward and Small Forward and Center,Right,80.0,240.0,Guilford College,1968,3,7,71.0,no_current_team,525.0,,25.8,11.5,4.4,9.2,0.477,,,,4.4,9.2,0.477,0.477,2.7,3.7,0.749,1.1,2.3,7.0,2.7,0.4,0.1,,2.6,1,16.8,31.5,not_listed,not_listed,ATL
