player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Skal Labissiere,Power Forward,Right,83.0,225.0,no_college,2016,28,1,21.0,Sacramento Kings,33.0,12.0,18.5,8.8,3.5,6.6,0.537,0.1,0.2,0.375,3.5,6.4,0.543,0.544,1.6,2.2,0.703,1.5,3.4,4.9,0.8,0.5,0.4,1.1,1.9,0,16.8,1.3,1188840.0,2016,SAC
Reggie Lacefield,Guard/Forward,Right,77.0,230.0,Western Michigan University,1968,155,2,72.0,no_current_team,8.0,,6.0,3.0,1.4,2.8,0.5,0.0,0.1,0.0,1.4,2.6,0.524,0.5,0.3,0.5,0.5,0.5,0.9,1.4,0.0,,,0.4,1.1,0,12.8,0.1,not_listed,not_listed,ABA
Edgar Lacey,Forward,Right,78.0,190.0,"University of California, Los Angeles",not_drafted,not_drafted,2,73.0,no_current_team,46.0,,13.2,5.1,2.1,4.8,0.447,0.0,0.0,0.0,2.1,4.7,0.452,0.447,0.8,1.5,0.567,1.5,2.4,3.9,0.7,,,1.4,2.0,0,10.5,0.5,not_listed,not_listed,ABA
Sam Lacey,Center,Right,82.0,235.0,New Mexico State University,1970,5,15,69.0,no_current_team,1002.0,40.0,31.8,10.3,4.3,9.7,0.441,0.0,0.1,0.188,4.3,9.7,0.442,0.441,1.7,2.4,0.738,2.2,6.9,9.7,3.7,1.3,1.5,2.2,3.5,1,14.2,50.9,not_listed,not_listed,CLE
Bob Lackey,Shooting Guard,Right,77.0,200.0,Marquette University,1972,71,4,68.0,no_current_team,71.0,,16.9,5.8,2.2,5.1,0.431,0.0,0.1,0.4,2.2,5.0,0.431,0.434,1.4,2.4,0.593,0.9,1.4,2.3,1.9,0.3,0.0,1.7,2.4,0,7.3,-0.1,not_listed,not_listed,ABA
Fred LaCour,Point Guard and Small Forward,Right,77.0,210.0,University of San Francisco,1960,22,3,79.0,no_current_team,144.0,,16.7,6.5,2.6,6.3,0.421,,,,2.6,6.3,0.421,0.421,1.2,1.6,0.774,,,3.3,1.9,,,,1.9,0,11.8,3.4,not_listed,not_listed,SFW
Wendell Ladner,Small Forward,Right,77.0,220.0,University of Southern Mississippi,not_drafted,not_drafted,22,69.0,no_current_team,300.0,,26.3,11.6,5.0,12.9,0.386,0.4,1.5,0.252,4.6,11.5,0.403,0.4,1.2,1.7,0.712,2.7,5.6,8.3,2.1,1.6,0.1,2.0,3.9,1,12.5,3.6,not_listed,not_listed,ABA
Christian Laettner,Power Forward and Center,Right,83.0,235.0,Duke University,1992,3,17,48.0,no_current_team,868.0,692.0,29.7,12.8,4.6,9.7,0.48,0.1,0.4,0.261,4.5,9.3,0.49,0.486,3.4,4.2,0.82,1.9,4.8,6.7,2.6,1.1,0.8,2.2,3.2,1,16.9,64.9,1100000.0,2004,MIA
Oliver Lafayette,Shooting Guard,Right,74.0,190.0,University of Houston,not_drafted,not_drafted,1,33.0,no_current_team,1.0,0.0,22.0,7.0,3.0,6.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.583,0.0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,0,12.8,0.0,not_listed,not_listed,BOS
Raef LaFrentz,Power Forward and Center,Left,83.0,240.0,University of Kansas,1998,3,12,41.0,no_current_team,563.0,438.0,25.8,10.1,4.0,8.5,0.466,0.8,2.3,0.363,3.1,6.2,0.505,0.516,1.3,1.9,0.711,1.8,4.3,6.1,1.1,0.5,1.6,0.9,3.3,0,16.1,39.4,12722500.0,2008,POR
