player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Mike Macaluso,Small Forward,Right,77,210,Canisius College,1973,88,1,66.0,no_current_team,30.0,,3.7,1.6,0.6,1.5,0.432,,,,0.6,1.5,0.432,0.432,0.3,0.6,0.588,0.3,0.5,0.8,0.1,0.2,0.0,,1.0,0,10.2,0.0,not_listed,not_listed,BUF
Todd MacCulloch,Center,Right,84,280,University of Washington,1999,47,4,41.0,no_current_team,223.0,105.0,15.4,6.1,2.5,4.7,0.541,0.0,0.0,,2.5,4.7,0.541,0.541,1.0,1.6,0.642,1.5,2.5,4.0,0.5,0.3,0.8,0.7,2.1,0,16.9,11.9,6353200.0,2005,PHI
Scott Machado,Point Guard,Right,73,205,Iona College,not_drafted,not_drafted,1,27.0,no_current_team,6.0,0.0,3.5,1.3,0.5,1.0,0.5,0.0,0.2,0.0,0.5,0.8,0.6,0.5,0.3,0.3,1.0,0.0,0.2,0.2,1.0,0.3,0.0,1.3,0.0,0,6.0,-0.1,8192228.0,2012,HOU
Ollie Mack,Shooting Guard,Right,75,185,East Carolina University,1979,25,7,60.0,no_current_team,128.0,3.0,19.6,7.2,3.1,6.8,0.458,0.0,0.1,0.0,3.1,6.6,0.467,0.458,1.0,1.4,0.674,1.0,1.5,2.5,1.8,0.7,0.1,0.9,1.4,0,12.0,2.5,not_listed,not_listed,DAL
Sam Mack,Small Forward,Right,79,220,University of Houston,not_drafted,not_drafted,9,47.0,no_current_team,259.0,105.0,19.4,7.8,2.8,6.9,0.4,1.3,3.4,0.374,1.5,3.5,0.426,0.493,1.0,1.2,0.831,0.4,1.6,2.1,1.3,0.6,0.1,0.8,1.8,0,12.2,7.4,8174598.0,2001,MIA
Shelvin Mack,Shooting Guard and Point Guard,Right,75,203,Butler University,2011,34,11,27.0,Orlando Magic,330.0,50.0,17.5,6.3,2.5,5.9,0.426,0.6,2.0,0.321,1.9,3.9,0.478,0.48,0.7,1.0,0.748,0.2,1.7,1.9,2.9,0.6,0.0,1.2,1.2,0,12.5,7.5,2433334.0,2016,UTA
Malcolm Mackey,Center,Right,81,248,Georgia Institute of Technology,1993,27,1,47.0,no_current_team,22.0,0.0,3.1,1.5,0.6,1.7,0.378,0.0,0.1,0.0,0.6,1.6,0.4,0.378,0.2,0.4,0.5,0.5,0.5,1.1,0.0,0.0,0.1,0.1,0.4,0,12.6,0.1,550000.0,1993,PHO
Rudy Macklin,Small Forward,Right,79,205,Louisiana State University,1981,52,3,59.0,no_current_team,160.0,52.0,17.2,6.4,2.5,5.5,0.449,0.0,0.0,0.0,2.5,5.4,0.452,0.449,1.5,2.0,0.776,1.3,1.6,2.9,0.8,0.5,0.2,1.3,2.7,0,10.0,3.2,not_listed,not_listed,NYK
Vernon Macklin,Center,Right,82,227,University of Florida,2011,52,1,31.0,no_current_team,23.0,0.0,5.9,2.0,0.8,1.5,0.543,0.0,0.0,,0.8,1.5,0.543,0.543,0.3,0.6,0.571,0.6,0.9,1.5,0.2,0.2,0.2,0.1,0.4,0,18.2,0.5,4473604.0,2011,DET
Don MacLean,Power Forward and Small Forward,Right,82,235,"University of California, Los Angeles",1992,19,9,47.0,no_current_team,319.0,111.0,20.9,10.9,4.1,9.1,0.455,0.2,0.6,0.284,4.0,8.5,0.467,0.465,2.5,3.3,0.765,1.1,2.7,3.8,1.3,0.4,0.2,1.2,1.9,0,15.1,9.4,965850.0,2001,MIA
Mark Macon,Shooting Guard and Point Guard,Right,77,185,Temple University,1991,8,8,48.0,no_current_team,251.0,104.0,20.0,6.7,2.8,7.2,0.384,0.1,0.5,0.27,2.6,6.7,0.393,0.394,1.0,1.4,0.735,0.7,1.2,1.9,1.7,1.4,0.1,1.3,2.3,0,8.9,0.1,2038000.0,1995,DET
Kyle Macy,Point Guard,Right,75,175,University of Kentucky,1979,22,7,60.0,no_current_team,551.0,257.0,25.9,9.5,3.9,7.9,0.501,0.3,1.0,0.337,3.6,6.8,0.526,0.523,1.3,1.5,0.873,0.6,1.6,2.2,4.0,1.1,0.1,1.3,2.0,0,14.0,36.0,305000.0,1985,IND
Jack Maddox,Forward/Guard,Right,75,185,West Texas A&M University,not_drafted,not_drafted,2,98.0,no_current_team,1.0,,,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,1.0,,,,0.0,0,,0.0,not_listed,not_listed,BAA
Tito Maddox,Shooting Guard,Right,76,190,"California State University, Fresno",2002,38,1,36.0,no_current_team,9.0,0.0,3.9,1.2,0.3,1.3,0.25,0.0,0.3,0.0,0.3,1.0,0.333,0.25,0.6,0.9,0.625,0.1,0.7,0.8,0.6,0.3,0.1,0.3,0.4,0,11.2,0.0,8349458.0,2002,HOU
Gerald Madkins,Shooting Guard,Right,76,200,"University of California, Los Angeles",not_drafted,not_drafted,3,48.0,no_current_team,48.0,0.0,8.8,1.7,0.5,1.5,0.366,0.3,0.7,0.375,0.3,0.8,0.359,0.451,0.3,0.4,0.762,0.1,0.5,0.5,1.4,0.5,0.0,0.6,0.8,0,8.7,0.3,615000.0,1994,GSW
Mark Madsen,Power Forward and Center,Right,81,240,Stanford University,2000,29,9,41.0,no_current_team,453.0,70.0,11.8,2.2,0.8,1.8,0.457,0.0,0.0,0.063,0.8,1.8,0.465,0.457,0.5,0.9,0.527,1.2,1.3,2.6,0.4,0.3,0.2,0.5,1.9,0,8.1,8.2,2840000.0,2009,MIN
Norm Mager,Forward,Right,77,185,City College of New York,1950,1950,1,91.0,no_current_team,24.0,,,5.2,1.7,5.9,0.282,,,,1.7,5.9,0.282,0.282,1.8,2.3,0.786,,,2.0,1.0,,,,2.8,0,,0.0,not_listed,not_listed,BLB
Corey Maggette,Power Forward and Shooting Guard and Small Forward,Right,78,218,Duke University,1999,13,14,38.0,no_current_team,827.0,478.0,28.2,16.0,4.9,10.8,0.453,0.6,1.7,0.324,4.4,9.1,0.478,0.479,5.6,6.8,0.822,1.1,3.8,4.9,2.1,0.7,0.2,2.3,2.8,0,17.9,62.2,10924138.0,2012,DET
Dave Magley,Small Forward,Right,80,202,University of Kansas,1982,28,1,58.0,no_current_team,14.0,0.0,4.0,0.9,0.3,1.1,0.25,0.0,0.1,0.0,0.3,1.1,0.267,0.25,0.3,0.6,0.5,0.1,0.6,0.7,0.1,0.1,0.0,0.1,0.4,0,3.9,-0.1,not_listed,not_listed,CLE
Jamaal Magloire,Center,Right,83,259,University of Kentucky,2000,19,14,39.0,no_current_team,680.0,314.0,21.5,7.2,2.6,5.4,0.48,0.0,0.0,0.0,2.6,5.4,0.481,0.48,2.0,3.2,0.639,2.1,4.4,6.5,0.6,0.3,0.9,1.5,2.6,1,13.5,27.7,1352181.0,2011,TOR
Randolph Mahaffey,Power Forward and Small Forward,Left,79,210,Clemson University,1967,16,12,72.0,no_current_team,321.0,,29.9,11.9,4.6,10.3,0.445,0.0,0.0,0.0,4.6,10.3,0.447,0.445,2.7,3.9,0.684,2.7,5.2,8.0,1.6,,,2.7,3.5,1,12.3,16.7,not_listed,not_listed,ABA
Ian Mahinmi,Center,Right,83,250,no_college,2005,28,9,31.0,Washington Wizards,469.0,92.0,16.8,5.2,1.9,3.6,0.539,0.0,0.0,0.0,1.9,3.6,0.541,0.539,1.3,2.1,0.595,1.4,2.9,4.4,0.5,0.6,0.7,0.9,2.6,0,13.1,21.5,15944154.0,2016,WAS
John Mahnken,Center,Right,80,220,Georgetown University,not_drafted,not_drafted,21,95.0,no_current_team,165.0,,,8.5,3.4,13.5,0.255,,,,3.4,13.5,0.255,0.255,1.6,2.5,0.644,,,,1.3,,,,3.3,0,10.1,1.2,not_listed,not_listed,BOS
Brian Mahoney,Shooting Guard,Right,75,175,Manhattan College,1971,69,2,69.0,no_current_team,19.0,,9.5,3.1,0.9,3.0,0.298,0.0,0.1,0.0,0.9,2.9,0.309,0.298,1.3,2.1,0.6,0.2,0.5,0.7,0.6,,,0.9,1.8,0,0.3,-0.4,not_listed,not_listed,ABA
Mo Mahoney,Forward,Right,74,205,Brown University,1950,1950,2,90.0,no_current_team,8.0,,5.6,1.5,0.5,1.5,0.333,,,,0.5,1.5,0.333,0.333,0.5,0.6,0.8,,,1.1,0.3,,,,0.9,0,9.5,0.0,not_listed,not_listed,BLB
Rick Mahorn,Center and Power Forward,Right,82,240,Hampton University,1980,35,18,59.0,no_current_team,1117.0,613.0,23.1,6.9,2.8,5.6,0.493,0.0,0.0,0.132,2.8,5.6,0.495,0.493,1.4,2.0,0.704,1.6,4.6,6.2,1.0,0.6,0.9,1.3,3.1,0,11.6,51.7,510000.0,1999,PHI
