player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Hamady N'Diaye,Center,Right,84.0,235.0,Rutgers University,2010,56,3,30,no_current_team,33.0,0.0,4.8,0.6,0.2,0.5,0.467,0.0,0.0,,0.2,0.5,0.467,0.467,0.2,0.4,0.462,0.2,0.5,0.8,0.1,0.1,0.3,0.2,1.0,0,3.9,0.0,7270427.0,2011,SAC
Makhtar N'Diaye,Power Forward,Right,80.0,245.0,University of North Carolina,not_drafted,not_drafted,1,44,no_current_team,4.0,0.0,6.8,1.3,0.3,1.0,0.25,0.0,0.0,,0.3,1.0,0.25,0.25,0.8,1.0,0.75,0.8,0.5,1.3,0.3,0.0,0.3,0.3,2.3,0,3.9,0.0,385000.0,1999,VAN
Mamadou N'Diaye,Center,Right,84.0,255.0,Auburn University,2000,26,7,42,no_current_team,69.0,9.0,12.4,3.8,1.2,2.9,0.427,0.0,0.0,0.0,1.2,2.9,0.429,0.427,1.3,1.8,0.736,1.3,2.0,3.3,0.1,0.2,0.9,0.6,2.1,0,13.3,1.8,750000.0,2004,LAC
Bob Naber,Forward,Right,75.0,185.0,University of Louisville,not_drafted,not_drafted,1,88,no_current_team,4.0,,2.8,0.3,0.0,1.0,0.0,,,,0.0,1.0,0.0,0.0,0.3,0.5,0.5,,,1.3,0.3,,,,1.5,0,-10.4,-0.1,not_listed,not_listed,INO
Boris Nachamkin,Forward,Right,78.0,210.0,New York University,1954,16,1,84,no_current_team,6.0,,9.8,3.3,1.0,3.3,0.3,,,,1.0,3.3,0.3,0.3,1.3,2.2,0.615,,,3.2,0.5,,,,1.0,0,12.2,0.0,not_listed,not_listed,ROC
Bostjan Nachbar,Small Forward and Power Forward,Right,81.0,221.0,no_college,2002,15,10,37,no_current_team,317.0,25.0,17.8,7.1,2.3,5.8,0.406,1.0,2.7,0.375,1.3,3.1,0.433,0.494,1.4,1.8,0.784,0.4,2.2,2.6,0.9,0.4,0.3,0.9,2.2,0,11.5,8.7,2500000.0,2007,NJN
Jerry Nagel,Guard,Right,72.0,190.0,Loyola University of Chicago,1949,1949,1,89,no_current_team,14.0,,,0.9,0.4,2.0,0.214,,,,0.4,2.0,0.214,0.214,0.1,0.3,0.25,,,,1.3,,,,0.8,0,,-0.1,not_listed,not_listed,FTW
Lee Nailon,Power Forward and Small Forward,Left,81.0,238.0,Texas Christian University,1999,43,9,42,no_current_team,306.0,96.0,19.0,8.6,3.7,7.7,0.474,0.0,0.0,0.111,3.7,7.7,0.475,0.474,1.2,1.6,0.786,1.2,1.8,3.1,1.0,0.4,0.2,1.0,1.9,0,14.0,8.0,835810.0,2005,PHI
Eduardo Najera,Small Forward and Power Forward,Right,80.0,240.0,University of Oklahoma,2000,38,16,41,no_current_team,619.0,85.0,18.1,4.9,1.9,4.0,0.481,0.2,0.6,0.311,1.8,3.5,0.509,0.503,0.9,1.3,0.671,1.4,2.3,3.7,0.8,0.7,0.4,0.6,2.2,0,12.0,24.7,2750000.0,2011,CHA
Larry Nance,Power Forward,Right,82.0,205.0,Clemson University,1981,20,15,58,no_current_team,920.0,795.0,33.4,17.1,6.9,12.7,0.546,0.0,0.1,0.145,6.9,12.6,0.548,0.546,3.2,4.2,0.755,2.5,5.5,8.0,2.6,0.9,2.2,1.9,2.9,1,19.9,109.6,2840000.0,1993,CLE
Larry Nance Jr.,Power Forward,Right,81.0,230.0,University of Wyoming,2015,27,2,24,Los Angeles Lakers,126.0,29.0,21.5,6.3,2.8,5.2,0.526,0.1,0.4,0.239,2.7,4.9,0.548,0.535,0.7,1.0,0.717,1.8,3.7,5.4,1.1,1.1,0.5,0.8,2.2,0,14.6,5.7,1207680.0,2016,LAL
Shabazz Napier,Point Guard,Right,73.0,175.0,University of Connecticut,2014,24,3,26,Portland Trail Blazers,159.0,12.0,13.4,4.3,1.4,3.8,0.373,0.7,2.0,0.354,0.7,1.9,0.393,0.463,0.7,0.9,0.767,0.2,1.2,1.4,1.8,0.6,0.0,1.1,1.0,0,10.4,1.2,1350120.0,2016,POR
Bob Nash,Small Forward,Right,80.0,195.0,University of Hawaii,1972,9,6,67,no_current_team,17.0,,10.3,3.9,1.6,4.6,0.346,0.0,0.1,0.0,1.6,4.5,0.355,0.346,0.8,1.1,0.722,1.2,2.1,3.2,0.7,0.2,0.1,0.9,1.8,0,11.1,2.4,not_listed,not_listed,KCK
