player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Charles O'Bannon,Shooting Guard,Right,77,209,"University of California, Los Angeles",1997,31,2,42.0,no_current_team,48.0,1.0,8.3,2.5,1.0,2.6,0.4,0.0,0.1,0.0,1.0,2.5,0.413,0.4,0.4,0.5,0.87,0.7,0.7,1.4,0.6,0.2,0.1,0.4,0.8,0,11.7,0.6,320000.0,1998,DET
Ed O'Bannon,Shooting Guard and Small Forward,Left,80,222,"University of California, Los Angeles",1995,9,4,45.0,no_current_team,128.0,34.0,16.1,5.0,1.9,5.3,0.367,0.2,1.0,0.222,1.7,4.3,0.4,0.387,0.8,1.1,0.755,0.9,1.6,2.5,0.8,0.6,0.2,0.6,1.5,0,9.1,1.1,1472640.0,1997,DAL
John O'Boyle,Shooting Guard,Right,74,185,Colorado State University,not_drafted,not_drafted,1,89.0,no_current_team,5.0,,19.4,4.2,1.6,5.2,0.308,,,,1.6,5.2,0.308,0.308,1.0,1.4,0.714,,,2.0,1.0,,,,4.0,0,3.4,0.0,not_listed,not_listed,MLH
Bob O'Brien,Forward,Right,76,190,Pepperdine University,not_drafted,not_drafted,8,90.0,no_current_team,46.0,,,1.8,0.6,2.8,0.206,,,,0.6,2.8,0.206,0.206,0.6,1.3,0.466,,,,0.2,,,,1.6,0,,-0.1,not_listed,not_listed,BAA
J.J. O'Brien,Small Forward,Right,79,228,San Diego State University,not_drafted,not_drafted,1,25.0,no_current_team,2.0,0.0,3.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0,1.3,0.0,8105888.0,2015,UTA
Jim O'Brien,Small Forward,Right,79,200,University of Maryland,1973,37,4,66.0,no_current_team,58.0,,11.5,4.6,1.8,4.1,0.429,0.1,0.5,0.2,1.7,3.6,0.462,0.442,1.0,1.3,0.747,1.0,1.4,2.4,1.5,0.7,0.4,1.4,1.1,0,14.6,0.4,not_listed,not_listed,ABA
Jimmy O'Brien,Point Guard,Right,73,170,Boston College,1971,53,16,67.0,no_current_team,303.0,,20.3,5.9,2.4,5.9,0.402,0.1,0.3,0.176,2.3,5.6,0.416,0.407,1.1,1.3,0.83,0.6,1.4,2.0,4.1,1.0,0.0,1.8,1.7,0,9.9,4.0,not_listed,not_listed,ABA
Ralph O'Brien,Point Guard and Shooting Guard,Right,69,160,Butler University,1950,1950,5,89.0,no_current_team,119.0,,19.6,7.1,2.7,7.6,0.36,,,,2.7,7.6,0.36,0.36,1.7,2.0,0.83,,,1.6,1.5,,,,1.6,0,12.4,3.1,not_listed,not_listed,BLB
Johnny O'Bryant,Power Forward,Right,81,257,Louisiana State University,2014,36,5,24.0,Charlotte Hornets,111.0,19.0,11.8,3.0,1.3,3.2,0.404,0.0,0.1,0.571,1.3,3.2,0.401,0.409,0.4,0.7,0.603,0.9,1.4,2.3,0.5,0.2,0.1,0.6,1.4,0,6.9,-0.1,4115344.0,2016,CHO
Patrick O'Bryant,Center,Right,84,260,Bradley University,2006,9,6,31.0,no_current_team,90.0,3.0,5.8,2.1,0.9,1.8,0.494,0.0,0.0,0.0,0.9,1.7,0.503,0.494,0.3,0.5,0.583,0.4,1.1,1.4,0.3,0.2,0.4,0.5,1.4,0,11.0,0.5,1620000.0,2009,TOR
