player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Luther Rackley,Center,Right,82,220,Xavier University,1969,37,11,71,no_current_team,57.0,,15.7,7.3,3.0,6.0,0.494,0.0,0.0,0.0,3.0,6.0,0.496,0.494,1.4,2.1,0.65,1.6,3.5,5.0,0.6,,,0.9,2.3,0,12.6,6.0,not_listed,not_listed,PHI
Howie Rader,Guard/Forward,Right,73,190,Long Island University,not_drafted,not_drafted,2,96,no_current_team,13.0,,,1.3,0.5,3.5,0.156,,,,0.5,3.5,0.156,0.156,0.2,0.8,0.3,,,,1.1,,,,1.9,0,,-0.6,not_listed,not_listed,BAA
Mark Radford,Shooting Guard,Right,76,190,Oregon State University,1981,53,2,58,no_current_team,97.0,2.0,8.3,3.6,1.4,2.8,0.507,0.1,0.2,0.286,1.4,2.6,0.526,0.518,0.7,1.5,0.458,0.3,0.5,0.8,1.7,0.5,0.1,1.2,1.5,0,11.3,0.4,not_listed,not_listed,SEA
Wayne Radford,Shooting Guard,Right,75,205,Indiana University,1978,27,1,61,no_current_team,52.0,,12.5,3.9,1.6,3.4,0.474,,,,1.6,3.4,0.474,0.474,0.7,0.9,0.8,0.5,0.8,1.3,1.1,0.6,0.0,0.9,1.2,0,9.7,0.7,not_listed,not_listed,IND
Dino Radja,Center and Power Forward,Right,83,225,no_college,1989,40,4,50,no_current_team,224.0,172.0,32.6,16.7,6.8,13.6,0.497,0.0,0.0,0.0,6.8,13.6,0.497,0.497,3.1,4.3,0.735,2.2,6.2,8.4,1.6,0.9,1.3,2.2,3.3,0,17.4,14.3,2270500.0,1999,BOS
Vladimir Radmanovic,Power Forward and Small Forward,Right,82,227,no_college,2001,12,18,37,no_current_team,737.0,213.0,21.9,8.0,2.9,7.0,0.415,1.3,3.5,0.378,1.6,3.5,0.451,0.509,0.8,1.1,0.758,0.9,2.9,3.8,1.4,0.7,0.4,1.1,2.1,0,12.7,26.5,1352181.0,2012,CHI
Aleksandar Radojevic,Center,Right,87,250,Barton County Community College,1999,12,2,41,no_current_team,15.0,6.0,10.1,1.7,0.5,1.7,0.308,0.0,0.0,,0.5,1.7,0.308,0.308,0.7,1.1,0.625,0.7,1.7,2.4,0.5,0.1,0.2,1.3,2.5,0,-0.9,-0.4,6720046.0,2004,UTA
Frank Radovich,Forward,Right,80,235,Indiana University,1960,14,1,79,no_current_team,37.0,,4.7,2.4,1.0,2.5,0.398,,,,1.0,2.5,0.398,0.398,0.4,0.7,0.5,,,1.4,0.1,,,,0.7,0,9.8,0.0,not_listed,not_listed,PHW
Ray Radziszewski,Forward,Right,77,210,Saint Joseph's University,1957,30,1,82,no_current_team,1.0,,6.0,0.0,0.0,3.0,0.0,,,,0.0,3.0,0.0,0.0,0.0,0.0,,,,2.0,1.0,,,,1.0,0,-8.9,-0.1,not_listed,not_listed,PHW
Ray Ragelis,Small Forward,Right,76,205,Northwestern University,1951,17,1,89,no_current_team,51.0,,6.6,1.3,0.5,1.9,0.26,,,,0.5,1.9,0.26,0.26,0.4,0.6,0.621,,,1.5,0.6,,,,1.2,0,6.1,-0.4,not_listed,not_listed,ROC
Sherwin Raiken,Guard,Right,74,185,Villanova University,not_drafted,not_drafted,1,89,no_current_team,6.0,,10.5,1.5,0.5,3.5,0.143,,,,0.5,3.5,0.143,0.143,0.5,1.3,0.375,,,1.3,1.0,,,,1.7,0,-3.2,-0.3,not_listed,not_listed,NYK
Ed Rains,Small Forward,Right,79,190,University of South Alabama,1981,30,2,61,no_current_team,83.0,16.0,11.2,3.5,1.3,3.1,0.423,0.0,0.0,0.0,1.3,3.1,0.428,0.423,0.8,1.3,0.626,0.7,0.7,1.5,0.7,0.3,0.0,0.6,1.3,0,8.2,0.7,not_listed,not_listed,SAS
Igor Rakocevic,Point Guard,Right,75,183,no_college,2000,51,1,39,no_current_team,42.0,0.0,5.8,1.9,0.5,1.4,0.379,0.1,0.3,0.417,0.4,1.1,0.37,0.422,0.7,0.9,0.806,0.1,0.3,0.4,0.8,0.1,0.0,0.5,0.6,0,8.4,0.1,8349458.0,2002,MIN
Kurt Rambis,Power Forward,Right,80,213,Santa Clara University,1980,58,18,59,no_current_team,880.0,462.0,18.5,5.2,2.0,3.8,0.534,0.0,0.0,0.0,2.0,3.8,0.536,0.534,1.1,1.6,0.689,1.9,3.8,5.6,1.1,0.9,0.5,1.2,2.3,0,13.1,38.3,180000.0,1993,LAL
Peter John Ramos,Center,Right,87,275,no_college,2004,32,1,32,no_current_team,6.0,0.0,3.3,1.8,0.8,1.7,0.5,0.0,0.0,,0.8,1.7,0.5,0.5,0.2,0.3,0.5,0.2,0.5,0.7,0.0,0.0,0.2,0.5,0.7,0,8.2,0.0,6384776.0,2006,WAS
Cal Ramsey,Small Forward,Right,76,200,New York University,1959,13,4,80,no_current_team,13.0,,17.1,7.9,3.2,8.2,0.383,,,,3.2,8.2,0.383,0.383,1.6,2.8,0.568,,,5.6,0.9,,,,2.5,0,12.1,0.1,not_listed,not_listed,SYR
Frank Ramsey,Small Forward and Shooting Guard,Right,75,190,University of Kentucky,1953,,9,86,no_current_team,623.0,,24.6,13.4,4.7,11.8,0.399,,,,4.7,11.8,0.399,0.399,4.0,4.9,0.804,,,5.5,1.8,,,,3.5,0,15.5,49.2,not_listed,not_listed,BOS
Ray Ramsey,Guard/Forward,Right,74,165,Bradley University,not_drafted,not_drafted,2,96,no_current_team,2.0,,,1.0,0.0,0.5,0.0,,,,0.0,0.5,0.0,0.0,1.0,1.0,1.0,,,,0.0,,,,0.0,0,,0.0,not_listed,not_listed,BAA
