player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Arvydas Sabonis,Center,Right,87,279,no_college,1986,,7,53.0,no_current_team,470.0,314.0,24.2,12.0,4.4,8.9,0.5,0.3,0.9,0.328,4.1,8.0,0.52,0.517,2.8,3.6,0.786,1.6,5.7,7.3,2.1,0.8,1.1,1.8,2.7,0,21.2,47.3,3000000.0,2004,POR
Domantas Sabonis,Power Forward,Left,83,240,Gonzaga University,2016,11,1,21.0,Indiana Pacers,81.0,66.0,20.1,5.9,2.4,5.9,0.399,0.6,2.0,0.321,1.7,4.0,0.438,0.452,0.5,0.8,0.657,0.6,3.0,3.6,1.0,0.5,0.4,1.0,2.5,0,6.9,0.8,2440200.0,2016,OKC
Robert Sacre,Center,Right,84,270,Gonzaga University,2012,60,4,28.0,no_current_team,189.0,35.0,14.5,4.2,1.7,3.9,0.436,0.0,0.0,0.0,1.7,3.9,0.437,0.436,0.8,1.2,0.671,1.1,2.0,3.1,0.7,0.3,0.6,0.5,1.8,0,10.8,2.4,8981348.0,2015,LAL
Ed Sadowski,Center,Right,77,240,Seton Hall University,not_drafted,not_drafted,13,100.0,no_current_team,69.0,,,12.6,4.3,13.4,0.324,,,,4.3,13.4,0.324,0.324,4.0,5.4,0.735,,,,2.0,,,,3.5,0,,36.2,not_listed,not_listed,BLB
Kenny Sailors,Guard,Right,70,175,University of Wyoming,not_drafted,not_drafted,16,96.0,no_current_team,117.0,,,12.6,4.4,12.6,0.345,,,,4.4,12.6,0.345,0.345,3.9,5.4,0.723,,,2.0,3.2,,,,3.7,0,,17.1,not_listed,not_listed,BLB
John Salley,Power Forward and Center,Right,83,230,Georgia Institute of Technology,1986,11,13,53.0,no_current_team,748.0,228.0,22.1,7.0,2.5,4.9,0.506,0.0,0.0,0.214,2.5,4.9,0.507,0.506,2.0,2.8,0.714,1.6,2.8,4.5,1.2,0.6,1.3,1.3,3.2,0,12.8,41.5,510000.0,1999,LAL
John Salmons,Point Guard and Shooting Guard and Small Forward,Right,79,210,University of Miami,2002,26,19,38.0,no_current_team,895.0,429.0,26.4,9.3,3.4,7.8,0.431,0.8,2.2,0.366,2.5,5.6,0.457,0.483,1.7,2.2,0.799,0.5,2.4,2.9,2.4,0.8,0.3,1.3,1.9,0,12.1,33.9,1000000.0,2014,NOP
Al Salvadori,Forward,Right,81,220,University of South Carolina,1967,32,2,72.0,no_current_team,17.0,,10.9,3.2,1.2,3.4,0.362,0.1,0.1,1.0,1.2,3.4,0.351,0.371,0.6,0.9,0.688,,,2.7,0.2,,,0.7,1.6,0,6.0,-0.1,not_listed,not_listed,ABA
Kevin Salvadori,Center,Right,84,231,University of North Carolina,not_drafted,not_drafted,2,47.0,no_current_team,39.0,0.0,6.2,1.1,0.3,1.2,0.283,0.0,0.0,,0.3,1.2,0.283,0.283,0.4,0.6,0.667,0.3,0.9,1.2,0.3,0.1,0.6,0.4,0.7,0,6.1,-0.2,300000.0,1997,SAC
Soumaila Samake,Center,Right,84,230,no_college,2000,36,2,39.0,no_current_team,47.0,1.0,6.4,1.4,0.6,1.5,0.389,0.0,0.0,,0.6,1.5,0.389,0.389,0.3,0.6,0.462,0.7,0.9,1.6,0.1,0.0,0.4,0.1,0.8,0,10.0,0.3,4124984.0,2002,LAL
Cheikh Samb,Center,Right,85,245,no_college,2006,51,5,33.0,no_current_team,22.0,0.0,5.2,1.0,0.4,1.6,0.25,0.0,0.1,0.0,0.4,1.5,0.273,0.25,0.2,0.4,0.444,0.6,0.8,1.4,0.0,0.2,0.5,0.2,0.7,0,7.1,-0.1,1797581.0,2008,NYK
JaKarr Sampson,Small Forward,Right,81,214,St. John's University,not_drafted,not_drafted,4,24.0,no_current_team,147.0,72.0,15.6,5.2,1.9,4.5,0.431,0.3,1.3,0.237,1.6,3.2,0.51,0.465,1.0,1.5,0.662,0.6,1.9,2.4,0.8,0.4,0.4,1.0,1.9,0,8.8,0.7,9285489.0,2015,DEN
Jamal Sampson,Center and Power Forward,Right,83,235,University of California,2002,47,5,34.0,no_current_team,72.0,5.0,8.8,2.0,0.7,1.5,0.491,0.0,0.0,0.0,0.7,1.5,0.495,0.491,0.5,0.9,0.537,1.1,2.3,3.4,0.4,0.1,0.4,0.5,1.3,0,13.0,1.4,1771331.0,2006,DEN
Ralph Sampson,Power Forward and Center,Right,88,228,University of Virginia,1983,,11,57.0,no_current_team,456.0,363.0,29.8,15.4,6.4,13.2,0.486,0.0,0.1,0.172,6.4,13.1,0.489,0.487,2.6,3.9,0.661,2.6,6.2,8.8,2.3,0.9,1.6,3.0,3.5,1,16.0,20.1,2685000.0,1992,WSB
Samardo Samuels,Center and Power Forward,Right,81,260,University of Louisville,not_drafted,not_drafted,3,28.0,no_current_team,109.0,11.0,15.8,5.9,2.2,4.9,0.445,0.0,0.0,0.0,2.2,4.8,0.449,0.445,1.5,2.3,0.653,1.4,2.0,3.4,0.4,0.3,0.4,1.1,2.1,0,10.8,0.6,6341756.0,2012,CLE
Pepe Sanchez,Point Guard,Left,76,195,Temple University,not_drafted,not_drafted,4,40.0,no_current_team,38.0,0.0,4.9,0.5,0.2,0.9,0.273,0.0,0.0,0.0,0.2,0.8,0.281,0.273,0.1,0.1,1.0,0.2,0.4,0.6,1.3,0.4,0.0,0.2,0.6,0,12.3,0.4,9663679.0,2003,DET
Al Sanders,Power Forward,Right,79,240,Louisiana State University,1972,56,2,67.0,no_current_team,4.0,,6.3,2.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,1.0,1.5,0.667,0.0,1.3,1.3,0.0,,,0.8,1.0,0,6.6,0.1,not_listed,not_listed,ABA
Frankie Sanders,Small Forward,Right,78,200,Southern University and A&M College,1978,20,4,60.0,no_current_team,69.0,,9.6,5.1,2.0,4.7,0.43,0.0,0.0,,2.0,4.7,0.43,0.43,1.1,1.3,0.822,0.6,1.3,1.9,1.0,0.5,0.1,1.1,1.3,0,13.6,0.5,not_listed,not_listed,KCK
Jeff Sanders,Power Forward and Small Forward,Right,80,225,Georgia Southern University,1989,20,4,51.0,no_current_team,55.0,0.0,8.4,2.0,0.9,2.3,0.395,0.0,0.0,,0.9,2.3,0.395,0.395,0.3,0.4,0.609,0.7,1.1,1.9,0.5,0.3,0.2,0.6,1.2,0,7.1,-0.1,475000.0,1998,ATL
Larry Sanders,Center and Power Forward,Right,83,235,Virginia Commonwealth University,2010,15,6,29.0,no_current_team,238.0,113.0,19.5,6.4,2.8,5.9,0.48,0.0,0.0,0.0,2.8,5.8,0.481,0.48,0.8,1.4,0.553,2.0,3.7,5.7,0.7,0.6,1.8,0.9,2.8,0,15.4,10.3,2207722.0,2016,CLE
