player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Zan Tabak,Center,Right,84,245,no_college,1991,51,8,47.0,no_current_team,247.0,70.0,14.6,5.0,2.2,4.3,0.506,0.0,0.0,0.0,2.2,4.3,0.507,0.506,0.6,1.2,0.525,1.3,2.3,3.6,0.7,0.3,0.5,1.1,2.3,0,11.3,2.4,1200000.0,2000,IND
Yuta Tabuse,Point Guard,Right,69,165,Brigham Young University Hawaii,not_drafted,not_drafted,1,37.0,no_current_team,4.0,0.0,4.3,1.8,0.3,1.5,0.167,0.3,0.3,1.0,0.0,1.3,0.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0,0.8,0.0,0.0,0.3,0.3,0,15.6,0.0,6108066.0,2004,PHO
Chris Taft,Center,Right,82,260,University of Pittsburgh,2005,42,1,32.0,no_current_team,17.0,0.0,8.5,2.8,1.4,2.2,0.605,0.0,0.0,,1.4,2.2,0.605,0.605,0.1,0.4,0.167,1.1,1.0,2.1,0.1,0.1,0.4,0.1,1.5,0,15.6,0.5,9664209.0,2006,GSW
Sid Tanenbaum,Guard,Right,72,160,New York University,not_drafted,not_drafted,8,92.0,no_current_team,70.0,,,9.0,3.4,12.3,0.274,,,,3.4,12.3,0.274,0.274,2.3,2.8,0.83,,,,2.3,,,,1.5,0,,2.2,not_listed,not_listed,BAA
Dragan Tarlac,Center,Right,82,260,no_college,1995,31,1,44.0,no_current_team,43.0,12.0,13.9,2.4,0.9,2.3,0.394,0.0,0.0,,0.9,2.3,0.394,0.394,0.6,0.8,0.758,0.9,2.0,2.8,0.7,0.2,0.4,0.9,2.2,0,5.6,-0.2,2500000.0,2000,CHI
Roy Tarpley,Center and Power Forward,Right,83,230,University of Michigan,1986,7,6,53.0,no_current_team,280.0,57.0,26.7,12.6,5.2,10.8,0.483,0.0,0.1,0.176,5.2,10.6,0.487,0.484,2.2,2.9,0.744,3.4,6.6,10.0,1.0,1.1,1.2,2.0,3.4,0,18.4,19.8,775000.0,1995,DAL
Levern Tart,Shooting Guard,Right,74,195,Bradley University,1964,52,22,75.0,no_current_team,274.0,,33.8,19.4,7.4,16.6,0.445,0.1,0.3,0.253,7.3,16.2,0.449,0.447,4.6,5.8,0.784,2.3,2.6,5.0,3.0,,,3.1,2.9,1,17.0,19.9,not_listed,not_listed,ABA
Earl Tatum,Shooting Guard,Right,77,185,Marquette University,1976,21,8,64.0,no_current_team,262.0,,20.0,9.6,4.2,9.2,0.459,0.1,0.2,0.333,4.2,9.2,0.46,0.46,1.1,1.5,0.746,0.8,1.8,2.6,1.9,1.2,0.4,1.5,2.4,0,14.2,7.8,not_listed,not_listed,CLE
Edy Tavares,Center,Right,87,260,no_college,2014,43,4,25.0,Cleveland Cavaliers,13.0,0.0,7.8,2.5,1.2,1.8,0.625,0.0,0.0,,1.2,1.8,0.625,0.625,0.2,0.8,0.273,0.8,1.6,2.5,0.3,0.1,0.9,0.5,0.8,0,16.3,0.2,1455145.0,2016,CLE
Anthony Taylor,Point Guard,Right,76,175,University of Oregon,1988,44,1,52.0,no_current_team,21.0,7.0,17.5,6.9,2.9,7.2,0.397,0.0,0.1,0.0,2.9,7.1,0.403,0.397,1.1,1.5,0.75,0.5,1.1,1.6,2.0,1.0,0.2,1.0,1.8,0,11.1,0.2,100000.0,1988,MIA
Brian Taylor,Point Guard,Right,74,185,Princeton University,1972,23,14,66.0,no_current_team,271.0,,32.8,14.0,5.8,11.7,0.499,0.2,0.6,0.307,5.6,11.1,0.511,0.508,2.1,2.8,0.754,1.2,1.8,3.0,3.7,2.4,0.3,2.2,2.8,1,14.8,46.8,not_listed,not_listed,SDC
Donell Taylor,Shooting Guard,Right,78,180,University of Alabama at Birmingham,not_drafted,not_drafted,2,35.0,no_current_team,98.0,2.0,8.5,2.7,1.1,2.8,0.395,0.1,0.3,0.206,1.0,2.5,0.421,0.408,0.4,0.7,0.641,0.3,0.8,1.1,0.9,0.5,0.1,0.6,0.8,0,10.2,0.0,9664209.0,2006,WAS
Fatty Taylor,Point Guard,Right,72,175,La Salle University,1969,167,15,71.0,no_current_team,79.0,,19.6,3.8,1.7,4.0,0.42,,,,1.7,4.0,0.42,0.42,0.5,0.8,0.569,1.1,1.5,2.7,3.6,1.7,0.1,,2.6,0,10.5,17.0,not_listed,not_listed,DEN
