player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Edwin Ubiles,Small Forward,Right,78,204,Siena College,not_drafted,not_drafted,1,31,no_current_team,4.0,0.0,13.0,3.5,1.3,4.5,0.278,0.3,1.3,0.2,1.0,3.3,0.308,0.306,0.8,0.8,1.0,0.5,2.0,2.5,0.3,0.3,0.3,0.3,0.3,0,7.3,0.0,not_listed,not_listed,WAS
Ekpe Udoh,Power Forward and Center,Right,82,240,Baylor University,2010,6,7,30,Utah Jazz,270.0,52.0,16.9,4.0,1.5,3.5,0.429,0.0,0.0,0.0,1.5,3.5,0.431,0.429,0.9,1.3,0.72,1.3,1.8,3.2,0.7,0.5,1.2,0.7,2.1,0,10.8,5.7,4981084.0,2014,LAC
Ime Udoka,Shooting Guard and Power Forward and Small Forward,Right,78,215,Portland State University,not_drafted,not_drafted,7,40,no_current_team,316.0,80.0,18.1,5.2,1.9,4.7,0.417,0.7,1.9,0.356,1.3,2.7,0.461,0.492,0.6,0.8,0.705,0.7,2.2,2.9,1.0,0.7,0.2,0.7,1.7,0,10.8,8.8,2264232.0,2010,SAS
Beno Udrih,Shooting Guard and Point Guard,Left,75,205,no_college,2004,28,19,35,no_current_team,831.0,272.0,21.9,8.4,3.3,7.1,0.463,0.6,1.6,0.349,2.7,5.5,0.496,0.502,1.2,1.5,0.833,0.4,1.7,2.1,3.4,0.7,0.1,1.4,1.5,0,14.0,31.4,1551659.0,2016,DET
Roko Ukic,Point Guard,Right,77,183,no_college,2005,41,2,33,no_current_team,85.0,0.0,11.6,4.0,1.6,4.2,0.387,0.2,0.9,0.189,1.4,3.3,0.439,0.407,0.6,0.8,0.746,0.3,0.6,0.9,1.9,0.4,0.0,0.8,1.0,0,10.0,-0.2,2303232.0,2009,MIL
Tyler Ulis,Point Guard,Right,70,150,University of Kentucky,2016,34,1,21,Phoenix Suns,61.0,15.0,18.4,7.3,3.0,7.2,0.421,0.3,1.3,0.266,2.7,5.9,0.455,0.445,0.9,1.2,0.775,0.3,1.2,1.6,3.7,0.8,0.1,1.3,1.2,0,13.0,0.7,9918369.0,2016,PHO
Wes Unseld,Center,Right,79,245,University of Louisville,1968,,13,71,no_current_team,984.0,,36.4,10.8,4.4,8.7,0.509,0.0,0.0,0.5,4.4,8.7,0.509,0.509,1.9,3.0,0.633,3.5,8.4,14.0,3.9,1.1,0.6,1.9,2.8,1,16.0,110.1,not_listed,not_listed,WSB
Hal Uplinger,Shooting Guard,Right,76,185,Long Island University,not_drafted,not_drafted,1,88,no_current_team,23.0,,11.7,3.7,1.4,4.1,0.351,,,,1.4,4.1,0.351,0.351,0.9,1.0,0.909,,,1.3,1.1,,,,1.8,0,10.7,0.1,not_listed,not_listed,BLB
Kelvin Upshaw,Shooting Guard,Right,74,180,University of Utah,not_drafted,not_drafted,8,54,no_current_team,120.0,1.0,12.7,5.4,2.2,4.9,0.453,0.1,0.5,0.237,2.1,4.4,0.477,0.465,0.8,1.1,0.795,0.3,0.9,1.2,2.1,0.7,0.1,1.0,1.8,0,13.1,1.6,250000.0,1991,DAL
Jarrod Uthoff,Power Forward,Right,81,221,University of Iowa,not_drafted,not_drafted,1,24,no_current_team,9.0,0.0,12.8,4.4,1.8,4.2,0.421,0.3,1.0,0.333,1.4,3.2,0.448,0.461,0.6,0.8,0.714,0.9,1.6,2.4,1.0,0.2,0.4,0.3,0.9,0,13.9,0.2,50000.0,2016,DAL
Ben Uzoh,Point Guard,Right,75,205,University of Tulsa,not_drafted,not_drafted,4,29,no_current_team,60.0,8.0,13.5,4.0,1.6,4.1,0.395,0.1,0.2,0.333,1.6,3.9,0.397,0.401,0.7,1.3,0.587,0.8,1.3,2.1,2.2,0.5,0.2,0.7,1.0,0,13.0,0.7,3361433.0,2011,TOR
