player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Stephen Vacendak,Point Guard,Right,73,185,Duke University,1966,33,10,73,no_current_team,83.0,,22.1,9.9,3.8,9.8,0.39,0.0,0.1,0.2,3.8,9.6,0.393,0.391,2.3,3.0,0.754,1.3,1.7,2.9,2.3,,,1.9,2.3,0,11.4,1.8,not_listed,not_listed,ABA
Jonas Valanciunas,Center,Right,84,265,no_college,2011,5,5,25,Toronto Raptors,363.0,357.0,26.1,11.5,4.5,8.1,0.556,0.0,0.0,0.25,4.5,8.1,0.556,0.556,2.5,3.2,0.781,2.7,5.8,8.5,0.7,0.4,1.1,1.5,2.8,0,18.9,33.6,14382022.0,2016,TOR
Darnell Valentine,Shooting Guard and Point Guard,Right,73,183,University of Kansas,1981,16,11,58,no_current_team,620.0,345.0,23.2,8.7,3.2,7.4,0.437,0.1,0.3,0.261,3.1,7.1,0.443,0.442,2.2,2.8,0.787,0.6,1.6,2.1,5.0,1.5,0.1,2.0,2.2,0,14.0,22.1,130000.0,1991,CLE
Denzel Valentine,Shooting Guard,Right,78,212,Michigan State University,2016,14,1,24,Chicago Bulls,57.0,0.0,17.1,5.1,1.8,5.1,0.354,1.3,3.6,0.351,0.5,1.4,0.363,0.481,0.2,0.3,0.778,0.2,2.5,2.6,1.1,0.5,0.1,0.9,1.5,0,7.3,0.6,2092200.0,2016,CHI
Ronnie Valentine,Small Forward,Right,79,210,Old Dominion University,1980,51,1,60,no_current_team,24.0,,5.1,3.5,1.5,4.1,0.378,0.0,0.1,0.5,1.5,4.0,0.375,0.383,0.4,0.8,0.474,0.4,0.8,1.3,0.3,0.3,0.2,0.7,1.0,0,10.3,-0.3,not_listed,not_listed,DEN
John Vallely,Shooting Guard,Right,75,185,"University of California, Los Angeles",1970,14,4,69,no_current_team,100.0,,8.0,3.6,1.4,3.8,0.379,,,,1.4,3.8,0.379,0.379,0.8,1.0,0.721,,,0.7,0.8,,,,1.0,0,9.6,-0.3,not_listed,not_listed,HOU
Dick Van Arsdale,Shooting Guard,Right,77,210,Indiana University,1965,10,12,74,no_current_team,921.0,,34.5,16.4,5.9,12.7,0.464,,,,5.9,12.7,0.464,0.464,4.6,5.8,0.79,0.7,1.7,4.1,3.3,0.9,0.2,,2.8,1,14.4,75.2,not_listed,not_listed,PHO
Tom Van Arsdale,Small Forward and Shooting Guard,Right,77,202,Indiana University,1965,11,18,74,no_current_team,929.0,,30.9,15.3,5.9,13.7,0.431,,,,5.9,13.7,0.431,0.431,3.5,4.5,0.762,0.8,2.5,4.2,2.2,0.7,0.1,,3.1,1,13.0,36.6,not_listed,not_listed,PHO
Butch Van Breda Kolff,Guard/Forward,Right,75,185,New York University,not_drafted,not_drafted,7,95,no_current_team,56.0,,,3.7,1.0,3.0,0.329,,,,1.0,3.0,0.329,0.329,1.7,2.4,0.716,,,,1.4,,,,2.0,0,,9.4,not_listed,not_listed,NYK
Jan Van Breda Kolff,Small Forward,Right,79,195,Vanderbilt University,1974,20,15,66,no_current_team,164.0,,22.1,6.7,2.3,5.1,0.455,0.0,0.1,0.222,2.3,5.0,0.458,0.457,2.1,2.5,0.836,1.6,3.2,4.8,2.2,0.7,0.8,1.6,2.0,0,10.4,22.3,not_listed,not_listed,NJN
Nick Van Exel,Point Guard and Shooting Guard,Left,73,170,University of Cincinnati,1993,37,15,46,no_current_team,880.0,670.0,32.9,14.4,5.3,13.0,0.405,1.7,4.9,0.357,3.5,8.2,0.433,0.471,2.1,2.7,0.794,0.4,2.5,2.9,6.6,0.8,0.1,2.1,1.6,1,15.8,55.9,1138500.0,2005,SAS
Keith Van Horn,Small Forward and Power Forward,Right,82,220,University of Utah,1997,2,13,42,no_current_team,575.0,463.0,31.6,16.0,5.9,13.3,0.443,1.0,2.9,0.361,4.9,10.4,0.466,0.482,3.2,3.8,0.835,2.0,4.8,6.8,1.6,0.8,0.5,2.2,3.0,0,16.8,41.7,4300000.0,2007,DAL
Norm Van Lier,Point Guard and Shooting Guard,Right,73,173,Saint Francis University,1969,34,12,70,no_current_team,746.0,,35.1,11.8,4.4,10.7,0.414,,,,4.4,10.7,0.414,0.414,2.9,3.7,0.78,1.3,3.0,4.8,7.0,1.8,0.2,2.1,3.6,1,14.0,47.8,not_listed,not_listed,MIL
Dennis Van Zant,Power Forward,Right,81,210,Azusa Pacific University,1974,120,2,65,no_current_team,1.0,,2.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,39.3,0.0,not_listed,not_listed,ABA
Logan Vander Velden,Small Forward,Right,80,215,University of Wisconsin-Green Bay,not_drafted,not_drafted,1,46,no_current_team,15.0,0.0,2.1,0.6,0.2,0.9,0.214,0.0,0.3,0.0,0.2,0.6,0.333,0.214,0.2,0.3,0.75,0.1,0.3,0.4,0.1,0.0,0.0,0.0,0.3,0,1.8,-0.1,200000.0,1995,LAC
Ernie Vandeweghe,Small Forward and Shooting Guard,Right,75,195,no_college,1949,1949,6,89,no_current_team,224.0,,26.1,9.5,3.7,8.7,0.421,,,,3.7,8.7,0.421,0.421,2.2,3.0,0.74,,,4.6,2.4,,,,3.4,0,17.1,18.1,not_listed,not_listed,NYK
Kiki Vandeweghe,Small Forward and Power Forward,Right,80,220,"University of California, Los Angeles",1980,11,15,59,no_current_team,810.0,548.0,30.3,19.7,7.6,14.4,0.525,0.3,0.7,0.368,7.3,13.7,0.533,0.534,4.3,4.9,0.872,1.1,2.3,3.4,2.1,0.6,0.3,1.6,1.9,1,18.4,75.6,150000.0,1993,LAC
Nick Vanos,Center,Right,85,255,Santa Clara University,1985,32,2,54,no_current_team,68.0,14.0,12.4,3.3,1.3,3.4,0.383,0.0,0.0,0.0,1.3,3.4,0.386,0.383,0.7,1.2,0.561,1.3,2.2,3.5,0.9,0.3,0.4,1.0,1.9,0,7.7,-0.1,125000.0,1985,PHO
David Vanterpool,Point Guard,Right,77,200,St. Bonaventure University,not_drafted,not_drafted,1,44,no_current_team,22.0,0.0,18.7,5.5,2.1,5.0,0.418,0.0,0.3,0.0,2.1,4.7,0.442,0.418,1.4,2.3,0.6,0.7,1.0,1.7,3.0,1.0,0.1,1.7,2.0,0,10.9,0.0,not_listed,not_listed,WAS
Fred VanVleet,Point Guard,Right,72,195,Wichita State University,not_drafted,not_drafted,1,23,Toronto Raptors,37.0,0.0,7.9,2.9,1.1,3.0,0.351,0.3,0.8,0.379,0.8,2.2,0.341,0.401,0.5,0.6,0.818,0.1,1.0,1.1,0.9,0.4,0.1,0.4,1.0,0,10.5,0.2,1543471.0,2016,TOR
Anderson Varejao,Power Forward and Center,Right,82,273,no_college,2004,30,15,35,no_current_team,627.0,209.0,24.0,7.3,2.9,5.6,0.51,0.0,0.1,0.024,2.9,5.6,0.516,0.511,1.5,2.4,0.631,2.4,4.8,7.2,1.2,0.9,0.6,0.9,2.6,0,15.6,46.4,1551659.0,2016,GSW
Jarvis Varnado,Power Forward,Right,81,230,Mississippi State University,2010,41,6,29,no_current_team,37.0,0.0,10.7,2.9,1.1,1.8,0.582,0.0,0.0,,1.1,1.8,0.582,0.582,0.8,1.5,0.518,0.6,1.4,1.9,0.4,0.3,0.8,0.4,1.9,0,11.5,0.7,75000.0,2014,PHI
Greivis Vasquez,Shooting Guard and Point Guard,Right,78,217,University of Maryland,2010,28,9,30,no_current_team,401.0,157.0,23.7,9.0,3.4,8.2,0.418,1.0,2.9,0.349,2.4,5.3,0.456,0.48,1.1,1.3,0.817,0.3,2.2,2.5,4.8,0.6,0.1,1.9,1.9,0,13.7,12.6,4347826.0,2016,BRK
Chico Vaughn,Shooting Guard and Point Guard,Right,74,190,Southern Illinois University,1962,26,13,77,no_current_team,164.0,,33.9,17.7,6.1,16.5,0.368,1.9,6.2,0.301,4.2,10.3,0.408,0.424,3.7,5.0,0.747,0.7,1.5,3.0,1.7,,,2.1,2.6,1,12.1,18.0,not_listed,not_listed,ABA
David Vaughn,Center,Right,83,220,Oral Roberts University,1975,63,4,65,no_current_team,93.0,,27.9,10.7,4.7,11.1,0.421,0.0,0.0,0.0,4.7,11.1,0.422,0.421,1.4,2.5,0.549,3.1,6.8,9.8,1.5,0.8,1.4,2.2,3.1,0,13.6,1.6,not_listed,not_listed,ABA
