player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Dwyane Wade,Shooting Guard and Point Guard,Right,76.0,220.0,Marquette University,2003,5,14,35.0,Chicago Bulls,915.0,904.0,35.4,23.3,8.5,17.5,0.484,0.5,1.6,0.287,8.0,15.8,0.505,0.498,5.9,7.7,0.768,1.2,3.6,4.8,5.7,1.6,0.9,3.3,2.3,1,24.3,117.2,23200000.0,2016,CHI
Mark Wade,Point Guard,Left,71.0,160.0,"University of Nevada, Las Vegas",not_drafted,not_drafted,2,52.0,no_current_team,12.0,0.0,10.5,0.7,0.3,1.7,0.15,0.0,0.2,0.0,0.3,1.5,0.167,0.15,0.2,0.3,0.5,0.3,1.0,1.3,3.0,0.6,0.1,1.1,1.1,0,4.9,-0.3,not_listed,not_listed,DAL
Von Wafer,Shooting Guard and Small Forward,Right,77.0,210.0,Florida State University,2005,39,8,32.0,no_current_team,200.0,14.0,12.4,5.3,2.0,4.6,0.42,0.5,1.6,0.325,1.4,3.1,0.469,0.475,0.9,1.1,0.751,0.2,1.0,1.2,0.7,0.4,0.1,0.6,0.8,0,11.8,3.3,2915852.0,2010,ORL
Clint Wager,Center/Forward,Right,78.0,210.0,Saint Mary's University of Minnesota,not_drafted,not_drafted,1,97.0,no_current_team,63.0,,,2.3,0.9,3.2,0.281,,,,0.9,3.2,0.281,0.281,0.5,0.7,0.617,,,,1.4,,,,2.8,0,,1.5,not_listed,not_listed,FTW
Dajuan Wagner,Shooting Guard,Right,74.0,200.0,University of Memphis,2002,6,4,34.0,no_current_team,103.0,28.0,21.4,9.4,3.4,9.4,0.366,0.9,2.8,0.321,2.5,6.6,0.385,0.414,1.6,2.1,0.77,0.3,1.1,1.4,1.9,0.7,0.1,1.3,2.1,0,9.9,0.0,1771331.0,2006,GSW
Danny Wagner,Guard,Right,72.0,170.0,University of Texas at Austin,not_drafted,not_drafted,1,95.0,no_current_team,11.0,,,6.3,1.7,4.9,0.352,,,,1.7,4.9,0.352,0.352,2.8,3.2,0.886,,,,1.6,,,,2.0,0,,0.6,not_listed,not_listed,SHE
Milt Wagner,Shooting Guard,Right,77.0,185.0,University of Louisville,1986,35,2,54.0,no_current_team,53.0,5.0,9.4,4.1,1.6,3.8,0.422,0.2,0.5,0.296,1.5,3.3,0.441,0.441,0.7,0.8,0.875,0.1,0.6,0.7,1.4,0.2,0.1,0.6,1.1,0,10.6,0.4,75000.0,1987,MIA
Phillip Wagner,Guard,Right,74.0,190.0,Georgia Institute of Technology,not_drafted,not_drafted,2,72.0,no_current_team,12.0,,15.0,3.0,0.9,3.4,0.268,0.1,0.3,0.25,0.8,3.1,0.27,0.28,1.1,1.4,0.765,0.7,1.3,1.9,1.2,,,1.5,2.3,0,0.5,-0.1,not_listed,not_listed,ABA
Dion Waiters,Shooting Guard,Right,76.0,225.0,Syracuse University,2012,4,7,26.0,Miami Heat,335.0,153.0,28.6,13.2,5.1,12.3,0.413,1.2,3.4,0.346,3.9,8.9,0.44,0.462,1.9,2.7,0.698,0.4,2.2,2.7,2.7,1.0,0.3,1.8,2.0,0,12.3,7.4,2898000.0,2016,MIA
Granville Waiters,Center,Right,83.0,225.0,Ohio State University,1983,39,5,56.0,no_current_team,249.0,39.0,10.2,2.4,1.1,2.4,0.458,0.0,0.0,0.0,1.1,2.3,0.462,0.458,0.3,0.5,0.559,0.7,1.4,2.2,0.5,0.2,0.7,0.6,1.6,0,8.3,1.9,100000.0,1987,CHI
