player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Vincent Yarbrough,Shooting Guard,Right,79,210,University of Tennessee,2002,33.0,1,36,no_current_team,59.0,39.0,23.4,6.9,2.8,7.3,0.393,0.4,1.3,0.269,2.5,5.9,0.42,0.417,0.8,1.1,0.79,0.6,2.1,2.7,2.2,1.0,0.6,1.4,2.5,0,9.5,1.0,8349458.0,2002,DEN
George Yardley,Small Forward,Right,77,190,Stanford University,1950,,9,89,no_current_team,472.0,,33.4,19.2,6.8,16.0,0.422,,,,6.8,16.0,0.422,0.422,5.7,7.3,0.78,,,8.9,1.7,,,,3.0,1,20.5,58.5,not_listed,not_listed,SYR
Barry Yates,Power Forward,Right,79,215,University of Maryland,1971,131.0,1,71,no_current_team,24.0,,6.0,2.9,1.3,3.5,0.373,,,,1.3,3.5,0.373,0.373,0.3,0.5,0.636,,,1.7,0.3,,,,0.6,0,10.7,-0.2,not_listed,not_listed,PHI
Wayne Yates,Center,Right,80,235,University of Memphis,1961,5.0,1,80,no_current_team,37.0,,7.1,1.9,0.8,2.8,0.295,,,,0.8,2.8,0.295,0.295,0.3,0.6,0.455,,,2.5,0.4,,,,1.9,0,4.1,-0.5,not_listed,not_listed,LAL
Charlie Yelverton,Shooting Guard,Right,74,190,Fordham University,1971,25.0,1,69,no_current_team,69.0,,17.8,7.9,3.0,7.7,0.389,,,,3.0,7.7,0.389,0.389,1.9,2.7,0.707,,,2.9,1.2,,,,2.1,0,10.3,-0.5,not_listed,not_listed,POR
Rich Yonakor,Power Forward,Left,81,220,University of North Carolina,1980,61.0,1,59,no_current_team,10.0,0.0,7.0,3.3,1.4,2.6,0.538,0.0,0.0,,1.4,2.6,0.538,0.538,0.5,0.7,0.714,1.3,1.4,2.7,0.3,0.1,0.2,0.2,0.7,0,20.4,0.3,not_listed,not_listed,SAS
Danny Young,Point Guard,Right,75,175,Wake Forest University,1984,39.0,12,55,no_current_team,574.0,73.0,16.6,4.6,1.7,3.9,0.437,0.3,1.0,0.327,1.4,2.9,0.476,0.48,0.8,1.0,0.835,0.3,0.9,1.2,2.9,0.9,0.1,0.8,0.9,0,12.2,20.2,150000.0,1994,MIL
James Young,Shooting Guard,Left,78,215,University of Kentucky,2014,17.0,3,22,no_current_team,89.0,0.0,8.4,2.3,0.8,2.2,0.367,0.4,1.4,0.276,0.4,0.8,0.536,0.457,0.3,0.5,0.548,0.2,0.8,1.1,0.3,0.3,0.1,0.2,0.6,0,7.6,0.7,1825200.0,2016,BOS
Joe Young,Point Guard,Right,74,180,University of Oregon,2015,43.0,2,25,Indiana Pacers,74.0,0.0,7.0,3.0,1.2,3.3,0.365,0.2,0.9,0.217,1.0,2.3,0.424,0.396,0.4,0.5,0.775,0.1,0.8,0.9,1.1,0.3,0.0,0.5,0.5,0,10.3,-0.1,1052342.0,2016,IND
Korleone Young,Small Forward,Right,79,213,no_college,1998,40.0,1,39,no_current_team,3.0,0.0,5.0,4.3,1.7,3.3,0.5,0.3,1.3,0.25,1.3,2.0,0.667,0.55,0.7,0.7,1.0,0.7,0.7,1.3,0.3,0.0,0.0,0.3,1.0,0,31.3,0.1,287500.0,1998,DET
