player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Max Zaslofsky,Shooting Guard,Right,74,170,St. John's University,not_drafted,not_drafted,16,92,no_current_team,167.0,,,18.4,6.8,20.3,0.334,,,,6.8,20.3,0.334,0.334,4.9,6.1,0.794,,,,1.3,,,,2.4,1,13.5,48.3,not_listed,not_listed,FTW
Cody Zeller,Center and Power Forward,Right,84,240,Indiana University,2013,4,4,25,Charlotte Hornets,279.0,166.0,22.9,8.0,3.0,5.9,0.5,0.0,0.0,0.154,3.0,5.9,0.502,0.5,2.1,2.8,0.734,1.7,3.9,5.6,1.3,0.7,0.8,1.0,2.6,0,15.1,18.4,5318313.0,2016,CHO
Dave Zeller,Point Guard,Right,73,175,Miami University,1961,61,1,78,no_current_team,61.0,,4.6,1.5,0.6,1.7,0.353,,,,0.6,1.7,0.353,0.353,0.3,0.4,0.75,,,0.4,1.0,,,,0.6,0,9.1,-0.1,not_listed,not_listed,CIN
Gary Zeller,Shooting Guard,Right,75,205,Drake University,1970,83,6,70,no_current_team,12.0,,6.8,1.5,0.6,2.5,0.233,0.0,0.1,0.0,0.6,2.4,0.241,0.233,0.3,0.5,0.667,0.4,0.4,0.8,0.2,,,0.8,1.3,0,4.2,-1.9,not_listed,not_listed,ABA
Harry Zeller,Center/Forward,Right,76,210,Washington & Jefferson College,not_drafted,not_drafted,2,98,no_current_team,48.0,,,7.5,2.5,8.0,0.314,,,,2.5,8.0,0.314,0.314,2.5,3.7,0.689,,,,0.6,,,,3.7,0,,3.7,not_listed,not_listed,BAA
Luke Zeller,Center,Right,83,245,University of Notre Dame,not_drafted,not_drafted,1,30,no_current_team,16.0,0.0,3.6,1.2,0.6,1.6,0.346,0.1,0.3,0.2,0.5,1.3,0.381,0.365,0.0,0.0,,0.1,0.6,0.6,0.2,0.0,0.0,0.0,0.3,0,5.6,-0.1,4473604.0,2012,PHO
Tyler Zeller,Center,Right,84,253,University of North Carolina,2012,17,5,27,no_current_team,340.0,131.0,17.8,7.0,2.8,5.6,0.499,0.0,0.0,0.0,2.8,5.6,0.501,0.499,1.4,1.8,0.769,1.5,2.9,4.4,0.9,0.3,0.6,0.9,2.2,0,14.7,13.8,8000000.0,2016,BOS
Tony Zeno,Small Forward,Right,80,210,Arizona State University,1979,32,1,60,no_current_team,8.0,,7.4,1.8,0.8,2.6,0.286,0.0,0.0,,0.8,2.6,0.286,0.286,0.3,0.3,1.0,0.4,1.4,1.8,0.1,0.5,0.4,1.1,1.6,0,0.2,-0.2,not_listed,not_listed,IND
Phil Zevenbergen,Center,Right,82,230,University of Washington,1987,50,1,53,no_current_team,8.0,0.0,7.3,3.8,1.9,3.4,0.556,0.0,0.0,,1.9,3.4,0.556,0.556,0.0,0.3,0.0,0.5,1.1,1.6,0.4,0.4,0.1,0.5,1.5,0,13.7,0.0,not_listed,not_listed,SAS
Wang Zhizhi,Center,Left,84,255,no_college,1999,36,7,40,no_current_team,137.0,1.0,9.2,4.4,1.6,3.7,0.417,0.5,1.3,0.385,1.0,2.4,0.435,0.485,0.8,1.1,0.735,0.4,1.3,1.7,0.3,0.2,0.3,0.5,1.1,0,14.2,2.1,6745046.0,2004,MIA
George Zidek,Center,Right,84,250,"University of California, Los Angeles",1995,22,7,44,no_current_team,135.0,23.0,9.8,3.4,1.2,2.9,0.408,0.0,0.0,0.25,1.2,2.9,0.409,0.409,1.0,1.2,0.783,0.8,1.3,2.1,0.2,0.1,0.1,0.5,1.8,0,8.7,0.8,784200.0,1997,SEA
Derrick Zimmerman,Point Guard,Right,75,195,Mississippi State University,2003,40,1,36,no_current_team,2.0,0.0,16.0,2.0,1.0,1.5,0.667,0.0,0.0,,1.0,1.5,0.667,0.667,0.0,0.0,,0.5,1.5,2.0,3.5,0.0,0.0,2.0,2.0,0,5.5,0.0,not_listed,not_listed,NJN
Stephen Zimmerman,Center,Left,84,240,"University of Nevada, Las Vegas",2016,41,1,21,Los Angeles Lakers,19.0,0.0,5.7,1.2,0.5,1.6,0.323,0.0,0.0,,0.5,1.6,0.323,0.323,0.2,0.3,0.6,0.6,1.3,1.8,0.2,0.1,0.3,0.2,0.9,0,7.3,0.0,950000.0,2016,ORL
Paul Zipser,Small Forward,Right,80,215,no_college,2016,48,1,23,Chicago Bulls,44.0,18.0,19.2,5.5,2.0,5.0,0.398,0.8,2.3,0.333,1.3,2.8,0.451,0.473,0.7,0.9,0.775,0.3,2.5,2.8,0.8,0.3,0.4,0.9,1.8,0,6.9,0.5,750000.0,2016,CHI
Jim Zoet,Center,Right,85,240,Kent State University,not_drafted,not_drafted,1,64,no_current_team,7.0,0.0,4.3,0.3,0.1,0.7,0.2,0.0,0.0,,0.1,0.7,0.2,0.2,0.0,0.0,,0.4,0.7,1.1,0.1,0.1,0.4,0.6,1.3,0,-0.8,-0.1,not_listed,not_listed,DET
Bill Zopf,Point Guard,Right,73,170,Duquesne University,1970,33,1,69,no_current_team,53.0,,7.5,2.2,0.9,2.5,0.363,,,,0.9,2.5,0.363,0.363,0.4,0.7,0.556,,,0.9,1.4,,,,0.6,0,9.6,-0.1,not_listed,not_listed,MIL
Ivica Zubac,Center,Right,85,265,no_college,2016,32,1,20,Los Angeles Lakers,38.0,11.0,16.0,7.5,3.3,6.3,0.529,0.0,0.1,0.0,3.3,6.2,0.536,0.529,0.8,1.3,0.653,1.1,3.1,4.2,0.8,0.4,0.9,0.8,1.7,0,17.0,1.1,1034956.0,2016,LAL
