player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Luke Babbitt,Power Forward and Small Forward,Left,81,225,"University of Nevada, Reno",2010,16,7,28,Atlanta Hawks,68.0,55.0,15.7,4.8,1.7,4.1,0.402,1.3,3.1,0.414,0.4,1.0,0.366,0.557,0.2,0.2,0.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,0,8.3,1.8,1227000.0,2016,MIA
Ron Baker,Shooting Guard,Right,76,220,Wichita State University,not_drafted,not_drafted,1,24,New York Knicks,,13.0,16.5,4.1,1.6,4.2,0.378,0.4,1.7,0.267,1.1,2.5,0.45,0.431,0.5,0.8,0.651,0.2,1.7,1.9,2.1,0.7,0.2,1.1,1.4,0,7.5,0.1,1543471.0,2016,NYK
Wade Baldwin,Point Guard,Right,76,202,Vanderbilt University,2016,17,1,21,Memphis Grizzlies,,1.0,12.3,3.2,1.1,3.5,0.313,0.1,0.7,0.136,1.0,2.8,0.355,0.326,0.9,1.1,0.838,0.3,1.1,1.4,1.8,0.5,0.2,1.2,1.2,0,6.5,0.3,1793760.0,2016,MEM
Leandro Barbosa,Shooting Guard and Point Guard,Right,75,194,no_college,2003,28,16,35,no_current_team,67.0,0.0,14.4,6.3,2.6,5.9,0.439,0.5,1.5,0.357,2.0,4.4,0.466,0.483,0.6,0.7,0.889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,0,11.5,0.6,4000000.0,2016,PHO
J.J. Barea,Point Guard and Shooting Guard,Right,72,185,no_college,not_drafted,not_drafted,11,33,Dallas Mavericks,35.0,6.0,22.0,10.9,4.1,9.8,0.414,1.5,4.2,0.358,2.5,5.6,0.456,0.491,1.3,1.5,0.863,0.3,2.1,2.4,5.5,0.4,0.0,1.8,0.9,0,17.2,1.3,4096950.0,2016,DAL
Harrison Barnes,Small Forward and Power Forward,Right,80,210,University of North Carolina,2012,7,5,25,Dallas Mavericks,79.0,79.0,35.5,19.2,7.6,16.2,0.468,1.0,2.8,0.351,6.6,13.4,0.492,0.498,3.1,3.6,0.861,1.2,3.8,5.0,1.5,0.8,0.2,1.3,1.6,0,16.3,4.6,22116750.0,2016,DAL
Matt Barnes,Power Forward and Small Forward,Right,79,226,"University of California, Los Angeles",2002,46,18,37,no_current_team,20.0,5.0,20.5,5.7,1.9,4.5,0.422,0.9,2.6,0.346,1.0,1.9,0.526,0.522,1.0,1.2,0.87,0.8,3.8,4.6,2.3,0.6,0.5,1.2,2.4,0,10.3,2.0,1383351.0,2016,GSW
Will Barton,Shooting Guard,Right,78,175,University of Memphis,2012,40,7,26,Denver Nuggets,60.0,19.0,28.4,13.7,4.9,11.1,0.443,1.5,3.9,0.37,3.5,7.2,0.483,0.508,2.4,3.2,0.753,1.0,3.4,4.3,3.4,0.8,0.5,1.6,1.8,0,15.5,3.3,3533333.0,2016,DEN
Brandon Bass,Center and Power Forward,Right,80,250,Louisiana State University,2005,33,12,32,no_current_team,52.0,0.0,11.1,5.6,2.1,3.6,0.575,0.0,0.1,0.333,2.0,3.5,0.579,0.578,1.5,1.7,0.875,0.8,1.7,2.5,0.4,0.3,0.2,0.6,0.9,0,19.7,2.2,1551659.0,2016,LAC
Nicolas Batum,Small Forward and Shooting Guard,Right,80,200,no_college,2008,25,9,29,Charlotte Hornets,77.0,77.0,34.0,15.1,5.1,12.7,0.403,1.8,5.3,0.333,3.4,7.4,0.453,0.472,3.2,3.7,0.856,0.6,5.6,6.2,5.9,1.1,0.4,2.5,1.4,0,15.8,4.6,20869566.0,2016,CHO
Jerryd Bayless,Point Guard and Shooting Guard,Right,75,200,University of Arizona,2008,11,13,29,Philadelphia 76ers,3.0,1.0,23.7,11.0,3.7,10.7,0.344,0.7,1.7,0.4,3.0,9.0,0.333,0.375,3.0,3.3,0.9,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,0,8.7,0.1,9424084.0,2016,PHI
Aron Baynes,Center,Right,82,260,no_college,not_drafted,not_drafted,5,31,Boston Celtics,75.0,2.0,15.5,4.9,1.9,3.7,0.513,0.0,0.0,,1.9,3.7,0.513,0.513,1.1,1.3,0.84,1.5,3.0,4.4,0.4,0.2,0.5,0.7,2.2,0,13.1,3.0,6500000.0,2016,DET
Kent Bazemore,Small Forward and Shooting Guard,Left,77,201,Old Dominion University,not_drafted,not_drafted,7,28,Atlanta Hawks,73.0,64.0,26.9,11.0,4.0,9.9,0.409,1.3,3.6,0.346,2.8,6.2,0.446,0.473,1.6,2.3,0.708,0.6,2.5,3.2,2.4,1.2,0.7,1.7,2.3,0,11.5,2.1,15730338.0,2016,ATL
Bradley Beal,Shooting Guard,Right,77,207,University of Florida,2012,3,5,24,Washington Wizards,77.0,77.0,34.9,23.1,8.3,17.2,0.482,2.9,7.2,0.404,5.4,10.0,0.538,0.566,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,0,20.1,8.5,22116750.0,2016,WAS
Malik Beasley,Shooting Guard,Right,77,196,Florida State University,2016,19,1,21,Denver Nuggets,,1.0,7.5,3.8,1.5,3.3,0.452,0.4,1.3,0.321,1.1,2.0,0.533,0.514,0.4,0.5,0.8,0.2,0.5,0.8,0.5,0.3,0.0,0.4,0.5,0,13.7,0.2,1627320.0,2016,DEN
Michael Beasley,Small Forward and Power Forward,Left,81,235,Kansas State University,2008,2,9,28,New York Knicks,56.0,6.0,16.7,9.4,3.9,7.3,0.532,0.3,0.8,0.419,3.5,6.5,0.545,0.554,1.4,1.9,0.743,0.7,2.7,3.4,0.9,0.5,0.5,1.2,1.6,0,17.8,1.8,7777777.0,2016,MIL
Marco Belinelli,Shooting Guard and Small Forward and Point Guard,Right,77,210,no_college,2007,18,10,31,Atlanta Hawks,74.0,0.0,24.0,10.5,3.6,8.3,0.429,1.4,3.8,0.36,2.2,4.5,0.488,0.512,2.0,2.3,0.893,0.2,2.2,2.4,2.0,0.6,0.1,0.9,1.2,0,13.3,3.2,6333333.0,2015,CHO
DeAndre' Bembry,Small Forward,Right,78,210,Saint Joseph's University,2016,21,1,23,Atlanta Hawks,,1.0,9.8,2.7,1.2,2.6,0.48,0.0,0.5,0.056,1.2,2.1,0.575,0.485,0.2,0.4,0.375,0.4,1.2,1.6,0.7,0.2,0.1,0.4,0.6,0,8.8,0.3,1499760.0,2016,ATL
Dragan Bender,Power Forward,Right,85,225,no_college,2016,4,1,20,Phoenix Suns,,0.0,13.3,3.4,1.3,3.7,0.354,0.7,2.3,0.277,0.7,1.4,0.483,0.441,0.1,0.3,0.364,0.5,1.9,2.4,0.5,0.2,0.5,0.7,1.7,0,5.3,0.3,4276320.0,2016,PHO
Anthony Bennett,Power Forward,Right,80,245,"University of Nevada, Las Vegas",2013,1,4,24,no_current_team,23.0,1.0,11.5,5.0,1.7,4.0,0.413,0.6,2.1,0.271,1.1,1.9,0.568,0.484,1.1,1.6,0.722,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,0,14.7,0.5,1015696.0,2016,BRK
Davis Bertans,Power Forward,Right,82,210,no_college,2011,42,1,25,San Antonio Spurs,,6.0,12.1,4.5,1.5,3.5,0.44,1.0,2.6,0.399,0.5,0.9,0.557,0.588,0.4,0.5,0.824,0.3,1.1,1.5,0.7,0.3,0.4,0.5,1.1,0,12.9,2.3,1543471.0,2016,SAS
Patrick Beverley,Shooting Guard and Point Guard,Right,73,185,University of Arkansas,2009,42,5,29,Los Angeles Clippers,67.0,67.0,30.7,9.5,3.4,8.1,0.42,1.6,4.3,0.382,1.8,3.8,0.463,0.521,1.1,1.4,0.768,1.4,4.4,5.9,4.2,1.5,0.4,1.5,3.3,0,13.0,5.3,6500000.0,2015,HOU
Bismack Biyombo,Center,Right,81,255,no_college,2011,7,6,25,Orlando Magic,81.0,27.0,22.1,6.0,2.2,4.2,0.528,0.0,0.0,,2.2,4.2,0.528,0.528,1.5,2.9,0.534,1.9,5.1,7.0,0.9,0.3,1.1,1.2,2.5,0,12.2,2.9,17000000.0,2016,ORL
Nemanja Bjelica,Power Forward,Right,82,240,no_college,2010,35,2,29,Minnesota Timberwolves,65.0,1.0,18.3,6.2,2.3,5.5,0.424,0.9,2.7,0.316,1.5,2.8,0.531,0.503,0.7,0.9,0.738,0.9,2.9,3.8,1.2,0.6,0.3,0.9,2.4,0,11.0,1.5,3800000.0,2016,MIN
Tarik Black,Center,Right,81,250,University of Kansas,not_drafted,not_drafted,5,26,Houston Rockets,67.0,16.0,16.3,5.7,2.2,4.4,0.51,0.0,0.0,0.5,2.2,4.4,0.51,0.512,1.2,1.6,0.752,2.1,3.0,5.1,0.6,0.4,0.7,0.9,2.6,0,15.0,2.4,6191000.0,2016,LAL
Eric Bledsoe,Point Guard,Right,73,205,University of Kentucky,2010,18,7,28,Phoenix Suns,66.0,66.0,33.0,21.1,6.8,15.7,0.434,1.6,4.7,0.335,5.2,11.0,0.477,0.485,5.9,6.9,0.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,0,20.5,5.3,14000000.0,2016,PHO
Bojan Bogdanovic,Small Forward,Right,80,216,no_college,2011,31,5,28,Indiana Pacers,26.0,0.0,23.1,12.7,4.1,9.0,0.457,1.7,4.4,0.391,2.4,4.6,0.521,0.553,2.7,2.9,0.934,0.5,2.5,3.1,0.8,0.4,0.2,1.5,1.8,0,13.5,2.9,3730653.0,2016,WAS
Andrew Bogut,Center and Power Forward,Right,84,260,University of Utah,2005,1,14,33,no_current_team,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,9.3,0.7,4242224.0,2016,CLE
Joel Bolomboy,Power Forward,Right,81,235,no_college,2016,52,1,23,Utah Jazz,,0.0,4.4,1.8,0.8,1.3,0.563,0.1,0.3,0.25,0.7,1.0,0.667,0.594,0.3,0.5,0.5,0.3,1.1,1.4,0.2,0.1,0.2,0.2,0.1,0,19.7,0.2,600000.0,2016,UTA
Devin Booker,Shooting Guard,Right,78,206,University of Kentucky,2015,13,2,21,Phoenix Suns,78.0,78.0,35.0,22.1,7.8,18.3,0.423,1.9,5.2,0.363,5.9,13.2,0.447,0.475,4.7,5.7,0.832,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,0,14.6,2.0,2223600.0,2016,PHO
Trevor Booker,Power Forward,Left,80,228,Clemson University,2010,23,7,30,Brooklyn Nets,71.0,43.0,24.7,10.0,4.3,8.3,0.516,0.4,1.1,0.321,3.9,7.2,0.546,0.537,1.0,1.5,0.673,2.0,6.0,8.0,1.9,1.1,0.4,1.8,2.1,0,15.7,3.1,9250000.0,2016,BRK
