player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Jose Calderon,Point Guard and Shooting Guard,Right,75,200,no_college,not_drafted,not_drafted,16,36,Cleveland Cavaliers,17.0,2.0,14.5,3.6,1.4,3.4,0.404,0.5,1.8,0.267,0.9,1.6,0.556,0.474,0.4,0.5,0.875,0.4,1.5,1.9,2.2,0.2,0.0,0.9,0.8,0,8.9,0.3,8392478.0,2016,ATL
Kentavious Caldwell-Pope,Shooting Guard,Right,77,205,University of Georgia,2013,8,4,24,Los Angeles Lakers,76.0,75.0,33.3,13.8,4.9,12.2,0.399,2.0,5.8,0.35,2.9,6.5,0.442,0.481,2.0,2.4,0.832,0.7,2.5,3.3,2.5,1.2,0.2,1.1,1.6,0,12.8,4.5,3678319.0,2016,DET
Isaiah Canaan,Point Guard and Shooting Guard,Right,72,201,Murray State University,2013,34,6,26,no_current_team,39.0,0.0,15.2,4.6,1.6,4.4,0.364,0.6,2.4,0.266,1.0,2.0,0.481,0.436,0.8,0.8,0.909,0.2,1.1,1.3,0.9,0.6,0.0,0.5,0.9,0,8.1,0.5,1015696.0,2016,CHI
Clint Capela,Center,Right,82,240,no_college,2014,25,3,23,Houston Rockets,65.0,59.0,23.9,12.6,5.6,8.7,0.643,0.0,0.0,,5.6,8.7,0.643,0.643,1.4,2.7,0.531,2.7,5.4,8.1,1.0,0.5,1.2,1.3,2.8,0,21.4,5.9,1296240.0,2016,HOU
DeMarre Carroll,Power Forward and Small Forward,Right,80,215,University of Missouri,2009,27,12,31,Brooklyn Nets,72.0,72.0,26.1,8.9,3.1,7.6,0.4,1.5,4.4,0.341,1.5,3.2,0.483,0.499,1.2,1.6,0.761,0.9,2.9,3.8,1.0,1.1,0.4,0.8,2.0,0,11.9,3.8,14200000.0,2016,TOR
Vince Carter,Shooting Guard and Small Forward,Right,78,220,University of North Carolina,1998,5,23,40,Sacramento Kings,73.0,15.0,24.6,8.0,2.6,6.7,0.394,1.5,4.1,0.378,1.1,2.7,0.418,0.508,1.2,1.6,0.765,0.5,2.6,3.1,1.8,0.8,0.5,0.7,2.2,1,11.7,4.0,4264057.0,2016,MEM
Michael Carter-Williams,Point Guard,Right,78,190,Syracuse University,2013,11,6,26,Charlotte Hornets,45.0,19.0,18.8,6.6,2.5,6.8,0.366,0.3,1.4,0.234,2.2,5.4,0.401,0.391,1.3,1.7,0.753,0.5,2.9,3.4,2.5,0.8,0.5,1.5,2.3,0,9.9,0.2,3183526.0,2016,CHI
Omri Casspi,Power Forward and Small Forward,Right,81,225,no_college,2009,23,11,29,Golden State Warriors,13.0,0.0,17.1,3.5,1.5,2.9,0.5,0.2,0.8,0.2,1.3,2.2,0.607,0.526,0.4,0.6,0.625,0.5,1.1,1.5,0.8,1.0,0.2,0.8,1.8,0,10.0,0.5,4138414.0,2016,MIN
Willie Cauley-Stein,Center,Right,84,240,University of Kentucky,2015,6,2,24,Sacramento Kings,75.0,21.0,18.9,8.1,3.4,6.4,0.53,0.0,0.0,0.0,3.4,6.4,0.532,0.53,1.3,2.0,0.669,1.1,3.4,4.5,1.1,0.7,0.6,0.9,2.0,0,16.3,2.9,3551160.0,2016,SAC
Tyson Chandler,Power Forward and Center,Right,85,240,no_college,2001,2,16,35,Phoenix Suns,47.0,46.0,27.6,8.4,3.3,4.9,0.671,0.0,0.0,,3.3,4.9,0.671,0.671,1.9,2.6,0.734,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,1,16.6,4.1,12415000.0,2016,PHO
Wilson Chandler,Power Forward and Small Forward and Shooting Guard,Right,80,225,DePaul University,2007,23,11,30,Denver Nuggets,71.0,33.0,30.9,15.7,6.1,13.2,0.461,1.5,4.6,0.337,4.5,8.6,0.527,0.52,2.0,2.7,0.727,1.5,5.0,6.5,2.0,0.7,0.4,1.6,2.4,0,14.9,3.5,11200000.0,2016,DEN
Marquese Chriss,Power Forward,Right,82,233,University of Washington,2016,8,1,20,Phoenix Suns,,75.0,21.3,9.2,3.5,7.7,0.449,0.9,2.7,0.321,2.6,5.0,0.52,0.506,1.4,2.2,0.624,1.2,3.1,4.2,0.7,0.8,0.9,1.3,3.2,0,12.3,1.8,2941440.0,2016,PHO
Rakeem Christmas,Power Forward,Right,81,250,Syracuse University,2015,36,2,26,no_current_team,29.0,0.0,7.6,2.0,0.7,1.5,0.442,0.0,0.0,,0.7,1.5,0.442,0.442,0.7,1.0,0.724,0.9,1.0,1.9,0.1,0.1,0.2,0.3,1.3,0,10.4,0.5,1052342.0,2016,IND
Semaj Christon,Point Guard,Right,75,190,Xavier University,2014,55,1,25,Oklahoma City Thunder,,1.0,15.2,2.9,1.2,3.5,0.345,0.2,1.0,0.19,1.0,2.5,0.406,0.372,0.3,0.5,0.548,0.3,1.1,1.4,2.0,0.4,0.1,0.7,1.2,0,5.7,0.1,1543471.0,2016,OKC
Ian Clark,Shooting Guard,Right,75,175,Belmont University,not_drafted,not_drafted,6,26,New Orleans Pelicans,77.0,0.0,14.8,6.8,2.7,5.6,0.487,0.8,2.1,0.374,1.9,3.5,0.556,0.558,0.6,0.8,0.759,0.3,1.3,1.6,1.2,0.5,0.1,0.7,1.0,0,13.1,2.3,1015696.0,2016,GSW
Jordan Clarkson,Shooting Guard and Point Guard,Right,77,194,University of Missouri,2014,46,3,25,Los Angeles Lakers,82.0,19.0,29.2,14.7,5.8,13.1,0.445,1.4,4.3,0.329,4.4,8.7,0.503,0.5,1.6,2.0,0.798,0.6,2.4,3.0,2.6,1.1,0.1,2.0,1.8,0,13.2,1.2,12500000.0,2016,LAL
Norris Cole,Point Guard,Right,74,175,Cleveland State University,2011,28,8,29,no_current_team,13.0,0.0,9.6,3.3,1.2,4.0,0.308,0.2,1.0,0.231,1.0,3.0,0.333,0.337,0.6,0.8,0.8,0.0,0.8,0.8,1.1,0.6,0.0,0.5,1.4,0,5.4,0.1,1247991.0,2016,OKC
Darren Collison,Point Guard,Right,72,175,"University of California, Los Angeles",2009,21,8,30,Indiana Pacers,68.0,64.0,30.3,13.2,5.0,10.5,0.476,1.1,2.6,0.417,3.9,7.9,0.495,0.527,2.2,2.5,0.86,0.3,1.9,2.2,4.6,1.0,0.1,1.7,1.8,0,15.3,3.9,5229454.0,2016,SAC
