player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Troy Daniels,Shooting Guard,Right,76,205,Virginia Commonwealth University,not_drafted,not_drafted,7,26,Memphis Grizzlies,67.0,3.0,17.7,8.2,2.8,7.4,0.374,2.1,5.3,0.389,0.7,2.1,0.336,0.513,0.6,0.8,0.796,0.3,1.2,1.5,0.7,0.3,0.1,0.7,1.3,0,10.4,1.3,3332940.0,2016,MEM
Anthony Davis,Power Forward and Center,Right,82,253,University of Kentucky,2012,1,5,24,New Orleans Pelicans,75.0,75.0,36.1,28.0,10.3,20.3,0.505,0.5,1.8,0.299,9.7,18.6,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,1,27.5,11.0,22116750.0,2016,NOP
Deyonta Davis,Center,Right,83,237,Michigan State University,2016,31,1,21,Memphis Grizzlies,,0.0,6.6,1.6,0.7,1.3,0.511,0.0,0.0,,0.7,1.3,0.511,0.511,0.3,0.5,0.556,0.6,1.1,1.7,0.1,0.1,0.5,0.2,1.1,0,10.6,0.5,1369229.0,2016,MEM
Ed Davis,Center and Power Forward,Left,82,240,University of North Carolina,2010,13,9,28,Portland Trail Blazers,46.0,12.0,17.2,4.3,1.6,3.1,0.528,0.0,0.0,,1.6,3.1,0.528,0.528,1.1,1.8,0.617,2.1,3.2,5.3,0.6,0.3,0.5,0.8,3.0,0,11.5,1.7,6666667.0,2016,POR
Dewayne Dedmon,Center,Right,84,245,University of Southern California,not_drafted,not_drafted,7,28,Atlanta Hawks,76.0,37.0,17.5,5.1,2.1,3.4,0.622,0.0,0.0,,2.1,3.4,0.622,0.622,0.9,1.2,0.699,1.7,4.8,6.5,0.6,0.5,0.8,0.8,2.4,0,16.0,5.2,2898000.0,2016,SAS
Sam Dekker,Small Forward,Right,81,230,University of Wisconsin,2015,18,2,23,Los Angeles Clippers,77.0,2.0,18.4,6.5,2.6,5.6,0.473,0.8,2.4,0.321,1.9,3.1,0.591,0.543,0.5,0.9,0.559,1.2,2.5,3.7,1.0,0.5,0.3,0.5,1.1,0,13.1,3.1,1646400.0,2015,HOU
Malcolm Delaney,Point Guard,Right,75,190,Virginia Polytechnic Institute and State University,not_drafted,not_drafted,1,28,Atlanta Hawks,,2.0,17.1,5.4,2.0,5.3,0.374,0.4,1.5,0.236,1.6,3.8,0.428,0.407,1.0,1.3,0.806,0.1,1.5,1.7,2.6,0.5,0.0,1.3,1.5,0,7.5,0.1,2500000.0,2016,ATL
Matthew Dellavedova,Shooting Guard and Point Guard,Right,76,198,no_college,not_drafted,not_drafted,4,27,Milwaukee Bucks,76.0,54.0,26.1,7.6,2.7,7.0,0.39,1.0,2.8,0.367,1.7,4.2,0.404,0.463,1.1,1.3,0.854,0.3,1.6,1.9,4.7,0.7,0.0,1.8,2.0,0,9.4,1.2,9607500.0,2016,MIL
Luol Deng,Power Forward and Small Forward,Right,81,220,no_college,2004,7,15,32,Los Angeles Lakers,56.0,49.0,26.5,7.6,2.9,7.6,0.387,0.9,2.9,0.309,2.0,4.6,0.436,0.447,0.8,1.1,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,1,10.1,0.9,18000000.0,2016,LAL
DeMar DeRozan,Shooting Guard,Right,79,221,University of Southern California,2009,9,8,28,Toronto Raptors,74.0,74.0,35.4,27.3,9.7,20.9,0.467,0.4,1.7,0.266,9.3,19.2,0.484,0.477,7.4,8.7,0.842,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,1,24.0,9.0,26540100.0,2016,TOR
Cheick Diallo,Power Forward,Right,81,220,no_college,2016,33,1,21,New Orleans Pelicans,,0.0,11.7,5.1,2.1,4.5,0.474,0.0,0.0,,2.1,4.5,0.474,0.474,0.9,1.2,0.714,1.4,2.9,4.3,0.2,0.2,0.4,0.4,1.0,0,16.8,0.5,1543471.0,2016,NOP
Boris Diaw,Power Forward and Shooting Guard,Right,80,250,no_college,2003,21,18,35,no_current_team,73.0,33.0,17.6,4.6,2.0,4.5,0.446,0.3,1.1,0.247,1.7,3.4,0.512,0.477,0.4,0.5,0.743,0.6,1.5,2.2,2.3,0.2,0.1,1.2,1.1,0,9.0,1.1,7000000.0,2016,UTA
Gorgui Dieng,Power Forward and Center,Right,83,241,no_college,2013,21,4,27,Minnesota Timberwolves,82.0,82.0,32.4,10.0,4.0,8.1,0.502,0.2,0.5,0.372,3.9,7.5,0.511,0.514,1.7,2.0,0.814,2.3,5.6,7.9,1.9,1.1,1.2,1.3,3.1,0,14.2,5.7,2348783.0,2016,MIN
Spencer Dinwiddie,Point Guard,Right,78,200,University of Colorado,2014,38,3,24,Brooklyn Nets,59.0,18.0,22.6,7.3,2.3,5.1,0.444,0.6,1.7,0.376,1.6,3.4,0.478,0.507,2.1,2.7,0.792,0.5,2.3,2.8,3.1,0.7,0.4,1.1,2.0,0,12.7,2.8,2726672.0,2016,BRK
Toney Douglas,Shooting Guard and Point Guard,Right,74,195,Florida State University,2009,29,12,31,no_current_team,24.0,0.0,16.4,4.9,1.8,4.9,0.368,0.3,1.8,0.167,1.5,3.1,0.48,0.397,1.0,1.2,0.828,0.5,2.0,2.5,2.3,0.8,0.2,0.9,2.1,0,10.6,0.5,8603558.0,2016,MEM
Goran Dragic,Shooting Guard and Point Guard,Left,75,190,no_college,2008,45,13,31,Miami Heat,73.0,73.0,33.7,20.3,7.3,15.4,0.475,1.6,4.0,0.405,5.7,11.4,0.499,0.527,4.1,5.2,0.79,0.8,3.0,3.8,5.8,1.2,0.2,2.9,2.7,0,19.8,7.5,15890000.0,2016,MIA
