player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Kenneth Faried,Power Forward,Right,80,228,Morehead State University,2011,22,6,28,Denver Nuggets,61.0,34.0,21.2,9.6,3.7,6.8,0.548,0.0,0.1,0.0,3.7,6.7,0.556,0.548,2.1,3.1,0.693,3.0,4.6,7.6,0.9,0.7,0.7,1.0,2.0,0,20.3,4.5,12078652.0,2016,DEN
Derrick Favors,Power Forward,Right,82,265,Georgia Institute of Technology,2010,3,9,26,Utah Jazz,50.0,39.0,23.7,9.5,4.1,8.3,0.487,0.1,0.2,0.3,4.0,8.1,0.491,0.49,1.3,2.2,0.615,1.8,4.3,6.1,1.1,0.9,0.8,1.2,2.1,0,15.8,2.7,11050000.0,2016,UTA
Kay Felder,Point Guard,Left,69,176,Oakland University,2016,54,1,22,Cleveland Cavaliers,,0.0,9.2,4.0,1.5,3.8,0.392,0.2,0.5,0.318,1.3,3.2,0.404,0.415,0.8,1.2,0.714,0.1,0.9,1.0,1.4,0.4,0.2,0.7,0.9,0,11.4,0.1,1543471.0,2016,CLE
Cristiano Felicio,Center,Right,82,275,no_college,not_drafted,not_drafted,2,25,Chicago Bulls,66.0,0.0,15.8,4.8,1.9,3.3,0.579,0.0,0.0,,1.9,3.3,0.579,0.579,0.9,1.4,0.645,1.9,2.8,4.7,0.6,0.4,0.3,0.5,1.7,0,15.3,3.4,6874636.0,2016,CHI
Raymond Felton,Shooting Guard and Point Guard,Right,73,205,University of North Carolina,2005,5,14,33,Oklahoma City Thunder,80.0,11.0,21.3,6.7,2.8,6.4,0.43,0.6,1.8,0.319,2.2,4.6,0.473,0.475,0.6,0.8,0.781,0.4,2.3,2.7,2.4,0.8,0.3,1.0,1.6,0,10.9,1.9,1551659.0,2016,LAC
Yogi Ferrell,Point Guard,Right,72,180,Indiana University,not_drafted,not_drafted,3,24,Dallas Mavericks,36.0,29.0,29.1,11.3,3.9,9.6,0.412,1.7,4.1,0.403,2.3,5.4,0.418,0.499,1.8,2.0,0.877,0.4,2.3,2.8,4.3,1.1,0.2,1.6,2.2,0,13.1,1.8,202300.0,2016,DAL
Dorian Finney-Smith,Power Forward,Right,80,220,University of Florida,not_drafted,not_drafted,1,24,Dallas Mavericks,,35.0,20.3,4.3,1.5,4.1,0.372,0.7,2.4,0.293,0.8,1.8,0.479,0.456,0.6,0.8,0.754,0.7,2.1,2.7,0.8,0.6,0.3,0.6,1.5,0,7.7,1.4,1543471.0,2016,DAL
Bryn Forbes,Shooting Guard,Right,75,190,Michigan State University,not_drafted,not_drafted,1,24,San Antonio Spurs,,0.0,7.9,2.6,1.0,2.8,0.364,0.5,1.5,0.321,0.5,1.3,0.413,0.449,0.1,0.2,0.833,0.1,0.6,0.6,0.6,0.0,0.0,0.3,0.6,0,5.9,0.1,1543471.0,2016,SAS
Evan Fournier,Small Forward and Shooting Guard,Right,79,205,no_college,2012,20,5,25,Orlando Magic,68.0,66.0,32.9,17.2,6.0,13.7,0.439,1.9,5.3,0.356,4.1,8.4,0.491,0.508,3.3,4.1,0.805,0.6,2.4,3.1,3.0,1.0,0.1,2.1,2.6,0,13.9,2.8,17000000.0,2016,ORL
Randy Foye,Shooting Guard and Point Guard,Right,76,213,Villanova University,2006,7,13,34,no_current_team,69.0,40.0,18.6,5.2,1.7,4.7,0.363,1.0,2.9,0.33,0.7,1.8,0.418,0.466,0.8,0.9,0.857,0.1,2.1,2.2,2.0,0.5,0.1,1.2,1.4,0,7.3,0.2,2500000.0,2016,BRK
Tim Frazier,Point Guard,Right,73,170,Pennsylvania State University,not_drafted,not_drafted,7,27,Washington Wizards,65.0,35.0,23.5,7.1,2.5,6.2,0.403,0.6,2.0,0.313,1.9,4.2,0.446,0.453,1.5,2.0,0.76,0.5,2.1,2.7,5.2,0.9,0.1,1.6,2.0,0,12.4,2.4,7144157.0,2015,NOP
Channing Frye,Center and Power Forward,Right,83,255,University of Arizona,2005,8,13,34,Cleveland Cavaliers,74.0,15.0,18.9,9.1,3.2,7.0,0.458,1.9,4.5,0.409,1.4,2.5,0.546,0.589,0.9,1.0,0.851,0.5,3.4,3.9,0.6,0.4,0.5,0.7,1.9,0,15.6,3.7,7806971.0,2016,CLE
