player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Danilo Gallinari,Power Forward and Small Forward and Shooting Guard,Right,82,225,no_college,2008,6,10,29,Los Angeles Clippers,63.0,63.0,33.9,18.2,5.3,11.9,0.447,2.0,5.1,0.389,3.3,6.8,0.491,0.531,5.5,6.1,0.902,0.6,4.5,5.2,2.1,0.6,0.2,1.3,1.5,0,17.4,6.8,15050000.0,2016,DEN
Langston Galloway,Point Guard,Right,74,200,Saint Joseph's University,not_drafted,not_drafted,5,26,Detroit Pistons,19.0,2.0,19.7,6.0,2.2,5.5,0.404,1.0,2.1,0.475,1.2,3.4,0.359,0.495,0.6,0.6,0.917,0.4,1.5,1.8,1.5,0.3,0.1,0.9,1.1,0,10.4,1.3,5200000.0,2016,SAC
Marc Gasol,Center,Right,85,255,no_college,2007,48,9,32,Memphis Grizzlies,74.0,74.0,34.2,19.5,7.2,15.7,0.459,1.4,3.6,0.388,5.8,12.1,0.48,0.503,3.8,4.5,0.837,0.8,5.5,6.3,4.6,0.9,1.3,2.2,2.3,1,20.3,7.7,21165675.0,2016,MEM
Pau Gasol,Center and Power Forward,Right,84,250,no_college,2001,3,18,37,San Antonio Spurs,64.0,39.0,25.4,12.4,4.7,9.4,0.502,0.9,1.6,0.538,3.9,7.8,0.494,0.548,2.0,2.9,0.707,1.7,6.2,7.8,2.3,0.4,1.1,1.3,1.7,1,20.2,6.4,15500000.0,2016,SAS
Rudy Gay,Small Forward,Right,80,230,University of Connecticut,2006,8,15,31,San Antonio Spurs,30.0,30.0,33.8,18.7,6.7,14.7,0.455,1.4,3.8,0.372,5.3,11.0,0.483,0.502,3.9,4.6,0.855,1.2,5.2,6.3,2.8,1.5,0.9,2.5,2.6,0,17.9,1.8,13333333.0,2016,SAC
Michael Gbinije,Shooting Guard,Right,79,200,Syracuse University,2016,49,1,25,no_current_team,,0.0,3.6,0.4,0.1,1.1,0.1,0.0,0.4,0.0,0.1,0.7,0.167,0.1,0.2,0.2,1.0,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.2,0,2.1,0.1,650000.0,2016,DET
Alonzo Gee,Small Forward and Shooting Guard,Right,78,225,University of Alabama,not_drafted,not_drafted,13,30,no_current_team,13.0,0.0,6.8,0.8,0.2,1.1,0.214,0.0,0.2,0.0,0.2,0.8,0.273,0.214,0.4,0.7,0.556,0.3,0.8,1.2,0.5,0.4,0.1,0.3,1.1,0,3.1,0.1,7495227.0,2016,DEN
Paul George,Small Forward and Shooting Guard,Right,81,220,"California State University, Fresno",2010,10,7,27,Oklahoma City Thunder,75.0,75.0,35.9,23.7,8.3,18.0,0.461,2.6,6.6,0.393,5.7,11.4,0.501,0.534,4.5,5.0,0.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,1,20.2,7.1,18314532.0,2016,IND
Marcus Georges-Hunt,Shooting Guard,Right,77,216,Georgia Institute of Technology,not_drafted,not_drafted,1,23,Minnesota Timberwolves,,0.0,9.6,2.8,0.4,1.4,0.286,0.2,0.4,0.5,0.2,1.0,0.2,0.357,1.8,2.0,0.9,0.2,1.6,1.8,0.6,0.2,0.0,0.4,1.0,0,10.2,0.1,25000.0,2016,ORL
Jonathan Gibson,Point Guard,Right,74,185,New Mexico State University,not_drafted,not_drafted,1,30,no_current_team,,0.0,13.6,6.2,2.1,5.6,0.368,0.9,2.6,0.333,1.2,2.9,0.4,0.447,1.2,1.7,0.724,0.1,1.2,1.3,1.5,0.5,0.0,1.2,1.2,0,9.5,0.1,7680937.0,2016,DAL
