player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Justin Hamilton,Center,Right,84,260,Louisiana State University,2012,45,7,27,no_current_team,64.0,7.0,18.4,6.9,2.7,5.9,0.459,0.9,2.8,0.306,1.9,3.1,0.598,0.532,0.6,0.8,0.75,1.1,3.0,4.1,0.9,0.5,0.7,0.7,1.4,0,13.6,2.1,3000000.0,2016,BRK
A.J. Hammons,Center,Right,84,260,Purdue University,2016,46,1,25,Miami Heat,,0.0,7.4,2.2,0.8,1.9,0.405,0.2,0.5,0.5,0.5,1.5,0.375,0.464,0.4,0.9,0.45,0.4,1.3,1.6,0.2,0.0,0.6,0.5,1.0,0,8.4,0.0,650000.0,2016,DAL
Tim Hardaway,Shooting Guard,Right,78,205,University of Michigan,2013,24,4,25,New York Knicks,79.0,30.0,27.3,14.5,5.3,11.5,0.455,1.9,5.3,0.357,3.4,6.3,0.537,0.537,2.1,2.7,0.766,0.4,2.4,2.8,2.3,0.7,0.2,1.3,1.3,0,15.2,4.8,2281605.0,2016,ATL
James Harden,Point Guard and Shooting Guard,Left,77,220,Arizona State University,2009,3,8,28,Houston Rockets,81.0,81.0,36.4,29.1,8.3,18.9,0.44,3.2,9.3,0.347,5.1,9.6,0.53,0.525,9.2,10.9,0.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,1,27.4,15.0,26540100.0,2016,HOU
Maurice Harkless,Small Forward,Right,81,215,St. John's University,2012,15,5,24,Portland Trail Blazers,77.0,69.0,28.9,10.0,4.1,8.1,0.503,0.9,2.5,0.351,3.2,5.6,0.572,0.558,1.0,1.6,0.621,1.6,2.8,4.4,1.1,1.1,0.9,1.1,2.8,0,13.1,4.2,8988764.0,2016,POR
Montrezl Harrell,Center and Power Forward,Right,80,240,University of Louisville,2015,32,2,23,Los Angeles Clippers,58.0,14.0,18.3,9.1,3.9,5.9,0.652,0.0,0.1,0.143,3.9,5.8,0.663,0.654,1.3,2.1,0.628,1.4,2.4,3.8,1.1,0.3,0.7,0.8,2.2,0,19.2,4.1,1000000.0,2015,HOU
Devin Harris,Point Guard and Shooting Guard,Right,75,192,University of Wisconsin,2004,5,17,34,Dallas Mavericks,65.0,0.0,16.7,6.7,2.1,5.2,0.399,0.9,2.7,0.328,1.2,2.5,0.476,0.484,1.6,2.0,0.829,0.2,1.8,2.0,2.1,0.7,0.1,0.9,1.6,1,13.8,2.2,4228000.0,2016,DAL
Gary Harris,Shooting Guard,Right,76,210,Michigan State University,2014,19,3,23,Denver Nuggets,57.0,56.0,31.3,14.9,5.6,11.2,0.502,1.9,4.5,0.42,3.7,6.7,0.558,0.586,1.8,2.4,0.776,0.8,2.3,3.1,2.9,1.2,0.1,1.3,1.6,0,16.5,4.6,1655880.0,2016,DEN
Joe Harris,Shooting Guard,Right,78,219,University of Virginia,2014,33,3,26,Brooklyn Nets,52.0,11.0,21.9,8.2,3.0,7.0,0.425,1.6,4.3,0.385,1.3,2.7,0.489,0.543,0.7,0.9,0.714,0.3,2.5,2.8,1.0,0.6,0.2,1.1,2.3,0,9.0,0.8,1980431.0,2016,BRK
Manny Harris,Shooting Guard,Right,77,185,University of Michigan,not_drafted,not_drafted,4,28,no_current_team,4.0,0.0,6.3,2.0,0.8,3.8,0.2,0.0,0.5,0.0,0.8,3.3,0.231,0.2,0.5,1.0,0.5,0.8,1.5,2.3,0.5,0.0,0.0,0.5,0.3,0,2.2,0.2,4119494.0,2016,DAL
Tobias Harris,Power Forward and Small Forward,Right,81,235,University of Tennessee,2011,19,10,25,Detroit Pistons,82.0,48.0,31.3,16.1,6.2,13.0,0.481,1.3,3.8,0.347,4.9,9.1,0.537,0.532,2.3,2.8,0.841,0.8,4.3,5.1,1.7,0.7,0.5,1.2,1.6,0,16.9,6.8,17200000.0,2016,DET
Aaron Harrison,Shooting Guard,Right,78,210,University of Kentucky,not_drafted,not_drafted,2,23,no_current_team,5.0,0.0,3.4,0.2,0.0,0.8,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.2,0.4,0.5,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.4,0,2.2,0.1,9375579.0,2016,CHO
Andrew Harrison,Point Guard,Right,78,213,University of Kentucky,2015,44,1,23,Memphis Grizzlies,,18.0,20.5,5.9,1.6,5.0,0.325,0.6,2.2,0.276,1.0,2.8,0.363,0.385,2.1,2.7,0.763,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,0,8.7,1.6,945000.0,2016,MEM
