player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Jarrett Jack,Point Guard and Shooting Guard,Right,75,200,Georgia Institute of Technology,2005,22,14,34,no_current_team,2.0,0.0,16.5,3.0,1.0,1.5,0.667,0.0,0.5,0.0,1.0,1.0,1.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,2.5,1.0,0.0,1.5,2.0,0,7.7,0.0,7491274.0,2016,NOP
Demetrius Jackson,Point Guard,Right,73,201,University of Notre Dame,2016,45,1,23,no_current_team,,0.0,3.4,2.0,0.6,0.8,0.75,0.2,0.2,1.0,0.4,0.6,0.667,0.875,0.6,1.2,0.5,0.4,0.4,0.8,0.6,0.0,0.0,0.0,0.0,0,30.8,0.1,1450000.0,2016,BOS
Pierre Jackson,Point Guard,Right,70,180,Baylor University,2013,42,1,26,no_current_team,,1.0,10.5,4.4,1.6,4.9,0.333,0.4,1.4,0.273,1.3,3.5,0.357,0.372,0.8,0.9,0.857,0.1,1.0,1.1,2.4,0.3,0.0,0.4,0.6,0,13.0,0.0,8105498.0,2016,DAL
Reggie Jackson,Point Guard,Right,75,208,no_college,2011,24,8,27,Detroit Pistons,52.0,50.0,27.4,14.5,5.5,13.0,0.419,1.3,3.5,0.359,4.2,9.5,0.442,0.468,2.3,2.6,0.868,0.4,1.8,2.2,5.2,0.7,0.1,2.2,2.5,0,14.9,1.9,14956522.0,2016,DET
LeBron James,Shooting Guard and Small Forward and Power Forward,Right,80,250,no_college,2003,1,14,33,Cleveland Cavaliers,74.0,74.0,37.8,26.4,9.9,18.2,0.548,1.7,4.6,0.363,8.3,13.5,0.611,0.594,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,1,27.0,12.9,30963450.0,2016,CLE
Al Jefferson,Power Forward and Center,Right,82,289,no_college,2004,15,13,32,Indiana Pacers,66.0,1.0,14.1,8.1,3.6,7.1,0.499,0.0,0.0,0.0,3.6,7.1,0.5,0.499,1.0,1.3,0.765,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,0,18.9,2.3,10230179.0,2016,IND
Richard Jefferson,Small Forward,Right,79,233,University of Arizona,2001,13,18,37,Cleveland Cavaliers,79.0,13.0,20.4,5.7,1.9,4.3,0.446,0.8,2.4,0.333,1.2,2.0,0.58,0.536,1.0,1.4,0.741,0.4,2.2,2.6,1.0,0.3,0.1,0.7,1.9,0,8.3,2.1,2500000.0,2016,CLE
John Jenkins,Shooting Guard,Right,76,215,Vanderbilt University,2012,23,7,26,no_current_team,4.0,0.0,3.3,1.8,0.5,1.3,0.4,0.3,0.5,0.5,0.3,0.8,0.333,0.5,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0,17.3,0.0,1469841.0,2016,PHO
Brandon Jennings,Point Guard,Left,73,170,no_college,2009,10,12,28,no_current_team,23.0,2.0,16.3,3.5,1.3,4.6,0.274,0.5,2.3,0.212,0.8,2.3,0.333,0.325,0.5,0.7,0.706,0.3,1.6,1.9,4.7,0.7,0.0,1.0,1.4,0,12.1,1.7,1200000.0,2016,WAS
Jonas Jerebko,Power Forward,Right,82,231,no_college,2009,39,9,30,Utah Jazz,78.0,6.0,15.8,3.8,1.5,3.4,0.435,0.6,1.7,0.346,0.9,1.7,0.523,0.521,0.3,0.5,0.703,0.8,2.7,3.5,0.9,0.3,0.2,0.5,1.6,0,9.3,2.1,5000000.0,2016,BOS
Amir Johnson,Power Forward and Small Forward,Right,81,240,no_college,2005,56,12,30,Philadelphia 76ers,80.0,77.0,20.1,6.5,2.7,4.6,0.576,0.3,0.8,0.409,2.3,3.8,0.612,0.612,0.8,1.3,0.67,1.5,3.1,4.6,1.8,0.6,0.8,1.0,2.6,0,15.0,5.0,12000000.0,2016,BOS
James Johnson,Small Forward and Power Forward,Right,81,250,Wake Forest University,2009,16,10,30,Miami Heat,76.0,5.0,27.4,12.8,4.8,10.1,0.479,1.1,3.4,0.34,3.7,6.8,0.548,0.535,2.0,2.8,0.707,0.9,4.1,4.9,3.6,1.0,1.1,2.3,2.6,0,17.0,5.1,4000000.0,2016,MIA
