player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Skal Labissiere,Power Forward,Right,83,225,no_college,2016,28,1,21,Sacramento Kings,,12.0,18.5,8.8,3.5,6.6,0.537,0.1,0.2,0.375,3.5,6.4,0.543,0.544,1.6,2.2,0.703,1.5,3.4,4.9,0.8,0.5,0.4,1.1,1.9,0,16.8,1.3,1188840.0,2016,SAC
Jeremy Lamb,Small Forward and Shooting Guard,Right,77,185,University of Connecticut,2012,12,5,25,Charlotte Hornets,62.0,5.0,18.4,9.7,3.6,7.9,0.46,0.7,2.4,0.281,3.0,5.6,0.536,0.502,1.8,2.1,0.853,0.5,3.8,4.3,1.2,0.4,0.4,0.6,1.6,0,17.0,2.7,6511628.0,2016,CHO
Joffrey Lauvergne,Center and Power Forward,Right,83,220,no_college,2013,55,5,26,San Antonio Spurs,20.0,1.0,12.1,4.5,1.9,4.6,0.402,0.3,1.0,0.3,1.6,3.6,0.431,0.435,0.5,0.8,0.6,1.1,2.4,3.4,1.0,0.4,0.0,0.8,0.6,0,12.6,1.5,1709720.0,2016,CHI
Zach LaVine,Shooting Guard and Point Guard,Right,77,189,"University of California, Los Angeles",2014,13,3,22,Chicago Bulls,47.0,47.0,37.2,18.9,6.9,15.1,0.459,2.6,6.6,0.387,4.4,8.5,0.515,0.544,2.5,3.0,0.836,0.4,3.0,3.4,3.0,0.9,0.2,1.8,2.2,0,14.6,3.0,2240880.0,2016,MIN
Ty Lawson,Point Guard,Right,71,195,University of North Carolina,2009,18,10,30,no_current_team,69.0,24.0,25.1,9.9,3.4,7.6,0.454,0.5,1.7,0.288,2.9,5.9,0.502,0.487,2.5,3.1,0.797,0.6,2.0,2.6,4.8,1.1,0.1,1.9,1.7,0,15.4,3.2,1315448.0,2016,SAC
Jake Layman,Small Forward,Right,81,210,University of Maryland,2016,47,1,23,Portland Trail Blazers,,1.0,7.1,2.2,0.7,2.5,0.292,0.4,1.5,0.255,0.4,1.1,0.342,0.365,0.4,0.5,0.765,0.2,0.5,0.7,0.3,0.3,0.1,0.3,0.6,0,4.9,0.3,600000.0,2016,POR
Courtney Lee,Shooting Guard,Right,77,200,Western Kentucky University,2008,22,13,32,New York Knicks,77.0,74.0,31.9,10.8,4.2,9.1,0.456,1.4,3.5,0.401,2.8,5.6,0.49,0.533,1.1,1.3,0.867,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,0,12.2,4.2,11242000.0,2016,NYK
David Lee,Power Forward and Center and Small Forward,Left,81,245,University of Florida,2005,30,14,34,no_current_team,79.0,10.0,18.7,7.3,3.1,5.3,0.59,0.0,0.0,,3.1,5.3,0.59,0.59,1.0,1.4,0.708,1.9,3.7,5.6,1.6,0.4,0.5,1.0,1.6,1,18.5,5.7,1551659.0,2016,SAS
Alex Len,Center,Right,85,260,University of Maryland,2013,5,4,24,no_current_team,77.0,34.0,20.3,8.0,3.0,6.0,0.497,0.0,0.2,0.25,2.9,5.9,0.503,0.5,1.9,2.7,0.721,2.0,4.6,6.6,0.6,0.5,1.3,1.3,3.1,0,15.0,3.0,4823621.0,2016,PHO
Kawhi Leonard,Small Forward,Right,79,230,San Diego State University,2011,15,6,26,San Antonio Spurs,74.0,74.0,33.4,25.5,8.6,17.7,0.485,2.0,5.2,0.38,6.6,12.5,0.529,0.541,6.3,7.2,0.88,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,1,27.6,13.6,17638063.0,2016,SAS
