player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Shelvin Mack,Shooting Guard and Point Guard,Right,75,203,Butler University,2011,34,11,27,Orlando Magic,55.0,9.0,21.9,7.8,3.1,6.9,0.446,0.7,2.2,0.308,2.4,4.7,0.51,0.495,1.0,1.4,0.688,0.4,1.9,2.3,2.8,0.8,0.1,1.6,1.8,0,10.9,1.4,2433334.0,2016,UTA
Ian Mahinmi,Center,Right,83,250,no_college,2005,28,9,31,Washington Wizards,31.0,0.0,17.9,5.6,2.1,3.6,0.586,0.0,0.0,,2.1,3.6,0.586,0.586,1.4,2.4,0.573,1.5,3.3,4.8,0.6,1.1,0.8,1.1,2.9,0,14.1,1.4,15944154.0,2016,WAS
Thon Maker,Center,Right,85,216,no_college,2016,10,1,20,Milwaukee Bucks,,34.0,9.9,4.0,1.5,3.2,0.459,0.5,1.3,0.378,1.0,1.9,0.514,0.536,0.6,0.9,0.653,0.7,1.3,2.0,0.4,0.2,0.5,0.3,1.5,0,14.0,1.3,2568600.0,2016,MIL
Boban Marjanovic,Center,Right,87,290,no_college,not_drafted,not_drafted,2,29,Detroit Pistons,35.0,0.0,8.4,5.5,2.1,3.8,0.545,0.0,0.0,,2.1,3.8,0.545,0.545,1.3,1.7,0.81,1.3,2.4,3.7,0.3,0.2,0.3,0.3,0.7,0,29.6,1.7,7000000.0,2016,DET
Jarell Martin,Power Forward,Right,82,239,Louisiana State University,2015,25,2,23,Memphis Grizzlies,42.0,3.0,13.3,3.9,1.4,3.6,0.384,0.2,0.6,0.36,1.2,3.0,0.389,0.414,1.0,1.2,0.8,1.0,2.9,3.9,0.2,0.4,0.2,0.7,2.2,0,8.7,0.6,1286160.0,2016,MEM
Wesley Matthews,Small Forward and Shooting Guard,Right,77,220,Marquette University,not_drafted,not_drafted,8,31,Dallas Mavericks,73.0,73.0,34.2,13.5,4.6,11.6,0.393,2.4,6.6,0.363,2.2,5.0,0.432,0.496,2.0,2.5,0.816,0.2,3.3,3.5,2.9,1.1,0.2,1.4,2.2,0,11.9,3.1,17100000.0,2016,DAL
Luc Mbah a Moute,Power Forward and Small Forward,Right,80,230,no_college,2008,37,11,31,Houston Rockets,80.0,76.0,22.3,6.1,2.4,4.7,0.505,0.5,1.4,0.391,1.9,3.4,0.552,0.562,0.7,1.1,0.678,0.6,1.6,2.1,0.5,1.0,0.4,0.6,1.5,0,10.2,3.1,2203000.0,2016,LAC
James Michael McAdoo,Power Forward,Right,81,230,University of North Carolina,not_drafted,not_drafted,3,24,no_current_team,52.0,2.0,8.8,2.8,1.2,2.3,0.53,0.0,0.2,0.25,1.2,2.1,0.55,0.538,0.4,0.8,0.5,0.7,1.1,1.8,0.3,0.3,0.6,0.4,0.9,0,13.1,1.1,1980431.0,2016,GSW
Patrick McCaw,Shooting Guard,Right,79,185,"University of Nevada, Las Vegas",2016,38,1,22,Golden State Warriors,,20.0,15.1,4.0,1.5,3.5,0.433,0.6,1.7,0.333,0.9,1.7,0.533,0.516,0.4,0.5,0.784,0.3,1.1,1.4,1.1,0.5,0.2,0.5,0.9,0,8.6,1.7,1543471.0,2016,GSW
Sheldon McClellan,Shooting Guard,Right,77,200,University of Miami,not_drafted,not_drafted,1,25,Washington Wizards,,3.0,9.6,3.0,1.0,2.5,0.4,0.2,1.0,0.233,0.8,1.5,0.511,0.447,0.8,0.9,0.852,0.1,1.0,1.1,0.5,0.3,0.1,0.2,0.6,0,10.1,0.5,1543471.0,2016,WAS
