player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Larry Nance Jr.,Power Forward,Right,81.0,230.0,University of Wyoming,2015,27,2,24,Los Angeles Lakers,63.0,7.0,22.9,7.1,3.0,5.7,0.526,0.2,0.6,0.278,2.9,5.2,0.554,0.54,0.9,1.3,0.738,1.9,4.0,5.9,1.5,1.3,0.6,0.9,2.4,0,15.7,3.5,1207680.0,2016,LAL
Shabazz Napier,Point Guard,Right,73.0,175.0,University of Connecticut,2014,24,3,26,Portland Trail Blazers,53.0,2.0,9.7,4.1,1.4,3.5,0.399,0.6,1.7,0.37,0.7,1.7,0.429,0.492,0.7,0.9,0.776,0.2,1.0,1.2,1.3,0.6,0.0,0.8,0.7,0,13.6,0.6,1350120.0,2016,POR
Maurice Ndour,Power Forward,Right,81.0,200.0,Ohio University,not_drafted,not_drafted,1,25,no_current_team,,4.0,10.3,3.1,1.2,2.7,0.453,0.0,0.2,0.143,1.2,2.5,0.481,0.459,0.6,0.8,0.731,0.7,1.3,2.0,0.3,0.5,0.3,0.4,0.9,0,11.3,0.4,8437318.0,2016,NYK
Gary Neal,Shooting Guard,Right,76.0,210.0,Towson University,not_drafted,not_drafted,11,33,no_current_team,2.0,0.0,9.0,2.0,0.0,3.5,0.0,0.0,1.0,0.0,0.0,2.5,0.0,0.0,2.0,2.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0,4.3,0.1,9372193.0,2016,ATL
Jameer Nelson,Point Guard,Right,72.0,190.0,Saint Joseph's University,2004,20,16,35,Denver Nuggets,75.0,39.0,27.3,9.2,3.6,8.1,0.444,1.4,3.6,0.388,2.2,4.4,0.489,0.531,0.6,0.8,0.714,0.4,2.2,2.6,5.1,0.7,0.1,1.7,2.6,1,11.5,2.8,4540525.0,2016,DEN
Raul Neto,Point Guard,Right,73.0,179.0,no_college,2013,47,2,25,Utah Jazz,40.0,0.0,8.7,2.5,1.0,2.3,0.451,0.3,0.8,0.323,0.8,1.5,0.517,0.505,0.2,0.2,0.889,0.1,0.7,0.8,0.9,0.5,0.1,0.4,1.2,0,10.7,0.7,937800.0,2016,UTA
Georges Niang,Power Forward,Right,80.0,230.0,Iowa State University,2016,50,1,24,Golden State Warriors,,0.0,4.0,0.9,0.4,1.6,0.25,0.0,0.5,0.083,0.3,1.0,0.333,0.264,0.1,0.1,1.0,0.1,0.7,0.7,0.2,0.1,0.0,0.2,0.3,0,0.1,0.3,650000.0,2016,IND
Andrew Nicholson,Power Forward,Right,81.0,250.0,St. Bonaventure University,2012,19,7,28,no_current_team,10.0,0.0,11.1,3.0,1.3,3.4,0.382,0.2,1.1,0.182,1.1,2.3,0.478,0.412,0.2,0.2,1.0,0.4,2.3,2.7,0.3,0.5,0.0,0.6,1.8,0,5.9,0.1,6088993.0,2016,BRK
Joakim Noah,Center,Right,83.0,230.0,University of Florida,2007,9,10,32,New York Knicks,46.0,46.0,22.1,5.0,2.2,4.4,0.49,0.0,0.0,0.0,2.2,4.4,0.493,0.49,0.7,1.7,0.436,3.5,5.2,8.8,2.2,0.7,0.8,1.3,2.8,1,15.2,2.2,17000000.0,2016,NYK
Nerlens Noel,Power Forward and Center,"6-11, 228lb (211cm, 103kg) ",,,University of Kentucky,2013,6,5,23,no_current_team,22.0,12.0,22.0,8.5,3.5,6.1,0.575,0.0,0.0,,3.5,6.1,0.575,0.575,1.5,2.2,0.708,2.1,4.7,6.8,0.9,1.0,1.1,1.0,2.5,0,20.4,4.0,4384490.0,2016,DAL
Lucas Nogueira,Center,Right,84.0,241.0,no_college,2013,16,3,25,Toronto Raptors,57.0,6.0,19.1,4.4,1.8,2.7,0.66,0.1,0.2,0.25,1.8,2.5,0.694,0.67,0.8,1.2,0.657,1.4,2.8,4.3,0.7,0.9,1.6,0.8,2.4,0,15.5,3.7,1921320.0,2016,TOR
Dirk Nowitzki,Center and Power Forward,Right,84.0,245.0,no_college,1998,9,19,39,Dallas Mavericks,54.0,54.0,26.4,14.2,5.5,12.6,0.437,1.5,3.9,0.378,4.0,8.7,0.463,0.495,1.8,2.1,0.875,0.4,6.1,6.5,1.5,0.6,0.7,0.9,2.1,1,17.0,2.5,25000000.0,2016,DAL
Jusuf Nurkic,Center,Right,84.0,280.0,no_college,2014,16,5,23,Portland Trail Blazers,20.0,19.0,29.2,15.2,6.0,11.8,0.508,0.0,0.1,0.0,6.0,11.8,0.511,0.508,3.2,4.9,0.66,3.3,7.1,10.4,3.2,1.3,1.9,3.1,3.7,0,17.5,2.0,1921320.0,2016,POR
David Nwaba,Shooting Guard,Right,76.0,209.0,"California Polytechnic State University, San Luis Obispo",not_drafted,not_drafted,1,24,Chicago Bulls,,2.0,19.9,6.0,2.4,4.1,0.58,0.1,0.3,0.2,2.3,3.8,0.605,0.586,1.3,2.0,0.641,0.9,2.3,3.2,0.7,0.7,0.4,0.6,1.8,0,12.2,0.8,6137466.0,2016,LAL
