player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Zaza Pachulia,Center,Right,83,270,no_college,2003,42,14,33,Golden State Warriors,70.0,70.0,18.1,6.1,2.3,4.4,0.534,0.0,0.0,0.0,2.3,4.4,0.538,0.534,1.4,1.8,0.778,2.0,3.9,5.9,1.9,0.8,0.5,1.2,2.4,0,16.1,4.7,2898000.0,2016,GSW
Georgios Papagiannis,Center,Right,85,240,no_college,2016,13,1,20,Sacramento Kings,,0.0,16.1,5.6,2.5,4.6,0.549,0.0,0.1,0.0,2.5,4.5,0.56,0.549,0.5,0.6,0.857,1.1,2.8,3.9,0.9,0.1,0.8,1.1,2.0,0,12.7,0.4,2202240.0,2016,SAC
Jabari Parker,Power Forward,Right,80,250,Duke University,2014,2,3,22,Milwaukee Bucks,51.0,50.0,33.9,20.1,7.8,16.0,0.49,1.3,3.5,0.365,6.5,12.5,0.525,0.53,3.2,4.3,0.743,1.5,4.6,6.2,2.8,1.0,0.4,1.8,2.2,0,19.1,4.0,5374320.0,2016,MIL
Tony Parker,Point Guard,Right,74,185,no_college,2001,28,16,35,San Antonio Spurs,63.0,63.0,25.2,10.1,4.2,9.0,0.466,0.4,1.1,0.333,3.8,7.9,0.484,0.486,1.3,1.9,0.726,0.1,1.7,1.8,4.5,0.5,0.0,1.4,1.5,1,13.0,3.0,14445313.0,2016,SAS
Chandler Parsons,Small Forward,Right,82,230,University of Florida,2011,38,6,29,Memphis Grizzlies,34.0,34.0,19.9,6.2,2.2,6.5,0.338,0.7,2.7,0.269,1.5,3.8,0.388,0.394,1.0,1.3,0.814,0.2,2.3,2.5,1.6,0.6,0.1,0.7,1.5,0,7.7,0.2,22116750.0,2016,MEM
Lamar Patterson,Shooting Guard,Right,77,225,University of Pittsburgh,2014,48,2,26,no_current_team,5.0,0.0,8.0,1.8,0.6,3.0,0.2,0.2,1.2,0.167,0.4,1.8,0.222,0.233,0.4,0.6,0.667,0.2,1.2,1.4,1.2,0.2,0.0,0.8,1.2,0,1.9,0.1,100000.0,2016,ATL
Patrick Patterson,Power Forward,Right,81,230,University of Kentucky,2010,14,11,28,Oklahoma City Thunder,65.0,8.0,24.6,6.8,2.4,5.9,0.401,1.4,3.9,0.372,0.9,2.0,0.458,0.523,0.7,0.9,0.717,1.0,3.6,4.5,1.2,0.6,0.4,0.6,1.8,0,10.8,3.3,6050000.0,2016,TOR
Chris Paul,Point Guard,Right,72,175,Wake Forest University,2005,4,12,32,Houston Rockets,61.0,61.0,31.5,18.1,6.1,12.9,0.476,2.0,5.0,0.411,4.1,7.9,0.518,0.555,3.8,4.3,0.892,0.7,4.3,5.0,9.2,2.0,0.1,2.4,2.4,1,26.2,10.6,21468696.0,2015,LAC
Adreian Payne,Power Forward,Right,82,237,Michigan State University,2014,15,5,26,no_current_team,18.0,0.0,7.5,3.5,1.3,3.0,0.426,0.2,0.8,0.2,1.1,2.2,0.513,0.454,0.8,1.1,0.737,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,0,14.4,0.2,2022240.0,2016,MIN
Cameron Payne,Point Guard,Left,75,185,Murray State University,2015,14,4,23,Chicago Bulls,11.0,0.0,12.9,4.9,1.9,5.7,0.333,1.0,3.1,0.324,0.9,2.6,0.345,0.421,0.1,0.4,0.25,0.1,1.5,1.5,1.4,0.4,0.0,1.2,1.3,0,5.5,0.3,2112480.0,2016,CHI
Elfrid Payton,Point Guard,Right,76,185,University of Louisiana at Lafayette,2014,10,3,23,Orlando Magic,82.0,58.0,29.4,12.8,5.2,11.1,0.471,0.5,1.8,0.274,4.8,9.3,0.509,0.493,1.8,2.6,0.692,1.1,3.6,4.7,6.5,1.1,0.5,2.2,2.2,0,17.2,4.4,2613600.0,2016,ORL
Gary Payton II,Point Guard,Left,75,190,Oregon State University,not_drafted,not_drafted,1,25,Milwaukee Bucks,,0.0,16.5,3.3,1.3,3.7,0.364,0.2,1.5,0.111,1.2,2.2,0.538,0.386,0.5,0.8,0.6,0.0,2.0,2.0,2.2,0.5,0.7,1.7,1.5,0,4.5,0.2,6635166.0,2016,MIL
Paul Pierce,Small Forward and Shooting Guard,Right,79,235,University of Kansas,1998,10,19,40,no_current_team,25.0,7.0,11.1,3.2,1.1,2.8,0.4,0.6,1.7,0.349,0.5,1.1,0.481,0.507,0.4,0.5,0.769,0.0,1.9,1.9,0.4,0.2,0.2,0.6,1.6,1,5.7,0.1,3500000.0,2016,LAC
