player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Chasson Randle,Point Guard,Right,74,185,Stanford University,not_drafted,not_drafted,3,24,New York Knicks,18.0,0.0,12.5,5.3,1.6,4.0,0.389,0.6,1.8,0.313,1.0,2.2,0.45,0.458,1.6,1.7,0.935,0.3,1.2,1.5,1.6,0.3,0.1,0.9,1.6,0,13.6,0.7,243860.0,2016,NYK
Julius Randle,Power Forward,Left,81,250,University of Kentucky,2014,7,3,23,Los Angeles Lakers,74.0,73.0,28.8,13.2,5.1,10.4,0.488,0.2,0.9,0.27,4.9,9.6,0.507,0.499,2.8,3.8,0.723,2.0,6.6,8.6,3.6,0.7,0.5,2.3,3.4,0,16.3,3.5,3267120.0,2016,LAL
Zach Randolph,Center and Power Forward,Left,81,260,Michigan State University,2001,19,18,36,Sacramento Kings,73.0,5.0,24.5,14.1,5.9,13.2,0.449,0.3,1.3,0.223,5.6,11.9,0.474,0.46,1.9,2.6,0.731,2.5,5.7,8.2,1.7,0.5,0.1,1.4,1.9,1,18.5,3.2,10361445.0,2016,MEM
J.J. Redick,Point Guard and Shooting Guard,Right,76,190,Duke University,2006,11,13,33,Philadelphia 76ers,78.0,78.0,28.2,15.0,5.1,11.4,0.445,2.6,6.0,0.429,2.5,5.4,0.462,0.558,2.3,2.6,0.891,0.1,2.1,2.2,1.4,0.7,0.2,1.3,1.6,0,14.8,4.8,7377500.0,2016,LAC
Willie Reed,Center,Right,82,220,Saint Louis University,not_drafted,not_drafted,2,27,Los Angeles Clippers,71.0,5.0,14.5,5.3,2.3,4.0,0.568,0.0,0.1,0.25,2.3,4.0,0.573,0.57,0.7,1.2,0.557,1.8,2.9,4.7,0.4,0.3,0.7,0.4,1.9,0,17.1,3.6,1015696.0,2016,MIA
Josh Richardson,Shooting Guard,Right,78,200,University of Tennessee,2015,40,2,24,Miami Heat,53.0,34.0,30.5,10.2,3.8,9.7,0.394,1.4,4.3,0.33,2.4,5.4,0.444,0.467,1.1,1.5,0.779,0.7,2.5,3.2,2.6,1.1,0.7,1.2,2.5,0,10.7,2.2,6874636.0,2016,MIA
Malachi Richardson,Shooting Guard,Right,78,205,Syracuse University,2016,22,1,21,Sacramento Kings,,0.0,9.0,3.6,1.3,3.1,0.412,0.4,1.3,0.286,0.9,1.8,0.5,0.471,0.7,0.9,0.789,0.1,0.9,1.0,0.5,0.2,0.0,0.4,1.0,0,9.6,0.1,1439880.0,2016,SAC
Austin Rivers,Shooting Guard and Point Guard,Right,76,200,Duke University,2012,10,7,25,Los Angeles Clippers,74.0,29.0,27.8,12.0,4.4,9.9,0.442,1.5,4.0,0.371,2.9,5.8,0.491,0.518,1.8,2.6,0.691,0.3,1.9,2.2,2.8,0.6,0.1,1.6,2.5,0,11.4,2.5,11000000.0,2016,LAC
Andre Roberson,Small Forward and Shooting Guard,Right,79,210,University of Colorado,2013,26,4,26,Oklahoma City Thunder,79.0,79.0,30.1,6.6,2.7,5.9,0.464,0.6,2.3,0.245,2.2,3.5,0.609,0.513,0.6,1.4,0.423,1.2,3.9,5.1,1.0,1.2,1.0,0.6,2.6,0,9.6,4.2,2183072.0,2016,OKC
Brian Roberts,Point Guard,Right,73,173,University of Dayton,not_drafted,not_drafted,7,32,no_current_team,41.0,2.0,10.1,3.5,1.1,3.0,0.377,0.4,1.1,0.386,0.7,1.9,0.372,0.447,0.8,1.0,0.846,0.1,0.8,1.0,1.3,0.2,0.0,0.6,0.4,0,9.8,0.2,1050961.0,2016,CHO
Glenn Robinson III,Small Forward and Shooting Guard,Right,78,222,University of Michigan,2014,40,5,23,Indiana Pacers,69.0,27.0,20.7,6.1,2.3,4.9,0.467,0.7,1.8,0.392,1.6,3.1,0.512,0.54,0.8,1.1,0.711,0.8,2.7,3.6,0.7,0.6,0.3,0.5,0.9,0,11.5,2.5,1050500.0,2016,IND
Thomas Robinson,Power Forward,Right,82,237,University of Kansas,2012,5,9,26,no_current_team,48.0,1.0,11.7,5.0,2.2,4.1,0.536,0.0,0.0,0.0,2.2,4.1,0.538,0.536,0.6,1.4,0.47,1.8,2.9,4.6,0.6,0.5,0.2,1.0,1.6,0,17.3,0.9,1050961.0,2016,LAL
Sergio Rodriguez,Point Guard,Right,75,176,no_college,2006,27,7,31,no_current_team,68.0,30.0,22.3,7.8,3.1,7.9,0.392,1.4,3.7,0.365,1.7,4.2,0.415,0.478,0.3,0.4,0.667,0.3,2.0,2.3,5.1,0.7,0.1,1.9,1.4,0,11.1,0.7,8000000.0,2016,PHI
Rajon Rondo,Point Guard,Right,73,186,University of Kentucky,2006,21,13,31,New Orleans Pelicans,69.0,42.0,26.7,7.8,3.3,8.1,0.408,0.7,1.9,0.376,2.6,6.2,0.418,0.453,0.4,0.7,0.6,1.1,4.1,5.1,6.7,1.4,0.2,2.4,2.1,1,13.6,2.3,14000000.0,2016,CHI
