player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Domantas Sabonis,Power Forward,Left,83,240,Gonzaga University,2016,11,1,21,Indiana Pacers,,66.0,20.1,5.9,2.4,5.9,0.399,0.6,2.0,0.321,1.7,4.0,0.438,0.452,0.5,0.8,0.657,0.6,3.0,3.6,1.0,0.5,0.4,1.0,2.5,0,6.9,0.8,2440200.0,2016,OKC
Larry Sanders,Center and Power Forward,Right,83,235,Virginia Commonwealth University,2010,15,6,29,no_current_team,5.0,0.0,2.6,0.8,0.2,0.8,0.25,0.0,0.0,,0.2,0.8,0.25,0.25,0.4,0.4,1.0,0.6,0.2,0.8,0.0,0.2,0.2,0.4,1.0,0,6.5,0.0,2207722.0,2016,CLE
Dario Saric,Power Forward,Right,82,223,no_college,2014,12,1,23,Philadelphia 76ers,,36.0,26.3,12.8,4.7,11.4,0.411,1.3,4.2,0.311,3.4,7.2,0.469,0.468,2.1,2.7,0.782,1.4,5.0,6.3,2.2,0.7,0.4,2.3,2.0,0,12.8,1.0,2318280.0,2016,PHI
Tomas Satoransky,Shooting Guard,Right,79,210,no_college,2012,32,1,26,Washington Wizards,,3.0,12.6,2.7,1.1,2.6,0.415,0.2,0.6,0.243,0.9,1.9,0.473,0.446,0.4,0.6,0.697,0.4,1.0,1.5,1.6,0.5,0.1,0.7,1.1,0,8.5,0.6,2870813.0,2016,WAS
Dennis Schroder,Point Guard,Right,73,172,no_college,2013,17,4,24,Atlanta Hawks,79.0,78.0,31.5,17.9,6.9,15.4,0.451,1.3,3.7,0.34,5.7,11.6,0.487,0.493,2.8,3.2,0.855,0.5,2.6,3.1,6.3,0.9,0.2,3.3,1.9,0,16.1,3.7,2708582.0,2016,ATL
Luis Scola,Power Forward,Right,81,240,no_college,2002,56,10,37,no_current_team,36.0,1.0,12.8,5.1,2.0,4.2,0.47,0.5,1.4,0.34,1.5,2.8,0.535,0.526,0.7,1.0,0.676,1.4,2.4,3.9,1.0,0.4,0.1,0.9,1.8,0,13.9,0.8,5000000.0,2016,BRK
Mike Scott,Power Forward,Right,80,237,University of Virginia,2012,43,5,29,Washington Wizards,18.0,0.0,10.8,2.5,0.9,3.3,0.288,0.2,1.5,0.148,0.7,1.8,0.406,0.322,0.4,0.4,0.875,0.6,1.5,2.1,0.9,0.2,0.2,0.4,0.7,0,5.9,0.1,3333334.0,2016,ATL
Thabo Sefolosha,Small Forward and Shooting Guard,Right,79,220,no_college,2006,13,13,33,Utah Jazz,62.0,42.0,25.7,7.2,2.8,6.4,0.441,0.7,1.9,0.342,2.1,4.4,0.484,0.492,0.9,1.2,0.733,0.9,3.5,4.4,1.7,1.5,0.5,0.9,1.6,0,11.9,3.3,3850000.0,2016,ATL
Wayne Selden,Shooting Guard,Right,77,230,University of Kansas,not_drafted,not_drafted,3,23,Memphis Grizzlies,11.0,2.0,17.2,5.0,1.8,4.5,0.4,0.3,1.9,0.143,1.5,2.6,0.586,0.43,1.1,1.6,0.667,0.1,0.9,1.0,1.1,0.4,0.1,0.8,1.1,0,6.9,0.1,6931969.0,2016,MEM
Kevin Seraphin,Center and Power Forward,Right,81,285,no_college,2010,17,7,28,no_current_team,49.0,3.0,11.4,4.7,2.2,4.0,0.551,0.0,0.0,0.0,2.2,4.0,0.556,0.551,0.3,0.4,0.636,0.8,2.1,2.9,0.5,0.1,0.4,0.6,1.3,0,14.4,1.0,1800000.0,2016,IND
