player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Edy Tavares,Center,Right,87,260,no_college,2014,43,4,25,Cleveland Cavaliers,1.0,0.0,24.0,6.0,3.0,4.0,0.75,0.0,0.0,,3.0,4.0,0.75,0.75,0.0,1.0,0.0,4.0,6.0,10.0,1.0,0.0,6.0,2.0,3.0,0,21.3,0.1,1455145.0,2016,CLE
Isaiah Taylor,Point Guard,Right,75,170,University of Texas at Austin,not_drafted,not_drafted,1,23,Houston Rockets,,0.0,13.0,0.8,0.3,1.8,0.143,0.0,0.5,0.0,0.3,1.3,0.2,0.143,0.3,0.5,0.5,0.3,0.5,0.8,0.8,0.3,0.3,0.0,1.5,0,0.3,0.0,305000.0,2016,HOU
Jeff Teague,Point Guard,Right,74,186,Wake Forest University,2009,19,8,29,Minnesota Timberwolves,82.0,82.0,32.4,15.3,4.9,11.1,0.442,1.1,3.1,0.357,3.8,8.0,0.475,0.492,4.4,5.1,0.867,0.4,3.6,4.0,7.8,1.2,0.4,2.6,2.0,1,19.2,8.1,8800000.0,2016,IND
Mirza Teletovic,Small Forward and Power Forward,Right,81,242,no_college,not_drafted,not_drafted,5,32,Milwaukee Bucks,70.0,2.0,16.2,6.4,2.2,6.0,0.373,1.5,4.4,0.341,0.7,1.6,0.46,0.498,0.5,0.6,0.778,0.2,2.2,2.3,0.7,0.2,0.2,0.5,1.6,0,8.8,0.6,10500000.0,2016,MIL
Garrett Temple,Point Guard and Small Forward and Shooting Guard,Right,78,195,Louisiana State University,not_drafted,not_drafted,13,31,Sacramento Kings,65.0,21.0,26.6,7.8,2.8,6.6,0.424,1.3,3.4,0.373,1.6,3.3,0.476,0.519,0.9,1.1,0.784,0.5,2.3,2.8,2.6,1.3,0.4,1.2,2.2,0,11.2,2.2,8000000.0,2016,SAC
Jason Terry,Shooting Guard and Point Guard,Right,74,185,University of Arizona,1999,10,18,40,no_current_team,74.0,0.0,18.4,4.1,1.4,3.3,0.432,1.0,2.3,0.427,0.4,1.0,0.444,0.582,0.3,0.4,0.828,0.2,1.2,1.4,1.3,0.6,0.3,0.5,1.3,0,9.1,2.1,1551659.0,2016,MIL
Isaiah Thomas,Point Guard,Left,69,185,University of Washington,2011,60,8,28,Cleveland Cavaliers,76.0,76.0,33.8,28.9,9.0,19.4,0.463,3.2,8.5,0.379,5.8,10.9,0.528,0.546,7.8,8.5,0.909,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,1,26.5,12.5,6587132.0,2016,BOS
Lance Thomas,Power Forward and Small Forward,Right,80,235,Duke University,not_drafted,not_drafted,8,29,New York Knicks,46.0,15.0,21.0,6.0,2.1,5.3,0.398,0.8,1.8,0.447,1.3,3.5,0.371,0.475,0.9,1.1,0.843,0.7,2.4,3.1,0.8,0.5,0.1,0.5,1.8,0,8.4,0.9,6191000.0,2016,NYK
Hollis Thompson,Small Forward and Shooting Guard,Right,80,206,Georgetown University,not_drafted,not_drafted,6,26,no_current_team,9.0,8.0,21.2,3.8,1.2,4.6,0.268,0.7,2.7,0.25,0.6,1.9,0.294,0.341,0.7,1.0,0.667,0.4,2.7,3.1,1.0,0.7,0.0,0.2,1.6,0,7.9,0.7,4119494.0,2016,NOP
Klay Thompson,Shooting Guard,Right,79,215,Washington State University,2011,11,6,27,Golden State Warriors,78.0,78.0,34.0,22.3,8.3,17.6,0.468,3.4,8.3,0.414,4.8,9.3,0.516,0.565,2.4,2.8,0.853,0.6,3.0,3.7,2.1,0.8,0.5,1.6,1.8,1,17.4,7.1,16663575.0,2016,GSW
