player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Dwyane Wade,Shooting Guard and Point Guard,Right,76,220,Marquette University,2003,5,14,35,Chicago Bulls,60.0,59.0,29.9,18.3,6.9,15.9,0.434,0.8,2.4,0.31,6.2,13.5,0.456,0.457,3.7,4.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,1,18.5,3.4,23200000.0,2016,CHI
Dion Waiters,Shooting Guard,Right,76,225,Syracuse University,2012,4,7,26,Miami Heat,46.0,43.0,30.1,15.8,6.1,14.4,0.424,1.8,4.7,0.395,4.3,9.7,0.438,0.488,1.8,2.8,0.646,0.4,2.9,3.3,4.3,0.9,0.4,2.2,2.1,0,14.5,1.6,2898000.0,2016,MIA
Kemba Walker,Point Guard,Right,73,172,University of Connecticut,2011,9,6,27,Charlotte Hornets,79.0,79.0,34.7,23.2,8.1,18.3,0.444,3.0,7.6,0.399,5.1,10.7,0.476,0.527,3.8,4.5,0.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,1,21.3,8.1,12000000.0,2016,CHO
John Wall,Point Guard,Right,76,195,University of Kentucky,2010,1,7,27,Washington Wizards,78.0,78.0,36.4,23.1,8.3,18.4,0.451,1.1,3.5,0.327,7.2,14.9,0.48,0.482,5.4,6.8,0.801,0.8,3.4,4.2,10.7,2.0,0.6,4.1,1.9,1,23.2,8.8,16957900.0,2016,WAS
Taurean Prince,Small Forward,Right,80,220,Baylor University,2016,12,1,23,Atlanta Hawks,,10.0,16.6,5.7,1.9,4.8,0.4,0.6,1.7,0.324,1.4,3.1,0.443,0.458,1.3,1.6,0.787,0.4,2.2,2.7,0.9,0.7,0.5,1.0,1.6,0,9.8,1.1,2318280.0,2016,ATL
T.J. Warren,Small Forward,Right,80,230,North Carolina State University,2014,14,3,24,Phoenix Suns,66.0,59.0,31.0,14.4,6.1,12.3,0.495,0.4,1.5,0.265,5.7,10.8,0.527,0.511,1.8,2.3,0.773,1.9,3.2,5.1,1.1,1.2,0.6,0.9,2.7,0,15.6,4.1,2128920.0,2016,PHO
C.J. Watson,Point Guard,Right,74,175,University of Tennessee,not_drafted,not_drafted,10,33,no_current_team,62.0,9.0,16.3,4.5,1.5,4.0,0.387,0.5,1.7,0.305,1.0,2.3,0.448,0.452,0.9,1.1,0.864,0.3,1.2,1.4,1.8,0.7,0.0,0.8,1.4,0,9.3,0.9,5000000.0,2016,ORL
Briante Weber,Point Guard,Right,74,165,Virginia Commonwealth University,not_drafted,not_drafted,6,25,Los Angeles Lakers,13.0,0.0,12.2,3.8,1.5,3.5,0.435,0.1,0.5,0.143,1.5,3.0,0.487,0.446,0.7,1.0,0.692,0.6,1.1,1.7,1.2,0.7,0.0,0.4,0.9,0,11.0,0.3,8102898.0,2016,CHO
David West,Small Forward and Power Forward and Center,Right,81,250,Xavier University,2003,18,14,37,Golden State Warriors,68.0,0.0,12.6,4.6,2.0,3.7,0.536,0.0,0.1,0.375,1.9,3.6,0.541,0.542,0.6,0.8,0.768,0.7,2.3,3.0,2.2,0.6,0.7,1.1,1.5,1,16.6,2.6,1551659.0,2016,GSW
Russell Westbrook,Point Guard,Right,75,200,"University of California, Los Angeles",2008,4,9,29,Oklahoma City Thunder,81.0,81.0,34.6,31.6,10.2,24.0,0.425,2.5,7.2,0.343,7.7,16.8,0.459,0.476,8.8,10.4,0.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,1,30.6,13.1,26540100.0,2016,OKC
Okaro White,Power Forward,Right,80,204,Florida State University,not_drafted,not_drafted,1,25,Miami Heat,,0.0,13.5,2.8,0.9,2.5,0.379,0.3,1.0,0.353,0.6,1.5,0.396,0.448,0.6,0.6,0.909,0.7,1.6,2.3,0.6,0.3,0.3,0.5,1.5,0,7.5,0.6,3374933.0,2016,MIA
Isaiah Whitehead,Point Guard,Right,76,213,Seton Hall University,2016,42,1,22,Brooklyn Nets,,26.0,22.5,7.4,2.8,7.0,0.402,0.6,2.0,0.295,2.2,4.9,0.446,0.445,1.2,1.5,0.805,0.4,2.1,2.5,2.6,0.6,0.5,1.9,2.4,0,7.6,0.8,1074145.0,2016,BRK
Hassan Whiteside,Center,Right,84,265,Marshall University,2010,33,5,28,Miami Heat,77.0,77.0,32.6,17.0,7.0,12.6,0.557,0.0,0.0,,7.0,12.6,0.557,0.557,2.9,4.6,0.628,3.8,10.3,14.1,0.7,0.7,2.1,2.0,2.9,0,22.6,9.5,22116750.0,2016,MIA
Andrew Wiggins,Small Forward,Right,80,199,no_college,2014,1,3,22,Minnesota Timberwolves,82.0,82.0,37.2,23.6,8.6,19.1,0.452,1.3,3.5,0.356,7.4,15.6,0.473,0.484,5.0,6.6,0.76,1.2,2.8,4.0,2.3,1.0,0.4,2.3,2.2,0,16.5,4.2,6006600.0,2016,MIN
C.J. Wilcox,Shooting Guard,Right,77,195,University of Washington,2014,28,3,27,no_current_team,22.0,0.0,4.9,1.0,0.4,1.4,0.258,0.1,0.7,0.2,0.2,0.7,0.313,0.306,0.1,0.1,1.0,0.2,0.4,0.5,0.5,0.1,0.0,0.3,0.4,0,2.9,0.2,1209680.0,2016,ORL
Alan Williams,Power Forward and Center,Right,80,260,"University of California, Santa Barbara",not_drafted,not_drafted,2,24,Phoenix Suns,47.0,0.0,15.1,7.4,2.9,5.7,0.517,0.0,0.0,0.0,2.9,5.7,0.519,0.517,1.5,2.4,0.625,2.0,4.2,6.2,0.5,0.6,0.7,0.8,2.7,0,19.5,2.1,6874636.0,2016,PHO
