year,salary_cap,salary_cap_2015_worth
1984-85,3600000,7934034
1985-86,4233000,9153509
1986-87,4945000,10317292
1987-88,6164000,12354015
1988-89,7232000,13829137
1989-90,9802000,17783913
1990-91,11871000,20658962
1991-92,12500000,21113943
1992-93,14000000,22972126
1993-94,15175000,24268416
1994-95,15964000,24833276
1995-96,23000000,34761086
1996-97,24363000,35973807
1997-98,26900000,39119783
1998-99,30000000,42686775
1999-00,34000000,46798454
2000-01,35500000,47522364
2001-02,42500000,56008788
2002-03,40271000,51890436
2003-04,43840000,55016264
2004-05,43870000,53243484
2005-06,49500000,58202129
2006-07,53135000,60741551
2007-08,55630000,61244588
2008-09,58680000,64832889
2009-10,57700000,62718922
2010-11,58044000,61160859
2011-12,58044000,59928600
2012-13,58044000,59063916
2013-14,58679000,58753235
2014-15,63065000,63065000
2015-16,70000000,69126577
2016-17,94143000,91334866
2017-18,99093000,
