Player,Team,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
LeBron James,CLE,"$33,285,709 ","$35,607,968 ",,,,,Early Bird,"$33,285,709 "
Kevin Love,CLE,"$22,642,350 ","$24,119,025 ","$25,595,700 ",,,,Bird Rights,"$46,761,375 "
Tristan Thompson,CLE,"$16,400,000 ","$17,469,565 ","$18,539,130 ",,,,Bird Rights,"$52,408,695 "
J.R. Smith,CLE,"$13,760,000 ","$14,720,000 ","$15,680,000 ",,,,Bird Rights,"$32,350,000 "
Iman Shumpert,CLE,"$10,337,079 ","$11,011,234 ",,,,,Bird Rights,"$10,337,079 "
Channing Frye,CLE,"$7,420,912 ",,,,,,Cap Space,"$7,420,912 "
Kyle Korver,CLE,"$7,000,000 ","$7,560,000 ","$7,500,000 ",,,,Bird Rights,"$18,000,000 "
Jae Crowder,CLE,"$6,796,117 ","$7,305,825 ","$7,815,533 ",,,,Bird Rights,"$21,917,475 "
Isaiah Thomas,CLE,"$6,261,395 ",,,,,,,"$6,261,395 "
Cedi Osman,CLE,"$2,642,857 ","$2,775,000 ","$2,907,143 ",,,,MLE,"$8,325,000 "
Richard Jefferson,CLE,"$2,500,000 ","$2,612,500 ",,,,,Cap Space,"$2,500,000 "
Jose Calderon,CLE,"$2,328,652 ",,,,,,Minimum Salary,"$2,328,652 "
Jeff Green,CLE,"$2,116,955 ",,,,,,Minimum Salary,"$2,116,955 "
Derrick Rose,CLE,"$2,116,955 ",,,,,,Minimum Salary,"$2,116,955 "
Ante Zizic,CLE,"$1,645,200 ","$1,952,760 ","$2,281,800 ","$3,872,215 ",,,1st Round Pick,"$3,597,960 "
Edy Tavares,CLE,"$1,471,382 ","$1,600,520 ",,,,,Minimum Salary,
Kay Felder,CLE,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,"$456,529 "
Stephen Curry,GSW,"$34,682,550 ","$37,457,154 ","$40,231,758 ","$43,006,362 ","$45,780,966 ",,Bird Rights,"$201,158,790 "
Kevin Durant,GSW,"$25,000,000 ","$26,250,000 ",,,,,Non-Bird Rights,"$25,000,000 "
Klay Thompson,GSW,"$17,826,150 ","$18,988,725 ",,,,,1st Round Pick,"$36,814,875 "
