player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Menghe a'Nyam,Forward,77.0,196.0,Canisius,2008,2,41.0,,2.4,3.0,0.1,0.4,0.3,1.2,41.4,0.0,52.9,41.4,,0.6
Jordan Aaberg,Forward,81.0,225.0,North Dakota State,2013,3,115.0,11.2,3.5,2.3,0.2,0.2,0.8,0.6,61.9,,78.8,61.9,17.9,4.6
Karl Aaker,Forward,77.0,196.0,Portland,2004,3,92.0,,4.1,2.0,0.6,0.4,0.2,,34.6,34.0,61.1,46.3,,1.2
Steve Aaker,Center,77.0,196.0,Colorado,1973,2,52.0,,6.2,5.1,,,,,41.5,,50.0,,,
Waine Aalto,Guard,70.0,178.0,Fresno State,1971,1,10.0,,3.1,1.5,,,,,54.2,,50.0,,,
Mike Aaman,Forward,80.0,210.0,  Schools: Rhode Island and Wagner,2015,3,107.0,21.0,7.9,5.7,0.4,0.5,0.9,1.5,47.3,0.0,64.1,47.3,20.2,6.9
Craig Aamot,Guard,74.0,188.0,Marquette,1993,2,45.0,7.0,1.3,0.8,0.7,0.2,0.0,0.9,42.5,33.3,79.2,48.8,,
Art Aaron,Guard,80.0,203.0,Northwestern,1983,3,108.0,25.9,11.1,3.5,1.7,1.3,0.5,3.7,45.3,,67.3,,,
Carlton Aaron,Center,81.0,206.0,  Schools: Temple and UMKC,2004,3,,,,,,0.6,0.6,,,,,,,
David Aaron,Guard,77.0,196.0,Santa Clara,1988,3,82.0,8.9,1.1,1.0,,0.1,0.0,0.9,,,60.0,,,
Jordan Aaron,Guard,70.0,160.0,Milwaukee,2014,2,63.0,34.3,14.6,3.3,3.3,1.2,0.1,3.0,37.3,34.4,83.8,46.0,14.2,3.8
Kris Aaron,Forward,77.0,196.0,Syracuse,1994,1,4.0,,0.5,1.2,0.0,0.0,0.0,,50.0,,,50.0,,
Leslie Aaron,Forward,,,,1985,2,26.0,6.3,1.7,1.1,,0.2,0.0,0.5,40.0,,65.5,,,
Michael Aaron,Forward,77.0,196.0,Detroit,1992,3,64.0,9.2,9.4,5.0,0.9,1.0,0.2,0.8,49.3,,61.8,49.4,,
Nate Aaron,Guard,74.0,188.0,Florida International,2000,1,11.0,,2.4,1.3,0.5,0.2,0.3,,36.8,41.7,87.5,50.0,,0.3
Patrick Aaron,Guard,77.0,196.0,Florida,1988,2,28.0,7.4,2.0,1.1,0.4,0.3,0.0,0.4,47.7,,52.6,51.1,,
Shaddean Aaron,Guard,77.0,196.0,Mercer,2007,3,105.0,,10.6,4.0,1.2,0.9,0.6,1.8,45.9,32.8,74.5,50.9,,6.5
Shaqquan Aaron,Guard,79.0,170.0,  Schools: Louisville and USC,2017,2,59.0,20.8,5.1,2.2,0.8,0.4,0.2,1.0,37.2,31.6,70.0,44.9,11.2,1.6
Troy Aaron,Guard,73.0,185.0,  Schools: Tulane and McNeese State,2006,3,91.0,,6.6,2.6,1.9,0.7,0.0,,38.7,31.7,64.2,43.9,,2.5
Joe Aase,Forward,80.0,220.0,Davidson,2014,1,24.0,6.3,0.8,1.0,0.2,0.1,0.1,0.2,33.3,27.3,50.0,39.6,3.4,0.1
Pardie Abadee,Forward,75.0,190.0,Georgetown,1963,1,1.0,,,,,,,,,,,,,
Brian Abadie,Guard,71.0,180.0,Texas Christian,2007,1,1.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
Ronell Abaekobe,Guard,78.0,210.0,Cal State Fullerton,2013,1,7.0,1.4,0.6,0.0,0.0,0.0,0.0,0.0,100.0,,50.0,100.0,14.9,0.0
Kwesi Abakah,Forward,80.0,212.0,  Schools: Northeastern and Richmond,2016,3,109.0,6.4,0.9,1.3,0.3,0.1,0.2,0.2,42.2,,42.9,42.2,5.5,0.9
Kevin Abanobi,Forward,78.0,198.0,Texas Southern,2008,3,58.0,,3.4,2.0,0.3,0.3,0.4,1.1,38.2,21.7,67.1,42.5,,0.8
Jerome Abbage,Forward,78.0,198.0,Oral Roberts,1995,2,54.0,,5.5,1.7,0.7,0.1,0.2,,36.3,34.5,72.2,48.9,,
Ed Abbey,Forward,76.0,193.0,Oklahoma,1957,3,57.0,,4.1,3.3,,,,,35.4,,67.2,,,
Jerry Abbey,Center,80.0,203.0,Akron,1981,3,53.0,8.2,1.3,1.3,,,,0.5,41.4,,,,,
Don Abbott,School: Colorado State,,,,1962,1,17.0,,0.8,0.5,,,,,23.3,,,,,
George Abbott,Guard,,,,1965,1,10.0,,0.6,1.0,,,,,11.1,,66.7,,,
Gus Abbott,Forward,81.0,206.0,Tulane,1995,1,19.0,,1.2,1.2,0.4,0.1,0.2,,20.0,33.3,42.9,26.7,,
Hayden Abbott,Forward,75.0,190.0,Kansas State,1958,3,68.0,,8.0,4.6,,,,,39.0,,58.6,,,
Larry Abbott,6-3 (190cm) ,,,,1958,1,10.0,,,0.5,,,,,0.0,,,,,
Malik Abbott,Guard,75.0,190.0,Air Force,2016,1,4.0,1.8,0.0,1.0,0.2,0.0,0.0,0.3,,,,,8.2,0.0
Matthew Abbott,Forward,78.0,198.0,New Hampshire,2006,1,3.0,,0.0,0.7,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
Ryan Abbott,Guard,,,,1998,3,59.0,,2.7,1.5,0.7,0.4,0.0,,36.6,33.0,68.8,48.1,,0.8
Tony Abbott,Guard,70.0,178.0,La Salle,1963,3,70.0,,10.6,3.3,,,,,42.9,,73.2,,,
Ty Abbott,Guard,75.0,207.0,Arizona State,2010,3,130.0,30.5,10.2,3.9,1.8,1.0,0.4,1.5,39.9,36.1,70.0,51.9,,10.3
Chris Abboushi,Guard,72.0,183.0,South Carolina,1987,1,21.0,5.7,1.0,0.4,0.3,0.2,0.0,0.4,38.5,,61.1,38.5,,
Mostafa Abdel Latif,Forward,80.0,230.0,Sacred Heart,2014,2,56.0,15.2,3.4,4.4,0.2,0.2,0.5,0.7,48.2,,58.7,48.2,11.9,1.1
Ha-Keem Abdel-Khaliq,Guard,76.0,193.0,Iowa State,1996,3,16.0,,0.6,0.1,0.1,0.1,0.0,0.1,,,,,,
Alaa Abdelnaby,Forward,82.0,240.0,Duke,1989,3,134.0,14.8,8.5,3.7,0.4,0.4,0.5,1.0,59.9,,72.8,59.9,,
Jabbar Abdi,Forward,,,,1992,2,39.0,9.5,2.4,1.4,0.4,0.4,0.2,0.6,40.7,,,,,
Salah Abdo,Guard,74.0,188.0,Boston College,2012,1,5.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,-5.9,0.0
Mohammed Abdrabboh,Forward,77.0,196.0,Detroit,1992,1,7.0,,1.1,1.1,0.1,0.3,0.0,,42.9,50.0,25.0,50.0,,
Akbar Abdul-Ahad,Guard,72.0,183.0,Idaho State,2007,2,57.0,,9.7,2.4,3.6,1.1,0.0,,38.4,38.5,79.8,51.7,,4.0
Muhammad Abdul-Aleem,Guard,76.0,210.0,Florida A&M,2014,2,50.0,17.7,7.3,3.5,1.0,0.9,0.1,1.9,36.9,28.1,63.2,40.8,12.6,0.8
Musa Abdul-Aleem,Guard,77.0,220.0,  Schools: South Florida and Troy,2015,3,55.0,29.0,10.0,3.2,0.6,1.2,0.0,1.9,40.0,33.9,77.9,50.0,18.3,3.5
Jalil Abdul-Bassit,Guard,76.0,187.0,Oregon,2015,2,52.0,15.5,6.2,1.3,0.6,0.5,0.2,0.8,42.1,42.9,73.9,54.8,14.2,2.1
Mustafa Abdul-Hamid,Guard,74.0,188.0,UCLA,2009,3,49.0,8.6,1.5,0.4,0.6,0.1,0.0,0.5,46.0,32.4,44.4,55.6,,0.4
Kareem Abdul-Jabbar,Forward,,,,1999,3,52.0,,4.5,2.7,0.4,0.5,0.2,,54.5,44.4,64.9,55.9,,2.3
Kareem Abdul-Jabbar,Center,86.0,225.0,UCLA,1969,3,88.0,,26.4,15.5,,,,,63.9,,62.8,,,
Khaleel Abdul-Malik,Forward,77.0,196.0,Richmond,1997,1,20.0,,6.5,1.7,0.6,0.3,0.3,,43.4,33.3,81.6,43.8,,0.6
Khaalis Abdul-Raqeeb,Guard,75.0,190.0,Lamar,1996,2,50.0,,2.6,1.0,0.3,0.3,0.1,,32.1,25.7,68.8,38.1,,
Mahmoud Abdul-Rauf,Guard,73.0,162.0,LSU,1989,1,64.0,10.4,29.0,3.0,3.6,0.1,3.6,2.1,47.4,37.2,86.3,53.5,,
Tariq Abdul-Wahad,Forward,78.0,223.0,  Schools: Michigan and San Jose State,1996,3,87.0,30.7,13.6,5.4,1.3,1.3,0.8,3.0,47.7,32.2,72.6,50.4,,
Kahhar Abdul-Wali,Guard,73.0,185.0,Coppin State,1993,1,9.0,,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,,0.0,,
Abdul Abdullah,Guard,70.0,178.0,Providence,1994,2,62.0,28.4,2.8,1.8,6.8,1.3,0.2,,29.1,23.9,54.2,33.7,,
Ahmad Abdullah,Guard,72.0,175.0,North Carolina A&T,2015,3,85.0,25.8,6.5,2.4,2.3,0.6,0.0,1.5,38.2,35.9,76.4,44.8,10.2,2.7
Ali Abdullah,Guard,69.0,175.0,Howard,2001,3,99.0,,11.2,2.6,4.4,1.6,0.0,,38.8,30.0,74.0,45.6,,6.2
Bilal Abdullah,Guard,77.0,196.0,Lafayette,2007,3,116.0,,10.8,3.6,2.5,1.1,0.4,3.0,43.1,36.8,76.4,52.0,,7.5
Halim Abdullah,Guard,68.0,173.0,  Schools: Northeastern and Illinois,1997,2,53.0,,3.1,1.0,3.1,0.6,0.0,,29.4,25.0,57.5,36.3,,
Hasan Abdullah,Guard,72.0,182.0,Navy,2017,2,41.0,23.2,7.0,2.2,2.8,1.5,0.1,2.2,34.3,32.7,65.2,42.8,10.8,1.7
Hassan Abdullah,Forward,81.0,206.0,Niagara,1997,3,75.0,,5.4,2.8,0.5,0.5,0.2,,37.1,37.4,71.3,42.5,,
Sulaiman Abdullah,Guard,67.0,170.0,St. Peter's,1994,1,4.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,
