player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Amadou Ba,Center,82.0,208.0,Michigan,2006,3,24.0,,0.4,0.3,0.0,0.0,0.0,,57.1,,25.0,57.1,,0.1
Ousmane Ba,Center,,,,1985,3,28.0,10.0,0.9,0.9,,0.0,0.3,0.5,,,,,,
Ousmane Ba,Forward,83.0,227.0,Jacksonville State,2016,1,19.0,4.6,0.2,1.0,0.2,0.1,0.1,0.3,16.7,,12.5,16.7,-1.5,-0.1
Pape Ba,Center,80.0,203.0,Bethune-Cookman,2004,3,87.0,,8.7,5.7,0.5,0.5,0.4,,47.1,,59.1,47.1,,3.0
Tamsir Ba,Center,81.0,206.0,South Alabama,2005,2,42.0,,1.3,1.4,0.2,0.1,0.4,,46.9,,69.2,46.9,,0.9
Tom Baack,Forward,77.0,196.0,Nebraska,1968,3,75.0,,17.3,5.2,,,,,46.2,,83.2,,,
Nana Baafi,Forward,79.0,201.0,Texas State,2007,1,15.0,,0.2,0.6,0.1,0.1,0.0,,16.7,,50.0,16.7,,-0.1
Eugene Baah,Forward,77.0,196.0,Princeton,2001,3,53.0,,3.1,1.7,1.0,0.4,0.2,,38.1,29.4,69.7,46.1,,1.2
Donald Bab,6-4 (193cm) ,,,,1957,1,20.0,,1.1,1.5,,,,,27.3,,50.0,,,
Olu Babalola,Forward,78.0,198.0,Clemson,2004,3,108.0,,6.4,3.4,1.1,1.0,0.3,,37.3,28.3,69.8,42.5,,3.5
Chris Babb,Guard,77.0,225.0,  Schools: Penn State and Iowa State,2012,3,130.0,32.9,7.2,3.0,1.7,1.1,0.2,0.8,37.7,35.9,73.3,51.4,,9.5
Fred Babb,School: Oklahoma State,,,,1955,3,55.0,,3.4,,,,,,35.5,,59.8,,,
Nick Babb,Guard,76.0,185.0,Arkansas,2015,1,26.0,4.8,0.7,0.8,0.5,0.2,0.1,0.2,31.8,33.3,100.0,38.6,11.2,0.3
Jaylen Babb-Harrison,Guard,76.0,187.0,Eastern Kentucky,2016,3,69.0,13.7,6.1,2.1,1.0,0.7,0.0,0.7,40.2,37.2,88.7,52.1,18.0,2.9
Luke Babbitt,Forward,81.0,206.0,Nevada,2009,1,68.0,6.5,19.4,8.1,1.8,0.8,2.1,1.3,48.0,42.1,89.3,52.0,,12.0
Chris Babbs,School: Stanford,,,,1962,1,3.0,,1.3,0.7,,,,,50.0,,66.7,,,
Ken Babbs,6-3 (190cm) ,,,,1958,2,24.0,,1.2,0.8,,,,,33.3,,54.5,,,
Frank Babcock,Guard,73.0,185.0,Portland,1975,2,47.0,,2.3,1.0,1.6,1.0,,1.3,40.4,,60.5,,,
Greg Babcock,Center,82.0,208.0,Green Bay,2002,3,117.0,,7.4,5.2,0.4,0.2,0.6,,58.7,,68.4,58.7,,8.5
Hank Babcock,School: UCSB,,,,1974,1,4.0,,3.8,0.8,2.0,,,,35.0,,33.3,,,
Jerry Babcock,Forward,76.0,193.0,Creighton,1968,3,52.0,,3.0,3.7,,,,,41.9,,52.8,,,
John Babcock,Guard,,,,1962,1,8.0,,1.8,1.1,,,,,30.4,,,,,
Rich Babcock,Guard,71.0,180.0,Miami (OH),1978,3,76.0,,2.3,0.5,0.4,,,,38.5,,85.9,,,
Tom Babcock,Forward,79.0,201.0,Siena,1980,3,98.0,,6.0,2.7,0.5,,,1.3,47.5,,72.8,,,
_ Babcock,School: Saint Mary's (CA),,,,1948,1,,,,,,,,,,,,,,
Frank Baber,Center,78.0,198.0,Iowa State,1959,1,1.0,,,,,,,,,,,,,
Jim Babers,School: UTEP,,,,1956,4,90.0,,11.4,4.7,,,,,45.2,,75.2,,,
Harvey Babetch,Forward,,,,1955,4,96.0,,8.7,1.0,,,,,35.9,,67.6,,,
Frank Babic,Forward,75.0,190.0,Lehigh,1970,2,44.0,,3.0,4.3,,,,,35.8,,53.6,,,
Jake Babic,Guard,77.0,180.0,Appalachian State,2017,3,90.0,17.0,4.3,1.9,1.8,0.3,0.1,1.2,33.8,29.3,69.8,42.8,8.2,1.3
Milos Babic,Forward,84.0,240.0,Tennessee Tech,1990,3,80.0,26.8,12.2,7.5,0.9,0.8,1.4,3.0,46.8,,66.7,46.9,,
Bruce Babich,School: Bucknell,,,,1961,2,42.0,,9.9,6.7,,,,,41.0,,73.4,,,
Mark Babich,Guard,75.0,190.0,Washington State,1985,2,34.0,16.6,1.9,1.9,2.1,0.6,0.1,1.0,,,75.8,,,
Tom Babik,Guard,72.0,183.0,Bowling Green State,1973,3,41.0,0.0,2.6,1.0,,,0.0,,41.0,,66.2,,,
Mike Babin,Center,81.0,206.0,Portland State,1980,1,26.0,0.1,13.3,9.7,1.2,0.5,0.1,3.0,51.1,,59.5,,,
Schley Babin,Forward,74.0,188.0,Tulsa,1949,2,,,,,,,,,,,,,,
Tony Babin,Guard,70.0,178.0,St. Francis (NY),1978,3,71.0,,5.6,1.2,,,,,42.1,,72.9,,,
Kori Babineaux,Guard,76.0,205.0,  Schools: Drake and Jacksonville,2016,3,82.0,34.8,13.5,3.7,3.2,1.3,0.1,3.1,47.1,18.0,59.4,47.6,16.2,3.6
Todd Babington,Guard,80.0,203.0,Austin Peay,2007,3,131.0,,7.9,1.8,1.1,0.6,0.1,1.1,40.0,37.6,71.8,55.5,,7.5
Willie Babione,Guard,75.0,190.0,Toledo,1968,3,63.0,,10.7,2.7,,,,,46.4,,76.9,,,
Frantisek Babka,Guard,77.0,196.0,Davidson,1994,2,22.0,,1.3,0.7,0.6,0.2,0.0,,34.4,21.7,25.0,42.2,,
Michael Bables,Guard,73.0,170.0,Texas A&M-Corpus Christi,2011,2,12.0,1.9,0.4,0.0,0.1,0.1,0.0,0.3,28.6,100.0,,35.7,-4.7,-0.1
Serge Babo,Center,81.0,206.0,Marshall,2003,1,1.0,,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0
Jon Babul,Forward,79.0,210.0,Georgia Tech,2000,3,100.0,,4.3,4.0,1.1,0.5,0.4,,36.6,22.4,64.3,38.6,,3.4
Mike Babul,Forward,78.0,198.0,UMass,1999,3,120.0,22.7,3.7,3.0,1.6,0.6,0.5,1.1,44.3,13.4,48.2,45.4,,5.0
Jim Babyak,Guard,,,,1966,1,24.0,,17.7,6.3,2.5,,,,47.3,,79.6,,,
JIm Babyak,Guard,75.0,190.0,UMass,1965,1,17.0,,3.9,1.3,0.8,,,,33.3,,84.2,,,
_ Bacalis,6-1 (185cm) ,,,,1949,1,23.0,,6.2,,,,,,30.0,,64.4,,,
_ Bacalis,6-1 (185cm) ,,,,1950,1,24.0,,5.7,,,,,,20.9,,62.2,,,
Steve Bacchus,School: New Mexico,,,,1964,1,2.0,,,1.0,,,,,25.0,,,,,
Phillip Bach,Guard,76.0,195.0,Santa Clara,2011,3,31.0,4.2,1.1,0.6,0.3,0.2,0.0,0.4,35.1,18.2,36.4,40.5,,0.0
_ Bach,School: Fordham,,,,1948,1,,,,,,,,,,,,,,
