player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Oliver Caballero,Center,81.0,206.0,San Jose State,2009,2,40.0,,1.9,1.2,0.5,0.2,0.0,1.1,38.8,,66.7,38.8,,0.2
Dimitrije Cabarkapa,Forward,82.0,240.0,James Madison,2016,3,77.0,11.9,5.8,2.5,0.2,0.1,0.1,0.7,45.3,37.5,83.9,54.2,18.2,2.6
Milos Cabarkapa,Guard,84.0,237.0,Central Michigan,2016,2,30.0,3.7,1.3,1.1,0.0,0.0,0.1,0.3,59.1,,63.2,59.1,15.5,0.3
Curtis Cabbell,Forward,76.0,193.0,Cincinnati,1977,1,17.0,,0.9,0.5,,,,,77.8,,33.3,,,
Lovell Cabbil,Guard,75.0,155.0,Liberty,2017,2,64.0,29.8,9.8,3.3,2.2,1.4,0.3,1.8,40.9,34.8,82.8,50.0,13.8,4.6
Shamile Cabell,Guard,70.0,185.0,Jacksonville,2012,2,61.0,17.2,7.7,1.3,1.7,0.6,0.1,1.7,38.2,37.5,70.6,44.2,13.4,1.7
Bernie Cabey,Forward,76.0,193.0,Toledo,1960,1,24.0,,7.4,5.5,,,,,50.4,,55.7,,,
Jahir Cabeza,Guard,77.0,190.0,Savannah State,2017,1,29.0,18.6,5.5,4.1,1.5,1.0,1.2,1.0,32.9,25.2,56.1,41.8,12.1,0.7
Henry Cabiness,Center,77.0,196.0,Georgia,1958,3,74.0,,12.9,11.9,,,,,39.7,,64.7,,,
Barney Cable,6-7 (201cm) ,,,,1958,3,66.0,,16.0,13.7,,,,,45.1,,63.2,,,
Dick Cable,Forward,73.0,185.0,Wisconsin,1955,4,82.0,,14.4,,,,,,39.9,,74.7,,,
Don Cable,Guard,72.0,183.0,Kent State,1972,2,19.0,,0.9,,,,,,23.3,,57.1,,,
Jason Cable,Guard,76.0,193.0,Alcorn State,2002,3,106.0,,9.0,2.4,1.8,1.4,0.2,,40.9,31.3,66.1,47.0,,4.1
Jeff Cable,Forward,77.0,196.0,Samford,1978,3,61.0,,5.4,2.8,,,,,48.2,,54.3,,,
Randy Cable,Guard,73.0,185.0,Florida State,1970,3,76.0,,5.3,0.9,,,,,46.0,,76.3,,,
Frankie Cabrera,Guard,73.0,185.0,Liberty,1999,1,15.0,,0.9,0.2,0.4,0.1,0.0,,30.0,12.5,33.3,32.5,,-0.1
Kris Cabrera,Guard,75.0,190.0,Hartford,2005,1,6.0,,0.3,0.2,0.0,0.0,0.0,,25.0,0.0,,25.0,,-0.1
Rick Cabrera,Forward,75.0,190.0,San Diego,1968,3,76.0,,14.1,5.6,,,,,45.7,,65.8,,,
Ricky Cabrera,Guard,,,,1998,2,49.0,,6.8,1.5,1.6,0.4,0.0,,36.3,29.1,71.8,43.4,,0.3
Rico Cabrera,Guard,76.0,193.0,Colgate,1999,1,28.0,,3.1,1.6,0.5,0.6,0.0,,37.7,30.4,76.3,42.8,,0.7
Ruben Cabrera,Forward,79.0,220.0,Texas-Rio Grande Valley,2013,3,94.0,16.2,6.2,3.3,0.4,0.1,0.1,1.4,45.3,35.2,63.6,50.0,11.7,1.9
Bill Cacciatore,Guard,71.0,180.0,Northwestern,1962,3,65.0,,11.1,3.4,,,,,36.6,,75.8,,,
Edwin Caceres,Guard,73.0,185.0,St. Francis (NY),1996,1,7.0,,1.3,0.9,0.0,0.1,0.0,,37.5,50.0,66.7,43.8,,0.0
_ Cacicedo,School: Lawrence,,,,1948,1,,,,,,,,,,,,,,
Dennis Cackert,Guard,72.0,183.0,St. Joseph's,1975,1,24.0,,6.1,2.2,1.3,0.8,,,42.0,,68.4,,,
Devontae Cacok,Forward,79.0,210.0,North Carolina-Wilmington,2017,2,64.0,18.3,8.2,6.7,0.3,0.8,0.8,0.8,76.7,,55.2,76.7,28.1,6.7
Norm Cacy,Forward,77.0,196.0,New Mexico,1976,2,52.0,,5.2,3.0,,,,,49.8,,62.6,,,
Ricky Cadell,Guard,74.0,180.0,St. Francis (NY),2010,3,116.0,33.3,14.2,3.2,2.2,1.1,0.0,2.7,40.9,35.2,72.5,49.1,,9.2
Bart Cadenhead,School: West Texas A&M,,,,1978,1,7.0,,,0.1,,,,,,,,,,
Olivier Cadieux,Guard,76.0,205.0,Fairfield,2017,1,18.0,7.6,1.3,1.0,0.2,0.1,0.0,0.6,30.8,27.3,66.7,36.5,0.1,-0.1
Jeff Cadle,Forward,76.0,193.0,LIU-Brooklyn,1989,3,102.0,19.7,8.5,2.7,1.3,0.5,0.1,1.2,41.9,25.9,68.2,42.8,,
Jim Cadle,Forward,76.0,193.0,Colorado,1957,2,39.0,,7.8,3.9,,,,,39.2,,74.8,,,
Kevin Cadle,Guard,75.0,190.0,Penn State,1977,4,54.0,0.0,3.9,0.9,,0.3,0.0,1.5,44.3,,,,,
John Cadman,School: James Madison,,,,1977,1,,,,,,,,,,,,,,
J.R. Cadot,Guard,77.0,210.0,Texas Christian,2012,2,65.0,27.8,9.8,6.5,1.2,1.3,0.5,1.2,56.6,31.3,64.2,59.2,21.1,7.3
Junior Cadougan,Guard,73.0,205.0,Marquette,2012,3,117.0,23.2,5.6,2.1,3.7,0.8,0.1,2.0,40.7,21.7,68.0,42.9,11.4,4.9
Jo Jo Cadray,Guard,72.0,183.0,South Carolina,2001,2,9.0,,0.6,0.2,0.6,0.3,0.0,,16.7,0.0,75.0,16.7,,0.0
Durey Cadwell,Guard,75.0,190.0,Western Kentucky,1989,2,54.0,18.6,5.4,1.6,1.8,0.7,0.1,1.0,43.0,34.2,65.1,50.6,,
Matt Cadwell,Guard,75.0,190.0,South Dakota State,2007,2,59.0,,13.6,3.3,2.9,0.9,0.1,,38.8,35.4,79.2,44.8,,
George Caesar,Guard,74.0,188.0,Virginia Tech,1988,3,116.0,12.4,4.6,1.4,1.9,0.7,0.1,1.3,42.6,,64.9,,,
Herb Caesar,Forward,78.0,198.0,Northeastern,1979,3,63.0,,4.2,3.1,,,,,53.8,,66.0,,,
Joe Cafferky,Guard,73.0,185.0,North Carolina State,1973,2,51.0,,11.2,2.8,,,,,51.2,,78.9,,,
Earl Caffery,Center,76.0,193.0,St. Joseph's,1950,1,10.0,,0.7,,,,,,,,,,,
Paul Caffery,Guard,73.0,185.0,Seton Hall,1972,2,,,,,,,,,,,,,,
Jason Caffey,Forward,80.0,255.0,Alabama,1994,3,119.0,24.3,10.4,6.3,1.0,0.6,0.6,2.4,50.9,22.2,57.8,51.1,,
Mike Caffey,Guard,72.0,175.0,Long Beach State,2014,3,132.0,30.3,12.5,3.8,3.5,1.3,0.1,2.4,41.6,33.3,66.8,47.8,17.2,10.9
Calvin Cage,Guard,72.0,183.0,Buffalo,2005,3,121.0,,10.9,1.9,1.4,1.0,0.0,,37.1,35.7,82.1,47.4,,6.4
Dan Cage,Guard,77.0,196.0,Vanderbilt,2006,3,125.0,,6.0,1.6,1.2,0.6,0.1,,43.3,42.6,87.2,58.4,,7.3
Eddie Cage,Forward,80.0,203.0,Bradley,1999,3,121.0,25.8,6.9,4.1,1.0,0.5,0.3,1.4,43.9,37.5,70.0,44.1,,5.1
Gary Cage,Guard,73.0,185.0,Georgia Tech,2009,3,10.0,,0.5,0.1,0.5,0.1,0.0,0.3,33.3,50.0,66.7,50.0,,0.1
Greg Cage,Guard,77.0,196.0,Alabama,2009,3,20.0,4.1,0.8,0.2,0.1,0.1,0.0,0.3,41.2,14.3,40.0,44.1,,0.1
Justin Cage,Forward,78.0,198.0,Xavier,2006,3,131.0,,9.0,4.9,1.4,0.8,0.4,,54.3,34.3,73.4,56.8,,14.6
Lawrence Cage,Guard,68.0,150.0,Alcorn State,2009,1,13.0,,2.8,1.1,0.4,0.2,0.0,0.8,47.8,50.0,84.6,56.5,,0.3
Michael Cage,Forward,81.0,224.0,San Diego State,1981,1,112.0,6.1,16.5,11.8,0.9,1.1,2.1,1.8,54.8,,73.2,,,
Moses Cage,Guard,70.0,178.0,Bethune-Cookman,2002,2,58.0,,5.6,3.1,3.6,1.6,0.0,,38.8,35.6,75.5,43.1,,2.7
Ronnie Cage,Guard,75.0,190.0,Tennessee State,1983,3,94.0,,13.3,2.7,,,,,50.1,,63.8,,,
Troy Cage,Forward,77.0,195.0,  Schools: UNLV and Chattanooga,2011,3,53.0,11.5,3.3,2.2,0.7,0.4,0.2,1.1,32.8,27.3,63.8,38.7,,0.5
Albert Cager,Guard,,,,2001,1,9.0,,0.2,0.2,0.7,0.1,0.0,,33.3,,0.0,33.3,,0.0
Willie Cager,Forward,77.0,196.0,UTEP,1968,3,77.0,,8.5,5.3,,,,,40.5,,69.6,,,
Carter Cagle,Guard,75.0,205.0,Georgia State,2017,3,24.0,1.3,0.4,0.1,0.1,0.0,0.0,0.1,42.9,42.9,,64.3,11.0,0.1
Drew Cagle,Forward,77.0,196.0,Coppin State,2002,1,24.0,,3.5,2.2,0.6,0.4,0.1,,46.2,25.0,58.3,48.5,,0.6
Justin Cagle,Forward,82.0,208.0,UT-Martin,2006,3,7.0,,0.3,0.3,0.1,0.1,0.1,,100.0,,,100.0,,0.1
Gabe Cagwin,Guard,70.0,178.0,Buffalo,2002,2,40.0,,3.5,1.0,1.1,0.8,0.0,,26.4,26.5,57.1,36.5,,-0.6
Gabe Cagwin,Guard,70.0,178.0,UC-Irvine,1999,1,17.0,,7.2,1.4,1.0,1.2,0.0,,40.6,41.6,71.4,55.7,,0.7
Ryan Cahak,Forward,79.0,201.0,Syracuse,2008,1,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
Joe Cahalan,6-0 (183cm) ,,,,1963,1,24.0,,4.8,1.2,,,,,38.5,,72.7,,,
Joe Cahalan,School: Iowa,,,,1961,1,,,,,,,,,,,,,,
Ed Cahill,School: Providence,,,,1956,1,2.0,,2.5,4.0,,,,,40.0,,100.0,,,
Gerald Cahill,School: Manhattan,,,,1954,2,,,,,,,,,,,,,,
Jim Cahill,Guard,73.0,185.0,Brown,1971,1,11.0,,3.8,1.4,2.5,,,2.1,36.4,,55.6,,,
John Cahill,Guard,73.0,170.0,Boston College,2012,2,54.0,13.6,2.1,1.2,0.4,0.4,0.1,0.3,44.3,45.3,78.9,62.7,9.3,1.1
John Cahill,6-1 (185cm) ,,,,1959,1,22.0,,2.4,2.3,,,,,30.4,,64.9,,,
Mark Cahill,Forward,79.0,201.0,Auburn,1983,3,75.0,6.6,1.9,0.8,0.3,0.1,0.1,0.6,,,73.6,,,
Mike Cahill,Guard,70.0,178.0,Virginia Tech,1963,2,19.0,,1.2,0.4,,,,,38.1,,,,,
Pat Cahill,6-3 (190cm) ,,,,1955,2,43.0,,7.6,,,,,,,,,,,
Mike Cahrey,Forward,77.0,196.0,Columbia,1975,1,22.0,,1.8,1.8,0.1,,,,32.6,,70.6,,,
Ted Caiazza,School: Illinois,,,,1958,3,,,,,,,,,,,,,,
Bill Caiazzo,Guard,70.0,178.0,University of California,1996,1,1.0,,2.0,24.0,3.0,1.0,5.0,,100.0,,100.0,100.0,,0.0
Andrew Caillouet,Forward,76.0,193.0,Nicholls State,1986,3,,,,,,0.1,0.0,,,,,,,
Bill Cain,Forward,79.0,201.0,Iowa State,1970,3,77.0,,19.5,12.4,,,,,43.6,,72.9,,,
Carl Cain,Forward,75.0,190.0,Iowa,1956,3,72.0,2.3,14.2,,,,,2.6,41.2,,66.0,,,
Chip Cain,Guard,76.0,193.0,Charleston Southern,1980,1,21.0,,1.3,0.9,,,,,29.7,,38.5,,,
Clarence Cain,Center,82.0,208.0,Alcorn State,1990,1,29.0,,8.1,6.1,0.9,0.2,0.1,,41.5,,64.4,,,
Damiene Cain,Forward,79.0,260.0,Colorado,2012,1,7.0,7.4,1.1,1.3,0.0,0.0,0.3,1.1,75.0,,50.0,75.0,1.9,0.0
David Cain,Guard,71.0,180.0,St. John's (NY),1993,1,30.0,,11.4,4.0,7.1,2.4,0.1,,43.9,20.0,70.9,44.1,,
David Cain,Guard,72.0,183.0,St. John's (NY),1992,3,88.0,4.0,2.0,0.9,1.1,0.5,0.0,0.5,42.6,25.0,59.7,43.2,,
Donnells Cain,School: Grambling,,,,2006,1,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0
Eli Cain,Guard,78.0,201.0,DePaul,2017,2,63.0,30.7,13.0,3.8,2.2,0.9,0.4,2.2,41.1,37.1,69.5,47.1,14.6,3.3
Ferdinand Cain,Center,80.0,203.0,Charleston Southern,2005,3,97.0,,3.0,1.7,0.3,0.2,0.7,,45.7,0.0,62.1,45.7,,2.5
Gary Cain,Guard,69.0,175.0,Stanford,1972,2,35.0,,1.7,0.7,,,,,39.5,,63.0,,,
James Cain,Guard,72.0,183.0,McNeese State,1985,1,10.0,,0.6,0.2,0.3,,,,60.0,,,,,
Jason Cain,Forward,82.0,208.0,Virginia,2006,3,111.0,,4.9,4.8,0.5,0.4,0.5,,47.4,13.3,68.0,47.7,,6.0
Kyle Cain,Forward,79.0,210.0,  Schools: Arizona State and North Carolina-Greensboro,2014,3,92.0,30.4,9.5,6.7,0.8,0.7,0.3,2.0,48.4,28.1,69.3,48.9,16.0,4.9
Larry Cain,Center,81.0,206.0,Utah,1993,3,72.0,6.8,4.9,3.1,,0.3,0.8,0.3,52.7,,63.6,,,
Larry Cain,Center,81.0,206.0,Utah,1990,1,26.0,,2.9,1.9,0.1,0.1,0.2,,55.6,,48.4,55.6,,
Lex Cain,Guard,,,,1950,1,1.0,,,,,,,,,,,,,
Mark Cain,Guard,,,,1993,2,16.0,5.1,1.6,0.8,0.4,0.4,0.1,0.4,22.5,18.8,80.0,26.3,,
Morris Cain,Guard,77.0,196.0,Wisconsin,2008,3,45.0,,0.4,0.2,0.0,0.0,0.0,0.1,64.3,0.0,50.0,64.3,,0.3
Norm Cain,Forward,78.0,198.0,Chattanooga,2002,1,12.0,,2.6,2.5,0.4,0.5,0.6,,29.4,30.8,87.5,35.3,,0.2
Reggie Cain,Guard,74.0,188.0,VCU,1975,1,25.0,,9.2,1.9,,,,,43.8,,62.2,,,
Steve Cain,Guard,70.0,178.0,Fordham,1970,1,12.0,,0.8,0.7,0.2,,,,20.0,,83.3,,,
Steven Cain,Guard,73.0,185.0,Fordham,1972,2,30.0,,1.5,0.7,0.1,,,,50.0,,66.7,,,
Tim Cain,Forward,79.0,201.0,Manhattan,1984,3,108.0,32.1,17.3,5.5,,0.7,0.2,1.8,51.3,,76.0,,,
Tyler Cain,Forward,80.0,203.0,South Dakota,2010,1,32.0,5.9,14.7,10.4,2.4,3.0,2.3,2.6,64.5,,50.0,64.5,,
Warren Cain,Guard,73.0,185.0,Santa Clara,1984,1,25.0,,1.8,0.5,0.7,,,,40.6,,55.9,,,
John Cain Carney,Forward,81.0,225.0,Boston College,2014,3,47.0,5.1,0.4,0.9,0.1,0.1,0.0,0.2,36.4,25.0,0.0,38.6,4.5,0.1
Bruce Caine,School: North Carolina A&T,,,,1982,1,12.0,,1.5,1.1,0.3,0.3,0.0,0.3,38.9,,57.1,,,
Robert Caine,School: Purdue,,,,1961,1,,,,,,,,,,,,,,
Roderic Caine,Guard,73.0,185.0,Maryland-Eastern Shore,1993,2,55.0,29.7,4.6,3.7,2.6,1.4,0.1,3.8,39.7,25.5,61.4,42.5,,
Seth Caine,Guard,75.0,190.0,Hawaii,2005,1,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0
Warner Caines,Center,79.0,201.0,Western Kentucky,1963,3,46.0,,1.4,2.3,,,,,30.6,,46.3,,,
Randy Caipen,Forward,,,,1974,2,51.0,,6.2,3.6,,,,,42.1,,80.5,,,
Chris Caird,Guard,78.0,232.0,Drake,2015,2,62.0,22.3,7.7,2.7,1.2,0.3,0.1,1.3,43.3,40.5,86.1,56.5,13.7,2.8
Keelan Cairns,Forward,82.0,210.0,Penn,2012,1,6.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,33.3,50.0,,50.0,5.2,0.0
Jorge Cajigas,Guard,70.0,178.0,Coppin State,2000,2,59.0,,14.3,2.9,2.5,2.0,0.0,,38.8,37.5,84.4,48.8,,6.7
