player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Bob D'Agosta,Forward,76.0,193.0,Lehigh,1973,3,62.0,,4.6,2.7,,,,,40.9,,55.4,,,
Mark D'Agostino,Forward,79.0,201.0,Delaware State,2008,2,28.0,,0.9,0.6,0.2,0.1,0.0,0.3,38.5,38.5,100.0,48.1,,0.1
Vince D'Agostino,School: LIU-Brooklyn,,,,1950,1,,,,,,,,,,,,,,
Gene D'Alesandro,Forward,76.0,193.0,Canisius,1968,1,7.0,,2.0,1.1,,,,,45.5,,36.4,,,
Jason D'Alesio,Guard,75.0,190.0,West Virginia,1999,3,,,,,,0.4,0.0,,,,,,,
Ben D'Alessandro,Guard,75.0,190.0,Providence,1995,1,3.0,1.3,0.0,0.3,0.3,0.3,0.0,,0.0,,,0.0,,
Mike D'Aloisio,Guard,76.0,193.0,Indiana,1989,1,18.0,3.0,1.1,0.4,0.3,0.0,0.0,0.5,58.3,0.0,85.7,58.3,,
Mike D'Aloisio,Guard,76.0,193.0,San Francisco,1987,2,43.0,,6.9,2.2,1.6,0.4,,,45.7,,83.9,,,
Ralph D'Altilia,Forward,,,,1965,3,64.0,,14.5,9.7,,,,,44.2,,66.7,,,
Brian D'Amico,Center,83.0,211.0,North Carolina State,1990,3,83.0,13.6,3.9,3.1,0.6,0.3,0.4,0.7,52.4,,47.5,52.4,,
Rudy D'Amico,School: Seattle,,,,1961,1,5.0,,,,,,,,,,,,,
Doug D'Amore,Forward,77.0,196.0,Idaho State,2005,2,57.0,,6.9,2.7,1.7,0.9,0.2,,38.2,34.1,70.1,47.2,,1.8
Dan D'Antoni,Guard,71.0,180.0,Marshall,1969,3,77.0,,14.4,3.5,,,,,37.3,,77.4,,,
Matt D'Antoni,Guard,74.0,188.0,  Schools: Loyola (IL) and Brown,1999,3,48.0,,3.4,1.0,0.8,0.4,0.0,,,33.0,,,,-0.1
Mike D'Antoni,Guard,75.0,190.0,Marshall,1973,3,80.0,,15.3,4.5,,,,,45.4,,77.8,,,
Nick D'Antoni,Guard,72.0,183.0,William & Mary,2004,3,107.0,,5.9,2.1,3.2,0.8,0.0,,32.7,31.4,72.0,41.7,,1.9
Rich D'Antonio,Guard,76.0,193.0,Fairfield,1981,3,85.0,,2.2,1.2,,,,,40.3,,59.7,,,
Hank D'Antonorio,Guard,,,,1954,2,4.0,,0.8,,,,,,,,,,,
Mike D'Elia,Guard,72.0,183.0,St. Peter's,2002,1,10.0,,0.0,0.0,0.0,0.1,0.0,,0.0,0.0,,0.0,,-0.1
Tony D'Elia,School: St. Francis (NY),,,,1956,1,,,,,,,,,,,,,,
Rudy D'Emilio,5-11 (180cm) ,,,,1954,3,80.0,,12.8,4.1,,,,,34.9,,66.7,,,
Eddie D'Haiti,Forward,80.0,203.0,Youngstown State,2010,1,28.0,11.4,2.5,2.9,0.5,0.3,0.6,1.0,40.7,0.0,57.9,40.7,10.5,0.4
Anthony D'Orazio,Guard,74.0,185.0,  Schools: Lehigh and Rider,2013,3,127.0,23.5,4.1,2.2,1.1,1.2,0.2,1.2,39.5,31.9,52.6,46.8,12.0,4.6
Delano D'Oyen,Guard,72.0,183.0,Santa Clara,2000,3,88.0,,4.9,1.6,1.7,0.5,0.0,,33.3,36.3,71.9,43.7,,1.6
Marcelo Da Barrosa,Forward,79.0,201.0,Kansas State,2003,2,26.0,,2.8,1.5,0.2,0.1,0.0,,42.5,0.0,61.1,42.5,,0.1
Mattia Da Campo,Guard,77.0,210.0,Seattle,2017,1,16.0,8.7,1.5,1.1,0.9,0.2,0.0,1.1,64.3,33.3,50.0,67.9,4.9,0.1
Guilherme Da Luz,Guard,75.0,190.0,Furman,2002,3,117.0,30.3,10.7,4.4,5.7,1.8,0.1,3.4,38.1,27.6,74.2,42.9,,8.1
