player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Tom Each,Forward,75.0,190.0,Loyola (IL),1953,2,13.0,,0.9,,,,,,,,62.5,,,
Ledell Eackles,Guard,77.0,220.0,New Orleans,1987,1,59.0,8.5,23.0,4.5,1.6,0.2,2.9,1.8,48.2,35.2,77.6,52.5,,
Ledell Eackles,Guard,70.0,178.0,Campbell,2007,2,59.0,,9.2,3.4,5.0,2.5,0.0,,40.0,31.7,62.3,48.5,,2.7
Ledrick Eackles,Guard,75.0,195.0,  Schools: Oakland and McNeese State,2013,3,107.0,27.4,9.4,3.1,1.5,1.4,0.2,2.5,36.1,31.9,73.1,43.0,16.4,4.9
Marvin Eackles,Forward,77.0,196.0,South Alabama,1991,2,53.0,,7.8,3.2,0.9,0.6,0.2,,49.4,25.0,77.9,49.7,,
Tony Eackles,Guard,74.0,195.0,Alcorn State,2011,2,54.0,11.9,4.5,1.1,0.5,0.4,0.1,1.4,38.5,39.0,66.4,42.9,8.9,0.0
Bill Eaddy,Forward,77.0,196.0,Drake,2009,3,112.0,9.8,4.8,1.8,0.6,0.7,0.0,0.3,41.9,37.8,71.7,46.2,,2.9
Bill Eaddy,Guard,74.0,188.0,Auburn,1989,3,,1.0,,,,0.1,0.0,,,,,,,
Don Eaddy,Guard,71.0,180.0,Michigan,1955,4,88.0,,11.6,,,,,,31.6,,60.3,,,
Ephriam Eaddy,Guard,70.0,178.0,Northern Illinois,2000,2,41.0,,6.5,3.4,4.5,1.6,0.2,,34.6,34.1,77.1,39.8,,1.8
Haywood Eaddy,Guard,64.0,163.0,Loyola Marymount,1999,2,45.0,,15.0,2.7,5.2,1.8,0.1,,41.6,35.4,86.3,48.8,,3.6
James Eaddy,Guard,73.0,185.0,Penn State,1988,1,11.0,,0.4,0.4,0.2,0.3,0.1,,9.1,0.0,50.0,9.1,,
James Eaddy,School: American,,,,1981,1,9.0,1.4,0.0,0.3,0.1,0.0,0.0,0.1,0.0,,,,,
Tahj Eaddy,Guard,74.0,154.0,Southeast Missouri State,2017,1,30.0,22.2,7.5,2.3,2.3,0.8,0.0,1.1,37.4,42.9,92.5,47.2,13.8,1.4
_ Eader,School: American,,,,1971,1,3.0,,0.0,0.3,0.0,,,,0.0,,0.0,,,
Clyde Eads,Forward,79.0,201.0,Tulane,1984,3,85.0,22.5,7.7,2.3,1.1,0.3,0.0,1.2,52.3,,79.8,,,
Nathan Eads,Forward,80.0,203.0,Brown,2006,3,70.0,,3.1,1.4,0.5,0.3,0.5,,46.8,37.5,63.0,47.8,,1.4
Darryl Eady,Forward,79.0,201.0,Manhattan,1978,2,38.0,0.2,4.6,2.7,0.2,0.2,0.1,,39.1,,62.3,,,
Kirk Eady,Guard,76.0,193.0,Old Dominion,1987,1,23.0,6.2,0.7,0.9,0.3,0.3,0.0,1.2,25.8,,,,,
Kelvin Eafon,Guard,73.0,185.0,Arizona,1996,2,31.0,2.4,1.0,0.4,0.4,0.1,0.0,0.4,36.4,20.0,66.7,40.9,,
Trent Eager,Forward,78.0,198.0,Jacksonville State,2004,2,58.0,,8.6,3.9,0.9,0.7,0.3,,44.1,37.1,80.9,52.4,,3.8
Bob Eagle,School: Virginia,,,,1965,1,4.0,,1.0,1.5,,,,,25.0,,66.7,,,
_ Eagle,School: Eastern Kentucky,,,,1948,1,,,,,,,,,,,,,,
Marc Eagles,Guard,75.0,190.0,Louisiana Tech,1971,1,15.0,,,0.4,,,,,58.3,,,,,
Kevin Eagleson,Guard,70.0,178.0,Santa Clara,1970,3,84.0,,5.1,3.6,,,,,41.3,,68.2,,,
Austin Eagleton,Guard,75.0,200.0,Saint Louis,2016,2,6.0,1.2,0.0,0.0,0.0,0.0,0.0,0.3,,,,,-17.6,0.0
Derrick Eaglin,Guard,77.0,196.0,Duquesne,1983,3,49.0,6.2,3.5,0.8,,0.2,0.0,0.4,40.4,,77.8,,,
Todd Eaglin,Guard,70.0,171.0,North Texas,2016,2,49.0,9.2,1.2,0.8,0.7,0.3,0.1,0.7,33.9,25.0,66.7,42.0,4.2,0.1
Xavier Eaglin,Forward,79.0,205.0,Cornell,2016,1,7.0,1.4,0.0,0.1,0.1,0.1,0.1,0.1,,,0.0,,-0.6,0.0
Gerald Eaker,Center,83.0,211.0,  Schools: Ohio State and Kansas State,1997,3,78.0,,5.7,4.1,0.7,0.4,1.9,,42.6,0.0,50.3,42.6,,
J.C. Eakin,Forward,81.0,206.0,Texas Tech,1976,1,8.0,,3.1,1.9,,,,,56.3,,53.8,,,
Dave Eakins,School: Tennessee Tech,,,,1962,3,44.0,,5.7,1.4,,,,,41.2,,79.7,,,
Jim Eakins,Center,83.0,211.0,BYU,1968,3,71.0,,9.9,7.9,,,,,52.6,,69.4,,,
Adam Eakles,Forward,80.0,210.0,Pacific,2012,1,10.0,6.8,0.4,0.7,0.2,0.4,0.0,0.3,22.2,0.0,,22.2,1.5,-0.1
Terrance Ealey,Guard,74.0,188.0,George Washington,2002,1,3.0,,0.0,0.3,0.3,0.7,0.0,,0.0,,,0.0,,0.0
Chris Ealim,Guard,72.0,183.0,Texas Southern,2002,1,14.0,,2.0,0.7,0.2,0.3,0.0,,32.0,23.1,52.9,38.0,,0.0
Jason Ealing,Guard,74.0,188.0,Mercer,1997,1,2.0,,0.0,0.5,0.5,0.0,0.0,,0.0,0.0,,0.0,,-0.1
Curt Ealy,Forward,75.0,190.0,Pacific,1964,1,8.0,,0.4,1.4,,,,,8.3,,20.0,,,
Chris Eames,Forward,79.0,201.0,Hartford,1998,3,110.0,,7.8,4.7,0.8,1.1,0.7,,56.7,,61.1,56.7,,7.4
Patrick Eannotti,Forward,77.0,196.0,Sacred Heart,2003,1,10.0,,1.2,2.1,0.1,0.1,0.0,,41.7,0.0,100.0,41.7,,0.1
Mike Earey,School: UNC,,,,1970,1,3.0,,1.3,,,,,,25.0,,100.0,,,
Damian Eargle,Forward,79.0,215.0,  Schools: North Carolina-Greensboro and Youngstown State,2012,3,122.0,28.8,10.9,6.4,0.6,0.9,3.3,1.5,46.3,14.3,54.9,46.4,,7.6
Jim Earhardt,Guard,76.0,193.0,Monmouth,1994,2,17.0,,0.4,0.6,0.1,0.0,0.0,,33.3,0.0,,33.3,,
Charles Earhart,School: Memphis,,,,1948,1,,,,,,,,,,,,,,
Acie Earl,Forward,82.0,240.0,Iowa,1992,3,116.0,27.6,15.3,7.0,1.2,1.0,3.1,2.9,50.8,,68.0,50.8,,
Brian Earl,Guard,,,,1995,1,119.0,4.0,12.0,2.5,2.2,0.1,,0.3,47.5,41.6,78.0,61.8,,
Dan Earl,Guard,,,,1996,3,119.0,,10.6,2.6,4.8,1.4,0.0,,44.3,39.5,73.4,55.4,,
Dennis Earl,Forward,73.0,185.0,Rutgers,1966,3,55.0,,9.4,4.4,,,,,46.2,,68.8,,,
Derrick Earl,Forward,78.0,198.0,Towson,1996,1,26.0,,4.1,2.6,0.3,0.2,0.3,,43.7,,70.5,43.7,,0.7
Donnie Earl,Forward,,,,1982,2,56.0,32.8,9.1,6.0,1.6,1.4,0.4,2.3,52.4,,54.2,,,
Lester Earl,Forward,80.0,203.0,  Schools: LSU and Kansas,1999,3,74.0,15.0,5.7,4.5,0.7,0.5,0.5,1.0,47.1,33.3,59.2,47.3,,4.5
Louis Earl,Forward,,,,1998,2,53.0,,4.1,2.7,0.7,0.6,0.2,,48.4,0.0,51.6,48.4,,1.5
Michael Earl,Forward,80.0,203.0,Utah State,2007,1,16.0,,2.2,1.7,0.1,0.3,0.4,,42.3,,63.6,42.3,,0.4
Rick Earl,Guard,70.0,178.0,Portland,1970,3,72.0,,7.5,2.4,,,,,37.5,,71.0,,,
T.O. Earl,Guard,74.0,188.0,Texas-Arlington,1997,1,18.0,,2.1,1.3,0.6,0.4,0.1,,21.1,25.0,61.5,25.4,,-0.4
Ben Earle,Forward,77.0,196.0,Furman,2005,2,51.0,,5.2,1.6,0.6,0.4,0.1,,41.2,40.5,67.6,56.0,,2.1
Charlie Earle,School: Richmond,,,,1970,1,18.0,,1.2,1.7,,,,,33.3,,28.6,,,
Ed Earle,Forward,75.0,190.0,Loyola (IL),1950,3,93.0,,9.3,,,,,,,,63.4,,,
Gary Earle,Guard,75.0,190.0,San Diego State,1976,3,81.0,,6.7,3.0,,,,,45.4,,71.9,,,
Colby Earles,Guard,,,,1998,1,4.0,,0.0,0.2,0.0,0.0,0.0,,0.0,,,0.0,,-0.1
Brent Earley,Forward,80.0,203.0,Nevada,1989,1,8.0,3.1,,1.6,,0.0,0.0,0.3,,,,,,
Charles Earls,6-5 (196cm) ,,,,1988,2,35.0,5.8,3.0,1.8,0.7,0.5,0.1,0.5,33.8,,61.1,,,
DeLovell Earls,Forward,78.0,225.0,Air Force,2014,3,92.0,13.1,3.2,2.4,1.3,0.4,0.1,1.1,41.2,26.6,52.3,44.5,10.5,1.5
Justin Earls,Forward,79.0,210.0,Eastern Illinois,2016,1,2.0,3.0,2.0,1.0,0.5,0.5,0.5,0.0,100.0,,50.0,100.0,64.1,0.1
Reno Earls,Guard,73.0,185.0,Citadel,1996,1,26.0,,6.0,2.0,2.2,0.8,0.1,,35.9,35.2,81.8,43.9,,0.3
Rod Earls,Guard,74.0,188.0,Tulsa,2008,2,70.0,,8.5,2.9,1.8,0.8,0.1,1.7,38.0,37.3,85.8,49.3,,4.9
Chris Early,Forward,79.0,235.0,Chattanooga,2011,3,92.0,19.4,6.0,4.2,0.8,0.4,0.2,1.3,41.2,32.2,59.6,47.0,,2.7
Cleanthony Early,Forward,80.0,219.0,Wichita State,2014,2,75.0,26.2,15.1,5.7,0.7,0.8,0.8,1.7,47.0,34.8,81.9,54.1,26.0,11.3
Dan Early,Forward,77.0,196.0,Missouri,1965,3,61.0,,6.9,5.7,,,,,41.6,,65.8,,,
Dominic Early,Guard,78.0,185.0,Furman,2014,2,41.0,11.9,3.6,1.9,0.4,0.3,0.1,0.4,34.0,24.4,64.3,40.8,11.8,0.9
Dwayne Early,Guard,76.0,193.0,UMass,2000,1,9.0,1.4,0.4,0.1,0.0,0.1,0.1,0.3,16.7,0.0,50.0,16.7,,0.0
Jeff Early,Guard,73.0,187.0,Southern Illinois,2013,2,61.0,26.4,10.8,5.5,1.0,1.4,0.2,1.8,48.6,20.7,67.7,49.7,20.3,4.9
Joe Early,5-8 (173cm) ,,,,1955,4,,,,,,,,,,,,,,
Scott Early,Center,79.0,201.0,Princeton,1971,3,24.0,,1.2,,,,,,35.3,,,,,
Gary Earnest,Guard,,,,1961,3,77.0,,14.4,3.1,,,,,37.9,,75.0,,,
Adam Earnhardt,Center,84.0,213.0,North Carolina-Asheville,2000,3,115.0,,6.0,4.2,0.6,0.3,1.4,,56.8,50.0,73.1,57.0,,5.5
Dave Easis,Center,77.0,196.0,BYU,1959,1,19.0,,7.7,5.7,,,,,43.1,,52.8,,,
Corey Easley,Forward,80.0,203.0,Montana,2005,3,80.0,,3.1,2.2,0.5,0.2,0.6,,39.5,30.6,61.7,42.8,,1.1
Corey Easley,Guard,74.0,188.0,Siena,1983,1,28.0,34.8,12.2,3.7,3.2,0.9,0.5,2.8,47.0,,61.5,,,
Dale Easley,Center,79.0,201.0,Washington,1963,3,73.0,,7.3,4.5,,,,,38.7,,74.4,,,
Ed Easley,Center,,,,1962,1,2.0,,,0.5,,,,,,,,,,
Kellen Easley,Forward,79.0,201.0,Missouri State,2005,3,118.0,,6.6,4.3,1.2,1.0,0.3,,47.8,38.0,83.9,50.3,,9.5
Kevin Easley,Guard,73.0,185.0,Austin Peay,2001,3,66.0,,1.3,0.6,0.1,0.2,0.0,,26.0,22.2,75.0,34.4,,-0.1
L. Easley,School: SMU,,,,1979,1,8.0,0.3,4.6,3.0,0.5,0.5,0.3,1.0,51.7,,64.3,,,
Myrt Easley,Forward,77.0,196.0,Santa Clara,1978,3,,,,,,,,,,,,,,
Ron Easley,Forward,76.0,193.0,Virginia Tech,1983,1,5.0,2.4,0.8,,0.2,0.0,0.4,0.8,33.3,,100.0,,,
Tony Easley,Center,81.0,206.0,Murray State,2009,3,122.0,21.8,7.6,5.0,0.6,0.5,1.3,1.2,65.2,,64.6,65.2,,13.4
Bill Eason,Forward,77.0,196.0,Providence,1978,4,116.0,,9.9,6.9,1.6,,,,52.3,,67.2,,,
Darius Eason,Forward,81.0,206.0,Arkansas-Little Rock,2003,3,114.0,,5.3,3.4,0.5,0.2,0.9,,49.6,,57.5,49.6,,5.8
Edgar Eason,Guard,76.0,193.0,Southern Miss,1982,2,53.0,26.6,9.5,3.1,2.2,1.7,0.1,2.4,43.0,,69.7,,,
James Eason,Center,77.0,196.0,Florida International,1995,2,43.0,,4.9,3.3,0.5,0.5,0.7,,46.4,0.0,56.8,46.4,,
Jeremiah Eason,Forward,79.0,250.0,Southern Miss,2015,2,54.0,21.4,4.7,3.9,0.7,0.6,0.1,1.2,43.0,0.0,49.3,43.0,8.3,1.5
Olandus Eason,Forward,75.0,190.0,Samford,1992,3,103.0,21.5,4.5,3.0,0.6,0.5,0.2,1.5,43.5,,64.4,43.6,,
Stan Eason,Forward,76.0,193.0,Fairleigh Dickinson,1984,1,6.0,,0.2,0.2,0.2,,,,,,33.3,,,
Alphah East,Forward,78.0,198.0,Quinnipiac,2001,2,53.0,,5.7,4.8,0.4,0.4,0.9,,68.2,,53.2,68.2,,3.3
Derrick East,Forward,80.0,203.0,Texas-Rio Grande Valley,2005,3,95.0,,5.8,4.1,0.4,0.5,0.3,,42.2,29.0,75.0,44.3,,4.2
Ronnie Easter,Forward,75.0,190.0,Youngstown State,1996,2,55.0,,7.2,3.4,2.0,0.5,0.1,,43.3,29.7,60.5,46.4,,
Wilfred Easter,Guard,,,,1961,1,4.0,,0.5,0.5,,,,,25.0,,,,,
John Easterbrook,Guard,68.0,173.0,Illinois,1959,1,12.0,,1.1,0.2,,,,,21.1,,62.5,,,
Skip Easterbrooks,6-2 (188cm) ,,,,1957,1,19.0,,5.4,1.6,,,,,47.4,,67.4,,,
Pat Easterlin,Guard,75.0,190.0,Milwaukee,1994,2,49.0,,12.9,2.3,1.1,0.7,0.0,,40.9,40.1,80.9,57.0,,
Carlos Easterling,Guard,74.0,188.0,Rhode Island,1990,1,28.0,,6.1,2.4,5.1,1.4,0.1,,40.5,30.3,77.1,44.6,,
Carlos Easterling,Guard,74.0,188.0,Rhode Island,1993,3,90.0,25.6,4.7,1.7,3.1,1.1,0.1,2.1,48.1,44.8,79.0,55.4,,
Chad Easterling,Forward,78.0,198.0,Hampton,2008,2,27.0,,0.4,0.3,0.1,0.1,0.0,0.1,50.0,,50.0,50.0,,0.1
Patrick Easterling,Forward,78.0,198.0,Appalachian State,1987,1,12.0,1.3,0.5,0.5,0.0,0.2,0.0,0.2,66.7,,50.0,66.7,,
Art Easterly,Forward,77.0,196.0,Portland,1965,3,73.0,,11.5,7.8,,,,,38.8,,67.7,,,
Art Easterly,Forward,78.0,198.0,Portland,1960,1,14.0,,4.7,5.1,,,,,36.2,,50.0,,,
Jeff Eastin,Forward,78.0,198.0,Long Beach State,1988,3,104.0,10.4,4.0,2.7,1.5,0.7,0.2,,35.5,,70.5,,,
Jim Eastin,School: Denver,,,,1960,1,8.0,,1.0,0.9,,,,,25.0,,66.7,,,
Dave Eastis,Center,,,,1961,2,50.0,,17.4,9.8,,,,,43.1,,73.2,,,
Al Eastland,Center,80.0,203.0,Wyoming,1963,3,71.0,,11.7,5.6,,,,,39.8,,69.5,,,
Austin Eastman,Guard,75.0,175.0,Utah,2016,3,33.0,2.4,0.4,0.4,0.2,0.1,0.1,0.2,15.4,20.0,70.0,23.1,7.0,0.1
Jack Eastman,School: Rutgers,,,,1959,1,9.0,,0.7,0.4,,,,,37.5,,,,,
Jake Eastman,Guard,77.0,207.0,Bradley,2012,3,118.0,24.1,4.8,3.4,1.8,0.7,0.2,0.9,37.1,27.5,67.5,43.4,10.8,4.1
Kevin Eastman,Guard,74.0,188.0,Richmond,1977,4,105.0,,11.1,2.2,,,,,46.7,,75.1,,,
Darrion Eastmon,Guard,74.0,180.0,South Carolina State,2014,1,25.0,10.3,1.4,1.2,1.4,0.4,0.1,1.3,45.5,37.5,60.0,52.3,5.3,0.0
George Eastmond,Center,81.0,206.0,LIU-Brooklyn,1983,1,14.0,,0.9,1.5,,0.0,0.1,,42.9,,87.5,,,
Al Easton,School: NYU,,,,1961,1,3.0,,2.3,0.3,,,,,50.0,,75.0,,,
John Easton,6-2 (188cm) ,,,,1955,1,25.0,,6.2,,,,,,41.0,,62.1,,,
Scott Easton,Forward,79.0,201.0,Army,1979,3,81.0,,9.6,2.5,,,,,52.5,,82.2,,,
Matt Eastwick,Forward,80.0,203.0,Princeton,1991,3,91.0,21.0,6.2,2.9,1.0,0.7,0.4,1.2,51.5,39.7,63.3,60.5,,
