player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Danny Faaborg,Forward,77.0,196.0,Montana State,2002,3,115.0,,3.9,1.7,0.9,0.2,0.0,,38.6,35.3,72.0,49.7,,2.4
Al Faber,Center,82.0,208.0,East Carolina,1973,3,79.0,,12.1,10.3,,,,,45.9,,65.0,,,
Dennis Faber,School: Kent State,,,,1969,1,3.0,,,,,,,,,,,,,
Krys Faber,Center,82.0,258.0,DePaul,2011,3,119.0,18.7,3.9,3.7,0.3,0.3,0.4,0.8,49.1,100.0,64.2,49.3,,3.0
Patrick Faber,Forward,78.0,198.0,North Carolina-Greensboro,1992,1,28.0,27.2,5.2,2.3,1.3,0.4,0.0,2.3,51.1,0.0,78.1,51.1,,
Paul Faber,Center,81.0,206.0,Marist,1990,1,9.0,,1.3,1.3,,0.2,0.4,,50.0,,85.7,50.0,,
Tom Faber,Center,82.0,208.0,Utica,1987,2,53.0,26.2,10.9,5.4,1.3,0.6,0.4,2.1,52.5,,63.6,,,
_ Faber,Center,81.0,206.0,Drake,1983,1,21.0,,5.5,2.5,,,,,45.0,,67.6,,,
Al Fabian,Center,,,,1949,2,,,,,,,,,,,,,,
Bud Fabian,School: Santa Clara,,,,1971,1,9.0,,1.4,0.7,,,,,45.5,,60.0,,,
Chris Fabian,School: Notre Dame,,,,1977,1,13.0,,1.0,0.4,,,,,33.3,,55.6,,,
Joe Fabian,Forward,79.0,201.0,Pacific,1984,1,27.0,11.2,3.1,2.4,0.4,0.1,0.0,1.0,42.1,,52.9,,,
_ Fabian,School: Pacific,,,,1986,1,,,,,,,,,,,,,,
Michael Fabiyi,Guard,75.0,190.0,Florida A&M,2013,1,17.0,4.1,1.3,0.7,0.2,0.2,0.0,0.2,53.3,0.0,66.7,53.3,17.1,0.2
_ Fabozzi,School: Siena,,,,1948,1,,,,,,,,,,,,,,
Brian Fabrizius,Forward,83.0,203.0,Princeton,2013,2,9.0,1.1,0.3,0.0,0.0,0.0,0.0,0.0,50.0,50.0,,75.0,9.2,0.0
Luke Fabrizius,Forward,81.0,228.0,Dayton,2011,3,116.0,12.5,4.7,1.5,0.4,0.1,0.2,0.4,38.4,37.9,61.3,53.3,,4.2
Kentan Facey,Forward,81.0,206.0,UConn,2016,3,123.0,17.7,4.6,4.6,0.4,0.2,0.7,0.8,51.5,50.0,69.8,51.9,15.2,7.1
Jordan Faciane,Guard,74.0,235.0,Campbell,2015,3,13.0,5.1,1.8,1.2,0.9,0.2,0.0,0.3,36.4,23.1,80.0,43.2,18.6,0.1
Fred Facka,Forward,,,,1984,3,,4.4,,,,0.2,0.0,0.2,,,,,,
Ray Faczan,Center,,,,1967,3,66.0,,7.6,6.5,,,,,44.3,,57.0,,,
Mike Fadden,School: Bucknell,,,,1962,3,55.0,,6.3,5.8,,,,,35.4,,64.0,,,
Reid Fader,Guard,72.0,183.0,American,1970,2,42.0,,1.7,1.4,,,,,32.1,,41.1,,,
Lewis Fadipe,Forward,82.0,208.0,La Salle,2005,3,93.0,,2.5,2.8,0.2,0.3,0.8,,48.6,0.0,50.0,48.6,,3.3
Mike Faer,Guard,72.0,183.0,Clemson,1969,2,33.0,,1.5,0.7,,,,,32.3,,60.0,,,
George Faerber,Forward,77.0,196.0,Purdue,1971,3,77.0,,11.6,8.4,,,,,58.4,,68.6,,,
Chris Fagan,Forward,77.0,196.0,Texas-Rio Grande Valley,2005,2,55.0,,10.1,4.7,1.4,1.1,0.6,,42.5,29.6,75.2,46.8,,4.2
Chris Fagan,Forward,77.0,196.0,Colgate,1977,3,67.0,,12.2,5.7,,,,,52.5,,84.1,,,
Jeff Fagan,Center,82.0,208.0,Long Beach State,1981,2,33.0,7.3,1.2,1.6,0.2,,,,26.4,,52.0,,,
Joe Fagan,Guard,76.0,195.0,Indiana,2014,1,5.0,1.2,0.0,0.2,0.0,0.0,0.0,0.2,,,,,-3.0,0.0
Ron Fagan,School: Loyola (IL),,,,1954,2,29.0,,2.9,1.6,,,,,36.7,,67.6,,,
Sean Fagan,School: Mount St. Mary's,,,,1989,1,26.0,,3.1,2.8,1.0,0.5,0.0,0.9,41.9,25.0,54.5,43.0,,
Steve Fagan,Guard,67.0,170.0,Brooklyn,1989,2,55.0,19.6,3.3,1.3,3.6,1.2,0.0,2.1,33.3,33.3,66.7,39.3,,
T Fagan,School: Michigan State,,,,1972,1,,,,,,,,,,,,,,
Oladapo Fagbenle,Center,81.0,206.0,Campbell,2008,2,55.0,,1.5,2.8,0.5,0.3,1.0,0.7,41.6,0.0,41.7,41.6,,1.0
David Fagerness,6-3 (190cm) ,,,,1953,2,10.0,,0.5,,,,,,20.0,,,,,
Chris Faggi,Forward,80.0,203.0,McNeese State,1981,3,108.0,,13.6,5.6,,1.3,0.2,2.5,50.0,,67.0,,,
Lucas Faggiano,Guard,74.0,188.0,LIU-Brooklyn,2009,1,15.0,,6.1,2.4,3.0,1.3,0.1,2.2,42.4,37.5,78.8,49.2,,1.1
Ronnie Faggins,Forward,78.0,198.0,Oklahoma City,1983,1,23.0,33.9,9.2,4.3,1.4,0.9,0.5,1.1,42.2,,65.2,,,
Terry Faggins,Forward,77.0,196.0,Oklahoma State,1986,2,50.0,22.8,10.0,3.3,1.3,0.4,0.2,1.4,49.2,,77.9,,,
Willard Fagler,Center,77.0,196.0,Nebraska,1955,4,84.0,,8.4,5.9,,,,,39.8,,67.3,,,
Dick Fagliano,Guard,74.0,188.0,Saint Mary's (CA),1965,3,58.0,,6.3,1.8,,,,,43.2,,84.0,,,
Mike Fagundes,Forward,,,,1989,3,35.0,5.3,1.4,1.2,,0.2,0.1,0.5,48.6,23.1,68.8,52.9,,
_ Faher,Center,82.0,208.0,Drake,1984,1,5.0,,3.0,2.6,,,,,36.8,,33.3,,,
Dan Fahey,Guard,75.0,195.0,Wisconsin,2012,3,27.0,1.9,0.5,0.5,0.1,0.0,0.0,0.1,50.0,0.0,83.3,50.0,17.9,0.2
Gene Fahey,Forward,73.0,185.0,St. Bonaventure,1970,3,40.0,,1.7,0.8,,,,,36.4,,70.0,,,
Jim Fahey,6-5 (196cm) ,,,,1957,3,55.0,,8.7,8.9,,,,,43.3,,54.9,,,
Joe Fahey,Guard,72.0,183.0,LSU,1956,2,42.0,,5.1,1.6,,,,,32.9,,59.0,,,
Mike Fahey,Guard,71.0,180.0,Brown,1966,2,43.0,,2.7,1.1,,,,,35.2,,60.4,,,
Pete Fahey,Center,77.0,196.0,Dartmouth,1967,2,,,,,,,,,,,,,,
Terry Fahey,Center,81.0,206.0,Georgia Southern,1981,2,51.0,,5.2,4.8,,,,,51.4,,51.4,,,
Gary Fahnenstiel,Guard,72.0,183.0,Toledo,1975,1,9.0,,0.7,0.2,,,,,25.0,,66.7,,,
_ Fahnenstiel,School: Toledo,,,,1976,1,,,,,,,,,,,,,,
Bob Fahnestock,Guard,71.0,180.0,Washington,1966,2,37.0,,1.8,1.0,,,,,29.7,,71.8,,,
Scott Fahnestock,Forward,78.0,198.0,Evansville,1993,2,40.0,,1.0,0.6,0.1,0.2,0.0,,38.7,0.0,60.0,38.7,,
Shane Fahnestock,Guard,68.0,173.0,Evansville,1991,1,12.0,,0.5,0.3,0.9,0.2,0.0,,,,60.0,,,
Dave Fahrbach,6-3 (190cm) ,,,,1953,2,11.0,,,,,,,,,,,,,
Dave Fahs,Guard,,,,1961,3,65.0,,10.9,2.9,,,,,38.3,,74.0,,,
John Failing,Forward,77.0,196.0,Louisiana Tech,1977,2,48.0,0.1,3.2,3.2,,0.3,0.1,1.0,41.1,,73.6,,,
Vj Fails,Forward,79.0,201.0,Charleston Southern,2007,3,38.0,,2.6,3.8,0.8,0.4,0.2,,45.8,0.0,36.2,45.8,,0.5
Bill Faine,Center,79.0,201.0,Bowling Green State,1983,3,99.0,,10.7,5.7,1.1,0.9,0.3,1.7,50.7,,71.8,,,
Joe Faine,Forward,77.0,196.0,Bowling Green State,1980,3,91.0,31.2,15.5,4.1,2.2,0.5,0.0,2.1,46.3,,83.6,,,
Kamau Faines,Guard,73.0,190.0,Davidson,2017,3,18.0,1.3,0.7,0.0,0.0,0.0,0.0,0.1,50.0,50.0,50.0,56.3,14.3,0.0
Wendell Faines,Forward,80.0,250.0,Idaho,2013,2,50.0,9.1,1.8,1.9,0.2,0.1,0.4,0.7,43.8,,62.5,43.8,6.9,0.2
Anthony Fair,Forward,79.0,201.0,  Schools: Delaware State and Towson,2007,2,6.0,,0.2,0.5,0.2,0.0,0.0,,0.0,,50.0,0.0,,0.0
Brian Fair,Guard,76.0,193.0,UConn,1994,3,125.0,16.7,9.0,2.0,1.0,0.6,0.0,1.1,42.2,41.0,69.0,52.2,,
C.J. Fair,Forward,80.0,215.0,Syracuse,2013,3,143.0,29.7,11.6,5.7,0.8,1.1,0.8,1.4,46.2,34.3,72.3,48.4,19.2,16.6
Jordan Fair,Guard,72.0,183.0,North Florida,2009,1,23.0,,1.2,0.9,0.6,0.4,0.0,,25.8,27.8,60.0,33.9,,
Mike Fair,Center,81.0,206.0,San Jose State,1974,1,25.0,,4.5,4.4,0.4,,,1.4,43.1,,40.0,,,
Ron Fair,Forward,,,,1976,3,82.0,,10.6,6.5,0.9,,,2.2,51.0,,55.8,,,
Terry Fair,Center,79.0,201.0,Georgia,1982,3,123.0,32.3,12.1,7.5,1.4,1.5,0.9,2.5,53.6,,68.2,,,
_ Fair,School: Gettysburg,,,,1948,1,,,,,,,,,,,,,,
Bob Fairbank,Guard,73.0,185.0,Dartmouth,1959,1,20.0,,1.1,1.1,,,,,35.0,,71.4,,,
Joe Fairbanks,Guard,71.0,180.0,Yale,1965,1,6.0,,1.0,0.7,,,,,42.9,,,,,
Charles Fairchild,Forward,75.0,190.0,Florida State,1965,1,18.0,,2.3,2.1,,,,,36.1,,72.7,,,
Chris Fairchild,Guard,72.0,183.0,Vermont,1985,3,74.0,,3.8,1.8,,,,,44.5,,79.7,,,
John Fairchild,Guard,76.0,193.0,Seton Hall,1996,2,17.0,,0.5,0.2,0.2,0.1,0.0,,23.1,12.5,50.0,26.9,,
John Fairchild,Center,80.0,203.0,BYU,1965,2,53.0,,20.9,12.8,,,,,47.2,,77.7,,,
_ Fairchild,School: Vermont,,,,1982,1,,,,,,,,,,,,,,
Tee Faircloth,Guard,72.0,183.0,Auburn,1967,3,,,,,,,,,,,,,,
Zach Faircloth,Guard,74.0,175.0,Presbyterian,2010,1,21.0,24.8,6.3,2.4,1.5,0.7,0.1,1.3,39.5,36.1,41.7,51.6,,
Jonathan Fairell,Forward,79.0,265.0,Murray State,2015,2,69.0,21.6,6.1,6.9,0.8,0.7,0.9,1.5,59.6,,44.0,59.6,17.2,4.9
Allen Fairfax,Forward,79.0,201.0,ETSU,1976,2,14.0,,1.6,0.8,0.2,,,,35.3,,76.9,,,
Henry Fairfax,Forward-Guard,76.0,193.0,Drexel,2003,3,24.0,,1.4,0.9,0.5,0.2,0.0,,33.3,22.2,73.3,36.7,,0.1
Craig Fairfield,Forward,80.0,203.0,Yale,1992,3,60.0,4.5,3.9,2.4,,0.1,0.3,0.1,47.8,,,,,
Ken Fairfield,6-3 (190cm) ,,,,1959,3,73.0,,14.7,4.7,,,,,43.9,,75.7,,,
Ron Fairfield,Forward,78.0,198.0,Memphis,1974,1,9.0,,1.4,0.7,,,,,62.5,,50.0,,,
Win Fairfield,Center,81.0,206.0,Indiana,1963,3,32.0,,1.6,3.3,,,,,32.8,,,,,
Eddie Fairley,School: San Jose State,,,,1991,1,3.0,1.7,0.7,0.3,0.3,0.0,0.0,0.0,33.3,,,,,
Jim Fairley,Forward,79.0,201.0,East Carolina,1972,3,69.0,,14.9,10.5,,,,,47.7,,62.3,,,
Robert Fairley,Center,,,,1997,3,97.0,,6.3,3.5,0.2,0.3,0.8,,51.4,,56.4,51.4,,
Thomas Fairley,Forward,81.0,206.0,Lamar,2006,2,55.0,,10.0,7.7,0.8,0.9,1.9,,50.2,0.0,54.1,50.2,,5.5
Tony Fairley,Guard,74.0,188.0,Charleston Southern,1987,2,50.0,32.6,10.2,2.2,7.6,3.7,0.2,3.2,53.4,,72.9,,,
J. W. Fairman,Forward,77.0,196.0,Hardin-Simmons,1970,2,52.0,,14.7,9.0,,,,,48.8,,65.1,,,
James Fairman,Forward,77.0,196.0,Hardin-Simmons,1968,1,26.0,,10.4,8.8,,,,,53.1,,64.6,,,
John Fairman,Guard,75.0,190.0,Hardin-Simmons,1970,1,23.0,,1.3,0.3,,,,,43.5,,58.8,,,
Patrick Fairs,Guard,77.0,196.0,Texas,1987,2,61.0,36.2,15.9,5.4,1.3,1.0,0.1,2.2,46.6,,69.3,,,
Marshod Fairweather,Guard,72.0,183.0,Florida International,2000,1,30.0,,15.1,3.3,1.5,2.1,0.0,,34.7,29.3,76.2,43.7,,1.6
Marshod Fairweather,Guard,,,,1998,1,27.0,,5.8,1.3,1.2,1.4,0.0,,35.8,37.9,72.4,50.4,,1.0
Newton Fairweather,Forward,75.0,190.0,South Florida,1977,2,34.0,,4.1,3.2,,,,,47.7,,59.7,,,
Abraham Faisal,School: Marquette,,,,1994,1,28.0,,1.4,1.5,0.2,0.2,0.0,,48.1,,20.0,,,
