player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Arnie Gaarde,Guard,70.0,178.0,Iowa State,1956,3,39.0,,3.6,1.3,,,,,40.5,,59.3,,,
John Gaball,Guard,71.0,180.0,Long Beach State,1969,1,16.0,,2.1,0.7,,,,,41.7,,75.0,,,
Chris Gabbard,Guard,75.0,190.0,South Florida,1988,3,24.0,3.8,0.8,0.4,0.8,0.1,0.0,0.0,21.4,,,,,
Mike Gabbard,Guard,72.0,180.0,Western Kentucky,2011,1,12.0,3.7,0.2,0.0,0.4,0.3,0.0,0.3,50.0,0.0,50.0,50.0,5.2,0.0
Stephen Gabbard,Guard,76.0,193.0,Eastern Kentucky,2005,1,7.0,,1.6,1.0,0.6,0.0,0.0,,25.0,9.1,100.0,28.1,,-0.1
Scott Gabbert,Guard,75.0,190.0,Southern Illinois,1992,2,19.0,3.2,1.1,,,0.1,0.0,0.2,28.6,30.8,100.0,38.1,,
John Gabbey,6-5 (196cm) ,,,,1960,1,17.0,,1.3,2.3,,,,,25.0,,40.0,,,
Travis Gabbidon,Forward,79.0,201.0,UTSA,2009,2,46.0,,13.0,6.2,1.6,1.3,0.4,2.4,40.8,30.2,71.6,45.9,,4.1
Jim Gabel,School: Wyoming,,,,1970,1,2.0,,,2.0,,,,,,,,,,
Randy Gabler,Center,81.0,206.0,Cornell,2002,3,56.0,,2.4,1.9,0.8,0.3,0.5,,40.8,22.2,55.8,42.3,,0.9
Bill Gabor,School: Syracuse,,,,1948,1,23.0,,15.0,,,,,,,,65.2,,,
Desire Gabou,Guard,74.0,188.0,Western Kentucky,2008,2,26.0,,0.2,0.2,0.1,0.0,0.0,0.2,25.0,0.0,0.0,25.0,,-0.1
Andrew Gabriel,Forward,78.0,230.0,Manhattan,2010,3,122.0,19.6,4.7,3.8,0.8,0.6,0.6,1.7,40.7,0.0,47.2,40.7,,2.1
Byron Gabriel,Guard,74.0,188.0,Southern,1986,2,57.0,33.7,13.9,2.4,3.5,2.1,0.0,2.6,52.5,,71.2,,,
Chris Gabriel,Center,83.0,275.0,  Schools: New Mexico State and San Diego,2011,2,57.0,15.8,4.6,2.9,0.2,0.3,0.3,1.5,48.4,,65.0,48.4,,0.9
Darryl Gabriel,Guard,74.0,188.0,Loyola Marymount,1983,2,48.0,14.0,4.4,1.1,0.6,0.1,0.4,0.6,47.3,,64.7,,,
George Gabriel,School: Washington State,,,,1966,1,,,,,,,,,,,,,,
John Gabriel,Forward,,,,1988,3,,28.9,,,,0.4,0.5,1.8,,,,,,
Keith Gabriel,Guard,76.0,185.0,Virginia Military Institute,2011,3,124.0,26.1,15.5,3.1,1.4,1.7,0.8,1.9,41.7,33.3,68.2,51.6,,9.2
Kenny Gabriel,Forward,80.0,209.0,Auburn,2012,3,83.0,23.7,9.1,5.2,0.6,0.8,1.3,1.6,42.7,31.4,67.3,49.1,17.7,5.4
Logan Gabriel,Guard,70.0,178.0,Syracuse,2005,1,6.0,,0.0,0.0,0.2,0.2,0.0,,,,,,,0.0
Lucas Gabriel,Guard,75.0,190.0,Northern Arizona,2007,2,12.0,,0.5,0.1,0.2,0.1,0.0,,20.0,22.2,,30.0,,-0.1
Matt Gabriel,Guard,73.0,185.0,Loyola (MD),1995,3,79.0,,4.3,1.3,1.6,0.9,0.0,,33.9,29.0,65.9,42.5,,
Mike Gabriel,Forward,80.0,230.0,Quinnipiac,2011,1,7.0,8.3,2.7,1.7,0.1,0.1,0.0,0.3,43.8,,50.0,43.8,10.8,0.1
Terrance Gabriel,Guard,72.0,183.0,McNeese State,1993,2,20.0,8.6,1.6,0.5,0.9,0.3,0.0,1.2,40.0,16.7,71.4,44.0,,
Wenyen Gabriel,Forward,81.0,213.0,Kentucky,2017,1,38.0,17.7,4.6,4.8,0.7,0.3,0.9,0.8,40.5,31.7,61.8,47.3,13.1,2.2
