player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Roland H'Orvath,Forward,76.0,193.0,Santa Clara,1988,2,62.0,,6.8,3.3,2.2,1.2,0.5,,50.3,18.2,64.9,50.6,,
Hal Haabestad,6-1 (185cm) ,,,,1955,1,25.0,,20.0,,,,,,32.4,,69.9,,,
Kevin Haadtvedt,School: Idaho,,,,1982,1,10.0,3.3,0.5,1.0,0.2,0.2,0.1,0.1,20.0,,100.0,,,
Dick Haag,Forward,76.0,193.0,Wyoming,1952,2,66.0,,12.2,9.7,2.1,,,,45.5,,58.3,,,
Ed Haag,6-3 (190cm) ,,,,1954,3,69.0,,6.6,,,,,,,,73.1,,,
_ Haag,School: St. Francis (NY),,,,1965,1,7.0,,3.9,0.3,,,,,61.5,,50.0,,,
Brian Haak,Guard,72.0,183.0,Northern Iowa,2009,3,65.0,2.2,1.0,0.6,0.6,0.2,0.0,0.3,35.2,28.9,73.7,45.4,,0.6
Bill Haaker,6-2 (188cm) ,,,,1953,3,39.0,,1.2,1.1,,,,,19.8,,,,,
Dale Haaland,Center,80.0,203.0,Gonzaga,1987,2,56.0,27.2,10.0,6.7,1.0,0.4,1.0,1.7,57.2,,59.6,,,
Samuel Haanpaa,Guard,80.0,203.0,Valparaiso,2008,2,54.0,,11.1,3.4,1.0,0.3,0.1,1.8,43.7,44.5,76.0,60.1,,5.3
Jeff Haar,Forward,76.0,193.0,Toledo,1987,3,97.0,19.0,9.0,4.0,1.2,0.7,0.1,,47.4,,67.2,,,
Bill Haarlow,6-3 (190cm) ,,,,1961,1,8.0,,0.8,0.1,,,,,33.3,,100.0,,,
Bob Haarlow,Forward,74.0,188.0,Princeton,1966,4,103.0,,9.1,4.6,,,,,46.1,,63.3,,,
Bob Haarlow,Guard,77.0,196.0,Wisconsin,1949,2,30.0,,3.8,,,,,,24.4,,67.3,,,
John Haarlow,Forward,79.0,201.0,Princeton,1968,3,76.0,,12.6,7.3,,,,,48.9,,74.2,,,
William Haarlow,6-3 (190cm) ,,,,1962,1,23.0,,9.5,8.0,,,,,43.9,,76.5,,,
Joe Haarman,Forward,79.0,201.0,Indiana,2003,1,1.0,,0.0,2.0,0.0,0.0,0.0,,,,,,,0.0
James Haarsma,Forward,79.0,230.0,  Schools: Evansville and Milwaukee,2012,3,118.0,25.6,8.6,5.3,0.7,0.8,0.3,1.5,48.7,35.3,70.6,51.5,,8.9
Anders Haas,Guard,73.0,175.0,Albany (NY),2014,1,21.0,6.4,3.0,0.6,0.2,0.0,0.0,0.4,34.0,34.1,84.6,48.1,12.9,0.3
August Haas,Guard,73.0,187.0,Milwaukee,2017,1,35.0,27.7,5.0,2.8,3.8,0.6,0.0,2.4,37.9,29.9,52.2,43.7,6.5,0.2
Bob Haas,School: St. Joseph's,,,,1971,1,18.0,,1.1,0.5,0.4,,,,34.8,,57.1,,,
David Haas,Guard,70.0,178.0,Texas-Rio Grande Valley,1973,2,50.0,,3.2,1.1,3.3,,,,36.8,,75.0,,,
Isaac Haas,Center,86.0,297.0,Purdue,2017,3,104.0,16.1,10.0,4.2,0.4,0.2,0.8,1.6,57.6,,66.0,57.6,24.7,7.6
Jason Haas,Guard,74.0,188.0,Stanford,2005,3,122.0,,1.7,0.8,1.2,0.3,0.0,,30.1,25.0,87.9,34.2,,1.4
Mitch Haas,Forward,79.0,201.0,Ohio State,1982,3,63.0,4.8,1.6,0.5,,0.0,0.0,0.5,51.3,,,,,
Richard Haas,School: Texas-Arlington,,,,1974,1,12.0,,2.4,1.0,,,,,50.0,,55.6,,,
Tom Haas,6-0 (183cm) ,,,,1964,1,4.0,,0.5,0.8,,,,,50.0,,,,,
Bronson Haase,School: Marquette,,,,1965,1,,,,,,,,,,,,,,
Dale Haase,Forward,,,,1973,2,43.0,,3.2,2.4,,,,,35.2,,63.9,,,
