player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Jason Iacona,Center,85.0,216.0,Coppin State,2000,3,26.0,,0.5,0.2,0.0,0.0,0.0,,25.0,,55.6,25.0,,-0.1
_ Iacovino,School: St. Bonaventure,,,,1948,1,,,,,,,,,,,,,,
Tom Iane,Guard,72.0,183.0,Maine,1968,1,19.0,,3.1,1.6,,,,,33.3,,63.0,,,
Mike Iannarella,School: UNC,,,,1964,1,3.0,,,,,,,,,,,,,
Anthony Ianni,Center,81.0,260.0,Michigan State,2012,2,27.0,1.6,0.2,0.4,0.1,0.0,0.0,0.1,40.0,,50.0,40.0,8.2,0.1
Andres Iarrazabel,Forward,79.0,201.0,UT-Martin,2009,2,46.0,,1.6,2.0,0.4,0.2,0.4,0.3,41.3,,50.0,41.3,,0.8
Jacob Iati,Guard,70.0,165.0,  Schools: High Point and Albany (NY),2012,3,112.0,20.0,5.8,1.2,1.0,0.5,0.0,0.7,40.1,40.1,80.6,55.4,,6.2
Jon Iati,Guard,69.0,175.0,Albany (NY),2006,3,129.0,,8.9,1.6,1.7,0.6,0.0,1.4,36.8,35.2,79.6,48.2,,5.2
Tony Iati,Guard,69.0,175.0,Iona,1981,3,113.0,16.9,3.2,1.0,2.6,0.5,0.0,1.7,42.0,,65.6,,,
Marc Iavaroni,Forward,80.0,210.0,Virginia,1978,4,110.0,0.5,11.3,6.5,1.0,0.6,0.4,2.7,49.0,,68.2,,,
Fred Iavorni,Forward,,,,1973,1,26.0,,13.7,10.6,2.8,,,,48.6,,49.5,,,
Gene Iba,School: Tulsa,,,,1961,2,10.0,,0.4,0.4,,,,,,,100.0,,,
Moe Iba,Guard,73.0,185.0,Oklahoma State,1962,3,63.0,,10.3,2.1,,,,,42.8,,84.0,,,
Skip Iba,Guard,75.0,190.0,Oklahoma State,1966,3,69.0,,2.9,2.1,,,,,38.2,,55.8,,,
Ervin Ibach,Forward,71.0,180.0,Miami (FL),1949,1,17.0,,2.3,,,,,,23.3,,52.4,,,
Igor Ibaka,Forward,81.0,240.0,Oklahoma State,2016,1,7.0,3.3,0.9,1.1,0.0,0.1,0.0,0.3,50.0,,50.0,50.0,14.2,0.1
Fernando Ibanez,Forward,79.0,201.0,Marshall,1993,2,37.0,12.4,1.8,1.4,0.5,0.4,0.1,0.8,36.6,17.9,71.4,40.1,,
James Ibanez,Forward,75.0,190.0,Bucknell,1968,1,9.0,,1.0,0.8,,,,,57.1,,33.3,,,
Wayne Ibarolle,Forward,78.0,198.0,Nevada,1975,1,24.0,,3.7,3.1,0.2,,,0.5,58.1,,48.6,,,
Josh Ibarra,Center,82.0,235.0,Houston Baptist,2017,3,80.0,21.0,9.6,6.8,0.8,0.3,1.4,1.5,61.6,,57.4,61.6,23.5,6.6
Prince Ibeh,Center,82.0,260.0,Texas,2015,3,135.0,13.1,3.0,3.4,0.1,0.3,1.6,0.8,55.7,0.0,43.2,55.7,14.8,4.7
Ekene Ibekwe,Forward,81.0,206.0,Maryland,2006,3,127.0,,8.7,6.1,0.7,0.9,1.8,,47.7,23.7,59.5,48.2,,12.0
Onye Ibekwe,Forward,80.0,203.0,  Schools: Oklahoma State and Long Beach State,2006,3,51.0,,4.4,4.6,0.4,0.6,0.3,,43.5,,48.5,43.5,,1.0
Kris Ibezim,Forward,79.0,201.0,Quinnipiac,2002,1,5.0,,3.2,2.8,0.0,0.4,1.0,,45.5,,50.0,45.5,,0.2
Sam Ibiezugbe,Forward,83.0,250.0,Monmouth,2017,1,29.0,7.5,1.2,2.2,0.0,0.1,0.6,0.3,38.5,,50.0,38.5,8.4,0.4
Femi Ibikunle,Forward,81.0,206.0,Texas Christian,2006,3,125.0,,4.0,4.3,0.4,0.4,0.3,,42.8,,43.4,42.8,,2.8
Adedeji Ibitayo,Guard,76.0,200.0,Akron,2014,3,102.0,14.8,5.9,2.3,0.7,0.5,0.3,0.9,42.4,34.7,66.0,50.8,16.8,5.2
Idong Ibok,Center,83.0,211.0,Michigan State,2008,3,108.0,,0.9,1.4,0.1,0.1,0.5,0.4,58.3,,52.0,58.3,,2.9
Ahmad Ibrahim,Forward,78.0,220.0,Rice,2012,1,33.0,18.6,6.2,1.9,1.0,0.5,0.5,1.1,37.0,30.7,71.9,43.5,10.2,0.8
