player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Ibrahim Jaaber,Guard,74.0,188.0,Penn,2004,1,114.0,4.9,13.3,3.8,2.8,0.5,,,49.7,32.3,70.0,55.5,,18.2
Jacob Jaacks,Center,80.0,203.0,Iowa,2000,2,60.0,,9.5,5.8,0.9,0.4,0.3,,48.6,37.4,61.7,53.0,,4.6
S Jabali,School: Fresno State,,,,1996,1,5.0,,1.6,0.2,0.2,0.0,0.0,,33.3,50.0,62.5,50.0,,0.0
Ishaq Jabbar,Guard,72.0,183.0,Maryland-Eastern Shore,1995,1,2.0,,0.0,4.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Mahamoud Jabbi,Forward,79.0,180.0,Binghamton,2011,2,62.0,31.1,8.1,7.3,0.9,0.8,1.5,1.0,48.0,37.1,73.8,51.9,18.3,5.4
Ishmail Jabbie,Guard,75.0,170.0,UMBC,2017,2,26.0,5.9,2.0,0.8,0.3,0.2,0.0,0.3,43.2,37.5,68.0,47.3,13.0,0.2
John Jablonski,Center,80.0,203.0,Penn,1974,3,74.0,,4.1,3.4,,,,,49.4,,58.1,,,
Mark Jablonski,Forward,,,,1977,2,12.0,,0.7,1.0,,,,,37.5,,,,,
Mike Jaccar,Guard,73.0,185.0,SMU,1976,2,43.0,,10.6,3.0,5.6,,,,43.3,,73.2,,,
Jim Jachym,School: UConn,,,,1970,1,12.0,,1.0,0.5,0.2,,,,30.8,,100.0,,,
Vlad Jacimovic,School: San Francisco,,,,1982,1,4.0,1.8,0.2,1.0,0.2,0.0,0.0,0.5,,,20.0,,,
Aaron Jack,Forward,80.0,203.0,  Schools: Penn State and Texas A&M,1999,3,90.0,,6.7,5.4,0.8,0.5,0.2,,54.8,42.9,63.5,55.2,,5.3
Bobby Jack,Forward,77.0,196.0,Oklahoma,1972,3,81.0,,15.0,5.8,,,,,48.7,,74.7,,,
Dick Jack,Forward,76.0,193.0,Lafayette,1968,1,23.0,,5.0,5.0,,,,,41.3,,67.4,,,
Donovon Jack,Forward,81.0,210.0,Penn State,2015,3,117.0,14.3,4.5,2.8,0.4,0.3,0.9,0.6,46.5,28.8,63.4,50.6,15.1,4.7
Fabian Jack,Guard,71.0,180.0,LIU-Brooklyn,1992,2,50.0,,8.3,2.5,3.5,1.5,0.0,,36.8,28.8,64.6,41.2,,
Greg Jack,Forward,78.0,198.0,Washington,1976,3,42.0,,1.7,1.5,,,,,43.9,,,,,
Jarrett Jack,Guard,75.0,202.0,Georgia Tech,2005,3,101.0,32.3,12.5,4.5,5.4,1.8,0.1,,47.8,35.9,79.6,53.2,,14.2
Jimmy Jack,Guard,72.0,183.0,Wagner,1989,2,50.0,,5.8,1.9,4.5,1.1,0.0,,36.6,30.8,65.5,39.2,,
Joseph Jack,Forward,81.0,206.0,Southern,2007,3,97.0,,4.4,3.7,0.3,0.6,1.1,0.8,40.9,23.5,66.5,42.7,,4.6
Kadeem Jack,Forward,81.0,235.0,Rutgers,2014,3,111.0,23.3,9.4,5.3,0.6,0.6,0.9,1.6,45.5,33.3,63.3,46.5,16.7,4.9
Mateo Jack,Guard,74.0,188.0,Florida International,2002,1,3.0,,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
Dick Jackette,Forward,74.0,188.0,Manhattan,1968,1,21.0,,3.1,1.9,,,,,52.8,,76.9,,,
Justin Jackette,Guard,75.0,190.0,  Schools: William & Mary and Manhattan,2002,3,87.0,,9.0,3.0,1.3,1.3,0.2,,41.0,31.2,76.4,47.2,,5.1
Richard Jackette,Guard,74.0,188.0,Manhattan,1969,1,20.0,,3.3,1.9,2.4,,,,35.7,,33.3,,,
Bill Jackey,School: Virginia,,,,1961,2,29.0,,2.4,,,,,,,,52.0,,,
Don Jacklich,School: Northern Illinois,,,,1985,1,3.0,,,0.3,0.7,0.3,,,,,,,,
Bill Jackman,Forward,80.0,203.0,Nebraska,1987,3,82.0,18.9,6.1,3.9,1.2,0.5,0.2,0.8,44.7,,,,,
Bill Jackman,Forward,81.0,206.0,Duke,1983,1,27.0,10.6,3.0,1.6,0.3,0.3,0.0,0.7,39.6,,100.0,,,
Jason Jackman,Center,81.0,206.0,  Schools: Utah and Idaho,1997,3,85.0,,11.6,4.9,0.8,0.9,0.4,,54.4,0.0,80.4,54.4,,
