player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Ali Kaba,Forward,80.0,203.0,  Schools: UNLV and Jacksonville,2002,3,56.0,,3.2,5.4,0.2,0.4,0.3,,49.3,,46.2,49.3,,2.4
Chris Kaba,Forward,80.0,185.0,Northern Colorado,2011,3,93.0,23.2,7.4,3.8,1.0,0.6,0.4,1.5,42.4,42.7,75.7,51.9,,6.6
Daye Kaba,Guard,76.0,193.0,  Schools: Boston College and Marist,2010,3,44.0,27.1,5.9,3.3,1.1,0.8,0.3,1.9,39.2,34.0,65.6,45.8,,0.8
Jacky Kaba,Center,,,,1997,3,98.0,,5.1,5.2,0.3,0.5,0.5,,43.5,,52.3,43.5,,
Lounceny Kaba,Forward,80.0,203.0,St. Bonaventure,2007,1,17.0,,0.8,1.8,0.2,0.1,0.9,,60.0,,16.7,60.0,,0.1
Mahamadou Kaba-Camara,Center,84.0,273.0,Cal State Northridge,2017,1,25.0,7.9,1.0,1.5,0.0,0.1,0.4,0.2,57.9,,22.2,57.9,6.4,0.2
Link Kabadyundi,Center,85.0,240.0,  Schools: Texas Christian and Texas-Arlington,2017,2,46.0,5.3,1.2,1.3,0.1,0.1,0.3,0.5,54.1,,41.5,54.1,11.0,0.4
Mike Kabat,Center,81.0,206.0,Western Michigan,1981,3,,,,,,,,,,,,,,
Mike Kabat,Forward,,,,1978,2,13.0,0.0,0.6,,,0.0,0.1,,44.4,,,,,
Abby Kabba,Forward,78.0,198.0,New Hampshire,2009,1,9.0,,2.4,2.0,0.1,0.0,0.1,0.6,41.2,0.0,42.1,41.2,,0.1
Sheiku Kabba,Guard,75.0,190.0,Providence,2003,3,122.0,22.1,7.6,2.3,1.9,1.2,0.0,,41.0,35.0,76.2,51.0,,7.6
John Kabbes,Forward,,,,1974,3,77.0,,7.6,4.9,,,,,41.8,,66.1,,,
Khy Kabellis,Guard,75.0,170.0,North Dakota State,2017,2,62.0,31.8,9.9,2.9,2.5,0.9,0.1,1.9,40.4,35.3,68.9,49.0,11.9,4.0
Eugene Kaberline,Forward,77.0,196.0,Texas Tech,1973,2,44.0,,2.3,2.8,,,,,43.4,,48.4,,,
Christian Kabongo,Guard,76.0,200.0,New Mexico State,2012,2,44.0,26.5,10.3,3.0,2.7,0.9,0.1,2.9,37.8,21.6,72.7,41.0,12.4,2.0
