player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Mike La Tulip,Guard,73.0,170.0,  Schools: Illinois and Wright State,2015,3,76.0,26.1,3.7,1.4,0.7,1.0,0.1,0.8,39.0,38.1,85.3,53.8,12.7,3.1
Terry Laaker,Guard,,,,1979,4,77.0,,2.7,1.5,2.2,,,,47.9,,73.9,,,
Dan Laakso,Forward,,,,1962,1,11.0,,3.7,3.1,,,,,32.1,,71.4,,,
Choul Laam,School: Nebraska,,,,2007,1,5.0,,0.4,0.2,0.0,0.0,0.0,,,,100.0,,,0.0
Ed Laase,School: Rutgers,,,,1968,1,3.0,,0.3,,,,,,,,50.0,,,
Dan Laaskoo,Forward,76.0,193.0,UMass,1963,1,19.0,,3.6,3.0,,,,,34.1,,65.0,,,
Justin Labagh,Forward,,,,1998,3,17.0,,0.2,0.2,0.1,0.1,0.1,,,,,,,0.0
Ken Labanowski,Forward,80.0,203.0,Marshall,1980,3,107.0,29.1,10.9,7.0,,1.1,0.3,1.6,55.5,,69.0,,,
_ Labanowski,School: St. Francis (NY),,,,1948,1,,,,,,,,,,,,,,
Darryl Labarrie,Guard,75.0,190.0,  Schools: Florida A&M and Georgia Tech,2000,3,99.0,,6.2,1.9,1.3,0.5,0.0,,43.1,30.2,67.6,47.6,,2.5
Mike Labat,Forward,,,,1990,3,63.0,20.5,6.1,2.6,1.8,0.6,0.3,2.0,44.9,,70.6,45.1,,
Mike Labat,Forward,77.0,196.0,Idaho,1986,1,22.0,15.8,3.5,1.7,1.6,0.3,0.5,1.8,42.6,,59.4,,,
Jack Labate,School: Siena,,,,1951,1,19.0,,5.0,4.4,0.4,,,,28.8,,62.8,,,
Rob Labetich,Guard,,,,1964,1,22.0,,5.4,1.7,,,,,40.6,,67.9,,,
Ron LaBetich,School: San Jose State,,,,1965,2,,,,,,,,,,,,,,
