player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Abdoulaye N'Diaye,Center,83.0,211.0,USC,2007,2,62.0,,4.2,3.7,0.3,0.2,1.0,,56.5,,58.5,56.5,,4.1
Adama N'Diaye,Forward,81.0,206.0,UCSB,2002,3,82.0,,8.0,6.5,0.7,0.3,1.4,,47.7,0.0,70.9,47.7,,9.2
Alpha N'Diaye,Center,80.0,210.0,Sacramento State,2011,1,19.0,20.7,6.0,6.6,0.4,0.5,1.1,0.6,44.7,66.7,52.8,45.7,17.9,1.1
Aziz N'Diaye,Center,84.0,260.0,Washington,2013,3,102.0,23.1,7.1,7.3,0.3,0.4,1.1,1.5,55.0,0.0,41.3,55.0,16.6,6.6
Badara N'Diaye,Center,83.0,211.0,Florida International,2008,1,27.0,,2.9,3.1,0.5,0.4,0.8,1.1,32.3,,46.9,32.3,,-0.4
Calix N'Diaye,Guard,75.0,190.0,Green Bay,2004,3,49.0,,3.5,1.3,0.8,0.2,0.1,,34.2,25.0,79.4,40.8,,0.4
Cheikh N'diaye,Center,84.0,230.0,Oregon State,2016,3,80.0,6.5,1.4,1.1,0.1,0.1,0.4,0.5,64.9,,52.6,64.9,10.1,0.8
Hamady N'Diaye,Center,84.0,213.0,Rutgers,2009,3,124.0,28.3,5.8,5.5,0.4,0.4,2.9,1.5,53.9,0.0,59.2,53.9,,9.5
Ishmael N'Diaye,Forward,78.0,198.0,  Schools: Miami (FL) and Florida International,2006,3,80.0,,8.0,3.2,1.4,0.9,0.2,,42.1,29.1,66.4,45.5,,2.8
Makhtar N'Diaye,Center,80.0,245.0,  Schools: Michigan and UNC,1997,3,121.0,7.8,3.8,3.4,0.5,0.4,1.0,,46.1,26.3,58.1,46.7,,
Mamadou N'Diaye,Center,84.0,255.0,Auburn,1999,3,128.0,20.8,6.8,6.2,0.6,0.7,1.9,,50.6,0.0,64.1,50.6,,21.2
Mohammad N'Diaye,Center,80.0,203.0,Maryland-Eastern Shore,2002,2,34.0,,1.7,3.2,0.2,0.3,0.1,,48.2,,35.7,48.2,,0.5
Ndongo N'Diaye,Center,85.0,216.0,  Schools: Providence and Delaware,1999,3,89.0,,2.3,2.9,0.2,0.2,2.1,,43.1,0.0,50.6,43.1,,3.2
Suleiman N'Diaye,School: Georgia,,,,2007,1,8.0,,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0
Sidy N'Dir,Guard,74.0,185.0,New Mexico State,2017,1,9.0,29.9,13.7,2.7,2.1,0.4,0.7,2.2,49.4,36.1,75.6,57.8,17.2,1.1
Abdoulaye N'doye,Center,84.0,215.0,New Mexico State,2011,2,21.0,4.4,0.4,0.8,0.0,0.1,0.4,0.2,50.0,,37.5,50.0,5.4,0.1
J.J. N'Ganga,Center,82.0,250.0,  Schools: New Mexico and Mercer,2017,2,59.0,8.2,2.3,1.7,0.2,0.1,0.1,0.6,53.9,,54.3,53.9,6.9,0.5
Lucas N'Guessan,Forward,84.0,215.0,Oklahoma State,2017,1,28.0,8.6,2.4,1.7,0.2,0.2,0.5,0.8,67.4,,40.0,67.4,11.1,0.4
Joseph N'Sima,Center,80.0,203.0,Louisville,2002,2,63.0,,2.6,4.9,0.9,0.5,1.4,,40.0,0.0,52.6,40.0,,2.9
Mor Naaman,Forward,80.0,203.0,St. Joseph's,1990,1,9.0,3.0,1.3,1.0,0.1,0.0,0.1,0.2,66.7,,80.0,66.7,,
Emmett Naar,Guard,73.0,195.0,Saint Mary's (CA),2017,3,99.0,32.9,10.1,2.7,5.4,0.8,0.1,2.3,45.7,42.8,84.8,54.4,17.0,13.0
Mike Nabena,Forward,80.0,203.0,Green Bay,1998,3,101.0,,3.2,2.0,0.5,0.3,0.3,,43.5,0.0,64.6,43.5,,3.5
Bob Naber,Forward,73.0,185.0,Louisville,1952,3,82.0,,6.7,,,,,,33.8,,61.7,,,
Tom Nabity,Guard,70.0,178.0,SMU,1999,3,32.0,,0.8,0.2,0.2,0.2,0.0,,30.4,31.3,87.5,41.3,,0.2
Booker Nabors,Guard,76.0,193.0,Boise State,2003,3,119.0,,8.6,2.3,2.1,0.6,0.1,,41.5,33.4,75.1,47.6,,5.3
Gene Nabors,Guard,74.0,188.0,  Schools: LSU and Robert Morris,1999,3,116.0,,11.4,4.2,3.3,2.8,0.1,,40.8,31.8,80.1,48.1,,10.4
Justin Nabors,Forward,78.0,198.0,Lamar,2010,2,60.0,30.8,13.0,8.1,1.4,1.0,0.5,2.7,51.9,34.0,69.3,53.5,,6.3
Montreal Nabors,Guard,74.0,160.0,Jackson State,2017,1,11.0,2.5,0.2,0.6,0.0,0.0,0.1,0.3,20.0,0.0,,20.0,-2.5,-0.1
Joel Naburgs,Guard,76.0,200.0,Stetson,2012,3,118.0,26.6,8.2,3.8,2.4,0.7,0.1,1.9,37.9,34.6,76.5,49.4,12.9,5.5
Fred Nacdele,Forward,75.0,190.0,UMass,1960,1,15.0,,8.5,6.8,,,,,31.5,,59.4,,,
Hank Nacey,Forward,77.0,196.0,Virginia,2005,2,7.0,,0.3,0.6,0.0,0.1,0.0,,33.3,,0.0,33.3,,0.0
Boris Nachamkin,School: NYU,,,,1952,1,,,,,,,,,,,,,,
Del Nachazel,Guard,73.0,185.0,Marquette,1954,3,34.0,,1.9,1.2,,,,,32.3,,64.3,,,
Grega Nachbar,Guard,75.0,190.0,Houston,2004,1,4.0,,0.0,0.2,0.0,0.0,0.0,,,,,,,0.0
Michael Nachreiner,Center,83.0,211.0,Denver,1999,1,24.0,,0.7,0.7,0.0,0.0,0.0,,57.1,0.0,50.0,57.1,,0.1
John Nacincik,6-3 (190cm) ,,,,1958,3,77.0,,9.5,5.4,,,,,42.4,,71.1,,,
