player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Bernie O' Keefe,Forward,76.0,193.0,Duquesne,1973,1,9.0,,2.3,1.7,0.7,,,,41.2,,46.7,,,
Jim O'Banion,School: Texas State,,,,1952,1,30.0,,6.5,,,,,,38.8,,50.0,,,
Kenny O'Banner,Guard,74.0,188.0,Jackson State,1980,3,77.0,,14.0,3.6,,,,,45.8,,64.2,,,
Samuel O'Banner,Guard,75.0,190.0,Bethune-Cookman,2002,1,2.0,,2.0,0.5,0.0,0.0,0.0,,100.0,,100.0,100.0,,0.1
_ O'Banner,School: Texas Southern,,,,1979,1,,,,,,,,,,,,,,
Charles O'Bannon,Forward,77.0,209.0,UCLA,1996,3,124.0,31.5,14.4,6.4,2.5,1.1,1.0,2.3,53.8,34.3,75.1,56.7,,
Ed O'Bannon,Forward,80.0,222.0,UCLA,1992,1,117.0,5.8,15.5,7.0,1.8,0.8,2.2,2.1,51.3,39.4,73.9,54.8,,
Ed O'Bannon,Forward,80.0,203.0,UCLA,1992,1,23.0,,3.6,3.0,0.5,0.3,0.3,,41.6,25.0,63.0,42.9,,
Jimmy O'Bannon,6-1 (185cm) ,,,,1956,2,39.0,,4.8,2.1,,,,,38.8,,68.5,,,
Larry O'Bannon,Forward,76.0,193.0,Louisville,2004,3,130.0,,8.8,2.4,1.5,0.7,0.2,,42.2,35.7,82.5,52.0,,10.7
Bob O'Billovich,Guard,69.0,175.0,Montana,1961,2,42.0,,9.5,1.7,,,,,37.1,,73.7,,,
_ O'Billovich,School: Montana,,,,1962,1,,,,,,,,,,,,,,
Jim O'Book,School: Virginia Military Institute,,,,1981,2,,,,,,,,,,,,,,
Matt O'Boyle,Guard,77.0,193.0,Appalachian State,2017,2,53.0,9.8,2.5,1.7,0.5,0.2,0.1,0.4,36.3,30.0,46.9,47.2,9.0,0.7
_ O'Boyle,School: St. Francis (NY),,,,1963,1,8.0,,0.6,0.4,,,,,33.3,,60.0,,,
John O'Brian,6-1 (185cm) ,,,,1957,1,23.0,,4.5,3.3,,,,,56.1,,52.2,,,
Al O'Brien,6-4 (193cm) ,,,,1960,2,,,,,,,,,,,,,,
Bill O'Brien,School: Drake,,,,1961,2,25.0,,2.2,1.2,,,,,28.6,,51.7,,,
Bill O'Brien,Guard,,,,1975,2,,,,,,,,,,,,,,
Bill O'Brien,School: Texas A&M,,,,1971,1,21.0,,1.8,0.6,,,,,41.2,,64.3,,,
Bill O'Brien,Center,80.0,203.0,Loyola (LA),1969,4,,,,,,,,,,,,,,
Bob O'Brien,School: Niagara,,,,1960,1,4.0,,1.5,0.2,,,,,75.0,,,,,
Bob O'Brien,6-3 (190cm) ,,,,1957,3,74.0,,13.1,5.7,,,,,40.6,,71.6,,,
Brendan O'Brien,Forward,,,,1997,3,102.0,,5.7,2.8,0.6,0.4,0.8,,41.0,31.5,76.7,47.8,,
Chris O'Brien,Guard,76.0,210.0,  Schools: San Francisco and Cal Poly,2013,3,87.0,23.9,5.0,2.9,1.6,0.7,0.4,1.1,37.8,34.2,72.5,44.8,,3.8
Chris O'Brien,Guard,71.0,180.0,Drexel,1985,3,105.0,,7.4,1.4,,1.4,0.1,,48.1,,76.0,,,
