player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Derek Paben,School: Northern Iowa,,,,2000,1,16.0,,4.5,0.9,0.2,0.2,0.1,,41.8,41.0,83.3,56.4,,0.6
Carl Pacacha,6-0 (183cm) ,,,,1952,1,27.0,,8.3,2.4,1.0,,,,39.6,,64.7,,,
Bob Pace,Guard,72.0,183.0,Appalachian State,1977,2,47.0,,6.3,2.1,,,,,47.3,,64.9,,,
Carryl Pace,School: Missouri State,,,,1983,1,8.0,4.4,1.8,1.6,,0.4,0.3,0.8,45.5,,66.7,,,
Curtis Pace,Forward,77.0,196.0,New Orleans,1977,2,54.0,,5.6,4.8,,,,,44.7,,54.1,,,
Darrell Pace,Guard,75.0,190.0,Charleston Southern,1988,1,18.0,6.0,1.0,0.7,0.4,0.2,0.0,0.6,28.6,0.0,60.0,28.6,,
Darryl Pace,Center,81.0,206.0,Murray State,1986,1,10.0,8.0,2.5,1.6,,0.2,0.2,0.6,48.0,,50.0,,,
Denny Pace,Forward,76.0,193.0,Illinois,1969,3,65.0,,5.4,3.0,,,,,40.1,,66.4,,,
Dick Pace,Forward,,,,1948,1,4.0,,2.0,,,,,,,,,,,
Gene Pace,Center,79.0,201.0,Creighton,1969,2,14.0,,,,,,,,,,,,,
Jeremy Pace,Guard,,,,2001,1,5.0,,0.0,0.4,0.0,0.0,0.0,,,,0.0,,,0.0
Joe Pace,Center,,,,1974,2,60.0,,14.0,,,,,,50.8,,64.4,,,
Josh Pace,Guard,77.0,196.0,Syracuse,2004,3,129.0,,7.3,3.8,2.4,1.2,0.3,,52.9,10.0,50.6,53.1,,9.9
Keegan Pace,Guard,72.0,175.0,North Carolina-Wilmington,2011,1,5.0,2.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,,0.0,-16.2,-0.1
Lester Pace,Forward,79.0,201.0,Oklahoma,1981,3,98.0,16.6,5.0,4.3,0.2,0.6,0.9,1.3,46.4,,55.0,,,
Mark Pace,School: Ole Miss,,,,1984,1,4.0,2.8,1.0,1.0,0.2,0.0,0.0,0.5,28.6,,,,,
Matt Pace,Guard,70.0,178.0,Lamar,2009,1,8.0,,0.4,0.2,0.0,0.1,0.0,0.3,33.3,33.3,,50.0,,0.0
Nick Pace,Center,82.0,208.0,Northern Iowa,1991,3,69.0,8.5,3.2,2.0,,0.2,0.3,0.9,44.6,,66.3,44.6,,
Preston Pace,Forward,77.0,196.0,Detroit,1973,3,31.0,,5.4,4.3,,,,,53.2,,46.6,,,
Rashad Pace,Guard,73.0,185.0,IUPUI,2002,1,7.0,,1.3,0.4,0.0,0.1,0.0,,66.7,100.0,0.0,75.0,,0.1
Scott Pace,Guard,71.0,180.0,Army,2003,1,15.0,,0.5,0.8,0.4,0.1,0.0,,42.9,50.0,25.0,50.0,,0.0
Terrance Pace,Forward,79.0,201.0,Alcorn State,1992,3,60.0,12.4,2.2,2.0,0.2,0.3,0.3,1.0,40.4,,62.5,,,
Tim Pace,Guard,77.0,196.0,Southern Illinois,1994,2,19.0,5.8,2.3,0.7,0.4,0.1,0.1,0.3,41.2,35.0,72.7,51.5,,
Tommy Pace,Forward,78.0,198.0,UMass,1992,3,41.0,10.4,,2.6,,0.2,0.1,0.4,,,,,,
Gil Pacey,Forward,,,,1973,2,10.0,,2.0,1.2,0.2,,,,64.3,,50.0,,,
Georgie Pacheco-Ortiz,Guard,73.0,170.0,Liberty,2017,1,35.0,31.0,8.6,3.1,2.6,0.8,0.0,1.1,41.7,40.0,81.4,50.4,13.6,3.3
A.J. Pacher,Forward,82.0,245.0,Wright State,2013,3,133.0,16.0,6.6,3.2,0.6,0.2,0.2,1.3,48.8,30.8,70.1,53.1,15.1,6.4
Charley Pack,5-9 (175cm) ,,,,1958,2,45.0,,5.5,2.0,,,,,32.8,,72.3,,,
Devin Pack,Guard,73.0,185.0,Alcorn State,2000,3,91.0,6.6,2.4,0.7,0.7,0.3,0.0,0.6,34.4,32.3,65.3,44.2,,0.9
Jack Pack,Guard,74.0,188.0,Austin Peay,1972,2,30.0,,2.7,,1.1,,,0.2,30.1,,76.0,,,
Jon Pack,Center,83.0,250.0,Coastal Carolina,2011,3,114.0,13.8,3.6,3.4,0.4,0.3,0.6,0.9,54.4,0.0,51.7,54.4,,4.6
Richaud Pack,Guard,76.0,190.0,"  Schools: Florida International, North Carolina A&T and Maryland",2014,3,83.0,25.7,8.8,3.3,1.1,0.5,0.2,0.9,41.3,34.4,77.8,49.7,15.6,6.4
Robert Pack,Guard,74.0,180.0,USC,1991,2,57.0,32.0,13.4,2.8,5.6,1.6,0.0,,47.6,29.5,74.2,50.6,,
Tom Pack,Forward,76.0,193.0,Colorado State,1966,2,24.0,,2.7,2.5,,,,,53.2,,48.4,,,
Wayne Pack,Guard,72.0,183.0,Tennessee Tech,1973,3,73.0,,16.8,3.4,,,,,46.1,,71.6,,,
_ Pack,Guard,69.0,175.0,Tulane,1949,1,28.0,,3.4,,,,,,27.8,,70.0,,,
Tom Packee,Forward,77.0,196.0,Marquette,1963,1,2.0,,1.0,0.5,,,,,,,50.0,,,
Billy Packer,Guard,69.0,175.0,Wake Forest,1962,3,89.0,,14.8,2.4,,,,,46.6,,81.9,,,
Dick Packer,Guard,73.0,185.0,Lehigh,1977,4,71.0,,5.4,1.5,,,,,39.6,,64.5,,,
George Packer,Center,82.0,208.0,New Mexico State,1971,1,7.0,,0.6,0.6,,,,,16.7,,66.7,,,
Herb Packer,School: Penn State,,,,1971,1,2.0,,,0.5,,,,,,,,,,
Jalen Packer,Guard,74.0,175.0,Western Illinois,2012,1,19.0,7.3,1.1,0.6,1.2,0.3,0.0,0.7,50.0,0.0,88.9,50.0,10.8,0.2
Paulius Packevicius,Forward,81.0,206.0,Rice,2007,3,97.0,,4.2,4.0,0.5,0.6,0.4,3.1,47.1,,67.2,47.1,,3.2
Rob Pacsi,Guard,76.0,193.0,Saint Francis (PA),1992,3,30.0,,0.4,0.4,,0.1,,,62.5,,,,,
Tom Pacynski,Center,82.0,208.0,Boston College,1968,2,31.0,,2.9,2.0,,,,,59.1,,,,,
Mike Padden,Forward,,,,1982,3,43.0,,1.0,0.4,0.3,,,,50.0,,51.9,,,
Gerald Paddio,Forward,79.0,205.0,UNLV,1988,2,73.0,29.2,16.0,4.6,2.4,0.9,0.3,2.1,43.7,39.5,76.4,54.2,,
Chris Paddock,Center,84.0,213.0,New Mexico,1997,2,15.0,,0.5,0.7,0.0,0.0,0.2,,46.2,,,46.2,,0.1
Scott Paddock,Center,81.0,206.0,Notre Dame,1989,3,112.0,12.2,2.4,3.0,0.4,0.2,0.1,0.9,57.4,,47.6,57.4,,
John Padelford,School: Arizona,,,,1969,1,3.0,,,,,,,,,,,,,
John Padelford,Forward,,,,1948,1,25.0,,5.2,,,,,,,,62.3,,,
Jon Paden,6-2 (188cm) ,,,,1958,3,,,,,,,,,,,,,,
Sam Padfield,Guard,,,,1950,2,,,,,,,,,,,,,,
Chris Padgett,Forward,78.0,198.0,New Mexico,1982,1,5.0,6.6,2.0,2.0,0.4,0.6,0.4,1.4,42.9,,66.7,,,
David Padgett,Center,83.0,211.0,  Schools: Kansas and Louisville,2007,3,114.0,,9.6,5.2,1.6,0.4,1.4,1.5,59.4,0.0,75.4,59.4,,17.2
Eric Padgett,Forward,77.0,196.0,Centenary (LA),1987,3,71.0,6.5,1.1,1.1,0.2,0.2,0.0,0.7,45.1,,63.6,,,
Gary Padgett,6-2 (188cm) ,,,,1955,2,32.0,,2.6,1.5,,,,,32.9,,51.8,,,
James Padgett,Forward,80.0,225.0,Maryland,2012,3,126.0,14.6,5.2,3.6,0.3,0.2,0.3,0.8,52.3,,52.8,52.3,17.2,5.6
Jim Padgett,Center,76.0,193.0,Oregon State,1952,3,67.0,,5.4,,,,,,32.6,,63.9,,,
Mark Padgett,Guard,,,,1998,2,33.0,,2.9,1.8,0.5,0.7,0.1,,28.4,13.9,35.7,32.1,,-0.6
Matt Padgett,Guard,76.0,193.0,Troy,1997,2,51.0,,9.4,2.2,0.8,0.5,0.1,,37.7,37.4,74.1,46.1,,1.7
Pete Padgett,Forward,80.0,203.0,Nevada,1976,4,104.0,,15.8,14.1,,,,3.2,45.1,,67.4,,,
Scott Padgett,Forward,81.0,240.0,Kentucky,1995,1,122.0,3.5,10.3,5.3,2.0,0.6,1.5,1.5,44.9,36.4,75.9,53.0,,
Zach Padgett,Guard,77.0,185.0,Central Arkansas,2013,1,22.0,7.2,2.0,0.9,0.1,0.2,0.0,0.5,28.8,27.8,60.0,38.5,3.5,-0.1
Edgar Padilla,Guard,74.0,188.0,UMass,1996,3,135.0,26.1,7.2,2.4,4.4,1.8,0.3,2.4,39.2,31.6,74.6,47.6,,
Ernest Padilla,Guard,72.0,183.0,New Mexico State,1981,1,10.0,2.9,0.6,0.3,0.3,,,,14.3,,44.4,,,
Giddel Padilla,Guard,75.0,190.0,UMass,1996,2,24.0,2.1,0.8,0.5,0.1,0.3,0.0,0.3,40.0,0.0,66.7,40.0,,
Gil Padilla,Forward,79.0,201.0,Marist,1985,3,54.0,12.8,2.0,2.7,0.3,0.5,0.8,0.9,38.6,,,,,
George Padovan,6-2 (188cm) ,,,,1958,1,18.0,,2.8,2.8,,,,,37.5,,43.8,,,
Ruben Padro,School: Navy,,,,1980,1,1.0,,,,,,,,,,,,,
Pele Paelay,Guard,76.0,193.0,Coastal Carolina,2003,1,111.0,3.8,10.6,4.0,1.8,0.3,,,43.8,35.2,70.2,49.5,,8.2
Gene Paetz,Guard,70.0,178.0,Iowa State,1951,2,27.0,,0.7,,,,,,,,50.0,,,
Anthony Paez,Forward,79.0,201.0,Stephen F. Austin,2006,2,56.0,,11.2,4.6,1.5,0.6,0.2,,47.6,30.9,74.1,50.6,,5.6
Paul Pafford,Center,,,,1970,1,10.0,,6.3,4.9,,,,,44.4,,57.7,,,
Larry Paffrath,Forward,76.0,193.0,William & Mary,1966,3,72.0,,7.0,5.8,,,,,41.4,,64.6,,,
Robert Paffrath,School: Duquesne,,,,1948,1,,,,,,,,,,,,,,
Bryant Pagan,Forward,75.0,190.0,Western Carolina,1979,1,19.0,0.1,1.6,0.3,0.2,,0.1,,42.9,,87.5,,,
Dennis Pagan,Guard,74.0,188.0,Austin Peay,1980,3,79.0,,10.4,2.1,,,,,48.6,,75.0,,,
Luis Pagan,Guard,76.0,193.0,Villanova,1981,1,13.0,,1.2,0.5,,,,,55.6,,55.6,,,
Luis Pagan,School: Saint Francis (PA),,,,1977,1,2.0,,1.0,,,,,,,,100.0,,,
Ed Pagano,Forward,,,,1984,3,,,,,,,,,,,,,,
Jeff Pagano,Guard,73.0,185.0,Princeton,1984,3,42.0,11.8,1.6,1.2,,0.6,0.1,0.8,33.8,,52.0,,,
Aaron Page,Guard,77.0,196.0,Murray State,1999,3,117.0,,4.8,2.7,1.1,0.6,0.1,,40.0,35.1,68.3,51.1,,4.8
Bob Page,5-6 (168cm) ,,,,1955,1,9.0,,1.4,0.1,,,,,25.0,,90.0,,,
Chris Page,Guard,77.0,190.0,Albany (NY),2013,1,9.0,4.1,1.4,0.1,0.2,0.2,0.1,0.1,29.4,18.2,50.0,35.3,9.5,0.0
Dameon Page,Guard,77.0,196.0,  Schools: Colorado and St. Joseph's,1996,2,21.0,,4.5,0.8,0.7,0.2,0.0,,38.0,22.6,71.8,42.4,,
Damon Page,Guard,72.0,183.0,Tennessee State,1996,3,79.0,,5.2,2.2,1.2,0.8,0.2,,36.1,24.2,64.6,40.2,,
Dave Page,School: New Orleans,,,,1977,1,,,,,,,,,,,,,,
Don Page,Forward,75.0,190.0,Wisconsin,1950,2,35.0,,4.7,,,,,,23.1,,79.6,,,
Dylan Page,Forward,81.0,206.0,Milwaukee,2001,1,102.0,4.9,13.6,5.1,1.0,0.7,,,52.3,35.6,78.1,56.7,,12.7
George Page,Forward,75.0,190.0,Wofford,1996,1,19.0,,0.9,0.7,0.3,0.1,0.0,,37.5,,66.7,37.5,,0.0
Greg Page,Forward,77.0,196.0,Lehigh,2007,2,39.0,,2.4,1.1,0.6,0.4,0.1,,35.0,24.3,66.7,39.5,,0.3
Howard Page,Guard,70.0,178.0,Oregon,1954,2,49.0,,3.0,0.7,,,,,36.5,,74.5,,,
JImmy Page,5-9 (175cm) ,,,,1956,1,20.0,,3.9,1.6,,,,,22.0,,56.9,,,
Jonas Page,Forward,79.0,185.0,Florida International,2015,2,9.0,3.3,1.4,0.4,0.0,0.1,0.1,0.1,40.0,37.5,100.0,55.0,17.5,0.1
Jorden Page,Guard,73.0,180.0,Saint Mary's (CA),2012,3,105.0,19.9,6.1,1.3,1.7,0.6,0.1,1.2,41.0,34.8,81.3,51.7,12.6,5.5
Julius Page,Guard,75.0,190.0,Pitt,2003,3,136.0,,11.1,3.0,1.8,0.6,0.3,,43.5,33.7,71.1,51.9,,12.8
Keith Page,Forward,,,,1977,2,5.0,,,,,,,,,,,,,
Keiton Page,Guard,69.0,165.0,Oklahoma State,2011,3,134.0,32.3,12.3,1.6,2.0,1.1,0.0,1.4,40.5,36.8,85.9,52.7,,13.3
Kenny Page,Forward-Guard,75.0,190.0,  Schools: Ohio State and New Mexico,1981,3,53.0,37.8,26.2,3.7,2.4,0.8,0.1,3.8,48.4,,77.2,,,
Kenny Page,Guard,76.0,193.0,Lamar,1974,3,58.0,,7.9,2.2,,,,,41.5,,74.2,,,
Kolin Page,Center,81.0,206.0,SMU,1983,2,14.0,6.1,0.6,0.9,,0.0,0.0,0.3,,,23.1,,,
LaShay Page,Guard,74.0,195.0,  Schools: Southern Miss and South Carolina,2013,3,69.0,24.4,9.5,2.9,0.7,0.3,0.1,1.6,36.6,34.4,77.9,46.9,11.8,4.8
Luther Page,Forward,78.0,220.0,Alabama State,2014,3,124.0,21.2,5.3,4.5,0.7,0.7,0.5,1.7,45.2,0.0,54.1,45.2,11.3,4.1
Marlon Page,Forward,,,,1985,2,49.0,,4.7,3.2,0.3,,,,48.6,,73.0,,,
Mike Page,Forward,78.0,198.0,Bucknell,1981,3,79.0,29.0,5.2,3.2,0.4,0.5,0.1,,43.9,,74.3,,,
MIke Page,School: Bucknell,,,,1978,1,2.0,,2.0,,,,,,40.0,,,,,
