player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Candido Sa,Forward,81.0,227.0,Rutgers,2017,1,32.0,13.5,3.2,2.8,0.3,0.3,0.9,0.8,39.6,21.1,45.7,41.7,10.9,0.6
Anthony Saadey,School: USC,,,,2002,1,2.0,,0.0,1.0,0.0,0.0,0.0,,,,,,,0.0
Amu Saaka,Forward,78.0,210.0,  Schools: South Florida and Furman,2010,3,121.0,32.0,9.6,4.7,1.1,0.7,0.4,2.0,45.3,35.5,74.5,50.9,,9.9
Randy Saal,School: Purdue,,,,1966,1,,,,,,,,,,,,,,
Timo Saarelainen,Forward,78.0,198.0,BYU,1981,1,85.0,3.6,10.0,2.5,0.7,0.1,1.2,1.6,46.3,,67.1,,,
Timo Saarelanen,Forward,78.0,198.0,BYU,1982,1,15.0,12.7,5.3,1.9,0.5,0.1,0.3,0.9,40.3,,66.7,,,
Barry Sabas,Guard,75.0,190.0,Colorado State,1976,2,48.0,,13.9,3.0,1.9,2.1,,,44.6,,74.6,,,
John Sabas,Guard,72.0,183.0,Colorado State,1968,1,16.0,,0.8,0.2,,,,,42.9,,33.3,,,
Kaipo Sabas,Guard,71.0,177.0,Colorado State,2012,2,32.0,21.3,4.4,2.2,1.0,0.5,0.0,1.1,47.9,44.4,80.0,62.5,9.9,1.1
Cal Sabatini,Guard,72.0,183.0,Minnesota,1961,2,27.0,,7.8,4.6,,,,,,,76.2,,,
Joe Sabato,Guard,73.0,185.0,Appalachian State,1993,3,76.0,10.1,1.1,0.9,1.8,0.7,0.0,1.1,30.6,20.0,60.6,35.5,,
Joe Sabato,Guard,73.0,185.0,Appalachian State,1990,1,7.0,4.1,1.0,0.1,1.0,0.6,0.0,0.7,40.0,0.0,33.3,40.0,,
Tony Sabato,Center,79.0,220.0,Elon,2015,3,98.0,10.9,2.0,1.6,0.5,0.1,0.2,0.7,40.6,0.0,51.7,40.6,4.7,0.6
Xerxes Sabb,Forward,78.0,198.0,South Carolina State,2002,2,24.0,,0.7,1.1,0.2,0.1,0.1,,16.7,5.9,50.0,18.1,,-0.4
Scott Saber,Center,81.0,206.0,Nevada,1994,3,75.0,,4.4,2.7,0.4,0.2,0.3,,53.2,,50.8,53.2,,
Hunter Sabety,Forward,80.0,250.0,Hofstra,2017,1,32.0,12.3,4.1,4.5,0.2,0.2,1.3,0.7,69.0,,53.2,69.0,23.0,1.6
Morgan Sabia,Forward,80.0,200.0,Hartford,2010,3,125.0,34.6,11.2,5.1,0.9,0.7,0.7,1.8,40.7,35.8,70.9,50.6,,7.2
Mirza Sabic,Guard,78.0,225.0,Kennesaw State,2012,2,52.0,9.4,2.6,1.0,0.2,0.1,0.0,0.7,39.1,36.6,62.5,50.4,7.2,-0.2
Juan Sabino II,Guard,71.0,170.0,Colorado State,2017,1,5.0,1.6,0.0,0.2,0.0,0.2,0.0,0.8,0.0,0.0,,0.0,-37.0,-0.1
Jerry Sabins,Guard,72.0,183.0,Idaho State,1973,2,52.0,,8.0,2.6,,,,,41.1,,71.7,,,
Steve Sabins,Guard,76.0,193.0,UC-Irvine,1969,1,27.0,,12.8,3.7,,,,,52.0,,71.5,,,
Ken Sabo,Center,82.0,208.0,East Carolina,1968,1,12.0,,0.6,0.7,,,,,33.3,,25.0,,,
Ron Sabo,Center,,,,1961,1,21.0,,3.1,2.9,,,,,33.3,,64.3,,,
Will Sabo,Forward,77.0,196.0,Manhattan,2007,1,4.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0
_ Sabo,6-10 (208cm) ,,,,1967,1,18.0,,1.1,1.2,,,,,36.4,,37.5,,,
Bob Sabol,Forward,76.0,193.0,St. Joseph's,1973,3,66.0,,5.5,3.5,0.8,0.7,,,44.9,,76.1,,,
Joe Sabol,Guard,67.0,170.0,St. Bonaventure,1973,3,,,,,,,,,,,,,,
Ken Sabol,School: Lafayette,,,,1968,1,8.0,,0.5,0.1,,,,,16.7,,,,,
Mike Sabol,Forward,,,,1991,2,,5.8,,,,0.1,0.0,0.5,,,,,,
Thomas Sabol,6-2 (188cm) ,,,,1950,3,75.0,,9.0,,,,,,,,61.0,,,
Domantas Sabonis,Forward,82.0,231.0,Gonzaga,2016,2,74.0,26.6,13.5,9.4,1.3,0.5,0.6,2.0,63.2,35.7,72.9,63.6,27.4,12.3
Jordan Sabourin,Center,84.0,213.0,Oakland,2003,3,105.0,,2.5,3.2,0.3,0.3,0.6,,52.1,0.0,33.3,52.1,,2.7
Wes Sabourin,School: Minnesota,,,,1951,1,10.0,,2.0,,,,,,45.0,,66.7,,,
Haneef Sabree,Guard,73.0,185.0,Detroit,1997,1,8.0,,0.8,0.9,0.0,0.0,0.0,,20.0,50.0,60.0,30.0,,0.0
Hijr Sabree,Forward-Center,80.0,203.0,Delaware State,1993,3,104.0,16.3,6.8,4.1,0.6,0.9,1.0,1.6,41.8,,60.9,42.5,,
Fallon Sacasey,Forward,80.0,203.0,Tulsa,1989,1,20.0,6.1,1.8,1.4,0.2,0.1,0.1,0.6,42.9,0.0,47.8,42.9,,
Gary Sacheck,Center,79.0,201.0,Denver,1970,1,24.0,,15.0,7.8,,,,,43.6,,59.7,,,
John Sachetti,School: UMass,,,,1978,1,1.0,0.0,,,1.0,0.0,0.0,0.0,,,,,,
Roy Sachse,School: Kent State,,,,1978,1,4.0,0.0,2.5,1.2,,0.0,0.0,,57.1,,50.0,,,
Sebastian Sachse,Center,80.0,203.0,Samford,2003,3,98.0,,3.7,2.2,0.8,0.2,0.2,,41.2,32.3,50.0,50.8,,1.4
Dave Sackolwitz,Forward,78.0,198.0,Weber State,1970,2,53.0,,5.0,5.1,,,,,38.1,,68.5,,,
Doug Sackolwitz,Forward,78.0,198.0,Weber State,1971,1,17.0,,1.6,1.3,,,,,55.0,,62.5,,,
Robert Sacre,Center,84.0,260.0,Gonzaga,2010,3,136.0,25.8,9.3,5.0,0.7,0.5,1.4,1.6,50.4,25.0,73.5,50.4,,13.0
Ra'oof Sadat,Forward,,,,1998,2,34.0,,4.0,3.2,0.3,0.4,0.7,,49.6,25.0,62.1,50.0,,1.9
Devon Saddler,Guard,74.0,210.0,Delaware,2013,3,124.0,35.9,17.9,4.3,2.7,0.8,0.2,3.0,42.7,33.7,74.9,48.2,18.5,11.7
Marvin Saddler,Forward,79.0,201.0,Providence,1991,3,94.0,12.0,4.4,3.2,0.4,0.3,0.2,0.7,44.5,,66.9,,,
Tevon Saddler,Guard,78.0,205.0,  Schools: North Carolina-Greensboro and Nicholls State,2015,2,62.0,29.2,12.9,4.2,3.4,1.4,0.5,3.7,41.3,20.0,66.8,42.3,14.8,2.3
Joe Sadelfeld,Guard,74.0,188.0,Ohio State,1967,1,13.0,,4.7,2.4,,,,,46.6,,53.8,,,
Bill Sadler,Forward,78.0,198.0,Pepperdine,1983,3,82.0,31.2,13.8,7.0,2.6,0.9,0.5,2.8,54.4,,73.9,,,
Cameron Sadler,Guard,70.0,160.0,Sam Houston State,2012,1,11.0,1.8,0.2,0.0,0.2,0.2,0.0,0.7,0.0,0.0,50.0,0.0,-24.3,-0.2
Gene Sadler,Guard,74.0,188.0,Florida,1962,1,1.0,,,,,,,,,,,,,
Markel Sadler,Guard,,,,1996,1,27.0,,6.2,2.9,4.7,1.4,0.1,,38.9,22.0,65.5,42.4,,0.7
Pat Sadler,Guard,73.0,185.0,Virginia Tech,1986,1,7.0,,,0.1,,0.3,0.0,,,,,,,
Richard Sadler,Center,81.0,206.0,Eastern Kentucky,2002,1,27.0,,4.4,3.7,0.4,0.6,0.3,,49.0,33.3,51.6,50.0,,0.7
Steve Sadler,Forward,76.0,193.0,Butler,1966,2,25.0,,1.0,0.9,,,,,25.0,,72.7,,,
Zedric Sadler,Guard,75.0,195.0,Rider,2015,3,124.0,24.9,6.6,3.1,2.0,1.0,0.4,1.5,39.1,33.1,67.3,46.2,12.2,5.9
Dan Sadlier,Forward,78.0,198.0,Dayton,1969,3,86.0,,10.6,6.3,,,,,53.0,,65.3,,,
Hunter Sadlon,Guard,72.0,168.0,Winthrop,2016,3,43.0,2.3,0.1,0.3,0.2,0.0,0.0,0.1,10.0,0.0,50.0,10.0,1.3,0.0
John Sadlosca,Forward,77.0,196.0,Princeton,1972,1,13.0,,2.5,0.9,,,,,44.8,,77.8,,,
Jade Sadosty,School: Air Force,,,,1990,1,,,,,,,,,,,,,,
Jeff Sadowski,Forward,77.0,196.0,Tulsa,1988,1,19.0,13.6,3.9,2.9,0.9,0.2,0.3,1.7,39.5,0.0,68.2,39.5,,
_ Sadowski,School: Vermont,,,,1970,1,,,,,,,,,,,,,,
John Sadusky,Guard,72.0,183.0,Boston University,2000,1,5.0,,0.0,0.6,1.2,0.6,0.2,,0.0,,0.0,0.0,,-0.1
_ Saemmer,School: Muhlenburg,,,,1948,1,,,,,,,,,,,,,,
