player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Jafar Taalib,Center,80.0,203.0,North Carolina A&T,2001,3,94.0,,6.7,4.0,0.6,0.5,0.8,,51.6,0.0,62.0,51.6,,6.6
Ken Tabaka,Forward,77.0,196.0,Saint Francis (PA),1971,2,30.0,,4.3,3.7,,,,,44.1,,72.2,,,
Ken Tabalka,Forward,77.0,196.0,Saint Francis (PA),1969,1,14.0,,5.4,3.8,,,,,44.6,,71.4,,,
Ed Tabash,Guard,72.0,183.0,Saint Louis,1970,3,72.0,,3.3,1.1,,,,,37.5,,62.3,,,
Brandon Tabb,Guard,77.0,200.0,Bethune-Cookman,2017,1,32.0,34.4,17.8,5.4,1.7,1.3,0.6,1.5,37.9,34.5,82.6,48.7,18.6,3.3
Colin Tabb,Guard,75.0,190.0,Quinnipiac,1999,1,21.0,,7.7,3.1,0.9,0.7,0.1,,39.7,32.2,77.8,47.2,,0.6
Demarquelle Tabb,Guard,77.0,210.0,Alabama A&M,2013,3,112.0,26.8,10.5,7.3,1.1,1.0,1.6,1.7,48.4,0.0,58.3,48.4,20.2,9.8
Josh Tabb,Guard,76.0,193.0,Tennessee,2009,3,96.0,15.0,2.8,2.1,1.3,0.8,0.1,1.0,50.0,34.1,41.9,56.9,,3.5
Ladarius Tabb,Guard,77.0,190.0,Alabama A&M,2016,2,57.0,33.8,18.4,7.3,0.7,1.3,0.2,1.7,44.5,29.2,62.3,49.7,22.0,6.4
Melvin Tabb,Forward,81.0,255.0,  Schools: Wake Forest and Kent State,2014,3,69.0,11.7,3.1,2.5,0.2,0.1,0.1,0.8,44.8,33.3,59.6,45.2,10.6,1.3
Micahel Tabb,Center,80.0,203.0,Clemson,1995,1,4.0,,1.5,0.5,0.0,0.0,0.0,,50.0,,100.0,50.0,,
Michael Tabb,Forward,,,,1998,1,20.0,,0.9,1.1,0.0,0.0,0.5,,28.6,,54.5,28.6,,0.3
Sean Tabb,Guard,75.0,190.0,  Schools: Hartford and Quinnipiac,1998,3,53.0,,3.8,1.5,1.0,0.1,0.1,,33.2,34.0,84.4,45.8,,0.6
Kyle Taber,Forward,79.0,201.0,Indiana,2008,3,62.0,,2.7,3.5,0.6,0.6,0.3,0.7,54.6,40.0,68.8,55.4,,1.3
Aaron Tabet,Guard,69.0,175.0,Portland,1970,1,19.0,,3.8,0.5,,,,,24.1,,67.3,,,
Charles Tabet,Center,81.0,206.0,South Alabama,2010,3,66.0,14.8,1.7,2.3,0.1,0.1,0.3,0.5,43.5,,55.9,43.5,,1.1
Philip Tabet,Center,81.0,206.0,South Alabama,2009,3,104.0,7.3,1.4,2.0,0.1,0.1,0.2,0.4,49.1,0.0,60.9,49.1,,1.9
Sam Tabet,Guard,70.0,178.0,Portland,1972,2,34.0,,5.6,0.9,,,,,40.5,,51.5,,,
Dennis Tabisz,Forward,81.0,206.0,Rhode Island,1987,3,101.0,13.5,3.0,2.3,0.3,0.2,0.1,0.6,46.6,,54.5,,,
Troy Tabler,Guard,75.0,185.0,Wright State,2010,3,113.0,27.7,7.6,2.1,1.2,0.7,0.1,1.3,38.4,36.0,85.9,50.4,,7.1
Clyde Tables,Guard,77.0,196.0,Mississippi State,1987,2,33.0,16.9,3.2,3.0,0.8,0.5,0.1,1.0,42.5,,61.5,,,
Chet Tabor,6-2 (188cm) ,,,,1958,3,48.0,,5.5,4.4,,,,,37.3,,64.6,,,
Joel Tabor,Guard,76.0,193.0,Arkansas,1971,1,19.0,,3.9,2.2,,,,,45.3,,79.4,,,
Ron Tabron,Forward,79.0,201.0,Pacific,1990,2,54.0,,4.3,3.0,0.5,0.4,0.2,1.5,52.1,,65.6,52.1,,
Stefan Tacke,Forward,80.0,203.0,UIC,1994,3,53.0,,0.6,0.8,,0.2,0.1,,27.5,,,,,
Clyde Tackett,School: George Washington,,,,1974,1,,,,,,,,,,,,,,
Jim Tackett,School: New Mexico State,,,,1952,1,,,,,,,,,,,,,,
Todd Tackett,Guard,74.0,188.0,Kentucky,2000,2,40.0,,0.8,0.6,0.3,0.1,0.0,,18.5,9.1,53.8,20.8,,-0.7
John Taddiken,Center,77.0,196.0,Brown,1962,3,54.0,,1.1,1.9,,,,,26.3,,45.9,,,
Dave Tadich,School: Centenary (LA),,,,1969,3,,,,,,,,,,,,,,
Jared Tadlock,Center,81.0,208.0,Miami (OH),2013,2,22.0,2.6,0.4,0.5,0.0,0.1,0.0,0.1,18.8,10.0,50.0,21.9,2.0,-0.1
Travis Tadysak,Center,82.0,208.0,Saint Louis,1991,2,52.0,12.0,2.2,2.0,0.3,0.1,0.1,1.0,59.7,,67.7,59.7,,
Chris Taflinger,Guard,74.0,188.0,Cincinnati,2000,1,13.0,,0.3,0.6,0.2,0.1,0.0,,28.6,0.0,,28.6,,0.0
Fabrice Tafo,Forward,79.0,201.0,Hartford,2008,3,55.0,,2.2,1.9,0.3,0.2,0.3,1.0,39.7,33.3,50.0,41.4,,0.9
Tyler Tafoya,Guard,75.0,195.0,UTEP,2012,3,17.0,1.9,0.2,0.2,0.0,0.1,0.0,0.1,8.3,0.0,100.0,8.3,-7.2,-0.1
Chris Taft,Forward,82.0,260.0,Pitt,2005,2,65.0,26.0,12.0,7.5,1.1,0.4,1.7,,56.9,,56.4,56.9,,11.4
John Taft,Guard,74.0,188.0,Marshall,1988,1,107.0,7.6,21.8,5.6,2.6,0.1,2.5,1.6,47.6,40.0,71.5,53.0,,
Morris Taft,Guard,75.0,190.0,UCLA,1956,3,77.0,,11.9,4.1,,,,,41.5,,63.0,,,
Tom Tagatz,6-3 (190cm) ,,,,1955,3,45.0,,,3.7,,,,,,,,,,
Glenn Taggart,Guard,72.0,183.0,North Carolina A&T,1990,3,110.0,39.0,13.8,3.8,4.6,1.6,0.1,4.0,43.6,40.7,81.0,49.6,,
Harrison Taggart,Guard,77.0,190.0,Vermont,2014,1,11.0,5.1,0.8,0.7,0.3,0.3,0.0,0.1,42.9,25.0,100.0,50.0,12.3,0.2
Jeff Taggart,Forward,75.0,190.0,Canisius,1988,3,71.0,7.3,6.4,1.9,1.5,1.0,0.1,0.9,45.6,,67.7,,,
Nick Taggart,Forward,80.0,203.0,BYU,2000,2,20.0,,0.0,0.4,0.0,0.0,0.0,,0.0,,,0.0,,-0.1
Shawn Taggart,Forward,82.0,208.0,  Schools: Iowa State and Memphis,2009,3,106.0,,7.4,5.2,0.3,0.6,1.2,0.8,49.2,26.4,71.1,50.4,,11.4
Paul Tagliabue,Forward,77.0,196.0,Georgetown,1962,3,65.0,,11.4,7.6,,,,,39.5,,60.7,,,
Walt Tague,Guard,73.0,185.0,New Mexico State,1969,1,14.0,,0.8,0.1,0.1,,,,35.7,,33.3,,,
Joonas Tahvanainen,Forward,78.0,220.0,Utah Valley,2017,1,25.0,7.1,2.2,1.5,0.2,0.3,0.0,0.5,48.8,28.6,69.2,53.5,10.7,0.4
Sean Taibi,Guard,75.0,190.0,Northern Colorado,2008,1,23.0,,11.1,3.0,0.7,0.4,0.0,1.3,45.5,40.2,75.0,57.2,,1.8
David Tairu,Guard,75.0,177.0,Texas Tech,2011,2,67.0,22.2,9.6,2.9,0.7,0.5,0.2,1.0,45.3,42.4,73.2,51.9,16.4,4.2
Herbert Taischer,Center,,,,1949,1,4.0,,1.2,,,,,,,,75.0,,,
Alan Tait,Guard,74.0,188.0,Oregon State,1983,3,73.0,16.8,3.0,1.2,1.2,0.5,0.0,0.8,41.6,,61.2,,,
Charles Tait,Forward,79.0,201.0,Michigan,1988,2,16.0,1.6,,0.4,0.1,0.0,0.1,0.2,,,,,,
Karl Tait,Forward,76.0,193.0,Colorado,1967,3,63.0,,5.7,3.2,,,,,41.4,,53.1,,,
Marshall Tait,Guard,74.0,188.0,New Hampshire,1985,1,12.0,3.7,1.1,0.4,0.4,0.1,0.0,,40.0,,33.3,,,
Michael Tait,Guard,74.0,188.0,Clemson,1987,2,58.0,22.1,8.1,2.2,2.1,1.2,0.0,1.5,48.0,,73.1,,,
Michael Tait,Guard,,,,1985,2,32.0,25.0,7.1,1.7,2.7,1.5,0.1,2.0,42.6,,67.7,,,
Sutton Tait,6-2 (188cm) ,,,,1955,2,28.0,,3.6,3.3,,,,,28.4,,68.4,,,
Lance Takaki,Guard,64.0,163.0,Hawaii,2002,3,35.0,,0.4,0.2,0.1,0.0,0.0,,42.9,0.0,58.3,42.9,,0.1
Sama Taku,Guard,73.0,185.0,Pacific,2014,2,69.0,26.6,9.6,3.8,2.0,0.8,0.0,1.7,39.4,30.2,76.4,42.8,12.6,2.8
Mark Talaga,School: Michigan State,,,,1975,1,,,,,,,,,,,,,,
Alan Talbert,Guard,72.0,183.0,Ohio,1974,2,33.0,,2.2,0.9,,,,,30.8,,62.5,,,
Chance Talbert,School: Rice,,,,2008,1,21.0,,1.3,1.3,0.2,0.2,0.0,0.5,38.5,0.0,57.1,38.5,,0.0
Ezra Talbert,Forward,80.0,190.0,Liberty,2017,3,68.0,10.9,3.9,1.7,0.2,0.2,0.2,0.5,45.1,42.7,72.2,54.4,13.1,1.8
Jacob Talbert,Guard,72.0,195.0,Campbell,2016,3,19.0,2.7,0.8,0.6,0.3,0.2,0.0,0.3,30.0,0.0,75.0,30.0,5.7,0.0
Josiah Talbert,Forward,81.0,210.0,Liberty,2017,1,25.0,5.0,1.5,1.0,0.0,0.1,0.2,0.4,43.6,7.7,33.3,44.9,7.1,0.0
Reggie Talbert,Forward,78.0,198.0,Dartmouth,1992,2,31.0,32.9,2.8,1.9,0.1,0.2,0.5,0.9,61.5,,51.1,61.5,,
Ricky Talbert,Center,81.0,206.0,Morehead State,1977,1,12.0,,2.5,1.5,,,,,43.3,,40.0,,,
_ Talbert,School: Lawrence,,,,1948,1,,,,,,,,,,,,,,
Bill Talbot,School: Florida,,,,1951,1,1.0,,,1.0,,,,,,,,,,
George Talbot,School: Miami (FL),,,,1957,1,20.0,,5.5,1.4,,,,,38.1,,69.7,,,
Gilbert Talbot,Forward,82.0,290.0,Louisiana Tech,2014,2,44.0,5.6,2.3,1.8,0.1,0.0,0.1,0.4,53.8,,45.9,53.8,14.8,0.9
John Talbot,Guard,74.0,188.0,Minnesota,1976,2,,,,,,,,,,,,,,
Lloyd Talbot,Guard,,,,1967,2,52.0,,3.9,2.2,,,,,38.0,,66.7,,,
Maurice Talbot,Center,,,,1965,2,48.0,,22.0,12.3,,,,,48.2,,76.0,,,
Tyron Talbot,Forward,,,,1985,1,23.0,,3.5,2.0,0.2,,,,38.6,,56.3,,,
Tyrone Talbot,Forward,78.0,198.0,Charleston Southern,1988,2,40.0,9.9,2.3,2.2,0.4,0.2,0.1,1.1,41.7,,64.6,41.7,,
Bill Talbott,6-1 (185cm) ,,,,1958,1,20.0,,11.2,2.1,,,,,,,68.1,,,
Chuck Talbott,Forward,76.0,193.0,UConn,1964,2,14.0,,0.7,0.8,,,,,22.2,,66.7,,,
Dartez Talbott,Guard,70.0,178.0,Mercer,1981,3,82.0,,12.4,2.3,,,,,49.6,,80.4,,,
Jude Talbott,Forward,76.0,193.0,Western Kentucky,1960,1,24.0,,3.3,2.9,,,,,44.4,,88.9,,,
Wayne Talbott,Forward,78.0,198.0,Pitt,1978,4,56.0,0.0,1.0,1.0,,,0.0,,36.4,,,,,
Alan Talboy,5-11 (180cm) ,,,,1953,1,5.0,,,0.6,,,,,,,,,,
Shauhin Talesh,Guard,71.0,180.0,UC-Irvine,1995,2,17.0,,1.1,0.3,0.5,0.2,0.0,,42.9,0.0,60.0,42.9,,
Calvin Talford,Forward,76.0,193.0,ETSU,1991,3,126.0,31.1,14.9,4.3,1.3,1.0,0.3,2.4,50.7,40.6,79.3,58.1,,
Woody Taliaferro,Forward,78.0,198.0,SMU,1970,3,65.0,,5.7,2.9,,,,,39.6,,69.6,,,
_ Taliaferro,School: Virginia,,,,1961,1,,,,,,,,,,,,,,
Idris Talib,Forward,77.0,196.0,North Carolina State,2000,1,3.0,,0.7,0.7,0.0,0.7,0.0,,100.0,,0.0,100.0,,0.0
Chris Talkington,Guard,78.0,205.0,Nicholls State,2012,2,46.0,14.3,5.6,1.8,0.5,0.2,0.0,0.7,38.1,34.0,73.4,49.8,12.8,1.1
John Talkington,6-5 (196cm) ,,,,1966,3,69.0,,9.9,6.3,,,,,45.7,,75.8,,,
John Talkington,6-5 (196cm) ,,,,1965,1,23.0,,12.1,5.6,,,,,48.6,,76.2,,,
Ted Talkington,Guard,74.0,188.0,West Virginia,2008,3,46.0,,0.9,0.5,0.4,0.2,0.1,0.3,44.8,42.9,58.3,60.3,,0.7
Racine Talla,Forward,81.0,195.0,IPFW,2017,2,56.0,10.1,1.8,1.8,0.3,0.2,0.5,0.8,28.7,23.5,60.0,32.2,4.3,-0.1
James Tallarico,Guard,,,,1998,1,2.0,,1.0,0.0,0.0,0.5,0.0,,100.0,,,100.0,,0.0
Bob Tallent,Guard,73.0,185.0,George Washington,1969,1,25.0,,28.9,5.2,,,,,41.9,,87.6,,,
Bob Tallent,School: Kentucky,,,,1967,2,37.0,,7.9,2.5,0.8,,,,49.8,,71.4,,,
Mike Tallent,Guard,73.0,185.0,George Washington,1972,3,60.0,,18.1,3.1,,,,,40.8,,82.0,,,
Pat Tallent,Guard,75.0,190.0,George Washington,1976,4,83.0,,20.8,3.9,,,,,50.1,,78.6,,,
Arthur Talley,Guard,75.0,190.0,Chicago State,2006,3,28.0,,0.4,0.4,0.1,0.2,0.1,,33.3,33.3,0.0,41.7,,0.1
Brian Talley,Guard,70.0,178.0,Southern,2009,1,25.0,,1.6,0.8,1.0,0.2,0.0,1.1,28.0,20.7,50.0,34.0,,-0.2
Cliff Talley,6-6 (198cm) ,,,,1960,3,70.0,,8.0,3.9,,,,,39.1,,67.0,,,
Craig Talley,Guard,76.0,193.0,Murray State,1985,2,56.0,31.1,11.9,4.4,1.1,0.5,0.2,2.1,49.3,,77.8,,,
Dylan Talley,Guard,77.0,196.0,  Schools: Binghamton and Nebraska,2013,3,84.0,30.5,11.7,4.0,2.1,1.0,0.3,1.9,38.7,33.9,73.8,45.2,15.4,4.2
Eddie Talley,Guard,,,,1986,2,49.0,11.8,5.0,1.9,0.9,0.5,0.1,1.0,40.9,,65.2,,,
Eddie Talley,Forward,79.0,201.0,Charleston Southern,1981,3,104.0,,14.2,5.8,,,,,52.4,,74.5,,,
Eric Talley,Guard,74.0,188.0,Montana State,1995,2,56.0,,11.8,3.0,2.6,1.1,0.1,,43.1,36.1,66.7,50.0,,
Gene Talley,Forward,76.0,193.0,Alabama State,1996,1,27.0,31.3,11.4,4.7,0.6,1.1,0.3,1.3,41.4,46.1,75.9,47.7,,1.1
Jay Talley,School: Utah State,,,,1985,1,10.0,3.2,0.6,0.5,0.0,0.0,,0.2,22.2,,40.0,,,
Jordon Talley,Guard,72.0,180.0,North Carolina-Wilmington,2017,3,94.0,23.0,8.3,2.4,3.2,1.1,0.1,1.5,38.2,27.3,77.8,41.5,15.0,6.4
Ken Talley,Forward,78.0,198.0,Virginia Tech,1967,1,27.0,,10.9,11.1,,,,,50.6,,44.8,,,
Marlow Talley,Forward,79.0,201.0,VCU,1996,2,63.0,,4.9,2.8,0.9,0.6,0.4,,48.4,34.3,68.7,50.8,,
Michael Talley,Guard,73.0,185.0,Michigan,1993,3,87.0,24.9,5.8,1.5,2.1,0.8,0.1,2.2,40.1,35.3,75.0,44.9,,
Michael Talley,Guard,73.0,185.0,Michigan,1990,1,30.0,14.0,3.0,1.5,1.4,0.4,0.2,1.4,30.6,37.5,75.6,34.1,,
Mike Talley,Guard,72.0,176.0,  Schools: Duquesne and Eastern Michigan,2014,3,135.0,29.2,9.4,1.7,3.1,1.3,0.0,2.0,38.8,31.5,68.3,44.8,14.3,9.5
Reggie Talley,Guard,75.0,190.0,Colorado State,1980,2,51.0,0.2,4.0,2.3,1.1,0.1,0.1,,40.1,,83.3,,,
Shawn Talley,Guard,70.0,178.0,Texas-Arlington,1993,1,27.0,,10.1,2.8,3.9,1.5,0.2,,39.2,37.9,64.4,46.6,,
Stan Talley,Guard,75.0,190.0,Portland,1971,3,78.0,,15.2,6.8,,,,,41.5,,64.6,,,
Terrence Talley,Guard,76.0,193.0,Boston College,1984,3,107.0,5.2,4.4,3.1,,0.3,0.1,0.6,49.7,,68.3,,,
